,QUARTER,TIME_REMAINING,CHICAGO_ACTION,SACRAMENTO_ACTION,CHICAGO_SCORE,SACRAMENTO_SCORE
0,1,11:44.0,R. Lopez makes 2-pt hook shot from 4 ft (assist by D. Wade),,2,0
1,1,11:24.0,,D. Collison makes 2-pt jump shot from 16 ft (assist by K. Koufos),2,2
2,1,11:11.0,M. Carter-Williams makes 2-pt layup from 3 ft,,4,2
3,1,10:56.0,,B. McLemore misses 2-pt jump shot from 19 ft,4,2
4,1,10:55.0,Defensive rebound by J. Grant,,4,2
5,1,10:46.0,J. Grant makes 2-pt jump shot from 15 ft,,6,2
6,1,10:20.0,,D. Cousins makes 3-pt jump shot from 25 ft (assist by D. Collison),6,5
7,1,10:06.0,Personal foul by A. Afflalo (drawn by T. Gibson),,6,5
8,1,9:59.0,J. Grant misses 3-pt jump shot from 24 ft,,6,5
9,1,9:59.0,,Defensive rebound by A. Afflalo,6,5
10,1,9:41.0,,Turnover by B. McLemore (lost ball; steal by M. Carter-Williams),6,5
11,1,9:36.0,T. Gibson makes 2-pt layup from 1 ft (assist by D. Wade),,8,5
12,1,9:09.0,,B. McLemore misses 3-pt jump shot from 24 ft,8,5
13,1,9:08.0,Defensive rebound by J. Grant,,8,5
14,1,8:55.0,M. Carter-Williams makes 2-pt jump shot from 15 ft (assist by T. Gibson),,10,5
15,1,8:55.0,,Sacramento full timeout,10,5
16,1,8:40.0,,Personal foul by D. Wade (drawn by A. Afflalo),10,5
17,1,8:26.0,,D. Cousins misses 2-pt jump shot from 12 ft,10,5
18,1,8:26.0,Defensive rebound by Team,,10,5
19,1,8:15.0,Shooting foul by A. Afflalo (drawn by D. Wade),,10,5
20,1,8:15.0,D. Wade makes free throw 1 of 2,,11,5
21,1,8:15.0,D. Wade makes free throw 2 of 2,,12,5
22,1,8:02.0,,D. Collison misses 2-pt jump shot from 19 ft,12,5
23,1,8:01.0,Defensive rebound by T. Gibson,,12,5
24,1,7:52.0,M. Carter-Williams makes 2-pt layup from 3 ft,,14,5
25,1,7:33.0,,Turnover by D. Cousins (bad pass; steal by M. Carter-Williams),14,5
26,1,7:32.0,Personal foul by K. Koufos (drawn by M. Carter-Williams),,14,5
27,1,7:20.0,D. Wade makes 2-pt jump shot from 17 ft,,16,5
28,1,7:06.0,,D. Collison misses 2-pt layup from 4 ft,16,5
29,1,7:04.0,Defensive rebound by D. Wade,,16,5
30,1,6:53.0,T. Gibson misses 2-pt layup from 3 ft (block by K. Koufos),,16,5
31,1,6:51.0,Offensive rebound by J. Grant,,16,5
32,1,6:44.0,D. Wade makes 2-pt jump shot from 17 ft,,18,5
33,1,6:22.0,,A. Afflalo misses 2-pt jump shot from 11 ft,18,5
34,1,6:21.0,Defensive rebound by D. Wade,,18,5
35,1,6:02.0,R. Lopez makes 2-pt jump shot from 18 ft (assist by M. Carter-Williams),,20,5
36,1,6:02.0,,Sacramento full timeout,20,5
37,1,6:02.0,,T. Lawson enters the game for K. Koufos,20,5
38,1,6:02.0,,M. Barnes enters the game for A. Afflalo,20,5
39,1,6:02.0,,A. Tolliver enters the game for D. Collison,20,5
40,1,6:02.0,,Violation by Team (jump ball),20,5
41,1,5:45.0,,D. Cousins misses 2-pt jump shot from 12 ft,20,5
42,1,5:44.0,Defensive rebound by T. Gibson,,20,5
43,1,5:33.0,D. Wade misses 2-pt jump shot from 19 ft,,20,5
44,1,5:32.0,,Defensive rebound by D. Cousins,20,5
45,1,5:20.0,,B. McLemore misses 2-pt jump shot from 20 ft,20,5
46,1,5:17.0,,Offensive rebound by A. Tolliver,20,5
47,1,5:08.0,,T. Lawson misses 3-pt jump shot from 24 ft (block by D. Wade),20,5
48,1,5:06.0,,Offensive rebound by T. Lawson,20,5
49,1,5:04.0,,T. Lawson makes 2-pt jump shot from 13 ft,20,7
50,1,4:42.0,M. Carter-Williams misses 3-pt jump shot from 25 ft,,20,7
51,1,4:41.0,,Defensive rebound by M. Barnes,20,7
52,1,4:36.0,,B. McLemore misses 2-pt jump shot from 6 ft (block by D. Wade),20,7
53,1,4:36.0,,Offensive rebound by Team,20,7
54,1,4:36.0,P. Zipser enters the game for D. Wade,,20,7
55,1,4:36.0,N. Mirotić enters the game for T. Gibson,,20,7
56,1,4:21.0,,D. Cousins misses 3-pt jump shot from 25 ft,20,7
57,1,4:20.0,Defensive rebound by P. Zipser,,20,7
58,1,4:16.0,Shooting foul by B. McLemore (drawn by M. Carter-Williams),,20,7
59,1,4:16.0,M. Carter-Williams makes free throw 1 of 2,,21,7
60,1,4:16.0,M. Carter-Williams makes free throw 2 of 2,,22,7
61,1,3:57.0,,M. Barnes misses 3-pt jump shot from 26 ft,22,7
62,1,3:56.0,Defensive rebound by M. Carter-Williams,,22,7
63,1,3:47.0,R. Lopez misses 2-pt jump shot from 18 ft,,22,7
64,1,3:46.0,,Defensive rebound by T. Lawson,22,7
65,1,3:38.0,,Turnover by T. Lawson (bad pass),22,7
66,1,3:38.0,R. Rondo enters the game for M. Carter-Williams,,22,7
67,1,3:38.0,,W. Cauley-Stein enters the game for B. McLemore,22,7
68,1,3:38.0,,M. Richardson enters the game for D. Cousins,22,7
69,1,3:19.0,Turnover by P. Zipser (bad pass; steal by A. Tolliver),,22,7
70,1,3:14.0,,Turnover by M. Richardson (step out of bounds),22,7
71,1,3:03.0,P. Zipser misses 3-pt jump shot from 24 ft,,22,7
72,1,3:02.0,,Defensive rebound by W. Cauley-Stein,22,7
73,1,2:47.0,,W. Cauley-Stein makes 2-pt layup from 4 ft (assist by T. Lawson),22,9
74,1,2:27.0,J. Grant makes 2-pt jump shot from 13 ft,,24,9
75,1,2:27.0,Shooting foul by M. Richardson (drawn by J. Grant),,24,9
76,1,2:27.0,J. Grant misses free throw 1 of 1,,24,9
77,1,2:23.0,Offensive rebound by R. Lopez,,24,9
78,1,2:23.0,R. Lopez makes 2-pt layup from 1 ft,,26,9
79,1,2:05.0,,Personal foul by R. Rondo (drawn by T. Lawson),26,9
80,1,2:05.0,B. Portis enters the game for J. Grant,,26,9
81,1,2:05.0,D. McDermott enters the game for R. Lopez,,26,9
82,1,1:59.0,,T. Lawson misses 3-pt jump shot from 26 ft,26,9
83,1,1:58.0,Defensive rebound by N. Mirotić,,26,9
84,1,1:44.0,B. Portis misses 2-pt jump shot from 16 ft,,26,9
85,1,1:41.0,,Defensive rebound by M. Barnes,26,9
86,1,1:28.0,,Turnover by M. Richardson (bad pass),26,9
87,1,1:19.0,Personal foul by M. Richardson (drawn by D. McDermott),,26,9
88,1,1:19.0,D. McDermott misses free throw 1 of 2,,26,9
89,1,1:19.0,Offensive rebound by Team,,26,9
90,1,1:19.0,D. McDermott makes free throw 2 of 2,,27,9
91,1,0:59.0,,M. Richardson misses 2-pt jump shot from 19 ft,27,9
92,1,0:57.0,Defensive rebound by R. Rondo,,27,9
93,1,0:50.0,R. Rondo misses 2-pt jump shot from 11 ft,,27,9
94,1,0:49.0,,Defensive rebound by M. Barnes,27,9
95,1,0:46.0,,Turnover by M. Barnes (bad pass; steal by P. Zipser),27,9
96,1,0:41.0,Turnover by D. McDermott (step out of bounds),,27,9
97,1,0:28.0,,W. Cauley-Stein makes 2-pt jump shot from 11 ft,27,11
98,1,0:28.0,,Shooting foul by B. Portis (drawn by W. Cauley-Stein),27,11
99,1,0:28.0,,W. Cauley-Stein misses free throw 1 of 1,27,11
100,1,0:28.0,Defensive rebound by N. Mirotić,,27,11
101,1,0:03.0,R. Rondo misses 3-pt jump shot from 26 ft,,27,11
102,1,0:02.0,,Defensive rebound by W. Cauley-Stein,27,11
103,1,0:00.0,,M. Richardson misses 3-pt jump shot from 65 ft,27,11
104,1,0:00.0,,Offensive rebound by Team,27,11
105,2,11:39.0,,M. Barnes makes 2-pt layup from 3 ft,27,13
106,2,11:32.0,N. Mirotić makes 3-pt jump shot from 26 ft (assist by R. Rondo),,30,13
107,2,11:12.0,,A. Tolliver makes 2-pt layup from 3 ft (assist by T. Lawson),30,15
108,2,11:02.0,R. Rondo makes 2-pt layup from 3 ft,,32,15
109,2,10:44.0,,Shooting foul by B. Portis (drawn by M. Richardson),32,15
110,2,10:44.0,,M. Richardson makes 2-pt jump shot from 8 ft (assist by W. Cauley-Stein),32,17
111,2,10:44.0,,M. Richardson makes free throw 1 of 1,32,18
112,2,10:26.0,R. Rondo makes 2-pt layup from 3 ft (assist by B. Portis),,34,18
113,2,10:11.0,,M. Richardson makes 2-pt dunk at rim (assist by T. Lawson),34,20
114,2,9:50.0,N. Mirotić misses 3-pt jump shot from 25 ft,,34,20
115,2,9:48.0,Offensive rebound by D. McDermott,,34,20
116,2,9:43.0,P. Zipser misses 3-pt jump shot from 24 ft,,34,20
117,2,9:42.0,,Defensive rebound by M. Barnes,34,20
118,2,9:37.0,,Turnover by M. Barnes (bad pass; steal by R. Rondo),34,20
119,2,9:31.0,Turnover by D. McDermott (back court),,34,20
120,2,9:20.0,,Turnover by A. Tolliver (bad pass; steal by R. Rondo),34,20
121,2,9:17.0,Personal foul by T. Lawson (drawn by R. Rondo),,34,20
122,2,9:07.0,N. Mirotić makes 3-pt jump shot from 24 ft (assist by R. Rondo),,37,20
123,2,8:53.0,,Shooting foul by D. McDermott (drawn by M. Richardson),37,20
124,2,8:53.0,Official timeout,,37,20
125,2,8:53.0,,M. Richardson makes free throw 1 of 2,37,21
126,2,8:53.0,,K. Koufos enters the game for W. Cauley-Stein,37,20
127,2,8:53.0,,M. Richardson makes free throw 2 of 2,37,22
128,2,8:41.0,N. Mirotić misses 3-pt jump shot from 24 ft,,37,22
129,2,8:40.0,,Defensive rebound by M. Barnes,37,22
130,2,8:21.0,,K. Koufos makes 2-pt hook shot from 9 ft,37,24
131,2,8:11.0,Shooting foul by M. Richardson (drawn by D. McDermott),,37,24
132,2,8:11.0,D. McDermott makes 2-pt jump shot from 18 ft (assist by R. Rondo),,39,24
133,2,8:11.0,D. McDermott misses free throw 1 of 1,,39,24
134,2,8:11.0,D. Wade enters the game for P. Zipser,,39,24
135,2,8:11.0,T. Gibson enters the game for B. Portis,,39,24
136,2,8:08.0,,Defensive rebound by M. Barnes,39,24
137,2,7:45.0,,M. Richardson misses 3-pt jump shot from 25 ft,39,24
138,2,7:44.0,,Offensive rebound by A. Tolliver,39,24
139,2,7:41.0,,M. Barnes makes 3-pt jump shot from 25 ft (assist by A. Tolliver),39,27
140,2,7:27.0,Shooting foul by K. Koufos (drawn by D. Wade),,39,27
141,2,7:27.0,D. Wade misses free throw 1 of 2,,39,27
142,2,7:27.0,Offensive rebound by Team,,39,27
143,2,7:27.0,M. Carter-Williams enters the game for D. McDermott,,39,27
144,2,7:27.0,,A. Afflalo enters the game for M. Richardson,39,27
145,2,7:27.0,D. Wade makes free throw 2 of 2,,40,27
146,2,7:12.0,,T. Lawson makes 2-pt layup from 3 ft,40,29
147,2,7:12.0,,Shooting foul by D. Wade (drawn by T. Lawson),40,29
148,2,7:12.0,,T. Lawson makes free throw 1 of 1,40,30
149,2,6:54.0,M. Carter-Williams misses 2-pt jump shot from 7 ft,,40,30
150,2,6:53.0,,Defensive rebound by T. Lawson,40,30
151,2,6:46.0,,Turnover by T. Lawson (lost ball; steal by R. Rondo),40,30
152,2,6:41.0,M. Carter-Williams makes 2-pt dunk at rim (assist by R. Rondo),,42,30
153,2,6:16.0,,K. Koufos makes 2-pt hook shot from 7 ft,42,32
154,2,6:02.0,T. Gibson makes 2-pt hook shot from 8 ft (assist by R. Rondo),,44,32
155,2,5:55.0,,Shooting foul by M. Carter-Williams (drawn by T. Lawson),44,32
156,2,5:55.0,,Sacramento full timeout,44,32
157,2,5:55.0,,T. Lawson makes free throw 1 of 2,44,33
158,2,5:55.0,,D. Cousins enters the game for M. Barnes,44,32
159,2,5:55.0,,D. Collison enters the game for A. Tolliver,44,32
160,2,5:55.0,,T. Lawson makes free throw 2 of 2,44,34
161,2,5:39.0,D. Wade makes 2-pt jump shot from 15 ft,,46,34
162,2,5:20.0,,K. Koufos makes 2-pt hook shot from 3 ft (assist by D. Collison),46,36
163,2,4:59.0,T. Gibson misses 2-pt jump shot from 5 ft (block by K. Koufos),,46,36
164,2,4:58.0,,Defensive rebound by D. Cousins,46,36
165,2,4:52.0,,T. Lawson misses 2-pt layup at rim (block by M. Carter-Williams),46,36
166,2,4:50.0,Defensive rebound by R. Rondo,,46,36
167,2,4:44.0,N. Mirotić misses 3-pt jump shot from 25 ft,,46,36
168,2,4:44.0,,Defensive rebound by K. Koufos,46,36
169,2,4:33.0,,K. Koufos makes 2-pt jump shot from 9 ft (assist by T. Lawson),46,38
170,2,4:33.0,Chicago full timeout,,46,38
171,2,4:33.0,R. Lopez enters the game for N. Mirotić,,46,38
172,2,4:33.0,J. Grant enters the game for R. Rondo,,46,38
173,2,4:13.0,M. Carter-Williams makes 3-pt jump shot from 25 ft (assist by J. Grant),,49,38
174,2,3:47.0,,Turnover by Team (shot clock),49,38
175,2,3:30.0,D. Wade makes 2-pt jump shot from 14 ft (assist by J. Grant),,51,38
176,2,3:14.0,,A. Afflalo makes 2-pt layup from 3 ft (assist by D. Cousins),51,40
177,2,2:58.0,Personal foul by A. Afflalo (drawn by D. Wade),,51,40
178,2,2:48.0,T. Gibson makes 2-pt dunk at rim (assist by R. Lopez),,53,40
179,2,2:30.0,,T. Lawson misses 2-pt jump shot from 5 ft,53,40
180,2,2:30.0,,Offensive rebound by D. Cousins,53,40
181,2,2:30.0,,Shooting foul by T. Gibson (drawn by D. Cousins),53,40
182,2,2:30.0,,D. Cousins makes free throw 1 of 2,53,41
183,2,2:30.0,,M. Barnes enters the game for A. Afflalo,53,41
184,2,2:30.0,,D. Cousins makes free throw 2 of 2,53,42
185,2,2:15.0,T. Gibson makes 2-pt dunk at rim (assist by D. Wade),,55,42
186,2,2:01.0,,D. Collison misses 2-pt jump shot from 17 ft,55,42
187,2,2:00.0,Defensive rebound by T. Gibson,,55,42
188,2,1:48.0,D. Wade misses 2-pt jump shot from 14 ft,,55,42
189,2,1:47.0,,Defensive rebound by D. Cousins,55,42
190,2,1:36.0,,M. Barnes makes 3-pt jump shot from 24 ft (assist by D. Cousins),55,45
191,2,1:11.0,M. Carter-Williams makes 2-pt jump shot from 8 ft (assist by R. Lopez),,57,45
192,2,0:56.0,,M. Barnes misses 2-pt jump shot from 7 ft,57,45
193,2,0:55.0,Defensive rebound by D. Wade,,57,45
194,2,0:45.0,Shooting foul by D. Collison (drawn by J. Grant),,57,45
195,2,0:45.0,J. Grant makes free throw 1 of 3,,58,45
196,2,0:45.0,J. Grant makes free throw 2 of 3,,59,45
197,2,0:45.0,P. Zipser enters the game for D. Wade,,59,45
198,2,0:45.0,J. Grant makes free throw 3 of 3,,60,45
199,2,0:26.0,,M. Barnes misses 2-pt layup from 4 ft,60,45
200,2,0:25.0,Defensive rebound by R. Lopez,,60,45
201,2,0:04.0,T. Gibson misses 3-pt jump shot from 23 ft,,60,45
202,2,0:02.0,Offensive rebound by R. Lopez,,60,45
203,2,0:02.0,R. Lopez misses 2-pt layup from 2 ft,,60,45
204,2,0:01.0,,Defensive rebound by M. Barnes,60,45
205,3,11:43.0,,D. Cousins misses 2-pt jump shot from 17 ft,60,45
206,3,11:42.0,Defensive rebound by M. Carter-Williams,,60,45
207,3,11:29.0,D. Wade makes 2-pt jump shot from 13 ft,,62,45
208,3,11:29.0,Shooting foul by A. Afflalo (drawn by D. Wade),,62,45
209,3,11:29.0,D. Wade misses free throw 1 of 1,,62,45
210,3,11:28.0,,Defensive rebound by D. Cousins,62,45
211,3,11:14.0,,Turnover by K. Koufos (bad pass),62,45
212,3,10:59.0,R. Lopez makes 2-pt hook shot from 7 ft,,64,45
213,3,10:51.0,,Turnover by B. McLemore (bad pass; steal by T. Gibson),64,45
214,3,10:48.0,T. Gibson makes 2-pt dunk at rim,,66,45
215,3,10:30.0,,Def 3 sec tech foul by R. Lopez,66,45
216,3,10:30.0,,D. Cousins makes technical free throw,66,46
217,3,10:16.0,,Turnover by Team (shot clock),66,46
218,3,10:07.0,M. Carter-Williams misses 2-pt jump shot from 10 ft (block by K. Koufos),,66,46
219,3,10:07.0,Offensive rebound by Team,,66,46
220,3,10:06.0,Turnover by J. Grant (bad pass; steal by D. Cousins),,66,46
221,3,10:01.0,,B. McLemore makes 2-pt dunk at rim (assist by D. Cousins),66,48
222,3,9:40.0,R. Lopez misses 2-pt hook shot from 10 ft,,66,48
223,3,9:39.0,,Defensive rebound by D. Cousins,66,48
224,3,9:21.0,,A. Afflalo misses 3-pt jump shot from 23 ft,66,48
225,3,9:21.0,,Offensive rebound by D. Cousins,66,48
226,3,9:21.0,,D. Cousins misses 2-pt layup from 1 ft,66,48
227,3,9:20.0,Defensive rebound by Team,,66,48
228,3,9:19.0,,Loose ball foul by D. Cousins (drawn by T. Gibson),66,48
229,3,9:05.0,Shooting foul by D. Collison (drawn by J. Grant),,66,48
230,3,9:05.0,J. Grant makes 3-pt jump shot from 23 ft (assist by M. Carter-Williams),,69,48
231,3,9:05.0,J. Grant misses free throw 1 of 1,,69,48
232,3,9:04.0,,Defensive rebound by K. Koufos,69,48
233,3,8:49.0,,A. Afflalo misses 3-pt jump shot from 25 ft,69,48
234,3,8:48.0,Defensive rebound by D. Wade,,69,48
235,3,8:39.0,D. Wade makes 2-pt jump shot from 17 ft,,71,48
236,3,8:23.0,,D. Collison misses 2-pt jump shot from 11 ft,71,48
237,3,8:22.0,Defensive rebound by R. Lopez,,71,48
238,3,8:04.0,T. Gibson misses 2-pt jump shot from 21 ft,,71,48
239,3,8:03.0,Offensive rebound by R. Lopez,,71,48
240,3,8:01.0,R. Lopez makes 2-pt hook shot from 8 ft,,73,48
241,3,7:53.0,,Sacramento full timeout,73,48
242,3,7:46.0,,Personal foul by T. Gibson (drawn by D. Cousins),73,48
243,3,7:37.0,,A. Afflalo makes 3-pt jump shot from 25 ft,73,51
244,3,7:24.0,Shooting foul by K. Koufos (drawn by R. Lopez),,73,51
245,3,7:24.0,R. Lopez makes free throw 1 of 2,,74,51
246,3,7:24.0,R. Lopez misses free throw 2 of 2,,74,51
247,3,7:22.0,,Defensive rebound by D. Cousins,74,51
248,3,7:06.0,,D. Cousins makes 2-pt dunk at rim,74,53
249,3,6:47.0,D. Wade makes 2-pt jump shot from 17 ft (assist by M. Carter-Williams),,76,53
250,3,6:33.0,,K. Koufos makes 2-pt jump shot from 10 ft (assist by B. McLemore),76,55
251,3,6:11.0,R. Lopez misses 2-pt hook shot from 11 ft,,76,55
252,3,6:10.0,,Defensive rebound by D. Cousins,76,55
253,3,6:01.0,,B. McLemore misses 3-pt jump shot from 24 ft,76,55
254,3,6:00.0,Defensive rebound by M. Carter-Williams,,76,55
255,3,5:53.0,Personal foul by K. Koufos (drawn by D. Wade),,76,55
256,3,5:53.0,D. Wade misses free throw 1 of 2,,76,55
257,3,5:53.0,Offensive rebound by Team,,76,55
258,3,5:53.0,,M. Barnes enters the game for A. Afflalo,76,55
259,3,5:53.0,,A. Tolliver enters the game for K. Koufos,76,55
260,3,5:53.0,N. Mirotić enters the game for T. Gibson,,76,55
261,3,5:53.0,D. Wade makes free throw 2 of 2,,77,55
262,3,5:36.0,,D. Cousins misses 3-pt jump shot from 25 ft,77,55
263,3,5:35.0,Defensive rebound by J. Grant,,77,55
264,3,5:25.0,D. Wade misses 2-pt jump shot from 12 ft,,77,55
265,3,5:24.0,,Defensive rebound by B. McLemore,77,55
266,3,5:13.0,,D. Collison misses 2-pt jump shot from 15 ft,77,55
267,3,5:12.0,Defensive rebound by M. Carter-Williams,,77,55
268,3,4:57.0,D. Wade makes 2-pt layup from 2 ft (assist by J. Grant),,79,55
269,3,4:36.0,,Offensive foul by D. Cousins (drawn by M. Carter-Williams),79,55
270,3,4:36.0,,Turnover by D. Cousins (offensive foul),79,55
271,3,4:36.0,P. Zipser enters the game for D. Wade,,79,55
272,3,4:36.0,,T. Lawson enters the game for B. McLemore,79,55
273,3,4:13.0,J. Grant makes 3-pt jump shot from 24 ft,,82,55
274,3,3:49.0,,D. Cousins makes 3-pt jump shot from 26 ft (assist by M. Barnes),82,58
275,3,3:26.0,N. Mirotić misses 2-pt jump shot from 20 ft,,82,58
276,3,3:25.0,Offensive rebound by J. Grant,,82,58
277,3,3:21.0,N. Mirotić misses 2-pt layup from 3 ft (block by D. Cousins),,82,58
278,3,3:20.0,,Defensive rebound by T. Lawson,82,58
279,3,3:16.0,,D. Collison makes 2-pt layup from 2 ft (assist by M. Barnes),82,60
280,3,3:16.0,Chicago full timeout,,82,60
281,3,3:16.0,T. Gibson enters the game for R. Lopez,,82,60
282,3,3:16.0,R. Rondo enters the game for M. Carter-Williams,,82,60
283,3,2:58.0,T. Gibson misses 2-pt jump shot from 18 ft,,82,60
284,3,2:57.0,,Defensive rebound by D. Collison,82,60
285,3,2:36.0,,T. Lawson makes 2-pt layup from 1 ft (assist by A. Tolliver),82,62
286,3,2:19.0,P. Zipser misses 2-pt jump shot from 19 ft,,82,62
287,3,2:19.0,,Defensive rebound by D. Cousins,82,62
288,3,2:07.0,,Shooting foul by P. Zipser (drawn by T. Lawson),82,62
289,3,2:07.0,,T. Lawson makes 2-pt layup from 3 ft,82,64
290,3,2:07.0,,T. Lawson makes free throw 1 of 1,82,65
291,3,1:56.0,Personal foul by T. Lawson (drawn by R. Rondo),,82,65
292,3,1:56.0,R. Rondo makes free throw 1 of 2,,83,65
293,3,1:56.0,R. Rondo misses free throw 2 of 2,,83,65
294,3,1:55.0,,Defensive rebound by D. Cousins,83,65
295,3,1:39.0,,D. Collison makes 2-pt layup from 1 ft,83,67
296,3,1:12.0,R. Rondo misses 2-pt jump shot from 10 ft,,83,67
297,3,1:08.0,,Defensive rebound by D. Cousins,83,67
298,3,0:59.0,,T. Lawson misses 2-pt jump shot from 14 ft,83,67
299,3,0:58.0,Defensive rebound by T. Gibson,,83,67
300,3,0:34.0,R. Rondo misses 3-pt jump shot from 25 ft,,83,67
301,3,0:33.0,,Defensive rebound by D. Cousins,83,67
302,3,0:28.0,,M. Barnes makes 2-pt layup from 1 ft (assist by T. Lawson),83,69
303,3,0:03.0,N. Mirotić misses 3-pt jump shot from 26 ft,,83,69
304,3,0:02.0,Offensive rebound by P. Zipser,,83,69
305,3,0:01.0,T. Gibson makes 2-pt layup from 3 ft (assist by P. Zipser),,85,69
306,4,12:00.0,Technical foul by T. Gibson,,85,69
307,4,12:00.0,D. McDermott misses technical free throw,,85,69
308,4,12:00.0,Defensive rebound by Team,,85,69
309,4,12:00.0,,Technical foul by M. Barnes,85,69
310,4,12:00.0,,Technical foul by D. Cousins,85,69
311,4,11:43.0,Turnover by N. Mirotić (lost ball; steal by D. Collison),,85,69
312,4,11:37.0,,D. Collison misses 2-pt layup from 3 ft,85,69
313,4,11:34.0,,Offensive rebound by A. Tolliver,85,69
314,4,11:34.0,,A. Tolliver makes 2-pt layup from 1 ft,85,71
315,4,11:28.0,Personal foul by D. Cousins (drawn by D. McDermott),,85,71
316,4,11:19.0,N. Mirotić makes 3-pt jump shot from 26 ft (assist by R. Rondo),,88,71
317,4,10:57.0,,D. Collison makes 3-pt jump shot from 25 ft (assist by D. Cousins),88,74
318,4,10:40.0,Shooting foul by M. Barnes (drawn by T. Gibson),,88,74
319,4,10:40.0,T. Gibson misses free throw 1 of 2,,88,74
320,4,10:40.0,Offensive rebound by Team,,88,74
321,4,10:40.0,T. Gibson makes free throw 2 of 2,,89,74
322,4,10:31.0,,Turnover by T. Lawson (bad pass; steal by R. Rondo),89,74
323,4,10:25.0,N. Mirotić misses 3-pt jump shot from 25 ft,,89,74
324,4,10:25.0,Offensive rebound by Team,,89,74
325,4,10:25.0,,Loose ball foul by D. Cousins (drawn by T. Gibson),89,74
326,4,10:06.0,T. Gibson misses 2-pt jump shot from 6 ft,,89,74
327,4,10:06.0,,Defensive rebound by Team,89,74
328,4,10:06.0,Loose ball foul by T. Gibson (drawn by D. Cousins),,89,74
329,4,9:53.0,,Personal block foul by T. Gibson (drawn by D. Cousins),89,74
