,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,INDIANA_ACTION,LA LAKERS_SCORE,INDIANA_SCORE
0,1,11:45.0,D. Russell makes 2-pt jump shot from 8 ft,,2,0
1,1,11:25.0,,Personal foul by D. Russell (drawn by J. Teague),2,0
2,1,11:14.0,,P. George misses 3-pt jump shot from 26 ft,2,0
3,1,11:13.0,Defensive rebound by J. Randle,,2,0
4,1,10:56.0,N. Young makes 2-pt jump shot from 21 ft,,4,0
5,1,10:33.0,,M. Turner misses 2-pt jump shot from 15 ft,4,0
6,1,10:32.0,Defensive rebound by T. Mozgov,,4,0
7,1,10:16.0,L. Deng misses 2-pt jump shot from 14 ft,,4,0
8,1,10:15.0,Offensive rebound by T. Mozgov,,4,0
9,1,10:08.0,D. Russell misses 2-pt jump shot from 16 ft,,4,0
10,1,10:07.0,,Defensive rebound by J. Teague,4,0
11,1,10:07.0,,Personal foul by D. Russell (drawn by J. Teague),4,0
12,1,10:07.0,J. Calderón enters the game for D. Russell,,4,0
13,1,10:00.0,,J. Teague misses 3-pt jump shot from 25 ft,4,0
14,1,10:00.0,Defensive rebound by J. Calderón,,4,0
15,1,9:49.0,Turnover by T. Mozgov (bad pass; steal by J. Teague),,4,0
16,1,9:40.0,,P. George makes 3-pt jump shot from 26 ft (assist by J. Teague),4,3
17,1,9:20.0,J. Randle misses 3-pt jump shot from 26 ft,,4,3
18,1,9:20.0,,Defensive rebound by J. Teague,4,3
19,1,9:07.0,,Shooting foul by N. Young (drawn by M. Turner),4,3
20,1,9:07.0,,M. Turner misses free throw 1 of 2,4,3
21,1,9:07.0,,Offensive rebound by Team,4,3
22,1,9:07.0,,M. Turner misses free throw 2 of 2,4,3
23,1,9:07.0,Defensive rebound by L. Deng,,4,3
24,1,8:53.0,N. Young misses 3-pt jump shot from 25 ft,,4,3
25,1,8:52.0,,Defensive rebound by Team,4,3
26,1,8:52.0,Loose ball foul by T. Mozgov (drawn by M. Turner),,4,3
27,1,8:38.0,,T. Young makes 3-pt jump shot from 27 ft (assist by M. Ellis),4,6
28,1,8:23.0,J. Calderón makes 2-pt jump shot from 20 ft,,6,6
29,1,8:06.0,,T. Young makes 2-pt layup from 2 ft (assist by M. Turner),6,8
30,1,7:56.0,Turnover by L. Deng (lost ball; steal by T. Young),,6,8
31,1,7:34.0,,Shooting block foul by J. Randle (drawn by P. George),6,8
32,1,7:34.0,,P. George makes free throw 1 of 2,6,9
33,1,7:34.0,,P. George makes free throw 2 of 2,6,10
34,1,7:17.0,Shooting foul by M. Ellis (drawn by J. Randle),,6,10
35,1,7:17.0,J. Randle makes 2-pt layup from 2 ft (assist by L. Deng),,8,10
36,1,7:17.0,J. Randle makes free throw 1 of 1,,9,10
37,1,6:58.0,,Turnover by M. Ellis (lost ball; steal by J. Calderón),9,10
