,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,DETROIT_ACTION,SACRAMENTO_SCORE,DETROIT_SCORE
0,1,11:46.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,0,0
1,1,11:46.0,Defensive rebound by D. Collison,,0,0
2,1,11:22.0,D. Cousins misses 2-pt jump shot from 17 ft,,0,0
3,1,11:21.0,Offensive rebound by G. Temple,,0,0
4,1,11:16.0,K. Koufos makes 2-pt layup at rim (assist by G. Temple),,2,0
5,1,10:59.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,2,0
6,1,10:59.0,Defensive rebound by D. Cousins,,2,0
7,1,10:40.0,G. Temple misses 2-pt jump shot from 10 ft,,2,0
8,1,10:40.0,,Defensive rebound by A. Drummond,2,0
9,1,10:32.0,,J. Leuer makes 3-pt jump shot from 25 ft (assist by R. Jackson),2,3
10,1,10:07.0,K. Koufos misses 2-pt jump shot from 5 ft,,2,3
11,1,10:07.0,,Defensive rebound by J. Leuer,2,3
12,1,10:02.0,,Shooting foul by G. Temple (drawn by K. Caldwell-Pope),2,3
13,1,10:02.0,,K. Caldwell-Pope makes free throw 1 of 2,2,4
14,1,10:02.0,,K. Caldwell-Pope makes free throw 2 of 2,2,5
15,1,9:44.0,A. Afflalo makes 3-pt jump shot from 24 ft (assist by D. Cousins),,5,5
16,1,9:27.0,,J. Leuer makes 3-pt jump shot from 26 ft (assist by R. Jackson),5,8
17,1,9:09.0,Turnover by D. Cousins (bad pass),,5,8
18,1,8:59.0,,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,5,8
19,1,8:59.0,Defensive rebound by K. Koufos,,5,8
20,1,8:47.0,Turnover by D. Collison (bad pass),,5,8
21,1,8:31.0,,M. Morris makes 2-pt jump shot from 12 ft (assist by R. Jackson),5,10
22,1,8:12.0,A. Afflalo makes 3-pt jump shot from 27 ft (assist by G. Temple),,8,10
23,1,7:55.0,,Turnover by J. Leuer (lost ball),8,10
24,1,7:36.0,K. Koufos makes 2-pt hook shot from 5 ft,,10,10
25,1,7:32.0,,Personal foul by D. Collison (drawn by R. Jackson),10,10
26,1,7:26.0,,A. Drummond misses 2-pt dunk at rim,10,10
27,1,7:25.0,Defensive rebound by K. Koufos,,10,10
28,1,7:20.0,K. Koufos makes 2-pt dunk at rim (assist by G. Temple),,12,10
29,1,7:17.0,,Detroit full timeout,12,10
30,1,7:07.0,,R. Jackson misses 2-pt layup at rim,12,10
31,1,7:06.0,Defensive rebound by K. Koufos,,12,10
32,1,7:00.0,A. Afflalo misses 3-pt jump shot from 26 ft,,12,10
33,1,6:59.0,,Defensive rebound by R. Jackson,12,10
34,1,6:48.0,,J. Leuer makes 3-pt jump shot from 24 ft (assist by R. Jackson),12,13
35,1,6:34.0,Turnover by K. Koufos (bad pass; steal by K. Caldwell-Pope),,12,13
36,1,6:32.0,,Shooting foul by K. Koufos (drawn by K. Caldwell-Pope),12,13
37,1,6:32.0,,K. Caldwell-Pope makes 2-pt layup from 1 ft,12,15
38,1,6:32.0,A. Tolliver enters the game for K. Koufos,,12,15
39,1,6:32.0,,K. Caldwell-Pope makes free throw 1 of 1,12,16
40,1,6:17.0,Turnover by D. Cousins (lost ball; steal by A. Drummond),,12,16
41,1,6:13.0,,J. Leuer makes 2-pt layup from 1 ft (assist by R. Jackson),12,18
42,1,6:01.0,Sacramento full timeout,,12,18
43,1,5:47.0,A. Tolliver makes 3-pt jump shot from 27 ft (assist by D. Collison),,15,18
44,1,5:31.0,,A. Drummond makes 2-pt dunk at rim (assist by J. Leuer),15,20
45,1,5:08.0,D. Collison makes 3-pt jump shot from 26 ft (assist by D. Cousins),,18,20
