,QUARTER,TIME_REMAINING,UTAH_ACTION,SAN ANTONIO_ACTION,UTAH_SCORE,SAN ANTONIO_SCORE
0,1,11:37.0,,P. Gasol makes 2-pt jump shot from 18 ft (assist by T. Parker),0,2
1,1,11:19.0,R. Hood misses 3-pt jump shot from 26 ft,,0,2
2,1,11:18.0,,Defensive rebound by K. Leonard,0,2
3,1,11:17.0,Loose ball foul by D. Favors (drawn by K. Leonard),,0,2
4,1,10:55.0,,K. Leonard makes 2-pt jump shot from 17 ft,0,4
5,1,10:40.0,R. Gobert makes 2-pt layup from 2 ft (assist by D. Favors),,2,4
6,1,10:23.0,,L. Aldridge misses 2-pt jump shot from 19 ft,2,4
7,1,10:22.0,Defensive rebound by R. Gobert,,2,4
8,1,10:08.0,G. Hill makes 3-pt jump shot from 23 ft (assist by D. Favors),,5,4
9,1,9:47.0,,P. Gasol misses 2-pt jump shot from 20 ft,5,4
10,1,9:46.0,Defensive rebound by J. Johnson,,5,4
11,1,9:38.0,J. Johnson misses 2-pt jump shot from 17 ft,,5,4
12,1,9:38.0,Offensive rebound by Team,,5,4
13,1,9:19.0,J. Johnson makes 3-pt jump shot from 25 ft (assist by G. Hill),,8,4
14,1,8:51.0,,J. Simmons misses 2-pt layup from 2 ft (block by D. Favors),8,4
15,1,8:48.0,Defensive rebound by R. Hood,,8,4
16,1,8:44.0,R. Hood misses 2-pt layup from 1 ft,,8,4
17,1,8:43.0,,Defensive rebound by K. Leonard,8,4
18,1,8:37.0,,K. Leonard makes 3-pt jump shot from 25 ft,8,7
19,1,8:13.0,D. Favors makes 2-pt jump shot from 19 ft (assist by G. Hill),,10,7
20,1,7:58.0,,L. Aldridge makes 2-pt jump shot from 17 ft (assist by T. Parker),10,9
21,1,7:43.0,Shooting foul by P. Gasol (drawn by R. Hood),,10,9
22,1,7:43.0,R. Hood makes free throw 1 of 2,,11,9
23,1,7:43.0,R. Hood makes free throw 2 of 2,,12,9
24,1,7:29.0,,T. Parker misses 2-pt jump shot from 20 ft,12,9
25,1,7:28.0,Defensive rebound by R. Gobert,,12,9
26,1,7:18.0,G. Hill makes 3-pt jump shot from 26 ft (assist by J. Johnson),,15,9
27,1,7:00.0,,K. Leonard makes 3-pt jump shot from 24 ft (assist by J. Simmons),15,12
28,1,6:42.0,R. Hood makes 2-pt jump shot from 16 ft (assist by D. Favors),,17,12
29,1,6:42.0,,San Antonio full timeout,17,12
30,1,6:20.0,,P. Gasol misses 2-pt jump shot from 16 ft,17,12
31,1,6:19.0,Defensive rebound by D. Favors,,17,12
32,1,6:04.0,D. Favors misses 2-pt jump shot from 15 ft,,17,12
33,1,6:02.0,,Defensive rebound by P. Gasol,17,12
34,1,5:49.0,,Personal foul by G. Hill (drawn by T. Parker),17,12
35,1,5:49.0,,M. Ginóbili enters the game for J. Simmons,17,12
36,1,5:36.0,,L. Aldridge makes 2-pt jump shot from 14 ft,17,14
37,1,5:11.0,D. Favors makes 2-pt jump shot from 16 ft (assist by J. Johnson),,19,14
38,1,4:53.0,,L. Aldridge misses 2-pt jump shot from 19 ft,19,14
39,1,4:52.0,Defensive rebound by R. Hood,,19,14
40,1,4:37.0,R. Hood makes 3-pt jump shot from 25 ft (assist by J. Johnson),,22,14
41,1,4:26.0,,P. Gasol makes 2-pt layup from 2 ft (assist by M. Ginóbili),22,16
