,QUARTER,TIME_REMAINING,MIAMI_ACTION,NEW ORLEANS_ACTION,MIAMI_SCORE,NEW ORLEANS_SCORE
0,1,11:44.0,,B. Hield misses 2-pt jump shot from 18 ft,0,0
1,1,11:42.0,Defensive rebound by G. Dragić,,0,0
2,1,11:28.0,J. Winslow makes 2-pt jump shot from 8 ft (assist by G. Dragić),,2,0
3,1,11:21.0,,Shooting foul by J. McRoberts (drawn by A. Davis),2,0
4,1,11:21.0,,A. Davis makes free throw 1 of 2,2,1
5,1,11:21.0,,A. Davis makes free throw 2 of 2,2,2
6,1,11:09.0,G. Dragić misses 2-pt jump shot from 12 ft,,2,2
7,1,11:09.0,,Defensive rebound by B. Hield,2,2
8,1,10:57.0,,A. Ajinça makes 2-pt jump shot from 13 ft (assist by J. Holiday),2,4
9,1,10:39.0,Turnover by J. McRoberts (bad pass; steal by B. Hield),,2,4
10,1,10:38.0,,Personal foul by J. Richardson (drawn by B. Hield),2,4
11,1,10:29.0,,A. Davis misses 2-pt jump shot from 21 ft,2,4
12,1,10:28.0,Defensive rebound by H. Whiteside,,2,4
13,1,10:10.0,J. Richardson misses 2-pt layup,,2,4
14,1,10:10.0,Offensive rebound by Team,,2,4
15,1,10:09.0,J. Richardson misses 3-pt jump shot,,2,4
16,1,10:07.0,,Defensive rebound by A. Davis,2,4
17,1,9:52.0,,J. Holiday misses 2-pt jump shot from 6 ft,2,4
18,1,9:52.0,Defensive rebound by G. Dragić,,2,4
19,1,9:52.0,Personal foul by J. Holiday (drawn by G. Dragić),,2,4
20,1,9:35.0,Turnover by J. McRoberts (bad pass),,2,4
21,1,9:20.0,,A. Davis makes 2-pt layup from 3 ft (assist by J. Holiday),2,6
22,1,9:10.0,G. Dragić makes 2-pt jump shot from 4 ft,,4,6
23,1,8:59.0,,J. Holiday makes 2-pt jump shot from 4 ft,4,8
24,1,8:44.0,J. McRoberts makes 3-pt jump shot from 26 ft,,7,8
25,1,8:33.0,,J. Holiday makes 2-pt jump shot from 3 ft,7,10
26,1,8:20.0,J. McRoberts misses 3-pt jump shot from 26 ft,,7,10
27,1,8:19.0,,Defensive rebound by D. Cunningham,7,10
28,1,8:09.0,,B. Hield misses 2-pt jump shot from 21 ft,7,10
29,1,8:08.0,Defensive rebound by J. Winslow,,7,10
30,1,7:57.0,J. Winslow misses 2-pt jump shot from 19 ft,,7,10
31,1,7:57.0,,Defensive rebound by B. Hield,7,10
32,1,7:48.0,,D. Cunningham misses 3-pt jump shot from 24 ft,7,10
33,1,7:47.0,Defensive rebound by H. Whiteside,,7,10
34,1,7:26.0,H. Whiteside misses 2-pt jump shot from 16 ft,,7,10
35,1,7:25.0,,Defensive rebound by D. Cunningham,7,10
36,1,7:10.0,,Turnover by J. Holiday (bad pass; steal by J. Richardson),7,10
37,1,7:09.0,G. Dragić makes 2-pt layup from 2 ft,,9,10
38,1,7:09.0,Shooting foul by J. Holiday (drawn by G. Dragić),,9,10
39,1,7:09.0,,T. Frazier enters the game for J. Holiday,9,10
40,1,7:09.0,G. Dragić makes free throw 1 of 1,,10,10
41,1,6:55.0,,A. Davis makes 2-pt dunk at rim (assist by B. Hield),10,12
42,1,6:41.0,J. Winslow misses 3-pt jump shot from 26 ft,,10,12
43,1,6:41.0,Offensive rebound by H. Whiteside,,10,12
44,1,6:34.0,H. Whiteside misses 2-pt jump shot from 4 ft (block by A. Davis),,10,12
45,1,6:32.0,,Defensive rebound by T. Frazier,10,12
46,1,6:28.0,,B. Hield misses 3-pt jump shot from 26 ft,10,12
47,1,6:27.0,Defensive rebound by J. Winslow,,10,12
48,1,6:24.0,G. Dragić makes 3-pt jump shot from 25 ft,,13,12
49,1,6:08.0,,B. Hield misses 2-pt jump shot from 5 ft,13,12
50,1,6:08.0,,Offensive rebound by A. Ajinça,13,12
51,1,6:08.0,,A. Ajinça misses 2-pt layup from 1 ft,13,12
52,1,6:06.0,Defensive rebound by J. Winslow,,13,12
53,1,6:01.0,G. Dragić makes 3-pt jump shot from 26 ft (assist by J. Winslow),,16,12
54,1,5:54.0,,New Orleans full timeout,16,12
55,1,5:54.0,,S. Hill enters the game for A. Ajinça,16,12
56,1,5:54.0,T. Johnson enters the game for J. Richardson,,16,12
57,1,5:38.0,,A. Davis misses 2-pt jump shot from 17 ft,16,12
58,1,5:37.0,Defensive rebound by J. McRoberts,,16,12
59,1,5:20.0,T. Johnson misses 2-pt jump shot from 5 ft,,16,12
60,1,5:20.0,,Defensive rebound by A. Davis,16,12
61,1,5:08.0,,B. Hield makes 3-pt jump shot from 28 ft,16,15
62,1,4:40.0,H. Whiteside misses 2-pt jump shot from 4 ft,,16,15
63,1,4:39.0,,Defensive rebound by A. Davis,16,15
64,1,4:23.0,,B. Hield misses 2-pt jump shot from 5 ft,16,15
65,1,4:23.0,,Offensive rebound by A. Davis,16,15
66,1,4:17.0,,D. Cunningham misses 3-pt jump shot from 27 ft,16,15
67,1,4:16.0,Defensive rebound by T. Johnson,,16,15
68,1,4:07.0,T. Johnson makes 3-pt jump shot from 25 ft (assist by J. McRoberts),,19,15
69,1,3:57.0,,Personal foul by T. Johnson (drawn by T. Frazier),19,15
70,1,3:57.0,J. Johnson enters the game for J. McRoberts,,19,15
71,1,3:57.0,,L. Galloway enters the game for B. Hield,19,15
72,1,3:51.0,,T. Frazier makes 2-pt jump shot from 17 ft,19,17
73,1,3:27.0,J. Johnson misses 2-pt jump shot from 6 ft (block by D. Cunningham),,19,17
74,1,3:26.0,Offensive rebound by H. Whiteside,,19,17
75,1,3:26.0,Personal foul by D. Cunningham (drawn by H. Whiteside),,19,17
76,1,3:15.0,T. Johnson misses 2-pt jump shot from 16 ft,,19,17
77,1,3:14.0,,Defensive rebound by A. Davis,19,17
78,1,3:06.0,,S. Hill misses 3-pt jump shot from 23 ft,19,17
79,1,3:06.0,Defensive rebound by J. Winslow,,19,17
80,1,2:58.0,Personal foul by L. Galloway (drawn by G. Dragić),,19,17
81,1,2:58.0,Miami full timeout,,19,17
82,1,2:58.0,,E. Moore enters the game for D. Cunningham,19,17
83,1,2:43.0,J. Johnson makes 2-pt layup from 3 ft (assist by H. Whiteside),,21,17
84,1,2:29.0,,T. Frazier misses 2-pt jump shot from 4 ft,21,17
85,1,2:28.0,Defensive rebound by H. Whiteside,,21,17
86,1,2:13.0,J. Johnson misses 2-pt jump shot from 4 ft (block by A. Davis),,21,17
87,1,2:11.0,,Defensive rebound by A. Davis,21,17
88,1,2:11.0,,E. Moore makes 2-pt jump shot from 4 ft,21,19
89,1,2:11.0,,Shooting foul by G. Dragić (drawn by E. Moore),21,19
90,1,2:11.0,,E. Moore misses free throw 1 of 1,21,19
91,1,2:11.0,J. Richardson enters the game for H. Whiteside,,21,19
92,1,2:11.0,W. Reed enters the game for J. Winslow,,21,19
93,1,2:08.0,Defensive rebound by J. Johnson,,21,19
94,1,1:53.0,G. Dragić misses 2-pt jump shot from 21 ft,,21,19
95,1,1:53.0,,Defensive rebound by E. Moore,21,19
