,QUARTER,TIME_REMAINING,ORLANDO_ACTION,PORTLAND_ACTION,ORLANDO_SCORE,PORTLAND_SCORE
0,1,11:42.0,N. Vučević makes 2-pt hook shot from 4 ft (assist by E. Payton),,2,0
1,1,11:23.0,,M. Plumlee misses 2-pt jump shot from 15 ft,2,0
2,1,11:23.0,Defensive rebound by A. Gordon,,2,0
3,1,11:08.0,N. Vučević makes 2-pt jump shot from 12 ft,,4,0
4,1,10:54.0,,C. McCollum misses 2-pt layup from 2 ft,4,0
5,1,10:53.0,,Offensive rebound by Team,4,0
6,1,10:52.0,,Shooting foul by S. Ibaka (drawn by A. Aminu),4,0
7,1,10:52.0,,A. Aminu misses free throw 1 of 2,4,0
8,1,10:52.0,,Offensive rebound by Team,4,0
9,1,10:52.0,Violation by N. Vučević (lane),,4,0
10,1,10:52.0,,A. Aminu makes free throw 2 of 2,4,1
11,1,10:29.0,A. Gordon makes 2-pt layup from 1 ft,,6,1
12,1,10:15.0,,M. Plumlee misses 2-pt hook shot at rim,6,1
13,1,10:13.0,,Offensive rebound by A. Aminu,6,1
14,1,10:13.0,,A. Aminu misses 2-pt layup at rim,6,1
15,1,10:11.0,Defensive rebound by S. Ibaka,,6,1
16,1,10:02.0,E. Fournier makes 2-pt jump shot from 13 ft (assist by N. Vučević),,8,1
17,1,9:42.0,,C. McCollum misses 2-pt layup from 1 ft,8,1
18,1,9:40.0,Defensive rebound by S. Ibaka,,8,1
19,1,9:26.0,E. Payton makes 2-pt jump shot from 21 ft,,10,1
20,1,9:06.0,,A. Aminu misses 2-pt layup from 1 ft,10,1
21,1,9:05.0,Defensive rebound by N. Vučević,,10,1
22,1,8:54.0,N. Vučević makes 2-pt hook shot from 8 ft,,12,1
23,1,8:54.0,,Portland full timeout,12,1
24,1,8:47.0,,A. Crabbe misses 3-pt jump shot from 23 ft,12,1
25,1,8:47.0,Defensive rebound by S. Ibaka,,12,1
26,1,8:39.0,E. Payton makes 2-pt layup from 1 ft,,14,1
27,1,8:20.0,,A. Aminu misses 3-pt jump shot from 26 ft,14,1
28,1,8:20.0,Defensive rebound by A. Gordon,,14,1
29,1,8:05.0,S. Ibaka makes 2-pt hook shot at rim,,16,1
30,1,7:54.0,,Personal foul by E. Payton (drawn by D. Lillard),16,1
31,1,7:45.0,,D. Lillard misses 2-pt jump shot from 14 ft,16,1
32,1,7:45.0,Defensive rebound by N. Vučević,,16,1
33,1,7:29.0,Shooting foul by C. McCollum (drawn by N. Vučević),,16,1
34,1,7:29.0,N. Vučević makes free throw 1 of 2,,17,1
35,1,7:29.0,N. Vučević makes free throw 2 of 2,,18,1
36,1,7:18.0,,D. Lillard makes 2-pt layup from 1 ft,18,3
37,1,7:01.0,A. Gordon makes 2-pt layup from 2 ft,,20,3
38,1,6:40.0,,A. Crabbe makes 3-pt jump shot from 26 ft (assist by A. Aminu),20,6
39,1,6:19.0,N. Vučević misses 2-pt jump shot from 12 ft,,20,6
40,1,6:18.0,,Defensive rebound by A. Crabbe,20,6
41,1,6:13.0,,Shooting foul by S. Ibaka (drawn by D. Lillard),20,6
42,1,6:13.0,,D. Lillard makes free throw 1 of 2,20,7
43,1,6:13.0,J. Green enters the game for S. Ibaka,,20,7
44,1,6:13.0,,D. Lillard makes free throw 2 of 2,20,8
45,1,6:03.0,E. Payton misses 2-pt jump shot from 19 ft,,20,8
46,1,6:02.0,,Defensive rebound by A. Crabbe,20,8
47,1,5:55.0,,D. Lillard makes 2-pt layup from 1 ft,20,10
48,1,5:55.0,,Shooting foul by E. Payton (drawn by D. Lillard),20,10
49,1,5:55.0,,D. Lillard makes free throw 1 of 1,20,11
50,1,5:43.0,Turnover by J. Green (bad pass; steal by A. Crabbe),,20,11
51,1,5:35.0,,C. McCollum misses 2-pt jump shot from 21 ft,20,11
52,1,5:32.0,Defensive rebound by A. Gordon,,20,11
53,1,5:24.0,N. Vučević misses 2-pt hook shot from 9 ft,,20,11
54,1,5:22.0,,Defensive rebound by A. Aminu,20,11
55,1,5:16.0,,A. Aminu misses 2-pt layup from 1 ft (block by N. Vučević),20,11
56,1,5:15.0,,Offensive rebound by M. Plumlee,20,11
57,1,5:05.0,,A. Crabbe misses 2-pt jump shot from 4 ft,20,11
58,1,5:03.0,Defensive rebound by N. Vučević,,20,11
59,1,5:00.0,E. Payton makes 2-pt layup from 1 ft,,22,11
60,1,4:44.0,,D. Lillard makes 2-pt layup from 1 ft (assist by M. Plumlee),22,13
61,1,4:26.0,E. Fournier makes 2-pt jump shot from 14 ft (assist by E. Payton),,24,13
62,1,4:12.0,,D. Lillard makes 2-pt layup from 2 ft (assist by M. Plumlee),24,15
63,1,4:12.0,Orlando full timeout,,24,15
64,1,4:12.0,,E. Turner enters the game for C. McCollum,24,15
65,1,4:12.0,D. Augustin enters the game for E. Payton,,24,15
66,1,4:01.0,E. Fournier misses 3-pt jump shot from 23 ft,,24,15
67,1,4:00.0,,Defensive rebound by D. Lillard,24,15
68,1,3:51.0,,D. Lillard misses 3-pt jump shot from 26 ft,24,15
69,1,3:51.0,Defensive rebound by N. Vučević,,24,15
