,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,NEW ORLEANS_ACTION,MILWAUKEE_SCORE,NEW ORLEANS_SCORE
0,1,11:48.0,Turnover by M. Plumlee (lost ball; steal by A. Davis),,0,0
1,1,11:26.0,,T. Frazier makes 2-pt jump shot from 23 ft,0,2
2,1,11:10.0,J. Parker misses 2-pt jump shot from 18 ft,,0,2
3,1,11:10.0,,Defensive rebound by A. Davis,0,2
4,1,10:51.0,,S. Hill makes 3-pt jump shot from 25 ft (assist by E. Moore),0,5
5,1,10:39.0,T. Snell makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,3,5
6,1,10:17.0,,E. Moore misses 3-pt jump shot from 25 ft,3,5
7,1,10:16.0,Defensive rebound by G. Antetokounmpo,,3,5
8,1,10:05.0,Shooting foul by D. Cunningham (drawn by M. Plumlee),,3,5
9,1,10:05.0,M. Plumlee makes free throw 1 of 2,,4,5
10,1,10:05.0,M. Plumlee makes free throw 2 of 2,,5,5
11,1,9:41.0,,A. Davis misses 2-pt jump shot from 18 ft,5,5
12,1,9:40.0,Defensive rebound by T. Snell,,5,5
13,1,9:30.0,M. Plumlee misses 2-pt hook shot from 7 ft,,5,5
14,1,9:30.0,Offensive rebound by Team,,5,5
15,1,9:29.0,Turnover by G. Antetokounmpo (bad pass; steal by A. Davis),,5,5
16,1,9:22.0,,Shooting foul by M. Plumlee (drawn by A. Davis),5,5
17,1,9:22.0,,A. Davis makes free throw 1 of 2,5,6
18,1,9:22.0,,A. Davis makes free throw 2 of 2,5,7
19,1,9:05.0,Turnover by J. Parker (lost ball; steal by S. Hill),,5,7
20,1,8:52.0,,D. Cunningham misses 2-pt jump shot from 8 ft,5,7
21,1,8:51.0,Defensive rebound by M. Plumlee,,5,7
22,1,8:36.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,7,7
23,1,8:23.0,,E. Moore misses 2-pt jump shot from 10 ft,7,7
24,1,8:22.0,Defensive rebound by T. Snell,,7,7
25,1,8:09.0,M. Dellavedova misses 2-pt layup from 3 ft (block by A. Davis),,7,7
26,1,8:07.0,,Defensive rebound by A. Davis,7,7
27,1,8:06.0,,A. Davis makes 2-pt layup from 2 ft,7,9
28,1,8:06.0,,Shooting foul by T. Snell (drawn by A. Davis),7,9
29,1,8:06.0,,A. Davis makes free throw 1 of 1,7,10
30,1,7:53.0,G. Antetokounmpo misses 3-pt jump shot from 26 ft,,7,10
31,1,7:52.0,,Defensive rebound by T. Frazier,7,10
32,1,7:42.0,,D. Cunningham misses 2-pt dunk at rim (block by M. Plumlee),7,10
33,1,7:39.0,,Offensive rebound by D. Cunningham,7,10
34,1,7:38.0,,S. Hill makes 3-pt jump shot from 26 ft (assist by D. Cunningham),7,13
35,1,7:24.0,J. Parker makes 2-pt dunk at rim (assist by G. Antetokounmpo),,9,13
36,1,7:10.0,,Def 3 sec tech foul by T. Snell,9,13
37,1,7:10.0,,A. Davis makes technical free throw,9,14
38,1,7:10.0,M. Teletović enters the game for G. Antetokounmpo,,9,14
39,1,7:03.0,,E. Moore makes 3-pt jump shot from 25 ft (assist by S. Hill),9,17
40,1,7:01.0,Milwaukee full timeout,,9,17
41,1,7:00.0,G. Monroe enters the game for M. Plumlee,,9,17
42,1,6:51.0,T. Snell makes 2-pt dunk at rim,,11,17
43,1,6:33.0,,A. Davis misses 2-pt jump shot from 19 ft,11,17
44,1,6:32.0,Defensive rebound by M. Dellavedova,,11,17
45,1,6:15.0,M. Teletović misses 3-pt jump shot from 25 ft,,11,17
46,1,6:14.0,,Defensive rebound by S. Hill,11,17
47,1,6:02.0,,D. Cunningham makes 3-pt jump shot from 24 ft (assist by A. Davis),11,20
48,1,5:44.0,J. Parker makes 2-pt layup from 2 ft (assist by G. Monroe),,13,20
49,1,5:25.0,,E. Moore misses 3-pt jump shot from 25 ft,13,20
50,1,5:24.0,Defensive rebound by G. Monroe,,13,20
51,1,5:17.0,T. Snell misses 3-pt jump shot from 28 ft,,13,20
52,1,5:15.0,Offensive rebound by T. Snell,,13,20
53,1,5:10.0,T. Snell makes 2-pt jump shot from 22 ft,,15,20
54,1,4:54.0,,T. Frazier misses 2-pt jump shot from 20 ft,15,20
55,1,4:53.0,Defensive rebound by M. Dellavedova,,15,20
56,1,4:34.0,G. Monroe makes 2-pt hook shot from 6 ft,,17,20
57,1,4:31.0,,New Orleans full timeout,17,20
58,1,4:31.0,M. Brogdon enters the game for T. Snell,,17,20
