,QUARTER,TIME_REMAINING,INDIANA_ACTION,NEW ORLEANS_ACTION,INDIANA_SCORE,NEW ORLEANS_SCORE
0,1,11:45.0,,A. Davis makes 2-pt dunk at rim (assist by J. Holiday),0,2
1,1,11:23.0,G. Robinson misses 3-pt jump shot from 25 ft,,0,2
2,1,11:21.0,Offensive rebound by T. Young,,0,2
3,1,11:15.0,Turnover by P. George (lost ball),,0,2
4,1,11:00.0,,A. Ajinça makes 2-pt layup from 3 ft (assist by J. Holiday),0,4
5,1,10:43.0,M. Turner makes 2-pt jump shot from 8 ft,,2,4
6,1,10:31.0,,B. Hield makes 2-pt jump shot from 21 ft (assist by A. Ajinça),2,6
7,1,10:08.0,G. Robinson misses 3-pt jump shot from 24 ft,,2,6
8,1,10:08.0,,Defensive rebound by J. Holiday,2,6
9,1,10:06.0,,Turnover by J. Holiday (bad pass),2,6
10,1,9:52.0,T. Young makes 2-pt layup from 3 ft (assist by P. George),,4,6
11,1,9:38.0,,A. Davis misses 2-pt jump shot from 17 ft,4,6
12,1,9:37.0,Defensive rebound by G. Robinson,,4,6
13,1,9:25.0,Shooting foul by B. Hield (drawn by J. Teague),,4,6
14,1,9:25.0,J. Teague makes free throw 1 of 3,,5,6
15,1,9:25.0,J. Teague makes free throw 2 of 3,,6,6
16,1,9:25.0,J. Teague makes free throw 3 of 3,,7,6
17,1,8:58.0,,J. Holiday makes 2-pt jump shot from 4 ft,7,8
18,1,8:49.0,P. George misses 2-pt jump shot from 11 ft,,7,8
19,1,8:48.0,,Defensive rebound by J. Holiday,7,8
20,1,8:35.0,,B. Hield makes 2-pt jump shot from 17 ft (assist by J. Holiday),7,10
21,1,8:15.0,T. Young misses 3-pt jump shot from 24 ft,,7,10
22,1,8:15.0,,Defensive rebound by B. Hield,7,10
23,1,8:00.0,,A. Davis misses 2-pt jump shot from 7 ft,7,10
24,1,8:00.0,Defensive rebound by P. George,,7,10
25,1,7:45.0,J. Teague misses 2-pt jump shot from 15 ft,,7,10
26,1,7:44.0,,Defensive rebound by A. Ajinça,7,10
27,1,7:35.0,,A. Davis makes 2-pt jump shot from 20 ft (assist by J. Holiday),7,12
28,1,7:19.0,M. Turner misses 2-pt jump shot from 20 ft,,7,12
29,1,7:19.0,,Defensive rebound by A. Davis,7,12
30,1,7:09.0,,J. Holiday makes 2-pt jump shot from 7 ft,7,14
31,1,6:51.0,P. George makes 2-pt jump shot from 15 ft,,9,14
32,1,6:38.0,,S. Hill makes 3-pt jump shot from 24 ft (assist by B. Hield),9,17
33,1,6:22.0,M. Turner makes 2-pt layup from 2 ft (assist by T. Young),,11,17
34,1,6:22.0,Shooting foul by A. Ajinça (drawn by M. Turner),,11,17
35,1,6:22.0,M. Turner makes free throw 1 of 1,,12,17
36,1,6:06.0,,A. Davis makes 2-pt layup from 2 ft,12,19
37,1,5:56.0,Turnover by T. Young (lost ball; steal by A. Ajinça),,12,19
38,1,5:54.0,,Turnover by B. Hield (discontinued dribble),12,19
39,1,5:54.0,,New Orleans full timeout,12,19
40,1,5:54.0,A. Jefferson enters the game for M. Turner,,12,19
41,1,5:54.0,C. Miles enters the game for G. Robinson,,12,19
42,1,5:37.0,Turnover by P. George (bad pass),,12,19
43,1,5:25.0,,B. Hield misses 3-pt jump shot from 26 ft,12,19
44,1,5:24.0,Defensive rebound by J. Teague,,12,19
45,1,5:16.0,J. Teague misses 3-pt jump shot from 26 ft,,12,19
46,1,5:16.0,,Defensive rebound by A. Ajinça,12,19
47,1,5:05.0,,Turnover by A. Ajinça (lost ball; steal by T. Young),12,19
48,1,4:58.0,J. Teague makes 2-pt layup from 3 ft,,14,19
49,1,4:42.0,Offensive charge foul by A. Davis (drawn by C. Miles),,14,19
50,1,4:42.0,,Turnover by A. Davis (offensive foul),14,19
51,1,4:26.0,T. Young makes 2-pt layup from 2 ft (assist by J. Teague),,16,19
52,1,4:15.0,,A. Davis misses 2-pt jump shot from 18 ft,16,19
53,1,4:13.0,Defensive rebound by A. Jefferson,,16,19
54,1,4:00.0,A. Jefferson misses 2-pt layup from 2 ft,,16,19
55,1,3:59.0,,Defensive rebound by A. Davis,16,19
56,1,3:53.0,,J. Holiday makes 2-pt layup from 1 ft,16,21
57,1,3:42.0,J. Teague misses 2-pt jump shot from 9 ft,,16,21
58,1,3:38.0,Offensive rebound by A. Jefferson,,16,21
59,1,3:38.0,A. Jefferson misses 2-pt layup from 2 ft (block by A. Ajinça),,16,21
60,1,3:36.0,,Defensive rebound by A. Ajinça,16,21
61,1,3:17.0,,A. Davis misses 2-pt layup from 3 ft (block by A. Jefferson),16,21
62,1,3:17.0,,Offensive rebound by Team,16,21
63,1,3:17.0,,Ö. Aşık enters the game for A. Ajinça,16,21
64,1,3:13.0,,B. Hield misses 2-pt jump shot from 19 ft,16,21
65,1,3:13.0,Defensive rebound by P. George,,16,21
66,1,3:04.0,P. George misses 2-pt jump shot from 13 ft,,16,21
67,1,2:51.0,,Defensive rebound by A. Davis,16,21
68,1,2:51.0,,Turnover by S. Hill (bad pass; steal by P. George),16,21
69,1,2:39.0,T. Young misses 2-pt layup from 2 ft,,16,21
70,1,2:35.0,,Defensive rebound by A. Davis,16,21
71,1,2:30.0,,J. Holiday misses 2-pt layup from 2 ft,16,21
72,1,2:28.0,,Offensive rebound by J. Holiday,16,21
73,1,2:28.0,,J. Holiday misses 2-pt layup from 2 ft,16,21
74,1,2:26.0,,Offensive rebound by Ö. Aşık,16,21
75,1,2:26.0,,Ö. Aşık misses 2-pt layup from 2 ft,16,21
76,1,2:24.0,Defensive rebound by P. George,,16,21
77,1,2:21.0,Indiana full timeout,,16,21
78,1,2:21.0,,T. Evans enters the game for B. Hield,16,21
79,1,2:21.0,,L. Galloway enters the game for J. Holiday,16,21
80,1,2:16.0,A. Brooks enters the game for P. George,,16,21
81,1,2:16.0,L. Allen enters the game for T. Young,,16,21
82,1,2:16.0,G. Robinson enters the game for J. Teague,,16,21
83,1,1:56.0,G. Robinson misses 2-pt jump shot from 19 ft,,16,21
84,1,1:56.0,,Defensive rebound by T. Evans,16,21
85,1,1:47.0,,L. Galloway misses 2-pt jump shot from 18 ft,16,21
86,1,1:46.0,Defensive rebound by G. Robinson,,16,21
87,1,1:30.0,A. Jefferson misses 2-pt hook shot from 4 ft,,16,21
88,1,1:28.0,Offensive rebound by G. Robinson,,16,21
89,1,1:24.0,Shooting foul by T. Evans (drawn by C. Miles),,16,21
90,1,1:24.0,C. Miles makes free throw 1 of 2,,17,21
91,1,1:24.0,,E. Moore enters the game for S. Hill,17,21
92,1,1:24.0,,T. Jones enters the game for A. Davis,17,21
93,1,1:24.0,C. Miles makes free throw 2 of 2,,18,21
94,1,1:07.0,,Shooting foul by G. Robinson (drawn by T. Jones),18,21
95,1,1:07.0,,T. Jones makes free throw 1 of 2,18,22
96,1,1:07.0,,T. Jones misses free throw 2 of 2,18,22
97,1,1:06.0,Defensive rebound by A. Jefferson,,18,22
98,1,0:48.0,A. Jefferson makes 2-pt dunk at rim (assist by A. Brooks),,20,22
99,1,0:34.0,,T. Jones misses 2-pt hook shot from 6 ft,20,22
100,1,0:31.0,Defensive rebound by C. Miles,,20,22
101,1,0:27.0,A. Brooks misses 3-pt jump shot from 25 ft,,20,22
102,1,0:27.0,,Defensive rebound by Ö. Aşık,20,22
103,1,0:17.0,,Shooting foul by A. Jefferson (drawn by T. Evans),20,22
104,1,0:17.0,,T. Evans makes free throw 1 of 2,20,23
105,1,0:17.0,,T. Evans makes free throw 2 of 2,20,24
106,1,0:00.0,A. Brooks misses 2-pt jump shot from 5 ft,,20,24
107,1,0:00.0,,Defensive rebound by T. Jones,20,24
108,2,11:47.0,C. Miles misses 2-pt jump shot from 17 ft,,20,24
109,2,11:47.0,,Defensive rebound by Ö. Aşık,20,24
110,2,11:26.0,,Turnover by T. Evans (bad pass; steal by C. Miles),20,24
111,2,11:19.0,G. Robinson makes 2-pt jump shot from 20 ft (assist by A. Brooks),,22,24
112,2,11:03.0,,E. Moore misses 3-pt jump shot from 25 ft,22,24
113,2,11:03.0,Defensive rebound by L. Allen,,22,24
114,2,10:46.0,L. Allen makes 2-pt jump shot from 13 ft (assist by A. Brooks),,24,24
115,2,10:29.0,,L. Galloway misses 2-pt jump shot from 19 ft,24,24
116,2,10:28.0,Defensive rebound by A. Jefferson,,24,24
117,2,10:20.0,C. Miles misses 3-pt jump shot from 26 ft,,24,24
118,2,10:19.0,,Defensive rebound by T. Jones,24,24
119,2,9:59.0,,T. Jones makes 2-pt hook shot from 5 ft,24,26
120,2,9:37.0,A. Jefferson makes 2-pt jump shot from 11 ft (assist by A. Brooks),,26,26
121,2,9:25.0,,L. Galloway misses 3-pt jump shot from 24 ft,26,26
122,2,9:24.0,Defensive rebound by L. Allen,,26,26
123,2,9:11.0,C. Miles misses 2-pt jump shot from 21 ft,,26,26
124,2,9:11.0,,Defensive rebound by Ö. Aşık,26,26
125,2,9:04.0,,Turnover by E. Moore (lost ball),26,26
126,2,8:47.0,Shooting foul by Ö. Aşık (drawn by A. Jefferson),,26,26
127,2,8:47.0,Official timeout,,26,26
128,2,8:47.0,A. Jefferson makes free throw 1 of 2,,27,26
129,2,8:47.0,,A. Davis enters the game for Ö. Aşık,26,26
130,2,8:47.0,,J. Holiday enters the game for T. Evans,26,26
131,2,8:47.0,A. Jefferson makes free throw 2 of 2,,28,26
132,2,8:35.0,,J. Holiday makes 2-pt jump shot from 13 ft,28,28
133,2,8:15.0,A. Jefferson misses 2-pt jump shot from 6 ft (block by A. Davis),,28,28
134,2,8:14.0,Offensive rebound by A. Jefferson,,28,28
135,2,8:10.0,A. Jefferson misses 2-pt jump shot from 6 ft,,28,28
136,2,8:10.0,,Defensive rebound by A. Davis,28,28
137,2,7:58.0,,A. Davis misses 2-pt jump shot from 15 ft,28,28
138,2,7:57.0,Defensive rebound by A. Brooks,,28,28
139,2,7:49.0,L. Allen misses 2-pt jump shot from 22 ft,,28,28
140,2,7:48.0,,Defensive rebound by Team,28,28
141,2,7:32.0,,L. Galloway makes 3-pt jump shot from 25 ft (assist by J. Holiday),28,31
142,2,7:20.0,Turnover by A. Brooks (lost ball; steal by L. Galloway),,28,31
143,2,7:15.0,,A. Davis makes 2-pt dunk at rim (assist by E. Moore),28,33
144,2,7:10.0,Indiana full timeout,,28,33
145,2,7:10.0,M. Turner enters the game for A. Jefferson,,28,33
146,2,7:10.0,J. Teague enters the game for L. Allen,,28,33
147,2,7:10.0,P. George enters the game for A. Brooks,,28,33
148,2,6:56.0,P. George makes 2-pt layup from 3 ft (assist by J. Teague),,30,33
149,2,6:37.0,,T. Jones misses 2-pt hook shot from 6 ft,30,33
150,2,6:35.0,Defensive rebound by M. Turner,,30,33
151,2,6:25.0,C. Miles makes 3-pt jump shot from 26 ft (assist by J. Teague),,33,33
152,2,6:10.0,,L. Galloway misses 3-pt jump shot from 25 ft,33,33
153,2,6:09.0,Defensive rebound by M. Turner,,33,33
154,2,5:53.0,M. Turner makes 2-pt dunk at rim,,35,33
155,2,5:45.0,,A. Davis makes 2-pt dunk at rim (assist by J. Holiday),35,35
156,2,5:45.0,,Shooting foul by M. Turner (drawn by A. Davis),35,35
157,2,5:45.0,,A. Davis misses free throw 1 of 1,35,35
158,2,5:45.0,T. Young enters the game for C. Miles,,35,35
159,2,5:45.0,,B. Hield enters the game for E. Moore,35,35
160,2,5:45.0,,S. Hill enters the game for T. Jones,35,35
161,2,5:43.0,Defensive rebound by T. Young,,35,35
162,2,5:24.0,Shooting foul by A. Davis (drawn by M. Turner),,35,35
163,2,5:24.0,M. Turner misses free throw 1 of 2,,35,35
164,2,5:24.0,Offensive rebound by Team,,35,35
165,2,5:24.0,M. Turner makes free throw 2 of 2,,36,35
166,2,5:10.0,,J. Holiday misses 2-pt jump shot from 17 ft,36,35
167,2,5:09.0,Defensive rebound by G. Robinson,,36,35
168,2,4:55.0,J. Teague makes 2-pt jump shot from 8 ft,,38,35
169,2,4:49.0,,Personal foul by P. George (drawn by J. Holiday),38,35
170,2,4:49.0,Technical foul by P. George,,38,35
171,2,4:49.0,,A. Davis makes technical free throw,38,36
172,2,4:31.0,,B. Hield misses 2-pt layup from 2 ft,38,36
173,2,4:28.0,,Offensive rebound by A. Davis,38,36
174,2,4:28.0,,A. Davis misses 2-pt layup at rim,38,36
175,2,4:26.0,Defensive rebound by T. Young,,38,36
176,2,4:24.0,Shooting foul by J. Holiday (drawn by M. Turner),,38,36
177,2,4:24.0,M. Turner makes free throw 1 of 2,,39,36
178,2,4:24.0,M. Turner makes free throw 2 of 2,,40,36
179,2,4:08.0,,B. Hield misses 3-pt jump shot from 26 ft,40,36
180,2,4:07.0,Defensive rebound by M. Turner,,40,36
181,2,4:01.0,Shooting foul by J. Holiday (drawn by J. Teague),,40,36
182,2,4:01.0,J. Teague makes free throw 1 of 2,,41,36
183,2,4:01.0,J. Teague misses free throw 2 of 2,,41,36
184,2,3:59.0,,Defensive rebound by L. Galloway,41,36
185,2,3:44.0,,A. Davis misses 2-pt jump shot from 16 ft,41,36
186,2,3:44.0,,Offensive rebound by Team,41,36
187,2,3:44.0,Loose ball foul by P. George (drawn by S. Hill),,41,36
188,2,3:37.0,,J. Holiday misses 3-pt jump shot from 23 ft,41,36
189,2,3:36.0,Defensive rebound by J. Teague,,41,36
190,2,3:30.0,Turnover by P. George (bad pass; steal by L. Galloway),,41,36
191,2,3:24.0,,L. Galloway makes 2-pt layup from 2 ft,41,38
192,2,3:07.0,P. George makes 3-pt jump shot from 23 ft (assist by J. Teague),,44,38
193,2,2:55.0,,Turnover by A. Davis (traveling),44,38
194,2,2:55.0,,New Orleans full timeout,44,38
195,2,2:43.0,J. Teague misses 2-pt jump shot from 4 ft (block by A. Davis),,44,38
196,2,2:41.0,,Defensive rebound by A. Davis,44,38
197,2,2:34.0,,L. Galloway misses 3-pt jump shot from 25 ft,44,38
198,2,2:29.0,Defensive rebound by J. Teague,,44,38
199,2,2:26.0,J. Teague makes 2-pt layup from 2 ft,,46,38
200,2,2:15.0,,Personal foul by G. Robinson (drawn by J. Holiday),46,38
201,2,2:15.0,C. Miles enters the game for P. George,,46,38
202,2,2:08.0,,A. Davis makes 2-pt dunk at rim (assist by B. Hield),46,40
203,2,1:47.0,M. Turner makes 2-pt jump shot from 17 ft (assist by G. Robinson),,48,40
204,2,1:37.0,,J. Holiday makes 2-pt layup from 2 ft,48,42
205,2,1:37.0,,Shooting foul by M. Turner (drawn by J. Holiday),48,42
206,2,1:37.0,,J. Holiday misses free throw 1 of 1,48,42
207,2,1:37.0,,T. Jones enters the game for A. Davis,48,42
208,2,1:36.0,Defensive rebound by M. Turner,,48,42
209,2,1:26.0,T. Young misses 2-pt layup from 3 ft,,48,42
210,2,1:26.0,,Defensive rebound by T. Jones,48,42
211,2,1:16.0,,L. Galloway misses 3-pt jump shot from 26 ft,48,42
212,2,1:16.0,Defensive rebound by T. Young,,48,42
213,2,1:05.0,C. Miles misses 3-pt jump shot from 24 ft,,48,42
214,2,1:04.0,,Defensive rebound by T. Jones,48,42
215,2,0:58.0,,Shooting foul by C. Miles (drawn by S. Hill),48,42
216,2,0:58.0,,S. Hill makes free throw 1 of 2,48,43
217,2,0:58.0,,E. Moore enters the game for J. Holiday,48,43
218,2,0:58.0,,S. Hill makes free throw 2 of 2,48,44
219,2,0:46.0,Turnover by T. Young (bad pass),,48,44
220,2,0:36.0,,T. Jones makes 2-pt jump shot from 20 ft (assist by E. Moore),48,46
221,2,0:30.0,J. Teague makes 2-pt jump shot from 5 ft,,50,46
222,2,0:08.0,,E. Moore misses 2-pt layup from 3 ft,50,46
223,2,0:07.0,,Offensive rebound by S. Hill,50,46
224,2,0:04.0,,B. Hield misses 2-pt jump shot from 22 ft,50,46
225,2,0:03.0,,Offensive rebound by T. Jones,50,46
226,2,0:00.0,,Turnover by T. Jones (lost ball; steal by T. Young),50,46
227,3,11:45.0,P. George misses 2-pt jump shot from 4 ft (block by A. Davis),,50,46
228,3,11:43.0,,Defensive rebound by J. Holiday,50,46
229,3,11:26.0,,B. Hield misses 2-pt jump shot from 3 ft (block by G. Robinson),50,46
230,3,11:24.0,,Offensive rebound by B. Hield,50,46
