,QUARTER,TIME_REMAINING,TORONTO_ACTION,ORLANDO_ACTION,TORONTO_SCORE,ORLANDO_SCORE
0,1,11:50.0,,Turnover by B. Biyombo (bad pass; steal by K. Lowry),0,0
1,1,11:48.0,Shooting foul by D. Augustin (drawn by K. Lowry),,0,0
2,1,11:48.0,K. Lowry makes free throw 1 of 2,,1,0
3,1,11:48.0,K. Lowry makes free throw 2 of 2,,2,0
4,1,11:36.0,,B. Biyombo makes 2-pt dunk at rim (assist by E. Fournier),2,2
5,1,11:16.0,D. DeRozan makes 2-pt jump shot from 9 ft (assist by K. Lowry),,4,2
6,1,10:57.0,,Shooting foul by J. Valančiūnas (drawn by B. Biyombo),4,2
7,1,10:57.0,,B. Biyombo makes free throw 1 of 2,4,3
8,1,10:57.0,,B. Biyombo makes free throw 2 of 2,4,4
9,1,10:44.0,D. DeRozan misses 2-pt jump shot from 12 ft,,4,4
10,1,10:43.0,,Defensive rebound by B. Biyombo,4,4
11,1,10:32.0,,Personal foul by P. Siakam (drawn by S. Ibaka),4,4
12,1,10:26.0,,Turnover by E. Fournier (bad pass),4,4
13,1,10:12.0,J. Valančiūnas makes 2-pt layup from 2 ft (assist by K. Lowry),,6,4
14,1,9:55.0,,A. Gordon makes 2-pt dunk at rim (assist by B. Biyombo),6,6
15,1,9:38.0,Turnover by D. DeRozan (bad pass; steal by D. Augustin),,6,6
16,1,9:34.0,,D. Augustin misses 2-pt layup from 2 ft (block by P. Siakam),6,6
17,1,9:32.0,,Offensive rebound by E. Fournier,6,6
18,1,9:27.0,,A. Gordon misses 3-pt jump shot from 25 ft,6,6
19,1,9:26.0,Defensive rebound by J. Valančiūnas,,6,6
20,1,9:18.0,Turnover by D. DeRozan (lost ball; steal by D. Augustin),,6,6
21,1,9:05.0,,A. Gordon misses 3-pt jump shot from 23 ft,6,6
22,1,9:03.0,Defensive rebound by D. DeRozan,,6,6
23,1,8:57.0,Shooting foul by A. Gordon (drawn by D. DeRozan),,6,6
24,1,8:57.0,D. DeRozan makes free throw 1 of 2,,7,6
25,1,8:57.0,D. DeRozan makes free throw 2 of 2,,8,6
26,1,8:40.0,,D. Augustin misses 3-pt jump shot from 24 ft,8,6
27,1,8:39.0,,Offensive rebound by E. Fournier,8,6
28,1,8:39.0,,E. Fournier makes 2-pt layup from 2 ft,8,8
29,1,8:27.0,J. Valančiūnas misses 2-pt jump shot from 11 ft,,8,8
30,1,8:26.0,,Defensive rebound by A. Gordon,8,8
31,1,8:18.0,,A. Gordon misses 2-pt layup from 1 ft (block by P. Siakam),8,8
32,1,8:16.0,,Offensive rebound by B. Biyombo,8,8
33,1,8:16.0,,Turnover by B. Biyombo (bad pass),8,8
34,1,8:08.0,Offensive foul by P. Siakam (drawn by A. Gordon),,8,8
35,1,8:08.0,Turnover by P. Siakam (offensive foul),,8,8
36,1,7:53.0,,S. Ibaka makes 2-pt hook shot from 8 ft (assist by D. Augustin),8,10
37,1,7:38.0,D. DeRozan misses 2-pt jump shot from 17 ft,,8,10
38,1,7:37.0,,Defensive rebound by B. Biyombo,8,10
39,1,7:20.0,,D. Augustin misses 2-pt layup from 3 ft (block by P. Siakam),8,10
40,1,7:20.0,,Offensive rebound by Team,8,10
41,1,7:19.0,,Turnover by A. Gordon (bad pass; steal by D. DeRozan),8,10
42,1,7:07.0,D. DeRozan makes 2-pt jump shot from 7 ft,,10,10
43,1,6:52.0,,E. Fournier makes 2-pt jump shot from 22 ft (assist by D. Augustin),10,12
44,1,6:33.0,J. Valančiūnas misses 2-pt jump shot from 19 ft,,10,12
45,1,6:33.0,Offensive rebound by Team,,10,12
46,1,6:33.0,,Loose ball foul by D. Augustin (drawn by K. Lowry),10,12
47,1,6:33.0,,E. Payton enters the game for D. Augustin,10,12
48,1,6:19.0,D. DeRozan makes 2-pt jump shot from 16 ft,,12,12
49,1,6:06.0,,S. Ibaka makes 2-pt hook shot from 7 ft,12,14
50,1,5:53.0,J. Valančiūnas misses 2-pt jump shot from 17 ft,,12,14
51,1,5:51.0,,Defensive rebound by B. Biyombo,12,14
52,1,5:41.0,,E. Payton makes 2-pt jump shot from 18 ft,12,16
53,1,5:32.0,Toronto full timeout,,12,16
54,1,5:32.0,L. Nogueira enters the game for P. Siakam,,12,16
55,1,5:32.0,P. Patterson enters the game for J. Valančiūnas,,12,16
56,1,5:22.0,D. DeRozan makes 2-pt layup from 3 ft,,14,16
57,1,5:01.0,Violation by L. Nogueira (def goaltending),,14,16
58,1,5:01.0,,E. Fournier makes 2-pt layup from 3 ft,14,18
59,1,5:01.0,,Shooting foul by D. Carroll (drawn by E. Fournier),14,18
60,1,5:01.0,,N. Vučević enters the game for B. Biyombo,14,18
61,1,5:01.0,,E. Fournier makes free throw 1 of 1,14,19
62,1,4:47.0,K. Lowry misses 2-pt jump shot from 20 ft,,14,19
63,1,4:45.0,,Defensive rebound by S. Ibaka,14,19
64,1,4:28.0,,E. Fournier misses 3-pt jump shot from 26 ft,14,19
65,1,4:26.0,Defensive rebound by L. Nogueira,,14,19
66,1,4:11.0,P. Patterson misses 2-pt jump shot from 9 ft,,14,19
67,1,4:09.0,,Defensive rebound by N. Vučević,14,19
68,1,3:51.0,,A. Gordon makes 2-pt layup from 2 ft (assist by N. Vučević),14,21
69,1,3:33.0,K. Lowry misses 3-pt jump shot from 24 ft,,14,21
70,1,3:32.0,,Defensive rebound by S. Ibaka,14,21
71,1,3:27.0,,E. Fournier misses 2-pt layup from 3 ft,14,21
72,1,3:25.0,Defensive rebound by D. Carroll,,14,21
73,1,3:18.0,D. Carroll makes 2-pt layup from 2 ft,,16,21
74,1,3:10.0,,Orlando full timeout,16,21
75,1,3:10.0,T. Ross enters the game for D. Carroll,,16,21
76,1,3:10.0,,J. Green enters the game for A. Gordon,16,21
77,1,3:06.0,,N. Vučević makes 2-pt jump shot from 14 ft,16,23
78,1,2:50.0,D. DeRozan misses 3-pt jump shot from 24 ft,,16,23
79,1,2:49.0,,Defensive rebound by N. Vučević,16,23
80,1,2:41.0,,N. Vučević makes 2-pt dunk at rim (assist by E. Payton),16,25
81,1,2:21.0,D. DeRozan makes 2-pt jump shot from 20 ft,,18,25
82,1,1:59.0,,S. Ibaka misses 2-pt jump shot from 22 ft,18,25
83,1,1:57.0,Defensive rebound by T. Ross,,18,25
84,1,1:46.0,K. Lowry makes 2-pt layup from 2 ft (assist by D. DeRozan),,20,25
85,1,1:46.0,Shooting foul by N. Vučević (drawn by K. Lowry),,20,25
86,1,1:46.0,,J. Meeks enters the game for S. Ibaka,20,25
