,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,BOSTON_ACTION,LA CLIPPERS_SCORE,BOSTON_SCORE
0,1,11:43.0,P. Pierce misses 2-pt jump shot from 18 ft,,0,0
1,1,11:42.0,,Defensive rebound by A. Horford,0,0
2,1,11:25.0,,J. Crowder makes 3-pt jump shot from 24 ft,0,3
3,1,11:01.0,Turnover by A. Rivers (lost ball; steal by A. Horford),,0,3
4,1,10:52.0,,Shooting foul by A. Rivers (drawn by I. Thomas),0,3
5,1,10:52.0,,I. Thomas makes free throw 1 of 3,0,4
6,1,10:52.0,,I. Thomas makes free throw 2 of 3,0,5
7,1,10:52.0,,I. Thomas makes free throw 3 of 3,0,6
8,1,10:40.0,J. Redick misses 2-pt jump shot from 23 ft,,0,6
9,1,10:39.0,Offensive rebound by D. Jordan,,0,6
10,1,10:39.0,D. Jordan misses 2-pt layup from 2 ft,,0,6
11,1,10:38.0,Offensive rebound by D. Jordan,,0,6
12,1,10:38.0,D. Jordan makes 2-pt layup from 2 ft,,2,6
13,1,10:25.0,,J. Crowder misses 3-pt jump shot from 26 ft,2,6
14,1,10:24.0,Defensive rebound by D. Jordan,,2,6
15,1,10:12.0,B. Griffin makes 2-pt jump shot from 10 ft,,4,6
16,1,9:53.0,,I. Thomas makes 3-pt jump shot from 25 ft (assist by A. Johnson),4,9
17,1,9:37.0,Turnover by B. Griffin (bad pass; steal by J. Brown),,4,9
18,1,9:32.0,,Shooting foul by J. Redick (drawn by J. Brown),4,9
19,1,9:32.0,,J. Brown makes free throw 1 of 2,4,10
20,1,9:32.0,,J. Brown misses free throw 2 of 2,4,10
21,1,9:32.0,Defensive rebound by B. Griffin,,4,10
22,1,9:18.0,B. Griffin misses 2-pt jump shot from 19 ft,,4,10
23,1,9:17.0,,Defensive rebound by J. Crowder,4,10
24,1,9:06.0,,J. Crowder misses 2-pt jump shot from 19 ft,4,10
25,1,9:05.0,Defensive rebound by B. Griffin,,4,10
26,1,8:55.0,D. Jordan misses 2-pt hook shot from 4 ft,,4,10
27,1,8:54.0,,Defensive rebound by J. Crowder,4,10
28,1,8:36.0,,J. Crowder misses 3-pt jump shot from 24 ft,4,10
29,1,8:35.0,Defensive rebound by D. Jordan,,4,10
30,1,8:31.0,B. Griffin makes 2-pt layup from 2 ft (assist by D. Jordan),,6,10
31,1,8:11.0,,A. Horford misses 2-pt hook shot from 5 ft,6,10
32,1,8:10.0,Defensive rebound by D. Jordan,,6,10
33,1,7:49.0,A. Rivers misses 2-pt jump shot from 11 ft,,6,10
34,1,7:47.0,,Defensive rebound by J. Brown,6,10
35,1,7:41.0,,I. Thomas misses 3-pt jump shot from 26 ft,6,10
36,1,7:40.0,,Offensive rebound by A. Horford,6,10
37,1,7:36.0,,J. Brown misses 2-pt jump shot from 4 ft,6,10
38,1,7:35.0,,Offensive rebound by A. Johnson,6,10
39,1,7:33.0,,A. Johnson makes 2-pt layup from 2 ft,6,12
40,1,7:19.0,A. Rivers misses 2-pt layup from 2 ft,,6,12
41,1,7:18.0,,Defensive rebound by A. Johnson,6,12
42,1,7:11.0,,I. Thomas makes 3-pt jump shot from 25 ft,6,15
43,1,7:03.0,LA Clippers full timeout,,6,15
44,1,7:03.0,L. Mbah a Moute enters the game for P. Pierce,,6,15
45,1,6:55.0,J. Redick misses 3-pt jump shot from 25 ft,,6,15
46,1,6:54.0,,Defensive rebound by J. Crowder,6,15
47,1,6:43.0,,J. Crowder misses 3-pt jump shot from 25 ft,6,15
48,1,6:42.0,Defensive rebound by B. Griffin,,6,15
49,1,6:16.0,A. Rivers misses 3-pt jump shot from 31 ft,,6,15
50,1,6:15.0,,Defensive rebound by A. Horford,6,15
51,1,6:02.0,,A. Johnson makes 3-pt jump shot from 24 ft (assist by I. Thomas),6,18
52,1,5:51.0,B. Griffin makes 2-pt jump shot from 19 ft,,8,18
53,1,5:35.0,,I. Thomas makes 2-pt jump shot from 23 ft,8,20
54,1,5:18.0,B. Griffin misses 2-pt layup from 2 ft,,8,20
55,1,5:17.0,,Defensive rebound by A. Horford,8,20
