,QUARTER,TIME_REMAINING,PORTLAND_ACTION,WASHINGTON_ACTION,PORTLAND_SCORE,WASHINGTON_SCORE
0,1,11:42.0,,B. Beal makes 2-pt layup from 1 ft,0,2
1,1,11:23.0,D. Lillard misses 2-pt jump shot from 14 ft,,0,2
2,1,11:22.0,,Defensive rebound by M. Gortat,0,2
3,1,11:14.0,,J. Wall makes 2-pt jump shot from 15 ft,0,4
4,1,10:58.0,Turnover by C. McCollum (lost ball; steal by B. Beal),,0,4
5,1,10:43.0,,M. Gortat misses 2-pt layup from 1 ft,0,4
6,1,10:42.0,Defensive rebound by A. Aminu,,0,4
7,1,10:34.0,M. Plumlee misses 2-pt jump shot from 4 ft,,0,4
8,1,10:30.0,Offensive rebound by M. Plumlee,,0,4
9,1,10:28.0,M. Plumlee misses 2-pt layup from 2 ft,,0,4
10,1,10:28.0,,Defensive rebound by M. Morris,0,4
11,1,10:21.0,,M. Morris makes 3-pt jump shot from 27 ft (assist by J. Wall),0,7
12,1,9:54.0,Turnover by A. Aminu (lost ball; steal by M. Morris),,0,7
13,1,9:41.0,,B. Beal makes 3-pt jump shot from 25 ft (assist by J. Wall),0,10
14,1,9:41.0,Portland full timeout,,0,10
15,1,9:28.0,C. McCollum makes 3-pt jump shot from 26 ft (assist by M. Plumlee),,3,10
16,1,9:06.0,,J. Wall misses 2-pt jump shot from 16 ft (block by D. Lillard),3,10
17,1,9:05.0,,Offensive rebound by J. Wall,3,10
18,1,9:05.0,,Turnover by J. Wall (traveling),3,10
19,1,8:54.0,C. McCollum misses 2-pt jump shot from 19 ft,,3,10
20,1,8:53.0,,Defensive rebound by M. Morris,3,10
21,1,8:45.0,,M. Gortat misses 2-pt jump shot from 6 ft (block by M. Harkless),3,10
22,1,8:43.0,Defensive rebound by M. Harkless,,3,10
23,1,8:39.0,A. Aminu makes 2-pt layup from 1 ft (assist by M. Harkless),,5,10
24,1,8:21.0,,J. Wall misses 2-pt layup from 2 ft (block by M. Plumlee),5,10
25,1,8:19.0,Defensive rebound by D. Lillard,,5,10
26,1,8:07.0,M. Harkless misses 3-pt jump shot from 27 ft,,5,10
27,1,8:06.0,Offensive rebound by M. Plumlee,,5,10
28,1,8:01.0,Turnover by A. Aminu (lost ball; steal by J. Wall),,5,10
29,1,7:57.0,,J. Wall makes 2-pt layup from 3 ft,5,12
30,1,7:34.0,M. Plumlee misses 2-pt jump shot from 16 ft,,5,12
31,1,7:33.0,,Defensive rebound by M. Morris,5,12
32,1,7:27.0,,O. Porter misses 2-pt layup from 2 ft,5,12
33,1,7:26.0,Defensive rebound by D. Lillard,,5,12
34,1,7:19.0,C. McCollum misses 3-pt jump shot from 27 ft,,5,12
35,1,7:18.0,,Defensive rebound by M. Morris,5,12
36,1,7:08.0,,B. Beal makes 3-pt jump shot from 26 ft (assist by J. Wall),5,15
37,1,6:54.0,D. Lillard misses 3-pt jump shot from 27 ft,,5,15
38,1,6:52.0,,Defensive rebound by M. Morris,5,15
39,1,6:44.0,,Shooting foul by M. Harkless (drawn by O. Porter),5,15
