,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,CLEVELAND_ACTION,NEW ORLEANS_SCORE,CLEVELAND_SCORE
0,1,11:46.0,A. Davis misses 2-pt jump shot from 15 ft,,0,0
1,1,11:45.0,,Defensive rebound by J. McRae,0,0
2,1,11:25.0,,K. Love misses 3-pt jump shot from 25 ft,0,0
3,1,11:25.0,Defensive rebound by D. Cunningham,,0,0
4,1,11:17.0,B. Hield makes 2-pt jump shot from 20 ft,,2,0
5,1,10:57.0,,Shooting foul by J. Holiday (drawn by J. McRae),2,0
6,1,10:57.0,,J. McRae makes free throw 1 of 2,2,1
7,1,10:57.0,,J. McRae makes free throw 2 of 2,2,2
8,1,10:42.0,A. Davis misses 2-pt jump shot from 14 ft,,2,2
9,1,10:41.0,,Defensive rebound by K. Love,2,2
10,1,10:22.0,,K. Love misses 2-pt jump shot from 12 ft,2,2
11,1,10:20.0,Defensive rebound by S. Hill,,2,2
12,1,10:10.0,A. Davis misses 2-pt hook shot from 7 ft,,2,2
13,1,10:08.0,,Defensive rebound by D. Liggins,2,2
14,1,10:00.0,,L. James misses 3-pt jump shot from 31 ft,2,2
15,1,10:00.0,Defensive rebound by B. Hield,,2,2
16,1,9:48.0,S. Hill makes 3-pt jump shot from 26 ft (assist by B. Hield),,5,2
17,1,9:34.0,,K. Love misses 3-pt jump shot from 26 ft,5,2
18,1,9:34.0,Defensive rebound by Team,,5,2
19,1,9:21.0,B. Hield misses 2-pt jump shot from 8 ft,,5,2
20,1,9:19.0,Offensive rebound by A. Davis,,5,2
21,1,9:19.0,A. Davis makes 2-pt dunk at rim,,7,2
22,1,8:59.0,,K. Love misses 3-pt jump shot from 26 ft,7,2
23,1,8:58.0,Defensive rebound by J. Holiday,,7,2
24,1,8:50.0,J. Holiday misses 2-pt dunk at rim,,7,2
25,1,8:48.0,,Defensive rebound by D. Liggins,7,2
26,1,8:41.0,,L. James misses 2-pt jump shot from 15 ft,7,2
27,1,8:40.0,Defensive rebound by D. Cunningham,,7,2
28,1,8:35.0,S. Hill misses 3-pt jump shot from 24 ft,,7,2
29,1,8:33.0,,Defensive rebound by T. Thompson,7,2
30,1,8:17.0,,L. James misses 2-pt layup from 3 ft,7,2
31,1,8:14.0,,Offensive rebound by K. Love,7,2
32,1,8:14.0,,K. Love misses 2-pt layup from 1 ft,7,2
33,1,8:11.0,,Offensive rebound by K. Love,7,2
34,1,8:11.0,,K. Love makes 2-pt layup from 1 ft,7,4
35,1,8:04.0,J. Holiday misses 3-pt jump shot from 26 ft,,7,4
36,1,8:03.0,,Defensive rebound by T. Thompson,7,4
37,1,7:57.0,,L. James makes 2-pt dunk at rim,7,6
38,1,7:38.0,Turnover by A. Davis (lost ball; steal by D. Liggins),,7,6
39,1,7:32.0,,D. Liggins misses 2-pt layup from 2 ft (block by S. Hill),7,6
40,1,7:31.0,Defensive rebound by J. Holiday,,7,6
41,1,7:25.0,B. Hield misses 3-pt jump shot from 23 ft,,7,6
42,1,7:25.0,Offensive rebound by Team,,7,6
43,1,7:21.0,A. Davis misses 2-pt jump shot from 20 ft,,7,6
44,1,7:21.0,,Defensive rebound by K. Love,7,6
45,1,7:12.0,,D. Liggins misses 3-pt jump shot from 26 ft,7,6
46,1,7:11.0,Defensive rebound by B. Hield,,7,6
47,1,7:01.0,Turnover by B. Hield (bad pass; steal by J. McRae),,7,6
48,1,7:00.0,,Personal foul by B. Hield (drawn by J. McRae),7,6
49,1,6:44.0,,K. Love misses 2-pt jump shot from 7 ft (block by A. Davis),7,6
50,1,6:44.0,,Offensive rebound by Team,7,6
51,1,6:39.0,,T. Thompson makes 2-pt dunk at rim (assist by L. James),7,8
52,1,6:33.0,New Orleans full timeout,,7,8
53,1,6:16.0,A. Davis misses 2-pt hook shot from 6 ft,,7,8
54,1,6:14.0,,Defensive rebound by T. Thompson,7,8
55,1,5:56.0,,K. Love misses 3-pt jump shot from 23 ft,7,8
56,1,5:55.0,Defensive rebound by A. Davis,,7,8
57,1,5:46.0,D. Cunningham makes 2-pt jump shot from 12 ft (assist by J. Holiday),,9,8
58,1,5:30.0,,K. Love makes 2-pt hook shot from 7 ft (assist by L. James),9,10
59,1,5:16.0,Turnover by A. Davis (lost ball; steal by D. Liggins),,9,10
60,1,5:05.0,,K. Love misses 2-pt hook shot from 8 ft,9,10
61,1,5:04.0,,Offensive rebound by T. Thompson,9,10
62,1,5:04.0,,Personal foul by D. Cunningham (drawn by T. Thompson),9,10
63,1,5:04.0,,C. Frye enters the game for K. Love,9,10
64,1,5:04.0,T. Jones enters the game for S. Hill,,9,10
65,1,5:04.0,Violation by Team (jump ball),,9,10
66,1,4:45.0,,J. McRae misses 3-pt jump shot from 23 ft,9,10
67,1,4:45.0,Defensive rebound by T. Jones,,9,10
68,1,4:32.0,B. Hield makes 3-pt jump shot from 26 ft (assist by T. Jones),,12,10
69,1,4:09.0,,J. McRae misses 3-pt jump shot from 24 ft,12,10
70,1,4:09.0,,Offensive rebound by Team,12,10
71,1,4:07.0,S. Hill enters the game for T. Jones,,12,10
72,1,4:05.0,,T. Thompson misses 2-pt jump shot from 19 ft (block by A. Davis),12,10
73,1,4:05.0,,Offensive rebound by Team,12,10
74,1,4:05.0,,Turnover by Team (shot clock),12,10
75,1,4:05.0,T. Jones enters the game for S. Hill,,12,10
76,1,3:55.0,Personal foul by D. Liggins (drawn by A. Davis),,12,10
77,1,3:55.0,,I. Shumpert enters the game for D. Liggins,12,10
78,1,3:55.0,,K. Felder enters the game for J. McRae,12,10
79,1,3:43.0,T. Jones misses 2-pt jump shot from 7 ft,,12,10
80,1,3:42.0,Offensive rebound by A. Davis,,12,10
81,1,3:42.0,A. Davis misses 2-pt layup from 3 ft (block by C. Frye),,12,10
82,1,3:41.0,,Defensive rebound by T. Thompson,12,10
83,1,3:35.0,,L. James makes 2-pt dunk at rim,12,12
84,1,3:30.0,A. Davis makes 2-pt dunk at rim (assist by J. Holiday),,14,12
85,1,3:14.0,,C. Frye misses 3-pt jump shot from 26 ft,14,12
86,1,3:14.0,Defensive rebound by B. Hield,,14,12
87,1,3:04.0,Turnover by A. Davis (bad pass; steal by L. James),,14,12
88,1,3:01.0,Offensive charge foul by L. James (drawn by A. Davis),,14,12
89,1,3:01.0,,Turnover by L. James (offensive foul),14,12
