,QUARTER,TIME_REMAINING,UTAH_ACTION,CLEVELAND_ACTION,UTAH_SCORE,CLEVELAND_SCORE
0,1,11:46.0,,K. Irving makes 2-pt jump shot from 15 ft,0,2
1,1,11:30.0,G. Hayward misses 2-pt jump shot from 8 ft,,0,2
2,1,11:29.0,,Defensive rebound by K. Love,0,2
3,1,11:17.0,,K. Irving makes 2-pt jump shot from 10 ft,0,4
4,1,10:54.0,J. Ingles misses 3-pt jump shot from 26 ft,,0,4
5,1,10:53.0,,Defensive rebound by K. Love,0,4
6,1,10:32.0,,I. Shumpert makes 2-pt jump shot from 20 ft,0,6
7,1,10:19.0,Turnover by J. Johnson (bad pass),,0,6
8,1,10:03.0,,K. Irving misses 2-pt layup from 3 ft,0,6
9,1,10:01.0,,Offensive rebound by T. Thompson,0,6
10,1,10:00.0,,Turnover by T. Thompson (bad pass; steal by J. Ingles),0,6
11,1,9:40.0,G. Hill misses 2-pt jump shot from 20 ft,,0,6
12,1,9:38.0,Offensive rebound by R. Gobert,,0,6
13,1,9:26.0,G. Hill makes 2-pt jump shot from 20 ft,,2,6
14,1,8:56.0,,L. James misses 2-pt jump shot from 12 ft,2,6
15,1,8:53.0,Defensive rebound by J. Johnson,,2,6
16,1,8:52.0,Shooting foul by K. Irving (drawn by G. Hayward),,2,6
17,1,8:52.0,G. Hayward makes free throw 1 of 2,,3,6
18,1,8:52.0,G. Hayward makes free throw 2 of 2,,4,6
19,1,8:41.0,,K. Love misses 3-pt jump shot from 24 ft,4,6
20,1,8:41.0,Defensive rebound by R. Gobert,,4,6
21,1,8:17.0,J. Ingles makes 2-pt jump shot from 20 ft (assist by G. Hayward),,6,6
22,1,7:56.0,,L. James misses 2-pt jump shot from 10 ft,6,6
23,1,7:56.0,,Offensive rebound by T. Thompson,6,6
24,1,7:56.0,,Personal foul by G. Hayward (drawn by T. Thompson),6,6
25,1,7:43.0,,K. Love makes 2-pt jump shot from 18 ft (assist by K. Irving),6,8
26,1,7:14.0,J. Ingles makes 2-pt jump shot from 5 ft (assist by G. Hayward),,8,8
27,1,7:04.0,,I. Shumpert misses 2-pt jump shot from 13 ft,8,8
28,1,7:04.0,Defensive rebound by R. Gobert,,8,8
29,1,6:57.0,G. Hayward misses 3-pt jump shot from 24 ft,,8,8
30,1,6:56.0,,Defensive rebound by K. Irving,8,8
31,1,6:47.0,,I. Shumpert misses 3-pt jump shot from 25 ft,8,8
32,1,6:46.0,,Offensive rebound by K. Love,8,8
33,1,6:44.0,,K. Love makes 2-pt layup at rim,8,10
34,1,6:27.0,Turnover by G. Hayward (bad pass),,8,10
35,1,6:13.0,,I. Shumpert misses 3-pt jump shot from 25 ft,8,10
36,1,6:12.0,Defensive rebound by J. Johnson,,8,10
37,1,6:05.0,G. Hill makes 3-pt jump shot from 26 ft,,11,10
38,1,5:48.0,,I. Shumpert makes 3-pt jump shot from 23 ft (assist by L. James),11,13
39,1,5:45.0,Utah full timeout,,11,13
40,1,5:45.0,D. Exum enters the game for J. Johnson,,11,13
41,1,5:45.0,B. Diaw enters the game for G. Hill,,11,13
42,1,5:31.0,G. Hayward makes 2-pt jump shot from 18 ft,,13,13
43,1,5:17.0,,K. Love makes 2-pt layup at rim (assist by L. James),13,15
44,1,4:54.0,J. Ingles makes 3-pt jump shot from 27 ft (assist by G. Hayward),,16,15
45,1,4:39.0,,K. Love makes 2-pt layup from 1 ft (assist by L. James),16,17
46,1,4:19.0,R. Gobert makes 2-pt jump shot from 8 ft (assist by D. Exum),,18,17
47,1,3:58.0,,I. Shumpert makes 2-pt jump shot from 9 ft,18,19
48,1,3:45.0,G. Hayward misses 2-pt jump shot from 19 ft,,18,19
49,1,3:44.0,,Defensive rebound by L. James,18,19
50,1,3:38.0,,I. Shumpert misses 3-pt jump shot from 24 ft,18,19
51,1,3:37.0,Defensive rebound by R. Gobert,,18,19
52,1,3:25.0,Turnover by D. Exum (lost ball),,18,19
53,1,3:25.0,A. Burks enters the game for J. Ingles,,18,19
54,1,3:25.0,,J. Smith enters the game for K. Love,18,19
55,1,3:09.0,,K. Irving makes 2-pt jump shot from 19 ft,18,21
56,1,2:42.0,A. Burks misses 2-pt jump shot from 8 ft,,18,21
57,1,2:42.0,,Defensive rebound by J. Smith,18,21
58,1,2:35.0,,K. Irving misses 3-pt jump shot from 26 ft,18,21
59,1,2:34.0,Defensive rebound by G. Hayward,,18,21
60,1,2:17.0,Turnover by G. Hayward (bad pass; steal by J. Smith),,18,21
61,1,2:15.0,,Personal foul by A. Burks (drawn by L. James),18,21
62,1,2:15.0,,Cleveland full timeout,18,21
63,1,2:15.0,,D. Williams enters the game for L. James,18,21
64,1,2:15.0,,R. Jefferson enters the game for I. Shumpert,18,21
65,1,2:15.0,J. Withey enters the game for G. Hayward,,18,21
66,1,2:15.0,J. Ingles enters the game for R. Gobert,,18,21
67,1,2:06.0,,J. Smith makes 3-pt jump shot from 26 ft (assist by K. Irving),18,24
68,1,1:54.0,Turnover by A. Burks (bad pass),,18,24
69,1,1:47.0,,K. Irving misses 2-pt jump shot from 13 ft,18,24
70,1,1:47.0,Defensive rebound by Team,,18,24
71,1,1:47.0,,Loose ball foul by T. Thompson (drawn by J. Withey),18,24
72,1,1:47.0,,C. Frye enters the game for T. Thompson,18,24
73,1,1:34.0,A. Burks misses 2-pt jump shot from 10 ft,,18,24
74,1,1:33.0,,Defensive rebound by R. Jefferson,18,24
75,1,1:20.0,,J. Smith makes 3-pt jump shot from 23 ft (assist by C. Frye),18,27
76,1,0:59.0,J. Ingles misses 3-pt jump shot from 26 ft,,18,27
77,1,0:59.0,Offensive rebound by D. Exum,,18,27
78,1,0:47.0,D. Exum misses 2-pt layup at rim,,18,27
79,1,0:44.0,,Defensive rebound by C. Frye,18,27
80,1,0:34.0,,J. Smith misses 3-pt jump shot from 25 ft,18,27
81,1,0:34.0,Defensive rebound by J. Ingles,,18,27
82,1,0:25.0,J. Ingles makes 2-pt jump shot from 13 ft,,20,27
83,1,0:04.0,,Shooting foul by D. Exum (drawn by K. Irving),20,27
84,1,0:04.0,,K. Irving makes free throw 1 of 2,20,28
85,1,0:04.0,,D. Liggins enters the game for C. Frye,20,28
86,1,0:04.0,,K. Irving makes free throw 2 of 2,20,29
87,2,11:47.0,A. Burks makes 2-pt layup from 1 ft,,22,29
88,2,11:35.0,,Personal foul by B. Diaw (drawn by D. Williams),22,29
89,2,11:35.0,G. Hill enters the game for D. Exum,,22,29
90,2,11:24.0,,D. Williams misses 2-pt layup from 1 ft,22,29
91,2,11:24.0,Defensive rebound by G. Hill,,22,29
92,2,11:10.0,J. Withey misses 2-pt layup from 2 ft (block by L. James),,22,29
93,2,11:08.0,,Defensive rebound by R. Jefferson,22,29
94,2,11:02.0,,L. James makes 2-pt layup from 1 ft,22,31
95,2,10:51.0,J. Ingles misses 3-pt jump shot from 24 ft,,22,31
96,2,10:51.0,,Defensive rebound by L. James,22,31
97,2,10:48.0,,Turnover by L. James (step out of bounds),22,31
98,2,10:48.0,T. Lyles enters the game for J. Withey,,22,31
99,2,10:48.0,,Violation by Team (jump ball),22,31
100,2,10:34.0,G. Hill misses 2-pt jump shot from 23 ft,,22,31
101,2,10:33.0,,Defensive rebound by C. Frye,22,31
102,2,10:19.0,,L. James misses 3-pt jump shot from 26 ft,22,31
103,2,10:19.0,Defensive rebound by A. Burks,,22,31
104,2,10:19.0,Personal foul by C. Frye (drawn by A. Burks),,22,31
105,2,10:02.0,G. Hill misses 3-pt jump shot from 26 ft,,22,31
106,2,10:01.0,,Defensive rebound by L. James,22,31
107,2,9:52.0,,L. James makes 2-pt layup from 1 ft,22,33
108,2,9:41.0,Turnover by T. Lyles (bad pass),,22,33
109,2,9:31.0,,C. Frye makes 3-pt jump shot from 24 ft (assist by L. James),22,36
110,2,9:08.0,T. Lyles misses 2-pt layup from 1 ft,,22,36
111,2,9:06.0,,Defensive rebound by C. Frye,22,36
112,2,8:59.0,,R. Jefferson misses 3-pt jump shot from 24 ft,22,36
113,2,8:59.0,,Offensive rebound by C. Frye,22,36
114,2,8:59.0,,C. Frye misses 2-pt dunk at rim,22,36
115,2,8:56.0,Defensive rebound by T. Lyles,,22,36
116,2,8:46.0,B. Diaw makes 2-pt jump shot from 14 ft (assist by J. Ingles),,24,36
117,2,8:33.0,,L. James makes 2-pt layup from 2 ft,24,38
118,2,8:33.0,Utah full timeout,,24,38
119,2,8:33.0,J. Johnson enters the game for J. Ingles,,24,38
120,2,8:33.0,R. Gobert enters the game for B. Diaw,,24,38
121,2,8:19.0,J. Johnson makes 2-pt jump shot from 4 ft,,26,38
122,2,8:08.0,,Shooting foul by J. Johnson (drawn by L. James),26,38
123,2,8:08.0,,L. James misses free throw 1 of 2,26,38
124,2,8:08.0,,Offensive rebound by Team,26,38
125,2,8:08.0,,L. James misses free throw 2 of 2,26,38
126,2,8:07.0,Defensive rebound by R. Gobert,,26,38
127,2,7:42.0,R. Gobert makes 2-pt dunk at rim (assist by A. Burks),,28,38
128,2,7:21.0,,C. Frye misses 3-pt jump shot from 24 ft,28,38
129,2,7:21.0,Defensive rebound by A. Burks,,28,38
130,2,7:13.0,A. Burks makes 2-pt layup from 2 ft,,30,38
131,2,7:02.0,,Personal foul by J. Johnson (drawn by C. Frye),30,38
132,2,6:49.0,,Turnover by L. James (bad pass; steal by R. Gobert),30,38
133,2,6:37.0,J. Johnson misses 2-pt jump shot from 16 ft,,30,38
134,2,6:35.0,,Defensive rebound by L. James,30,38
135,2,6:29.0,,R. Jefferson misses 2-pt jump shot from 7 ft,30,38
136,2,6:28.0,Defensive rebound by G. Hill,,30,38
137,2,6:24.0,Turnover by A. Burks (lost ball; steal by D. Williams),,30,38
138,2,6:19.0,,L. James makes 2-pt dunk from 1 ft (assist by D. Williams),30,40
139,2,6:19.0,Utah full timeout,,30,40
140,2,6:19.0,G. Hayward enters the game for G. Hill,,30,40
141,2,6:19.0,D. Exum enters the game for T. Lyles,,30,40
142,2,6:19.0,,K. Love enters the game for R. Jefferson,30,40
143,2,6:19.0,,K. Irving enters the game for C. Frye,30,40
144,2,6:09.0,R. Gobert makes 2-pt dunk at rim (assist by J. Johnson),,32,40
145,2,5:45.0,,K. Love misses 3-pt jump shot from 26 ft,32,40
146,2,5:45.0,Defensive rebound by Team,,32,40
147,2,5:45.0,Official timeout,,32,40
148,2,5:45.0,J. Ingles enters the game for A. Burks,,32,40
149,2,5:20.0,J. Ingles misses 2-pt jump shot from 17 ft,,32,40
150,2,5:20.0,,Defensive rebound by K. Love,32,40
151,2,5:02.0,,K. Irving misses 2-pt jump shot from 17 ft,32,40
152,2,5:00.0,Defensive rebound by J. Ingles,,32,40
153,2,4:53.0,Turnover by G. Hayward (traveling),,32,40
154,2,4:53.0,,I. Shumpert enters the game for L. James,32,40
155,2,4:53.0,,T. Thompson enters the game for J. Smith,32,40
156,2,4:40.0,,I. Shumpert misses 3-pt jump shot from 26 ft,32,40
157,2,4:40.0,,Offensive rebound by K. Love,32,40
158,2,4:27.0,,Personal foul by J. Ingles (drawn by K. Love),32,40
159,2,4:11.0,,K. Love misses 2-pt jump shot from 11 ft,32,40
160,2,4:10.0,Defensive rebound by R. Gobert,,32,40
161,2,4:03.0,G. Hayward misses 2-pt jump shot from 17 ft,,32,40
162,2,4:00.0,,Defensive rebound by T. Thompson,32,40
163,2,3:41.0,,K. Irving misses 2-pt layup from 1 ft,32,40
164,2,3:40.0,,Offensive rebound by T. Thompson,32,40
165,2,3:40.0,,T. Thompson makes 2-pt dunk at rim,32,42
166,2,3:30.0,Personal foul by I. Shumpert (drawn by G. Hayward),,32,42
167,2,3:30.0,G. Hill enters the game for D. Exum,,32,42
168,2,3:30.0,,R. Jefferson enters the game for D. Williams,32,42
169,2,3:14.0,J. Johnson misses 3-pt jump shot from 25 ft,,32,42
