,QUARTER,TIME_REMAINING,ATLANTA_ACTION,ORLANDO_ACTION,ATLANTA_SCORE,ORLANDO_SCORE
230,3,8:48.0,T. Sefolosha makes 2-pt layup from 1 ft (assist by D. Schröder),,58,53
231,3,8:29.0,,A. Gordon misses 2-pt jump shot from 21 ft,58,53
232,3,8:28.0,Defensive rebound by P. Millsap,,58,53
233,3,8:14.0,Shooting foul by S. Ibaka (drawn by D. Schröder),,58,53
234,3,8:14.0,D. Schröder makes free throw 1 of 2,,59,53
235,3,8:14.0,D. Schröder makes free throw 2 of 2,,60,53
236,3,7:56.0,,J. Meeks misses 2-pt jump shot from 10 ft,60,53
237,3,7:54.0,,Offensive rebound by S. Ibaka,60,53
238,3,7:54.0,,S. Ibaka makes 2-pt dunk at rim,60,55
239,3,7:47.0,Personal foul by E. Payton (drawn by D. Schröder),,60,55
240,3,7:44.0,Personal foul by J. Meeks (drawn by K. Bazemore),,60,55
241,3,7:38.0,P. Millsap makes 3-pt jump shot from 26 ft (assist by T. Sefolosha),,63,55
242,3,7:24.0,,S. Ibaka misses 3-pt jump shot from 26 ft,63,55
243,3,7:23.0,Defensive rebound by T. Sefolosha,,63,55
244,3,7:12.0,P. Millsap misses 2-pt jump shot from 15 ft,,63,55
245,3,7:11.0,,Defensive rebound by B. Biyombo,63,55
246,3,7:03.0,,S. Ibaka makes 2-pt layup from 3 ft (assist by E. Payton),63,57
247,3,6:41.0,Shooting foul by B. Biyombo (drawn by P. Millsap),,63,57
248,3,6:41.0,P. Millsap makes free throw 1 of 2,,64,57
249,3,6:41.0,P. Millsap makes free throw 2 of 2,,65,57
250,3,6:16.0,,A. Gordon misses 3-pt jump shot from 25 ft,65,57
251,3,6:15.0,,Offensive rebound by S. Ibaka,65,57
252,3,6:15.0,,S. Ibaka misses 2-pt layup from 2 ft,65,57
253,3,6:13.0,Defensive rebound by P. Millsap,,65,57
254,3,6:00.0,P. Millsap makes 2-pt jump shot from 6 ft (assist by D. Schröder),,67,57
