,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,SAN ANTONIO_ACTION,MINNESOTA_SCORE,SAN ANTONIO_SCORE
0,1,11:37.0,,L. Aldridge misses 2-pt jump shot from 10 ft,0,0
1,1,11:35.0,Defensive rebound by Z. LaVine,,0,0
2,1,11:22.0,R. Rubio misses 2-pt jump shot from 20 ft,,0,0
3,1,11:20.0,,Defensive rebound by P. Gasol,0,0
4,1,11:10.0,,L. Aldridge misses 2-pt layup from 2 ft,0,0
5,1,11:09.0,Defensive rebound by K. Towns,,0,0
6,1,11:05.0,Shooting foul by T. Parker (drawn by R. Rubio),,0,0
7,1,11:05.0,R. Rubio makes 2-pt layup from 2 ft,,2,0
8,1,11:05.0,R. Rubio makes free throw 1 of 1,,3,0
9,1,10:49.0,,K. Leonard makes 2-pt layup from 2 ft,3,2
10,1,10:36.0,Turnover by G. Dieng (bad pass),,3,2
11,1,10:14.0,,L. Aldridge makes 2-pt layup from 2 ft (assist by P. Gasol),3,4
12,1,9:54.0,G. Dieng makes 2-pt layup from 3 ft (assist by R. Rubio),,5,4
13,1,9:39.0,,T. Parker makes 2-pt layup from 1 ft,5,6
14,1,9:26.0,Z. LaVine misses 3-pt jump shot from 26 ft,,5,6
15,1,9:24.0,Offensive rebound by K. Towns,,5,6
16,1,9:18.0,G. Dieng misses 2-pt jump shot from 18 ft,,5,6
17,1,9:17.0,,Defensive rebound by K. Leonard,5,6
18,1,8:59.0,,P. Gasol makes 2-pt jump shot from 18 ft (assist by T. Parker),5,8
19,1,8:41.0,K. Towns misses 2-pt jump shot from 20 ft,,5,8
20,1,8:39.0,,Defensive rebound by P. Gasol,5,8
21,1,8:27.0,,L. Aldridge misses 2-pt jump shot from 15 ft,5,8
22,1,8:26.0,Defensive rebound by G. Dieng,,5,8
23,1,8:14.0,K. Towns makes 2-pt dunk at rim (assist by Z. LaVine),,7,8
24,1,7:56.0,,Personal foul by A. Wiggins (drawn by K. Leonard),7,8
25,1,7:48.0,,P. Gasol misses 2-pt jump shot from 5 ft,7,8
26,1,7:47.0,Defensive rebound by K. Towns,,7,8
27,1,7:32.0,K. Towns misses 2-pt jump shot from 7 ft,,7,8
28,1,7:31.0,,Defensive rebound by K. Leonard,7,8
29,1,7:26.0,,L. Aldridge makes 2-pt dunk at rim (assist by K. Leonard),7,10
30,1,7:04.0,A. Wiggins misses 2-pt jump shot from 17 ft,,7,10
31,1,7:03.0,,Defensive rebound by D. Green,7,10
32,1,6:52.0,,L. Aldridge misses 2-pt layup from 2 ft (block by G. Dieng),7,10
33,1,6:49.0,,Offensive rebound by P. Gasol,7,10
34,1,6:44.0,,K. Leonard misses 2-pt jump shot from 16 ft,7,10
35,1,6:43.0,Defensive rebound by K. Towns,,7,10
36,1,6:30.0,Turnover by A. Wiggins (lost ball; steal by D. Green),,7,10
37,1,6:25.0,,T. Parker misses 2-pt jump shot from 6 ft,7,10
38,1,6:23.0,Defensive rebound by Z. LaVine,,7,10
39,1,6:15.0,Shooting foul by P. Gasol (drawn by K. Towns),,7,10
40,1,6:15.0,K. Towns makes free throw 1 of 2,,8,10
41,1,6:15.0,K. Towns makes free throw 2 of 2,,9,10
42,1,5:56.0,,D. Green misses 2-pt layup from 1 ft (block by G. Dieng),9,10
43,1,5:53.0,Defensive rebound by G. Dieng,,9,10
44,1,5:47.0,Z. LaVine makes 2-pt layup from 4 ft (assist by A. Wiggins),,11,10
45,1,5:38.0,,San Antonio full timeout,11,10
46,1,5:38.0,,P. Mills enters the game for T. Parker,11,10
47,1,5:38.0,,D. Lee enters the game for P. Gasol,11,10
48,1,5:38.0,,M. Ginóbili enters the game for D. Green,11,10
49,1,5:38.0,S. Muhammad enters the game for Z. LaVine,,11,10
50,1,5:27.0,,K. Leonard misses 2-pt jump shot from 8 ft,11,10
51,1,5:25.0,,Offensive rebound by K. Leonard,11,10
52,1,5:11.0,,M. Ginóbili makes 3-pt jump shot from 24 ft (assist by L. Aldridge),11,13
53,1,4:51.0,Personal foul by M. Ginóbili (drawn by K. Towns),,11,13
54,1,4:45.0,K. Towns makes 2-pt hook shot from 4 ft (assist by G. Dieng),,13,13
55,1,4:26.0,,D. Lee misses 2-pt hook shot from 7 ft,13,13
56,1,4:25.0,Defensive rebound by A. Wiggins,,13,13
57,1,4:06.0,G. Dieng makes 2-pt layup at rim (assist by R. Rubio),,15,13
58,1,3:45.0,,P. Mills misses 2-pt jump shot from 19 ft,15,13
59,1,3:44.0,Defensive rebound by G. Dieng,,15,13
60,1,3:41.0,K. Towns makes 2-pt dunk at rim (assist by G. Dieng),,17,13
61,1,3:41.0,,Technical foul by Team,17,13
62,1,3:41.0,R. Rubio makes technical free throw,,18,13
63,1,3:27.0,,M. Ginóbili makes 3-pt jump shot from 24 ft (assist by K. Leonard),18,16
64,1,3:13.0,R. Rubio misses 2-pt layup from 2 ft,,18,16
65,1,3:12.0,,Defensive rebound by L. Aldridge,18,16
66,1,3:08.0,,Shooting foul by R. Rubio (drawn by D. Lee),18,16
67,1,3:08.0,,D. Lee makes free throw 1 of 2,18,17
68,1,3:08.0,,D. Dedmon enters the game for L. Aldridge,18,17
69,1,3:08.0,,D. Lee makes free throw 2 of 2,18,18
70,1,3:04.0,Turnover by K. Towns (lost ball),,18,18
71,1,2:53.0,,K. Leonard makes 2-pt jump shot from 9 ft,18,20
72,1,2:39.0,K. Towns makes 3-pt jump shot from 25 ft (assist by R. Rubio),,21,20
73,1,2:24.0,,P. Mills makes 3-pt jump shot from 22 ft (assist by M. Ginóbili),21,23
74,1,2:13.0,R. Rubio makes 2-pt jump shot from 17 ft,,23,23
75,1,2:01.0,,P. Mills misses 2-pt jump shot from 15 ft,23,23
76,1,2:00.0,Defensive rebound by A. Wiggins,,23,23
77,1,1:48.0,K. Towns misses 2-pt layup from 1 ft,,23,23
78,1,1:46.0,Offensive rebound by K. Towns,,23,23
79,1,1:46.0,K. Towns misses 2-pt layup from 1 ft,,23,23
80,1,1:43.0,Offensive rebound by S. Muhammad,,23,23
81,1,1:26.0,S. Muhammad makes 2-pt jump shot from 4 ft (assist by R. Rubio),,25,23
82,1,1:14.0,,K. Leonard makes 2-pt jump shot from 17 ft (assist by D. Lee),25,25
83,1,1:00.0,Shooting foul by D. Lee (drawn by G. Dieng),,25,25
84,1,1:00.0,Minnesota full timeout,,25,25
85,1,1:00.0,,Violation by Team (jump ball),25,25
86,1,1:00.0,G. Dieng makes free throw 1 of 2,,26,25
87,1,1:00.0,,J. Simmons enters the game for K. Leonard,25,25
88,1,1:00.0,N. Bjelica enters the game for K. Towns,,25,25
89,1,1:00.0,K. Dunn enters the game for R. Rubio,,25,25
90,1,1:00.0,G. Dieng makes free throw 2 of 2,,27,25
91,1,0:49.0,,P. Mills makes 3-pt jump shot from 24 ft (assist by M. Ginóbili),27,28
92,1,0:37.0,S. Muhammad misses 3-pt jump shot from 23 ft,,27,28
93,1,0:37.0,,Defensive rebound by D. Lee,27,28
94,1,0:31.0,,Turnover by P. Mills (bad pass),27,28
95,1,0:31.0,Z. LaVine enters the game for A. Wiggins,,27,28
96,1,0:31.0,G. Dieng misses 2-pt jump shot from 19 ft,,27,28
97,1,0:16.0,,Defensive rebound by D. Lee,27,28
98,1,0:04.0,,Shooting foul by Z. LaVine (drawn by J. Simmons),27,28
99,1,0:04.0,,J. Simmons makes free throw 1 of 2,27,29
100,1,0:04.0,,K. Anderson enters the game for D. Lee,27,29
101,1,0:04.0,,B. Forbes enters the game for D. Dedmon,27,29
102,1,0:04.0,,J. Simmons makes free throw 2 of 2,27,30
103,1,0:00.0,Shooting foul by B. Forbes (drawn by N. Bjelica),,27,30
104,1,0:00.0,N. Bjelica makes free throw 1 of 3,,28,30
105,1,0:00.0,N. Bjelica makes free throw 2 of 3,,29,30
106,1,0:00.0,N. Bjelica makes free throw 3 of 3,,30,30
107,2,11:38.0,S. Muhammad makes 3-pt jump shot from 23 ft (assist by N. Bjelica),,33,30
108,2,11:26.0,,M. Ginóbili misses 3-pt jump shot from 26 ft,33,30
109,2,11:25.0,Defensive rebound by Team,,33,30
110,2,11:25.0,,Loose ball foul by D. Dedmon (drawn by N. Bjelica),33,30
111,2,11:10.0,Shooting block foul by M. Ginóbili (drawn by S. Muhammad),,33,30
112,2,11:10.0,S. Muhammad makes free throw 1 of 2,,34,30
113,2,11:10.0,,D. Green enters the game for M. Ginóbili,34,30
114,2,11:10.0,S. Muhammad makes free throw 2 of 2,,35,30
115,2,10:55.0,,Shooting block foul by G. Dieng (drawn by P. Gasol),35,30
116,2,10:55.0,,P. Gasol misses free throw 1 of 2,35,30
117,2,10:55.0,,Offensive rebound by Team,35,30
