,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,DENVER_ACTION,WASHINGTON_SCORE,DENVER_SCORE
0,1,11:44.0,M. Gortat misses 2-pt jump shot from 16 ft,,0,0
1,1,11:43.0,,Defensive rebound by J. Hernangómez,0,0
2,1,11:32.0,,W. Chandler makes 2-pt dunk at rim (assist by M. Plumlee),0,2
3,1,11:16.0,B. Beal makes 2-pt jump shot from 16 ft (assist by J. Wall),,2,2
4,1,10:52.0,,J. Nelson misses 2-pt jump shot from 21 ft,2,2
5,1,10:52.0,,Offensive rebound by M. Plumlee,2,2
6,1,10:46.0,,G. Harris misses 3-pt jump shot from 24 ft,2,2
7,1,10:45.0,,Offensive rebound by J. Nelson,2,2
8,1,10:39.0,,M. Plumlee makes 2-pt layup from 1 ft (assist by J. Nelson),2,4
9,1,10:19.0,M. Morris makes 3-pt jump shot from 23 ft (assist by M. Gortat),,5,4
10,1,10:06.0,,W. Chandler makes 2-pt jump shot from 18 ft,5,6
11,1,9:48.0,J. Wall misses 3-pt jump shot from 27 ft,,5,6
12,1,9:47.0,,Defensive rebound by G. Harris,5,6
13,1,9:40.0,,G. Harris makes 2-pt layup from 1 ft,5,8
14,1,9:17.0,M. Gortat misses 2-pt hook shot from 9 ft,,5,8
15,1,9:16.0,Offensive rebound by O. Porter,,5,8
16,1,9:14.0,O. Porter misses 2-pt layup from 3 ft,,5,8
17,1,9:13.0,,Defensive rebound by J. Hernangómez,5,8
18,1,9:12.0,,Turnover by W. Chandler (lost ball),5,8
19,1,8:58.0,Turnover by M. Gortat (lost ball; steal by W. Chandler),,5,8
20,1,8:49.0,,G. Harris misses 2-pt layup from 1 ft,5,8
21,1,8:47.0,,Offensive rebound by M. Plumlee,5,8
22,1,8:47.0,,M. Plumlee misses 2-pt dunk at rim,5,8
23,1,8:46.0,Defensive rebound by J. Wall,,5,8
24,1,8:42.0,O. Porter makes 2-pt layup from 1 ft (assist by J. Wall),,7,8
25,1,8:28.0,,W. Chandler misses 2-pt jump shot from 17 ft,7,8
26,1,8:28.0,Defensive rebound by J. Wall,,7,8
27,1,8:22.0,J. Wall makes 2-pt layup from 1 ft,,9,8
28,1,8:08.0,,Turnover by M. Plumlee (bad pass; steal by O. Porter),9,8
29,1,8:00.0,B. Beal makes 3-pt jump shot from 27 ft (assist by J. Wall),,12,8
30,1,7:40.0,,M. Plumlee makes 2-pt jump shot from 20 ft (assist by W. Chandler),12,10
31,1,7:27.0,J. Wall makes 2-pt jump shot from 10 ft,,14,10
32,1,7:12.0,,G. Harris makes 3-pt jump shot from 24 ft (assist by M. Plumlee),14,13
33,1,7:01.0,Turnover by J. Wall (bad pass),,14,13
34,1,6:47.0,,W. Chandler makes 3-pt jump shot from 25 ft (assist by G. Harris),14,16
35,1,6:39.0,Washington full timeout,,14,16
36,1,6:39.0,,W. Barton enters the game for J. Hernangómez,14,16
37,1,6:28.0,O. Porter misses 2-pt jump shot from 8 ft,,14,16
38,1,6:27.0,,Defensive rebound by M. Plumlee,14,16
39,1,6:09.0,,Shooting foul by M. Morris (drawn by M. Plumlee),14,16
40,1,6:09.0,,M. Plumlee makes free throw 1 of 2,14,17
41,1,6:09.0,,M. Plumlee makes free throw 2 of 2,14,18
42,1,5:58.0,Shooting foul by W. Chandler (drawn by M. Morris),,14,18
43,1,5:58.0,M. Morris makes free throw 1 of 2,,15,18
44,1,5:58.0,M. Morris makes free throw 2 of 2,,16,18
45,1,5:43.0,,Turnover by J. Nelson (bad pass; steal by J. Wall),16,18
46,1,5:38.0,O. Porter misses 2-pt jump shot from 10 ft,,16,18
47,1,5:37.0,,Defensive rebound by W. Chandler,16,18
48,1,5:37.0,Loose ball foul by O. Porter (drawn by W. Chandler),,16,18
49,1,5:19.0,,M. Plumlee misses 2-pt layup from 2 ft,16,18
50,1,5:18.0,,Offensive rebound by G. Harris,16,18
51,1,5:18.0,,G. Harris makes 2-pt dunk at rim,16,20
52,1,5:07.0,B. Beal makes 3-pt jump shot from 26 ft,,19,20
53,1,4:54.0,,G. Harris misses 3-pt jump shot from 25 ft,19,20
54,1,4:52.0,Defensive rebound by M. Gortat,,19,20
55,1,4:44.0,,Violation by M. Plumlee (def goaltending),19,20
56,1,4:44.0,M. Gortat makes 2-pt layup from 3 ft (assist by J. Wall),,21,20
57,1,4:44.0,,Denver full timeout,21,20
58,1,4:44.0,,D. Arthur enters the game for M. Plumlee,21,20
59,1,4:44.0,B. Bogdanović enters the game for B. Beal,,21,20
60,1,4:44.0,B. Jennings enters the game for M. Morris,,21,20
61,1,4:23.0,,W. Barton misses 3-pt jump shot from 27 ft,21,20
62,1,4:21.0,Defensive rebound by M. Gortat,,21,20
63,1,4:09.0,B. Jennings misses 3-pt jump shot from 23 ft,,21,20
64,1,4:08.0,,Defensive rebound by J. Nelson,21,20
65,1,3:55.0,,J. Nelson misses 3-pt jump shot from 28 ft,21,20
66,1,3:55.0,Defensive rebound by B. Bogdanović,,21,20
67,1,3:43.0,B. Bogdanović makes 2-pt jump shot from 19 ft (assist by B. Jennings),,23,20
68,1,3:23.0,,W. Barton makes 2-pt dunk at rim (assist by G. Harris),23,22
69,1,3:03.0,O. Porter misses 2-pt jump shot from 22 ft,,23,22
70,1,3:02.0,,Defensive rebound by D. Arthur,23,22
71,1,2:43.0,,W. Chandler makes 2-pt jump shot from 8 ft (assist by W. Barton),23,24
72,1,2:24.0,M. Gortat makes 2-pt jump shot from 7 ft,,25,24
73,1,2:15.0,,W. Barton misses 2-pt jump shot from 5 ft,25,24
74,1,2:15.0,Defensive rebound by M. Gortat,,25,24
75,1,2:00.0,B. Bogdanović misses 2-pt jump shot from 13 ft,,25,24
76,1,1:59.0,,Defensive rebound by D. Arthur,25,24
77,1,1:57.0,,W. Barton makes 2-pt jump shot from 8 ft,25,26
78,1,1:57.0,,Shooting foul by B. Bogdanović (drawn by W. Barton),25,26
79,1,1:57.0,,W. Barton misses free throw 1 of 1,25,26
80,1,1:57.0,,J. Murray enters the game for J. Nelson,25,26
81,1,1:57.0,,J. Hernangómez enters the game for G. Harris,25,26
82,1,1:57.0,K. Oubre enters the game for O. Porter,,25,26
83,1,1:57.0,I. Mahinmi enters the game for M. Gortat,,25,26
84,1,1:42.0,Defensive rebound by I. Mahinmi,,25,26
85,1,1:39.0,J. Wall makes 2-pt layup from 2 ft,,27,26
86,1,1:34.0,J. Wall makes 2-pt layup from 1 ft,,29,26
87,1,1:34.0,Shooting foul by D. Arthur (drawn by J. Wall),,29,26
88,1,1:34.0,,W. Chandler misses 3-pt jump shot from 25 ft,29,26
89,1,1:34.0,Defensive rebound by K. Oubre,,29,26
90,1,1:34.0,J. Wall misses free throw 1 of 1,,29,26
91,1,1:34.0,,E. Mudiay enters the game for W. Chandler,29,26
92,1,1:31.0,,Defensive rebound by J. Hernangómez,29,26
93,1,1:14.0,,J. Hernangómez makes 2-pt jump shot from 4 ft (assist by E. Mudiay),29,28
94,1,0:59.0,K. Oubre misses 3-pt jump shot from 23 ft,,29,28
95,1,0:55.0,,Defensive rebound by D. Arthur,29,28
96,1,0:47.0,,Turnover by W. Barton (bad pass; steal by B. Bogdanović),29,28
97,1,0:43.0,B. Bogdanović makes 2-pt layup from 2 ft,,31,28
98,1,0:28.0,,E. Mudiay misses 2-pt jump shot from 4 ft,31,28
99,1,0:27.0,Defensive rebound by I. Mahinmi,,31,28
100,1,0:06.0,J. Wall makes 2-pt jump shot from 18 ft,,33,28
101,1,0:05.0,,Turnover by D. Arthur (bad pass; steal by B. Jennings),33,28
102,1,0:02.0,B. Jennings makes 2-pt layup from 3 ft,,35,28
103,2,11:43.0,,W. Barton misses 2-pt layup from 1 ft,35,28
104,2,11:43.0,Defensive rebound by I. Mahinmi,,35,28
105,2,11:32.0,B. Bogdanović misses 2-pt jump shot from 4 ft (block by D. Arthur),,35,28
106,2,11:31.0,Offensive rebound by Team,,35,28
107,2,11:28.0,Shooting foul by E. Mudiay (drawn by B. Bogdanović),,35,28
108,2,11:28.0,B. Bogdanović makes free throw 1 of 2,,36,28
109,2,11:28.0,B. Bogdanović makes free throw 2 of 2,,37,28
110,2,11:13.0,,Personal foul by B. Bogdanović,37,28
111,2,11:04.0,,W. Barton misses 3-pt jump shot from 24 ft,37,28
112,2,11:03.0,Defensive rebound by K. Oubre,,37,28
113,2,10:58.0,Shooting foul by J. Murray (drawn by B. Jennings),,37,28
114,2,10:58.0,B. Jennings misses free throw 1 of 2,,37,28
115,2,10:58.0,Offensive rebound by Team,,37,28
116,2,10:58.0,B. Jennings misses free throw 2 of 2,,37,28
117,2,10:56.0,,Defensive rebound by J. Hernangómez,37,28
118,2,10:43.0,,Turnover by E. Mudiay (traveling),37,28
119,2,10:30.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by B. Jennings),,39,28
120,2,10:21.0,,Shooting foul by K. Oubre (drawn by W. Barton),39,28
121,2,10:21.0,,W. Barton makes free throw 1 of 2,39,29
