,QUARTER,TIME_REMAINING,DETROIT_ACTION,NEW YORK_ACTION,DETROIT_SCORE,NEW YORK_SCORE
33,1,8:00.0,Shooting foul by D. Rose (drawn by I. Smith),,8,5
34,1,8:00.0,I. Smith makes free throw 1 of 2,,9,5
35,1,8:00.0,I. Smith misses free throw 2 of 2,,9,5
36,1,7:59.0,,Defensive rebound by J. Noah,9,5
37,1,7:48.0,,C. Lee makes 2-pt jump shot from 17 ft (assist by J. Noah),9,7
38,1,7:30.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,9,7
39,1,7:29.0,,Defensive rebound by D. Rose,9,7
40,1,7:19.0,,D. Rose makes 2-pt layup from 2 ft,9,9
41,1,7:04.0,K. Caldwell-Pope makes 2-pt jump shot from 17 ft,,11,9
42,1,6:42.0,,C. Anthony misses 2-pt jump shot from 19 ft,11,9
43,1,6:42.0,,Offensive rebound by J. Noah,11,9
44,1,6:40.0,,J. Noah misses 2-pt layup from 1 ft,11,9
45,1,6:38.0,Defensive rebound by I. Smith,,11,9
46,1,6:34.0,Turnover by I. Smith (bad pass; steal by K. Porziņģis),,11,9
47,1,6:29.0,,K. Porziņģis makes 2-pt layup at rim,11,11
48,1,5:59.0,M. Morris misses 2-pt jump shot from 21 ft,,11,11
49,1,5:59.0,,Defensive rebound by C. Lee,11,11
50,1,5:48.0,,C. Anthony makes 2-pt jump shot from 17 ft (assist by D. Rose),11,13
51,1,5:32.0,T. Harris makes 3-pt jump shot from 25 ft (assist by K. Caldwell-Pope),,14,13
52,1,5:13.0,,C. Lee misses 2-pt layup from 1 ft,14,13
53,1,5:13.0,Defensive rebound by A. Drummond,,14,13
54,1,4:58.0,A. Drummond misses 2-pt layup from 2 ft,,14,13
55,1,4:57.0,,Defensive rebound by K. Porziņģis,14,13
56,1,4:48.0,,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by J. Noah),14,16
57,1,4:40.0,Detroit full timeout,,14,16
58,1,4:40.0,J. Leuer enters the game for T. Harris,,14,16
59,1,4:31.0,Detroit full timeout,,14,16
60,1,4:22.0,A. Drummond makes 2-pt hook shot from 8 ft (assist by J. Leuer),,16,16
61,1,3:59.0,,C. Anthony makes 2-pt dunk at rim (assist by C. Lee),16,18
62,1,3:39.0,K. Caldwell-Pope makes 2-pt jump shot from 18 ft (assist by A. Drummond),,18,18
63,1,3:23.0,,J. Noah makes 2-pt layup from 1 ft (assist by C. Lee),18,20
64,1,3:03.0,A. Drummond makes 2-pt hook shot from 5 ft,,20,20
65,1,2:46.0,,D. Rose makes 2-pt jump shot from 8 ft,20,22
66,1,2:33.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,20,22
67,1,2:32.0,,Defensive rebound by J. Noah,20,22
68,1,2:23.0,,C. Anthony makes 3-pt jump shot from 25 ft (assist by K. Porziņģis),20,25
69,1,2:01.0,I. Smith makes 2-pt jump shot from 17 ft,,22,25
70,1,1:55.0,,New York full timeout,22,25
71,1,1:55.0,,J. Holiday enters the game for K. Porziņģis,22,25
72,1,1:55.0,,W. Hernangómez enters the game for C. Lee,22,25
73,1,1:55.0,B. Udrih enters the game for A. Drummond,,22,25
74,1,1:55.0,A. Baynes enters the game for I. Smith,,22,25
75,1,1:46.0,,C. Anthony misses 2-pt jump shot from 18 ft,22,25
76,1,1:46.0,Defensive rebound by J. Leuer,,22,25
77,1,1:36.0,J. Leuer makes 3-pt jump shot from 25 ft (assist by B. Udrih),,25,25
78,1,1:19.0,,Turnover by J. Noah (bad pass; steal by M. Morris),25,25
79,1,1:12.0,K. Caldwell-Pope misses 2-pt jump shot from 5 ft,,25,25
80,1,1:10.0,,Defensive rebound by J. Noah,25,25
81,1,1:06.0,,D. Rose misses 2-pt jump shot from 14 ft,25,25
82,1,1:05.0,,Offensive rebound by J. Noah,25,25
83,1,1:05.0,,J. Noah misses 2-pt layup at rim,25,25
84,1,1:03.0,,Offensive rebound by J. Noah,25,25
85,1,1:03.0,,J. Noah misses 2-pt layup at rim,25,25
86,1,1:01.0,,Offensive rebound by J. Noah,25,25
87,1,1:01.0,,J. Noah makes 2-pt layup at rim,25,27
88,1,0:40.0,M. Morris misses 3-pt jump shot from 25 ft,,25,27
89,1,0:39.0,,Defensive rebound by W. Hernangómez,25,27
90,1,0:23.0,,W. Hernangómez makes 2-pt layup from 1 ft (assist by C. Anthony),25,29
91,1,0:05.0,B. Udrih misses 2-pt jump shot from 3 ft (block by J. Noah),,25,29
92,1,0:04.0,Offensive rebound by Team,,25,29
93,1,0:04.0,,K. O'Quinn enters the game for J. Noah,25,29
94,1,0:01.0,K. Caldwell-Pope makes 2-pt jump shot from 14 ft (assist by M. Morris),,27,29
95,1,0:00.0,,D. Rose misses 3-pt jump shot from 69 ft,27,29
96,1,0:00.0,,Offensive rebound by Team,27,29
97,2,11:38.0,,W. Hernangómez misses 2-pt hook shot from 10 ft,27,29
98,2,11:36.0,Defensive rebound by S. Johnson,,27,29
99,2,11:27.0,B. Udrih makes 2-pt jump shot from 12 ft,,29,29
100,2,11:08.0,,M. Kuzminskas misses 3-pt jump shot from 25 ft,29,29
101,2,11:08.0,,Offensive rebound by K. O'Quinn,29,29
102,2,11:05.0,,Turnover by K. O'Quinn (lost ball; steal by T. Harris),29,29
103,2,10:49.0,S. Johnson makes 2-pt jump shot from 20 ft,,31,29
104,2,10:29.0,,K. O'Quinn misses 2-pt jump shot from 20 ft,31,29
105,2,10:28.0,,Offensive rebound by M. Kuzminskas,31,29
106,2,10:14.0,,B. Jennings misses 3-pt jump shot from 26 ft,31,29
107,2,10:14.0,Defensive rebound by J. Leuer,,31,29
108,2,10:03.0,T. Harris misses 3-pt jump shot from 25 ft,,31,29
109,2,10:02.0,Offensive rebound by J. Leuer,,31,29
110,2,10:00.0,J. Leuer makes 2-pt jump shot from 8 ft,,33,29
111,2,9:59.0,,New York full timeout,33,29
112,2,9:59.0,,K. Porziņģis enters the game for W. Hernangómez,33,29
113,2,9:43.0,,K. Porziņģis makes 2-pt hook shot from 10 ft,33,31
114,2,9:19.0,Turnover by J. Leuer (bad pass; steal by K. O'Quinn),,33,31
115,2,9:16.0,,Turnover by B. Jennings (lost ball; steal by S. Johnson),33,31
116,2,9:13.0,,Violation by B. Jennings (kicked ball),33,31
117,2,9:03.0,B. Udrih misses 2-pt layup from 2 ft (block by K. O'Quinn),,33,31
118,2,9:02.0,,Defensive rebound by B. Jennings,33,31
119,2,8:49.0,,Personal foul by S. Johnson (drawn by B. Jennings),33,31
120,2,8:38.0,,K. Porziņģis makes 2-pt jump shot from 12 ft,33,33
121,2,8:16.0,S. Johnson misses 2-pt jump shot from 6 ft (block by K. O'Quinn),,33,33
122,2,8:15.0,,Defensive rebound by M. Kuzminskas,33,33
123,2,8:13.0,,K. Porziņģis makes 2-pt dunk at rim (assist by B. Jennings),33,35
124,2,8:13.0,,Shooting foul by J. Leuer (drawn by K. Porziņģis),33,35
125,2,8:13.0,,K. Porziņģis makes free throw 1 of 1,33,36
126,2,7:48.0,B. Udrih makes 2-pt jump shot from 12 ft,,35,36
127,2,7:40.0,,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by B. Jennings),35,39
128,2,7:28.0,Detroit full timeout,,35,39
129,2,7:28.0,A. Drummond enters the game for A. Baynes,,35,39
130,2,7:13.0,J. Leuer misses 3-pt jump shot from 25 ft,,35,39
131,2,7:13.0,,Defensive rebound by J. Holiday,35,39
132,2,6:56.0,,J. Holiday misses 2-pt layup from 2 ft (block by A. Drummond),35,39
133,2,6:54.0,,Offensive rebound by J. Holiday,35,39
134,2,6:49.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by B. Jennings),35,42
135,2,6:34.0,B. Udrih makes 2-pt jump shot from 11 ft (assist by J. Leuer),,37,42
136,2,6:28.0,,K. O'Quinn makes 2-pt layup from 1 ft (assist by B. Jennings),37,44
137,2,6:10.0,Offensive foul by A. Drummond (drawn by K. O'Quinn),,37,44
138,2,6:10.0,Turnover by A. Drummond (offensive foul),,37,44
139,2,6:10.0,I. Smith enters the game for B. Udrih,,37,44
140,2,5:56.0,K. Caldwell-Pope enters the game for J. Leuer,,37,44
141,2,5:56.0,M. Morris enters the game for S. Johnson,,37,44
142,2,5:47.0,,B. Jennings misses 2-pt jump shot from 21 ft,37,44
143,2,5:47.0,Defensive rebound by T. Harris,,37,44
144,2,5:38.0,Shooting foul by K. O'Quinn (drawn by T. Harris),,37,44
145,2,5:38.0,T. Harris makes free throw 1 of 2,,38,44
146,2,5:38.0,,C. Anthony enters the game for K. O'Quinn,38,44
147,2,5:38.0,T. Harris makes free throw 2 of 2,,39,44
148,2,5:17.0,,K. Porziņģis misses 2-pt hook shot from 5 ft,39,44
149,2,5:16.0,Defensive rebound by T. Harris,,39,44
