,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,CLEVELAND_ACTION,LA CLIPPERS_SCORE,CLEVELAND_SCORE
0,1,11:45.0,B. Griffin misses 2-pt layup from 1 ft,,0,0
1,1,11:43.0,,Defensive rebound by J. Smith,0,0
2,1,11:31.0,,J. Smith makes 3-pt jump shot from 29 ft (assist by L. James),0,3
3,1,11:11.0,J. Redick misses 2-pt jump shot from 6 ft,,0,3
4,1,11:09.0,,Defensive rebound by J. Smith,0,3
5,1,11:09.0,,Personal foul by C. Paul (drawn by K. Irving),0,3
6,1,10:52.0,,K. Irving misses 2-pt jump shot from 13 ft,0,3
7,1,10:52.0,,Offensive rebound by Team,0,3
8,1,10:49.0,,K. Love misses 3-pt jump shot from 26 ft,0,3
9,1,10:48.0,Defensive rebound by D. Jordan,,0,3
10,1,10:36.0,J. Redick makes 2-pt jump shot from 18 ft (assist by B. Griffin),,2,3
11,1,10:22.0,,K. Love makes 2-pt jump shot from 16 ft (assist by L. James),2,5
12,1,9:58.0,B. Griffin misses 2-pt jump shot from 18 ft,,2,5
13,1,9:58.0,,Defensive rebound by K. Irving,2,5
14,1,9:50.0,,K. Irving makes 2-pt jump shot from 17 ft,2,7
15,1,9:36.0,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Griffin),,5,7
16,1,9:24.0,,Personal foul by J. Redick (drawn by K. Irving),5,7
17,1,9:13.0,,L. James misses 2-pt jump shot from 14 ft,5,7
18,1,9:13.0,,Offensive rebound by Team,5,7
19,1,9:13.0,Loose ball foul by L. Mbah a Moute (drawn by T. Thompson),,5,7
20,1,9:10.0,,K. Irving misses 2-pt layup from 1 ft,5,7
21,1,9:08.0,,Offensive rebound by L. James,5,7
22,1,9:08.0,,L. James misses 2-pt layup from 1 ft,5,7
23,1,9:07.0,Defensive rebound by B. Griffin,,5,7
24,1,9:04.0,J. Redick makes 2-pt layup from 2 ft (assist by C. Paul),,7,7
25,1,8:55.0,,K. Irving makes 2-pt jump shot from 10 ft,7,9
26,1,8:39.0,B. Griffin makes 2-pt jump shot from 16 ft (assist by C. Paul),,9,9
27,1,8:23.0,,Shooting foul by D. Jordan (drawn by L. James),9,9
28,1,8:23.0,,L. James makes free throw 1 of 2,9,10
29,1,8:23.0,,L. James makes free throw 2 of 2,9,11
30,1,8:05.0,C. Paul misses 3-pt jump shot from 25 ft,,9,11
31,1,8:04.0,,Defensive rebound by L. James,9,11
32,1,7:56.0,,K. Irving makes 3-pt jump shot from 23 ft (assist by J. Smith),9,14
33,1,7:56.0,LA Clippers full timeout,,9,14
34,1,7:41.0,B. Griffin misses 2-pt jump shot from 7 ft (block by T. Thompson),,9,14
35,1,7:40.0,Offensive rebound by B. Griffin,,9,14
36,1,7:32.0,B. Griffin misses 2-pt hook shot from 6 ft,,9,14
37,1,7:31.0,,Defensive rebound by L. James,9,14
38,1,7:28.0,,Personal foul by C. Paul (drawn by L. James),9,14
39,1,7:28.0,,L. James makes free throw 1 of 2,9,15
