,QUARTER,TIME_REMAINING,NEW YORK_ACTION,MIAMI_ACTION,NEW YORK_SCORE,MIAMI_SCORE
0,1,11:47.0,C. Anthony misses 2-pt jump shot from 19 ft,,0,0
1,1,11:46.0,,Defensive rebound by H. Whiteside,0,0
2,1,11:31.0,,W. Ellington makes 3-pt jump shot from 25 ft (assist by G. Dragić),0,3
3,1,11:18.0,D. Rose misses 2-pt jump shot from 19 ft,,0,3
4,1,11:17.0,,Defensive rebound by R. McGruder,0,3
5,1,11:01.0,,Turnover by G. Dragić (traveling),0,3
6,1,11:01.0,C. Lee misses 2-pt jump shot from 19 ft,,0,3
7,1,11:00.0,,Defensive rebound by J. McRoberts,0,3
8,1,10:39.0,,G. Dragić misses 2-pt jump shot from 10 ft,0,3
9,1,10:38.0,Defensive rebound by Team,,0,3
10,1,10:07.0,K. Porziņģis misses 2-pt hook shot from 6 ft,,0,3
11,1,10:06.0,Offensive rebound by J. Noah,,0,3
12,1,10:04.0,J. Noah misses 2-pt jump shot from 4 ft (block by H. Whiteside),,0,3
13,1,10:03.0,Offensive rebound by K. Porziņģis,,0,3
14,1,10:02.0,K. Porziņģis makes 2-pt dunk at rim,,2,3
15,1,9:45.0,,W. Ellington misses 3-pt jump shot from 24 ft,2,3
16,1,9:44.0,Defensive rebound by K. Porziņģis,,2,3
17,1,9:35.0,D. Rose misses 2-pt layup from 2 ft (block by H. Whiteside),,2,3
18,1,9:34.0,Offensive rebound by J. Noah,,2,3
19,1,9:33.0,J. Noah makes 2-pt layup from 1 ft,,4,3
20,1,9:21.0,,J. McRoberts misses 3-pt jump shot from 25 ft,4,3
21,1,9:20.0,Defensive rebound by C. Lee,,4,3
22,1,9:10.0,Shooting foul by G. Dragić (drawn by D. Rose),,4,3
23,1,9:10.0,D. Rose makes free throw 1 of 2,,5,3
24,1,9:10.0,D. Rose makes free throw 2 of 2,,6,3
25,1,8:52.0,,R. McGruder misses 2-pt jump shot from 20 ft,6,3
26,1,8:51.0,,Offensive rebound by J. McRoberts,6,3
27,1,8:50.0,,J. McRoberts misses 2-pt layup from 1 ft,6,3
28,1,8:49.0,,Offensive rebound by H. Whiteside,6,3
29,1,8:45.0,,H. Whiteside misses 2-pt hook shot from 5 ft,6,3
30,1,8:44.0,,Offensive rebound by J. McRoberts,6,3
31,1,8:41.0,,W. Ellington misses 3-pt jump shot from 23 ft,6,3
32,1,8:40.0,Defensive rebound by K. Porziņģis,,6,3
33,1,8:30.0,C. Anthony misses 2-pt jump shot from 16 ft,,6,3
34,1,8:29.0,,Defensive rebound by J. McRoberts,6,3
35,1,8:23.0,,R. McGruder makes 2-pt layup from 2 ft (assist by G. Dragić),6,5
36,1,8:07.0,C. Lee makes 2-pt jump shot from 12 ft,,8,5
37,1,7:53.0,,W. Ellington makes 3-pt jump shot from 26 ft (assist by J. McRoberts),8,8
38,1,7:29.0,C. Anthony misses 2-pt jump shot from 13 ft,,8,8
39,1,7:28.0,,Defensive rebound by R. McGruder,8,8
40,1,7:22.0,,G. Dragić makes 2-pt jump shot from 18 ft (assist by R. McGruder),8,10
41,1,7:15.0,D. Rose misses 2-pt layup from 3 ft (block by R. McGruder),,8,10
