,QUARTER,TIME_REMAINING,PORTLAND_ACTION,LA LAKERS_ACTION,PORTLAND_SCORE,LA LAKERS_SCORE
0,1,11:43.0,C. McCollum makes 2-pt jump shot from 20 ft,,2,0
1,1,11:29.0,,Turnover by J. Clarkson (bad pass; steal by M. Harkless),2,0
2,1,11:13.0,J. Nurkić misses 2-pt hook shot from 3 ft,,2,0
3,1,11:08.0,,Defensive rebound by J. Randle,2,0
4,1,11:04.0,,J. Randle misses 2-pt hook shot from 11 ft,2,0
5,1,10:57.0,Defensive rebound by D. Lillard,,2,0
6,1,10:52.0,J. Nurkić misses 2-pt jump shot from 6 ft,,2,0
7,1,10:48.0,,Defensive rebound by J. Randle,2,0
8,1,10:43.0,,C. Brewer misses 2-pt layup from 2 ft,2,0
9,1,10:36.0,Defensive rebound by N. Vonleh,,2,0
10,1,10:31.0,D. Lillard misses 2-pt jump shot from 3 ft (block by C. Brewer),,2,0
11,1,10:25.0,,Defensive rebound by C. Brewer,2,0
12,1,10:22.0,,D. Russell makes 2-pt layup from 2 ft (assist by C. Brewer),2,2
13,1,10:08.0,C. McCollum makes 2-pt jump shot from 8 ft,,4,2
14,1,9:59.0,,J. Clarkson misses 2-pt jump shot from 8 ft,4,2
15,1,9:52.0,Defensive rebound by N. Vonleh,,4,2
16,1,9:46.0,M. Harkless misses 3-pt jump shot from 26 ft,,4,2
17,1,9:43.0,,Defensive rebound by J. Clarkson,4,2
18,1,9:36.0,,I. Zubac misses 3-pt jump shot from 26 ft,4,2
19,1,9:34.0,Defensive rebound by N. Vonleh,,4,2
20,1,9:26.0,D. Lillard makes 3-pt jump shot from 27 ft,,7,2
21,1,9:17.0,,J. Clarkson makes 2-pt jump shot from 9 ft,7,4
22,1,9:02.0,D. Lillard misses 3-pt jump shot from 26 ft,,7,4
23,1,8:59.0,,Defensive rebound by J. Clarkson,7,4
24,1,8:50.0,,I. Zubac misses 2-pt jump shot from 8 ft,7,4
25,1,8:47.0,Defensive rebound by N. Vonleh,,7,4
26,1,8:37.0,C. McCollum misses 2-pt jump shot from 16 ft,,7,4
27,1,8:36.0,,Defensive rebound by J. Randle,7,4
28,1,8:28.0,,Personal foul by J. Nurkić (drawn by I. Zubac),7,4
29,1,8:23.0,,Personal foul by D. Lillard (drawn by D. Russell),7,4
30,1,8:23.0,,D. Russell makes free throw 1 of 2,7,5
31,1,8:23.0,,D. Russell makes free throw 2 of 2,7,6
32,1,8:07.0,J. Nurkić misses 2-pt layup from 1 ft (block by C. Brewer),,7,6
33,1,8:05.0,Offensive rebound by N. Vonleh,,7,6
34,1,7:59.0,D. Lillard misses 2-pt jump shot from 8 ft (block by J. Randle),,7,6
35,1,7:59.0,Offensive rebound by Team,,7,6
36,1,7:55.0,J. Nurkić makes 2-pt layup from 2 ft (assist by M. Harkless),,9,6
37,1,7:44.0,,D. Russell misses 2-pt jump shot from 20 ft,9,6
38,1,7:43.0,Defensive rebound by Team,,9,6
39,1,7:21.0,N. Vonleh misses 2-pt jump shot from 19 ft,,9,6
40,1,7:19.0,,Defensive rebound by I. Zubac,9,6
41,1,7:08.0,,Turnover by I. Zubac (lost ball; steal by D. Lillard),9,6
42,1,7:05.0,Shooting foul by I. Zubac (drawn by C. McCollum),,9,6
43,1,7:05.0,C. McCollum makes free throw 1 of 2,,10,6
44,1,7:05.0,C. McCollum makes free throw 2 of 2,,11,6
45,1,6:49.0,,J. Randle misses 2-pt hook shot from 8 ft,11,6
46,1,6:45.0,Defensive rebound by J. Nurkić,,11,6
47,1,6:32.0,J. Nurkić misses 2-pt layup from 2 ft,,11,6
48,1,6:32.0,,Defensive rebound by Team,11,6
49,1,6:16.0,,J. Clarkson makes 2-pt jump shot from 19 ft (assist by I. Zubac),11,8
50,1,6:03.0,D. Lillard misses 2-pt layup from 1 ft,,11,8
51,1,6:01.0,Offensive rebound by D. Lillard,,11,8
52,1,6:01.0,D. Lillard misses 2-pt layup from 1 ft,,11,8
53,1,5:58.0,,Defensive rebound by C. Brewer,11,8
54,1,5:55.0,,C. Brewer misses 2-pt layup from 3 ft,11,8
55,1,5:49.0,Defensive rebound by J. Nurkić,,11,8
56,1,5:49.0,,LA Lakers full timeout,11,8
57,1,5:49.0,A. Crabbe enters the game for N. Vonleh,,11,8
58,1,5:49.0,A. Aminu enters the game for C. McCollum,,11,8
59,1,5:42.0,D. Lillard misses 3-pt jump shot from 26 ft,,11,8
60,1,5:39.0,Offensive rebound by J. Nurkić,,11,8
61,1,5:35.0,D. Lillard makes 2-pt layup from 1 ft (assist by J. Nurkić),,13,8
62,1,5:18.0,,D. Russell misses 2-pt jump shot from 14 ft,13,8
63,1,5:15.0,Defensive rebound by A. Aminu,,13,8
64,1,5:04.0,Personal foul by J. Clarkson (drawn by A. Crabbe),,13,8
65,1,5:04.0,,L. Nance enters the game for I. Zubac,13,8
66,1,4:51.0,A. Aminu misses 2-pt jump shot from 21 ft,,13,8
67,1,4:47.0,,Defensive rebound by J. Clarkson,13,8
68,1,4:42.0,,J. Clarkson makes 3-pt jump shot from 23 ft (assist by J. Randle),13,11
69,1,4:22.0,A. Crabbe makes 3-pt jump shot from 25 ft (assist by J. Nurkić),,16,11
70,1,4:18.0,,Turnover by J. Randle (bad pass; steal by M. Harkless),16,11
71,1,4:18.0,Shooting foul by J. Randle (drawn by M. Harkless),,16,11
72,1,4:18.0,M. Harkless makes free throw 1 of 2,,17,11
73,1,4:18.0,M. Harkless makes free throw 2 of 2,,18,11
74,1,4:02.0,,J. Randle makes 2-pt layup from 2 ft (assist by J. Clarkson),18,13
75,1,3:42.0,J. Nurkić misses 2-pt layup from 2 ft,,18,13
76,1,3:39.0,Offensive rebound by A. Aminu,,18,13
77,1,3:39.0,A. Aminu makes 2-pt layup from 2 ft,,20,13
78,1,3:31.0,,D. Russell makes 2-pt jump shot from 21 ft,20,15
79,1,3:12.0,Turnover by M. Harkless (lost ball),,20,15
80,1,3:12.0,M. Leonard enters the game for J. Nurkić,,20,15
81,1,3:12.0,,D. Nwaba enters the game for C. Brewer,20,15
82,1,2:55.0,,L. Nance makes 2-pt dunk from 1 ft (assist by J. Randle),20,17
83,1,2:54.0,Portland full timeout,,20,17
84,1,2:54.0,E. Turner enters the game for M. Harkless,,20,17
85,1,2:54.0,C. McCollum enters the game for D. Lillard,,20,17
86,1,2:54.0,,T. Ennis enters the game for J. Clarkson,20,17
87,1,2:39.0,M. Leonard makes 2-pt jump shot from 18 ft (assist by C. McCollum),,22,17
88,1,2:20.0,,D. Russell misses 3-pt jump shot from 26 ft,22,17
89,1,2:19.0,Defensive rebound by E. Turner,,22,17
90,1,2:03.0,A. Crabbe misses 3-pt jump shot from 26 ft,,22,17
91,1,2:02.0,,Defensive rebound by J. Randle,22,17
92,1,1:53.0,,J. Randle misses 2-pt jump shot from 8 ft (block by A. Aminu),22,17
93,1,1:50.0,Defensive rebound by A. Crabbe,,22,17
94,1,1:43.0,Turnover by C. McCollum (bad pass; steal by J. Randle),,22,17
95,1,1:27.0,,T. Ennis misses 3-pt jump shot from 26 ft,22,17
96,1,1:24.0,Defensive rebound by A. Aminu,,22,17
97,1,1:08.0,Turnover by C. McCollum (lost ball; steal by D. Nwaba),,22,17
98,1,0:57.0,,D. Russell misses 2-pt jump shot from 21 ft,22,17
99,1,0:56.0,Defensive rebound by A. Aminu,,22,17
100,1,0:39.0,E. Turner misses 2-pt jump shot from 6 ft,,22,17
101,1,0:34.0,,Defensive rebound by L. Nance,22,17
102,1,0:27.0,,D. Russell misses 2-pt layup from 1 ft (block by A. Crabbe),22,17
103,1,0:22.0,Defensive rebound by A. Crabbe,,22,17
104,1,0:03.0,C. McCollum misses 2-pt jump shot from 20 ft,,22,17
105,1,0:02.0,,Defensive rebound by L. Nance,22,17
106,1,0:01.0,,L. Nance misses 3-pt jump shot from 65 ft,22,17
107,1,0:00.0,,Offensive rebound by Team,22,17
108,2,11:43.0,,Turnover by J. Clarkson (lost ball; steal by C. McCollum),22,17
109,2,11:38.0,A. Crabbe makes 2-pt layup from 1 ft (assist by C. McCollum),,24,17
110,2,11:21.0,,J. Clarkson misses 3-pt jump shot from 25 ft,24,17
111,2,11:20.0,Defensive rebound by M. Leonard,,24,17
112,2,11:02.0,A. Crabbe makes 3-pt jump shot from 26 ft (assist by C. McCollum),,27,17
113,2,10:47.0,,J. Clarkson misses 2-pt jump shot from 18 ft,27,17
114,2,10:44.0,Defensive rebound by A. Crabbe,,27,17
115,2,10:36.0,Personal foul by L. Nance (drawn by A. Aminu),,27,17
116,2,10:23.0,C. McCollum makes 2-pt layup at rim (assist by M. Leonard),,29,17
117,2,10:02.0,,T. Black misses 2-pt hook shot from 8 ft,29,17
118,2,9:58.0,Defensive rebound by A. Aminu,,29,17
119,2,9:52.0,M. Leonard misses 3-pt jump shot from 24 ft,,29,17
120,2,9:49.0,,Defensive rebound by T. Black,29,17
121,2,9:41.0,,L. Nance makes 2-pt jump shot from 18 ft (assist by T. Ennis),29,19
122,2,9:21.0,A. Crabbe misses 3-pt jump shot from 26 ft,,29,19
123,2,9:20.0,,Defensive rebound by T. Ennis,29,19
124,2,9:16.0,,Personal block foul by A. Crabbe (drawn by T. Ennis),29,19
125,2,9:08.0,,T. Ennis misses 2-pt jump shot from 18 ft,29,19
126,2,9:06.0,Defensive rebound by A. Aminu,,29,19
127,2,8:54.0,A. Aminu makes 2-pt layup from 2 ft (assist by E. Turner),,31,19
128,2,8:54.0,Shooting foul by T. Black (drawn by A. Aminu),,31,19
129,2,8:54.0,Official timeout,,31,19
130,2,8:54.0,A. Aminu misses free throw 1 of 1,,31,19
131,2,8:54.0,N. Vonleh enters the game for M. Leonard,,31,19
132,2,8:52.0,,Defensive rebound by L. Nance,31,19
133,2,8:39.0,,J. Clarkson misses 2-pt jump shot from 10 ft,31,19
134,2,8:37.0,Defensive rebound by N. Vonleh,,31,19
135,2,8:16.0,A. Aminu misses 3-pt jump shot from 23 ft,,31,19
136,2,8:15.0,,Defensive rebound by T. Black,31,19
137,2,8:03.0,,T. Ennis makes 2-pt jump shot from 17 ft,31,21
138,2,7:49.0,Turnover by C. McCollum (bad pass; steal by T. Ennis),,31,21
139,2,7:43.0,,L. Nance makes 2-pt layup from 1 ft (assist by T. Ennis),31,23
140,2,7:27.0,Turnover by C. McCollum (lost ball; steal by T. Ennis),,31,23
141,2,7:12.0,,J. Clarkson misses 3-pt jump shot from 26 ft,31,23
142,2,7:10.0,Defensive rebound by C. McCollum,,31,23
143,2,7:02.0,A. Crabbe misses 3-pt jump shot from 26 ft,,31,23
144,2,7:00.0,,Defensive rebound by J. Clarkson,31,23
