,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CHICAGO_ACTION,WASHINGTON_SCORE,CHICAGO_SCORE
0,1,11:46.0,S. Mac makes 3-pt jump shot from 25 ft (assist by T. Satoranský),,3,0
1,1,11:29.0,,D. Wade misses 2-pt jump shot from 14 ft,3,0
2,1,11:28.0,Defensive rebound by T. Satoranský,,3,0
3,1,11:18.0,M. Gortat makes 2-pt jump shot from 12 ft (assist by T. Satoranský),,5,0
4,1,10:55.0,,R. Rondo misses 2-pt layup from 3 ft,5,0
5,1,10:54.0,Defensive rebound by M. Gortat,,5,0
6,1,10:37.0,M. Gortat misses 2-pt jump shot from 13 ft,,5,0
7,1,10:36.0,,Defensive rebound by R. Rondo,5,0
8,1,10:30.0,,Personal foul by O. Porter (drawn by J. Butler),5,0
9,1,10:26.0,,J. Butler makes 2-pt dunk at rim (assist by R. Lopez),5,2
10,1,10:07.0,Turnover by M. Gortat (bad pass),,5,2
11,1,9:55.0,,R. Lopez makes 2-pt hook shot from 2 ft (assist by R. Rondo),5,4
12,1,9:37.0,O. Porter misses 2-pt jump shot from 13 ft,,5,4
13,1,9:35.0,Offensive rebound by M. Gortat,,5,4
14,1,9:35.0,M. Gortat makes 2-pt layup from 1 ft,,7,4
15,1,9:25.0,,J. Butler misses 2-pt jump shot from 4 ft,7,4
16,1,9:24.0,Defensive rebound by Team,,7,4
17,1,9:05.0,O. Porter misses 2-pt jump shot from 14 ft,,7,4
18,1,9:04.0,,Defensive rebound by R. Rondo,7,4
19,1,8:52.0,,D. Wade misses 2-pt layup from 2 ft,7,4
20,1,8:51.0,Defensive rebound by M. Morris,,7,4
21,1,8:50.0,Personal foul by R. Rondo (drawn by T. Satoranský),,7,4
22,1,8:41.0,M. Morris makes 2-pt jump shot from 10 ft,,9,4
23,1,8:24.0,,T. Gibson makes 2-pt layup from 3 ft (assist by J. Butler),9,6
24,1,8:04.0,S. Mac misses 2-pt jump shot from 20 ft,,9,6
25,1,8:03.0,,Defensive rebound by T. Gibson,9,6
26,1,7:45.0,,J. Butler misses 2-pt jump shot from 19 ft,9,6
27,1,7:44.0,,Offensive rebound by R. Lopez,9,6
28,1,7:44.0,,R. Lopez makes 2-pt layup from 3 ft,9,8
29,1,7:22.0,M. Morris makes 2-pt jump shot from 9 ft,,11,8
30,1,7:01.0,,Shooting foul by T. Satoranský (drawn by T. Gibson),11,8
31,1,7:01.0,,T. Gibson makes free throw 1 of 2,11,9
32,1,7:01.0,,T. Gibson misses free throw 2 of 2,11,9
33,1,6:59.0,Defensive rebound by M. Gortat,,11,9
34,1,6:50.0,M. Gortat makes 2-pt dunk at rim (assist by T. Satoranský),,13,9
35,1,6:35.0,,R. Rondo misses 2-pt jump shot from 19 ft,13,9
36,1,6:33.0,,Offensive rebound by R. Lopez,13,9
37,1,6:33.0,,R. Lopez misses 2-pt layup from 3 ft,13,9
38,1,6:33.0,Defensive rebound by M. Gortat,,13,9
39,1,6:23.0,T. Satoranský misses 2-pt jump shot from 12 ft,,13,9
40,1,6:22.0,,Defensive rebound by R. Lopez,13,9
41,1,6:15.0,,R. Rondo misses 2-pt jump shot from 6 ft,13,9
42,1,6:14.0,Defensive rebound by O. Porter,,13,9
43,1,6:07.0,M. Gortat makes 2-pt layup from 3 ft (assist by T. Satoranský),,15,9
44,1,6:06.0,,Chicago full timeout,15,9
45,1,5:55.0,Offensive charge foul by D. Wade (drawn by S. Mac),,15,9
46,1,5:55.0,,Turnover by D. Wade (offensive foul),15,9
47,1,5:41.0,M. Morris makes 2-pt jump shot from 18 ft,,17,9
48,1,5:26.0,,T. Gibson misses 2-pt jump shot from 9 ft,17,9
49,1,5:26.0,,Offensive rebound by Team,17,9
50,1,5:26.0,,D. McDermott enters the game for D. Wade,17,9
51,1,5:14.0,,J. Butler misses 2-pt jump shot from 16 ft,17,9
52,1,5:13.0,Defensive rebound by M. Gortat,,17,9
53,1,5:00.0,T. Satoranský misses 2-pt jump shot from 10 ft,,17,9
54,1,4:59.0,Offensive rebound by M. Gortat,,17,9
55,1,4:59.0,M. Gortat makes 2-pt layup from 3 ft,,19,9
56,1,4:39.0,,J. Butler misses 2-pt layup from 1 ft,19,9
57,1,4:38.0,,Offensive rebound by R. Lopez,19,9
58,1,4:38.0,,R. Lopez misses 2-pt layup from 3 ft,19,9
59,1,4:37.0,,Offensive rebound by T. Gibson,19,9
60,1,4:34.0,,T. Gibson misses 2-pt layup from 4 ft,19,9
61,1,4:33.0,Defensive rebound by M. Gortat,,19,9
62,1,4:29.0,O. Porter makes 2-pt layup from 1 ft (assist by T. Satoranský),,21,9
63,1,4:29.0,Shooting foul by R. Lopez (drawn by O. Porter),,21,9
64,1,4:29.0,O. Porter misses free throw 1 of 1,,21,9
65,1,4:29.0,,I. Canaan enters the game for R. Rondo,21,9
66,1,4:28.0,,Defensive rebound by R. Lopez,21,9
67,1,4:14.0,,R. Lopez misses 2-pt jump shot from 18 ft,21,9
68,1,4:13.0,,Offensive rebound by J. Butler,21,9
69,1,4:04.0,,J. Butler makes 2-pt jump shot from 8 ft,21,11
70,1,4:04.0,,Shooting foul by T. Satoranský (drawn by J. Butler),21,11
71,1,4:04.0,J. Smith enters the game for M. Morris,,21,11
72,1,4:04.0,T. Burke enters the game for T. Satoranský,,21,11
73,1,4:04.0,,N. Mirotić enters the game for T. Gibson,21,11
74,1,4:04.0,,J. Butler makes free throw 1 of 1,21,12
75,1,3:50.0,Turnover by O. Porter (bad pass),,21,12
76,1,3:29.0,,I. Canaan makes 3-pt jump shot from 24 ft (assist by J. Butler),21,15
77,1,3:17.0,J. Smith misses 2-pt jump shot from 17 ft,,21,15
78,1,3:16.0,,Defensive rebound by D. McDermott,21,15
79,1,3:10.0,,Shooting foul by S. Mac (drawn by J. Butler),21,15
80,1,3:10.0,,J. Butler makes free throw 1 of 2,21,16
81,1,3:10.0,,J. Butler makes free throw 2 of 2,21,17
82,1,3:06.0,Washington full timeout,,21,17
83,1,3:06.0,M. Thornton enters the game for S. Mac,,21,17
