,QUARTER,TIME_REMAINING,CHICAGO_ACTION,PORTLAND_ACTION,CHICAGO_SCORE,PORTLAND_SCORE
0,1,11:44.0,R. Lopez makes 2-pt hook shot from 8 ft,,2,0
1,1,11:28.0,,D. Lillard misses 2-pt jump shot from 16 ft,2,0
2,1,11:27.0,Defensive rebound by T. Gibson,,2,0
3,1,11:15.0,J. Butler makes 2-pt jump shot from 7 ft,,4,0
4,1,10:56.0,,Turnover by C. McCollum (bad pass; steal by D. Wade),4,0
5,1,10:51.0,D. Wade makes 2-pt layup from 1 ft,,6,0
6,1,10:40.0,,C. McCollum misses 2-pt layup from 3 ft,6,0
7,1,10:39.0,Defensive rebound by R. Lopez,,6,0
8,1,10:33.0,D. Wade misses 2-pt layup from 2 ft,,6,0
9,1,10:32.0,Offensive rebound by T. Gibson,,6,0
10,1,10:32.0,T. Gibson makes 2-pt layup from 1 ft,,8,0
11,1,10:32.0,,Portland full timeout,8,0
12,1,10:16.0,,D. Lillard misses 2-pt layup from 2 ft (block by T. Gibson),8,0
13,1,10:15.0,Defensive rebound by R. Lopez,,8,0
14,1,10:02.0,T. Gibson misses 2-pt jump shot from 13 ft,,8,0
15,1,10:02.0,,Defensive rebound by M. Harkless,8,0
16,1,9:54.0,,C. McCollum misses 3-pt jump shot from 25 ft,8,0
17,1,9:53.0,Defensive rebound by R. Lopez,,8,0
18,1,9:46.0,Shooting foul by M. Harkless (drawn by J. Butler),,8,0
19,1,9:46.0,J. Butler makes free throw 1 of 2,,9,0
20,1,9:46.0,J. Butler makes free throw 2 of 2,,10,0
21,1,9:33.0,,M. Leonard misses 3-pt jump shot from 25 ft,10,0
22,1,9:32.0,Defensive rebound by J. Butler,,10,0
23,1,9:18.0,J. Butler misses 2-pt jump shot from 18 ft,,10,0
24,1,9:17.0,,Defensive rebound by C. McCollum,10,0
25,1,9:09.0,,D. Lillard misses 3-pt jump shot from 25 ft,10,0
26,1,9:09.0,Defensive rebound by R. Lopez,,10,0
27,1,8:58.0,D. Wade misses 2-pt jump shot from 8 ft,,10,0
28,1,8:57.0,Offensive rebound by D. Wade,,10,0
29,1,8:57.0,D. Wade misses 2-pt layup from 1 ft,,10,0
30,1,8:56.0,Offensive rebound by D. Wade,,10,0
31,1,8:49.0,J. Butler misses 2-pt jump shot from 7 ft,,10,0
32,1,8:48.0,,Defensive rebound by D. Lillard,10,0
33,1,8:45.0,,Personal foul by J. Grant (drawn by M. Plumlee),10,0
34,1,8:36.0,,Shooting foul by R. Lopez (drawn by M. Plumlee),10,0
35,1,8:36.0,,M. Plumlee makes free throw 1 of 2,10,1
36,1,8:36.0,,M. Plumlee makes free throw 2 of 2,10,2
37,1,8:21.0,J. Grant makes 3-pt jump shot from 25 ft (assist by D. Wade),,13,2
