,QUARTER,TIME_REMAINING,BOSTON_ACTION,INDIANA_ACTION,BOSTON_SCORE,INDIANA_SCORE
0,1,11:40.0,A. Bradley makes 2-pt jump shot from 19 ft,,2,0
1,1,11:23.0,,Turnover by J. Teague (bad pass; steal by A. Bradley),2,0
2,1,11:18.0,A. Bradley misses 2-pt layup from 3 ft,,2,0
3,1,11:17.0,,Defensive rebound by G. Robinson,2,0
4,1,11:10.0,,T. Young misses 3-pt jump shot from 24 ft,2,0
5,1,11:09.0,Defensive rebound by A. Horford,,2,0
6,1,10:58.0,J. Crowder makes 2-pt layup from 2 ft (assist by A. Horford),,4,0
7,1,10:44.0,,J. Teague makes 2-pt jump shot from 11 ft,4,2
8,1,10:26.0,A. Johnson makes 3-pt jump shot from 27 ft (assist by I. Thomas),,7,2
9,1,10:13.0,,Turnover by G. Robinson (lost ball; steal by A. Bradley),7,2
10,1,10:03.0,A. Horford makes 2-pt jump shot from 18 ft (assist by I. Thomas),,9,2
11,1,9:45.0,,Shooting foul by I. Thomas (drawn by J. Teague),9,2
12,1,9:45.0,,J. Teague makes free throw 1 of 2,9,3
13,1,9:45.0,,J. Teague makes free throw 2 of 2,9,4
14,1,9:33.0,I. Thomas misses 3-pt jump shot from 24 ft,,9,4
15,1,9:32.0,,Defensive rebound by P. George,9,4
16,1,9:20.0,,M. Turner misses 2-pt jump shot from 22 ft,9,4
17,1,9:19.0,Defensive rebound by A. Johnson,,9,4
18,1,9:18.0,Personal foul by P. George (drawn by A. Johnson),,9,4
19,1,9:09.0,Turnover by J. Crowder (bad pass; steal by P. George),,9,4
20,1,9:03.0,,G. Robinson misses 2-pt layup from 2 ft,9,4
21,1,9:02.0,,Offensive rebound by M. Turner,9,4
22,1,9:02.0,,M. Turner makes 2-pt layup from 2 ft,9,6
23,1,8:46.0,I. Thomas makes 3-pt jump shot from 26 ft,,12,6
24,1,8:35.0,,J. Teague makes 2-pt layup from 3 ft,12,8
25,1,8:21.0,Turnover by J. Crowder (bad pass),,12,8
26,1,8:10.0,,P. George makes 2-pt jump shot from 21 ft,12,10
27,1,7:47.0,I. Thomas misses 3-pt jump shot from 27 ft,,12,10
28,1,7:47.0,,Defensive rebound by G. Robinson,12,10
29,1,7:37.0,,T. Young makes 2-pt jump shot from 19 ft (assist by J. Teague),12,12
30,1,7:12.0,J. Crowder makes 3-pt jump shot from 27 ft (assist by I. Thomas),,15,12
31,1,6:55.0,,Shooting block foul by A. Johnson (drawn by P. George),15,12
32,1,6:55.0,,P. George makes free throw 1 of 2,15,13
33,1,6:55.0,,P. George makes free throw 2 of 2,15,14
34,1,6:36.0,A. Horford misses 3-pt jump shot from 25 ft,,15,14
35,1,6:36.0,,Defensive rebound by T. Young,15,14
36,1,6:18.0,,M. Turner makes 2-pt jump shot from 18 ft (assist by J. Teague),15,16
