,QUARTER,TIME_REMAINING,TORONTO_ACTION,MINNESOTA_ACTION,TORONTO_SCORE,MINNESOTA_SCORE
0,1,11:40.0,,R. Rubio misses 2-pt jump shot from 14 ft,0,0
1,1,11:39.0,Defensive rebound by D. Carroll,,0,0
2,1,11:15.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by D. Carroll),,2,0
3,1,11:00.0,,A. Wiggins makes 2-pt jump shot from 19 ft,2,2
4,1,10:37.0,D. DeRozan misses 2-pt jump shot from 14 ft (block by A. Wiggins),,2,2
5,1,10:35.0,Offensive rebound by D. DeRozan,,2,2
6,1,10:34.0,D. DeRozan makes 2-pt jump shot from 10 ft,,4,2
7,1,10:13.0,,G. Dieng misses 2-pt jump shot from 19 ft,4,2
8,1,10:11.0,Defensive rebound by P. Siakam,,4,2
9,1,10:01.0,D. DeRozan misses 2-pt jump shot from 11 ft,,4,2
10,1,9:59.0,,Defensive rebound by K. Towns,4,2
11,1,9:53.0,,A. Wiggins makes 2-pt layup at rim (assist by R. Rubio),4,4
12,1,9:31.0,D. DeRozan misses 2-pt jump shot from 21 ft,,4,4
13,1,9:30.0,,Defensive rebound by B. Rush,4,4
14,1,9:21.0,,K. Towns makes 2-pt hook shot from 6 ft (assist by R. Rubio),4,6
15,1,9:05.0,Personal block foul by A. Wiggins (drawn by D. DeRozan),,4,6
16,1,8:51.0,K. Lowry misses 3-pt jump shot from 25 ft,,4,6
17,1,8:49.0,Offensive rebound by D. Carroll,,4,6
18,1,8:35.0,D. Carroll misses 2-pt layup from 2 ft (block by K. Towns),,4,6
19,1,8:33.0,Offensive rebound by P. Siakam,,4,6
20,1,8:32.0,P. Siakam makes 2-pt jump shot from 12 ft,,6,6
21,1,8:13.0,,B. Rush misses 3-pt jump shot from 22 ft,6,6
22,1,8:12.0,Defensive rebound by D. DeRozan,,6,6
23,1,7:53.0,D. DeRozan makes 3-pt jump shot from 23 ft (assist by D. Carroll),,9,6
24,1,7:36.0,,Shooting foul by D. Carroll (drawn by A. Wiggins),9,6
25,1,7:36.0,,A. Wiggins makes free throw 1 of 2,9,7
26,1,7:36.0,,A. Wiggins makes free throw 2 of 2,9,8
27,1,7:16.0,J. Valančiūnas makes 2-pt jump shot from 6 ft (assist by K. Lowry),,11,8
28,1,6:55.0,,A. Wiggins makes 2-pt jump shot from 13 ft (assist by R. Rubio),11,10
29,1,6:50.0,Shooting foul by K. Towns (drawn by P. Siakam),,11,10
30,1,6:50.0,P. Siakam misses free throw 1 of 2,,11,10
31,1,6:50.0,Offensive rebound by Team,,11,10
32,1,6:50.0,P. Siakam misses free throw 2 of 2,,11,10
33,1,6:49.0,Offensive rebound by P. Siakam,,11,10
34,1,6:43.0,D. Carroll makes 3-pt jump shot from 24 ft (assist by K. Lowry),,14,10
35,1,6:23.0,,K. Towns makes 2-pt dunk at rim,14,12
36,1,6:11.0,Shooting foul by R. Rubio (drawn by K. Lowry),,14,12
37,1,6:11.0,K. Lowry makes free throw 1 of 3,,15,12
38,1,6:11.0,K. Lowry makes free throw 2 of 3,,16,12
39,1,6:11.0,K. Lowry makes free throw 3 of 3,,17,12
40,1,6:04.0,,R. Rubio makes 2-pt jump shot from 21 ft,17,14
41,1,5:53.0,Personal foul by B. Rush (drawn by D. Carroll),,17,14
42,1,5:53.0,,Minnesota full timeout,17,14
43,1,5:41.0,,Violation by A. Wiggins (kicked ball),17,14
44,1,5:41.0,Inbound foul by R. Rubio,,17,14
45,1,5:41.0,,T. Jones enters the game for R. Rubio,17,14
46,1,5:41.0,D. DeRozan makes free throw 1 of 1,,18,14
47,1,5:28.0,D. DeRozan misses 2-pt jump shot from 20 ft,,18,14
48,1,5:27.0,,Defensive rebound by G. Dieng,18,14
49,1,5:06.0,,A. Wiggins misses 2-pt jump shot from 22 ft,18,14
50,1,5:04.0,Defensive rebound by P. Siakam,,18,14
51,1,4:45.0,D. DeRozan misses 3-pt jump shot from 23 ft,,18,14
52,1,4:43.0,,Defensive rebound by Team,18,14
53,1,4:32.0,,K. Towns misses 3-pt jump shot from 25 ft,18,14
54,1,4:30.0,Defensive rebound by D. Carroll,,18,14
55,1,4:25.0,K. Lowry misses 3-pt jump shot from 24 ft,,18,14
56,1,4:24.0,Offensive rebound by K. Lowry,,18,14
57,1,4:15.0,K. Lowry makes 2-pt jump shot from 5 ft,,20,14
58,1,4:00.0,,A. Wiggins misses 3-pt jump shot from 25 ft,20,14
59,1,3:59.0,,Offensive rebound by K. Towns,20,14
60,1,3:50.0,,Shooting foul by J. Valančiūnas (drawn by A. Wiggins),20,14
61,1,3:50.0,,A. Wiggins makes free throw 1 of 2,20,15
62,1,3:50.0,,S. Muhammad enters the game for B. Rush,20,15
63,1,3:50.0,C. Joseph enters the game for K. Lowry,,20,15
64,1,3:50.0,,A. Wiggins makes free throw 2 of 2,20,16
65,1,3:35.0,D. DeRozan makes 2-pt jump shot from 17 ft,,22,16
66,1,3:23.0,,Shooting foul by P. Siakam (drawn by K. Towns),22,16
67,1,3:23.0,,K. Towns makes free throw 1 of 2,22,17
68,1,3:23.0,L. Nogueira enters the game for P. Siakam,,22,17
69,1,3:23.0,,K. Towns makes free throw 2 of 2,22,18
70,1,3:11.0,Shooting foul by G. Dieng (drawn by D. DeRozan),,22,18
71,1,3:11.0,D. DeRozan makes free throw 1 of 2,,23,18
72,1,3:11.0,J. Poeltl enters the game for J. Valančiūnas,,23,18
73,1,3:11.0,D. DeRozan makes free throw 2 of 2,,24,18
74,1,2:53.0,,K. Towns misses 3-pt jump shot from 24 ft,24,18
75,1,2:51.0,Defensive rebound by D. Carroll,,24,18
76,1,2:34.0,C. Joseph makes 2-pt layup from 1 ft,,26,18
77,1,2:16.0,,S. Muhammad makes 3-pt jump shot from 25 ft (assist by T. Jones),26,21
78,1,1:50.0,D. Carroll makes 3-pt jump shot from 23 ft (assist by C. Joseph),,29,21
79,1,1:37.0,Violation by D. Carroll (kicked ball),,29,21
80,1,1:37.0,Toronto full timeout,,29,21
81,1,1:37.0,,N. Bjelica enters the game for G. Dieng,29,21
82,1,1:37.0,T. Ross enters the game for D. Carroll,,29,21
83,1,1:29.0,,S. Muhammad misses 3-pt jump shot from 25 ft,29,21
84,1,1:28.0,,Offensive rebound by K. Towns,29,21
85,1,1:25.0,,Shooting foul by J. Poeltl (drawn by S. Muhammad),29,21
86,1,1:25.0,,S. Muhammad makes free throw 1 of 2,29,22
87,1,1:25.0,,S. Muhammad makes free throw 2 of 2,29,23
88,1,1:09.0,J. Poeltl makes 2-pt layup from 1 ft (assist by C. Joseph),,31,23
89,1,0:53.0,,S. Muhammad misses 3-pt jump shot from 24 ft,31,23
90,1,0:52.0,Defensive rebound by J. Poeltl,,31,23
91,1,0:32.0,Shooting foul by K. Towns (drawn by D. DeRozan),,31,23
92,1,0:32.0,D. DeRozan misses free throw 1 of 2,,31,23
93,1,0:32.0,Offensive rebound by Team,,31,23
94,1,0:32.0,D. DeRozan misses free throw 2 of 2,,31,23
95,1,0:31.0,,Defensive rebound by A. Wiggins,31,23
96,1,0:22.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by N. Bjelica),31,25
97,1,0:00.0,D. DeRozan makes 2-pt jump shot from 14 ft,,33,25
98,2,11:46.0,L. Nogueira makes 2-pt dunk at rim (assist by T. Ross),,35,25
99,2,11:23.0,,L. Stephenson makes 2-pt jump shot from 20 ft (assist by S. Muhammad),35,27
100,2,11:04.0,K. Lowry misses 3-pt jump shot from 25 ft,,35,27
101,2,11:03.0,,Defensive rebound by Team,35,27
102,2,10:42.0,,N. Bjelica misses 3-pt jump shot from 24 ft,35,27
103,2,10:41.0,Defensive rebound by J. Poeltl,,35,27
104,2,10:32.0,Turnover by L. Nogueira (lost ball; steal by C. Aldrich),,35,27
105,2,10:27.0,,S. Muhammad makes 2-pt dunk at rim (assist by T. Jones),35,29
