,QUARTER,TIME_REMAINING,DENVER_ACTION,NEW ORLEANS_ACTION,DENVER_SCORE,NEW ORLEANS_SCORE
0,1,11:39.0,Turnover by N. Jokić (bad pass; steal by A. Davis),,0,0
1,1,11:35.0,,Turnover by S. Hill (bad pass; steal by E. Mudiay),0,0
2,1,11:28.0,Shooting foul by Ö. Aşık (drawn by J. Nurkić),,0,0
3,1,11:28.0,J. Nurkić misses free throw 1 of 2,,0,0
4,1,11:28.0,Offensive rebound by Team,,0,0
5,1,11:28.0,J. Nurkić makes free throw 2 of 2,,1,0
6,1,11:11.0,,E. Moore makes 2-pt jump shot from 8 ft (assist by A. Davis),1,2
7,1,10:49.0,Turnover by E. Mudiay (lost ball; steal by E. Moore),,1,2
8,1,10:41.0,,A. Davis misses 2-pt jump shot from 21 ft,1,2
9,1,10:39.0,Defensive rebound by D. Gallinari,,1,2
10,1,10:32.0,N. Jokić misses 2-pt hook shot from 7 ft,,1,2
11,1,10:32.0,,Defensive rebound by Team,1,2
12,1,10:32.0,Loose ball foul by J. Nurkić (drawn by Ö. Aşık),,1,2
13,1,10:11.0,,Turnover by E. Moore (bad pass; steal by D. Gallinari),1,2
14,1,10:11.0,Personal foul by E. Moore (drawn by E. Mudiay),,1,2
15,1,9:57.0,D. Gallinari misses 2-pt jump shot from 15 ft,,1,2
16,1,9:55.0,,Defensive rebound by T. Frazier,1,2
17,1,9:38.0,,A. Davis misses 3-pt jump shot from 25 ft,1,2
18,1,9:37.0,Defensive rebound by E. Mudiay,,1,2
19,1,9:31.0,Turnover by E. Mudiay (bad pass; steal by S. Hill),,1,2
20,1,9:20.0,,T. Frazier makes 2-pt layup from 2 ft,1,4
21,1,9:05.0,D. Gallinari makes 3-pt jump shot from 26 ft (assist by N. Jokić),,4,4
22,1,8:46.0,,Ö. Aşık makes 2-pt dunk at rim (assist by E. Moore),4,6
23,1,8:24.0,J. Nurkić makes 2-pt layup from 2 ft (assist by W. Barton),,6,6
24,1,8:18.0,,S. Hill misses 2-pt jump shot from 4 ft (block by D. Gallinari),6,6
25,1,8:18.0,,Offensive rebound by Team,6,6
26,1,8:08.0,,Ö. Aşık misses 2-pt layup from 3 ft,6,6
27,1,8:07.0,Defensive rebound by N. Jokić,,6,6
28,1,7:56.0,J. Nurkić misses 2-pt layup from 2 ft (block by A. Davis),,6,6
29,1,7:53.0,Offensive rebound by J. Nurkić,,6,6
30,1,7:53.0,J. Nurkić makes 2-pt layup from 2 ft,,8,6
31,1,7:41.0,,A. Davis makes 2-pt jump shot from 11 ft (assist by Ö. Aşık),8,8
32,1,7:28.0,N. Jokić makes 2-pt hook shot from 9 ft,,10,8
33,1,7:17.0,,A. Davis makes 2-pt jump shot from 15 ft (assist by T. Frazier),10,10
34,1,7:05.0,E. Mudiay misses 2-pt jump shot from 14 ft,,10,10
35,1,7:04.0,,Defensive rebound by Ö. Aşık,10,10
36,1,6:56.0,,A. Davis misses 2-pt jump shot from 16 ft,10,10
37,1,6:55.0,Defensive rebound by E. Mudiay,,10,10
38,1,6:49.0,Shooting foul by A. Davis (drawn by J. Nurkić),,10,10
39,1,6:49.0,J. Nurkić makes free throw 1 of 2,,11,10
40,1,6:49.0,J. Nurkić makes free throw 2 of 2,,12,10
41,1,6:31.0,,A. Davis makes 2-pt jump shot from 7 ft (assist by E. Moore),12,12
42,1,6:13.0,Shooting foul by E. Moore (drawn by W. Barton),,12,12
43,1,6:13.0,W. Barton makes free throw 1 of 2,,13,12
44,1,6:13.0,,B. Hield enters the game for E. Moore,13,12
45,1,6:13.0,W. Barton makes free throw 2 of 2,,14,12
46,1,6:04.0,,A. Davis makes 2-pt dunk at rim (assist by T. Frazier),14,14
47,1,5:49.0,N. Jokić makes 3-pt jump shot from 25 ft (assist by W. Barton),,17,14
48,1,5:40.0,,A. Davis makes 2-pt jump shot from 20 ft (assist by T. Frazier),17,16
49,1,5:23.0,Turnover by E. Mudiay (lost ball; steal by A. Davis),,17,16
50,1,5:14.0,,T. Frazier makes 2-pt layup from 2 ft,17,18
51,1,5:06.0,Denver full timeout,,17,18
52,1,5:06.0,W. Chandler enters the game for J. Nurkić,,17,18
53,1,4:47.0,W. Barton misses 2-pt jump shot from 19 ft,,17,18
54,1,4:47.0,,Defensive rebound by T. Frazier,17,18
55,1,4:33.0,,B. Hield misses 2-pt jump shot from 8 ft,17,18
56,1,4:32.0,,Offensive rebound by A. Davis,17,18
57,1,4:28.0,,A. Davis misses 2-pt layup from 1 ft,17,18
58,1,4:28.0,Defensive rebound by E. Mudiay,,17,18
59,1,4:18.0,E. Mudiay makes 2-pt layup from 2 ft,,19,18
60,1,4:12.0,,A. Davis misses 2-pt jump shot from 9 ft,19,18
61,1,4:12.0,Defensive rebound by N. Jokić,,19,18
62,1,4:12.0,Turnover by N. Jokić (bad pass; steal by T. Frazier),,19,18
63,1,4:12.0,,Personal foul by N. Jokić (drawn by T. Frazier),19,18
64,1,4:12.0,,A. Ajinça enters the game for Ö. Aşık,19,18
65,1,4:02.0,,A. Davis misses 2-pt dunk at rim,19,18
66,1,3:59.0,Defensive rebound by W. Chandler,,19,18
67,1,3:51.0,E. Mudiay makes 2-pt jump shot from 16 ft,,21,18
68,1,3:35.0,,S. Hill misses 2-pt jump shot from 12 ft,21,18
69,1,3:34.0,Defensive rebound by E. Mudiay,,21,18
70,1,3:29.0,Shooting foul by T. Frazier (drawn by E. Mudiay),,21,18
71,1,3:29.0,E. Mudiay makes free throw 1 of 2,,22,18
72,1,3:29.0,K. Faried enters the game for N. Jokić,,22,18
73,1,3:29.0,E. Mudiay makes free throw 2 of 2,,23,18
74,1,3:11.0,,A. Davis makes 2-pt dunk at rim (assist by T. Frazier),23,20
75,1,2:59.0,D. Gallinari makes 2-pt layup from 2 ft,,25,20
76,1,2:49.0,,A. Ajinça misses 2-pt jump shot from 19 ft,25,20
77,1,2:49.0,Defensive rebound by Team,,25,20
78,1,2:49.0,,Loose ball foul by S. Hill (drawn by K. Faried),25,20
79,1,2:49.0,,New Orleans full timeout,25,20
80,1,2:49.0,K. Faried misses free throw 1 of 2,,25,20
81,1,2:49.0,Offensive rebound by Team,,25,20
82,1,2:49.0,K. Faried makes free throw 2 of 2,,26,20
83,1,2:37.0,,A. Davis makes 2-pt jump shot from 20 ft (assist by B. Hield),26,22
84,1,2:24.0,Personal foul by A. Ajinça (drawn by D. Gallinari),,26,22
85,1,2:24.0,D. Gallinari misses free throw 1 of 2,,26,22
86,1,2:24.0,Offensive rebound by Team,,26,22
87,1,2:24.0,D. Gallinari misses free throw 2 of 2,,26,22
88,1,2:24.0,,D. Cunningham enters the game for S. Hill,26,22
89,1,2:24.0,J. Murray enters the game for W. Barton,,26,22
90,1,2:23.0,,Defensive rebound by A. Davis,26,22
91,1,2:14.0,,Personal foul by W. Chandler (drawn by A. Ajinça),26,22
92,1,2:14.0,J. Nurkić enters the game for D. Gallinari,,26,22
93,1,2:14.0,J. Nelson enters the game for E. Mudiay,,26,22
94,1,2:14.0,,L. Galloway enters the game for T. Frazier,26,22
95,1,2:01.0,,L. Galloway misses 2-pt jump shot from 20 ft,26,22
96,1,2:00.0,Defensive rebound by K. Faried,,26,22
97,1,1:46.0,W. Chandler makes 2-pt layup from 3 ft,,28,22
98,1,1:31.0,,B. Hield misses 3-pt jump shot from 25 ft,28,22
99,1,1:30.0,,Offensive rebound by B. Hield,28,22
100,1,1:24.0,,B. Hield misses 2-pt layup from 1 ft,28,22
101,1,1:23.0,Defensive rebound by J. Nurkić,,28,22
102,1,1:06.0,J. Nelson misses 3-pt jump shot from 24 ft,,28,22
103,1,1:05.0,,Defensive rebound by A. Davis,28,22
104,1,0:56.0,,A. Ajinça misses 2-pt jump shot from 19 ft,28,22
105,1,0:55.0,Defensive rebound by J. Nelson,,28,22
106,1,0:47.0,W. Chandler misses 2-pt jump shot from 21 ft,,28,22
107,1,0:46.0,,Defensive rebound by L. Galloway,28,22
108,1,0:37.0,,Shooting foul by W. Chandler (drawn by A. Davis),28,22
109,1,0:37.0,,A. Davis makes free throw 1 of 2,28,23
110,1,0:37.0,,A. Davis makes free throw 2 of 2,28,24
111,1,0:28.0,W. Chandler makes 2-pt layup from 2 ft,,30,24
112,1,0:11.0,,L. Galloway misses 3-pt jump shot from 26 ft,30,24
113,1,0:10.0,Defensive rebound by J. Murray,,30,24
114,1,0:01.0,J. Murray misses 2-pt jump shot from 21 ft,,30,24
115,1,0:00.0,,Defensive rebound by L. Galloway,30,24
116,2,11:48.0,,L. Stephenson makes 2-pt jump shot from 16 ft (assist by L. Galloway),30,26
117,2,11:28.0,J. Nurkić makes 2-pt hook shot from 7 ft (assist by W. Chandler),,32,26
118,2,11:17.0,,L. Galloway makes 2-pt jump shot from 19 ft,32,28
119,2,11:02.0,W. Chandler misses 2-pt jump shot from 8 ft,,32,28
120,2,11:02.0,,Defensive rebound by Team,32,28
121,2,10:48.0,,D. Cunningham misses 2-pt jump shot from 10 ft,32,28
122,2,10:47.0,Defensive rebound by W. Chandler,,32,28
123,2,10:37.0,J. Nelson makes 2-pt jump shot from 16 ft,,34,28
124,2,10:29.0,,L. Galloway makes 2-pt layup from 1 ft (assist by B. Hield),34,30
125,2,10:29.0,,Shooting foul by K. Faried (drawn by L. Galloway),34,30
126,2,10:29.0,,T. Jones enters the game for D. Cunningham,34,30
127,2,10:29.0,,L. Galloway makes free throw 1 of 1,34,31
128,2,10:12.0,Turnover by J. Nelson (lost ball; steal by T. Jones),,34,31
129,2,10:05.0,,T. Jones misses 2-pt layup from 2 ft,34,31
130,2,10:03.0,Defensive rebound by W. Chandler,,34,31
131,2,10:03.0,Personal foul by A. Ajinça (drawn by J. Nurkić),,34,31
132,2,9:57.0,J. Nelson makes 3-pt jump shot from 25 ft (assist by J. Nurkić),,37,31
133,2,9:37.0,,B. Hield makes 2-pt layup from 2 ft,37,33
134,2,9:23.0,J. Nelson makes 2-pt layup from 1 ft (assist by J. Nurkić),,39,33
135,2,9:12.0,,B. Hield misses 3-pt jump shot from 24 ft,39,33
136,2,9:11.0,Defensive rebound by J. Nurkić,,39,33
137,2,9:00.0,J. Nelson makes 2-pt jump shot from 12 ft,,41,33
138,2,8:53.0,,New Orleans full timeout,41,33
139,2,8:53.0,,A. Davis enters the game for A. Ajinça,41,33
140,2,8:41.0,,Shooting foul by J. Nurkić (drawn by A. Davis),41,33
141,2,8:41.0,,A. Davis makes free throw 1 of 2,41,34
142,2,8:41.0,,A. Davis makes free throw 2 of 2,41,35
143,2,8:26.0,Turnover by J. Nelson (bad pass; steal by A. Davis),,41,35
144,2,8:20.0,,B. Hield misses 2-pt layup from 2 ft,41,35
145,2,8:18.0,Defensive rebound by W. Chandler,,41,35
146,2,8:17.0,,Violation by L. Stephenson (kicked ball),41,35
147,2,8:17.0,D. Gallinari enters the game for W. Chandler,,41,35
148,2,8:09.0,J. Nurkić makes 2-pt dunk at rim (assist by J. Nelson),,43,35
149,2,7:56.0,,A. Davis makes 2-pt jump shot from 16 ft (assist by L. Stephenson),43,37
150,2,7:44.0,Shooting foul by L. Galloway (drawn by J. Murray),,43,37
151,2,7:44.0,J. Murray misses free throw 1 of 2,,43,37
152,2,7:44.0,Offensive rebound by Team,,43,37
153,2,7:44.0,,T. Frazier enters the game for L. Galloway,43,37
154,2,7:44.0,,S. Hill enters the game for L. Stephenson,43,37
155,2,7:44.0,J. Murray makes free throw 2 of 2,,44,37
156,2,7:30.0,,A. Davis misses 2-pt jump shot from 15 ft,44,37
157,2,7:27.0,Defensive rebound by D. Gallinari,,44,37
158,2,7:16.0,J. Nurkić misses 2-pt hook shot from 9 ft,,44,37
159,2,7:14.0,,Defensive rebound by A. Davis,44,37
160,2,7:03.0,,T. Jones misses 3-pt jump shot from 25 ft,44,37
161,2,7:02.0,Defensive rebound by K. Faried,,44,37
162,2,6:46.0,J. Nurkić makes 2-pt jump shot from 3 ft,,46,37
163,2,6:36.0,,A. Davis misses 3-pt jump shot from 25 ft,46,37
164,2,6:35.0,Defensive rebound by J. Murray,,46,37
165,2,6:21.0,Turnover by J. Murray (bad pass; steal by A. Davis),,46,37
166,2,6:16.0,,A. Davis misses 2-pt layup from 2 ft,46,37
167,2,6:15.0,Defensive rebound by K. Faried,,46,37
168,2,6:11.0,D. Gallinari makes 3-pt jump shot from 26 ft (assist by J. Nelson),,49,37
169,2,6:07.0,,New Orleans full timeout,49,37
170,2,6:07.0,,Ö. Aşık enters the game for B. Hield,49,37
171,2,6:07.0,,E. Moore enters the game for T. Jones,49,37
172,2,6:07.0,E. Mudiay enters the game for J. Murray,,49,37
173,2,6:07.0,W. Barton enters the game for J. Nelson,,49,37
174,2,5:59.0,,A. Davis misses 2-pt layup from 2 ft,49,37
175,2,5:58.0,Defensive rebound by K. Faried,,49,37
176,2,5:48.0,Turnover by W. Barton (bad pass),,49,37
177,2,5:48.0,Official timeout,,49,37
178,2,5:48.0,N. Jokić enters the game for K. Faried,,49,37
179,2,5:35.0,,A. Davis makes 2-pt jump shot from 17 ft (assist by T. Frazier),49,39
180,2,5:18.0,Personal foul by Ö. Aşık (drawn by J. Nurkić),,49,39
181,2,5:11.0,J. Nurkić misses 2-pt layup from 2 ft,,49,39
182,2,5:11.0,,Defensive rebound by A. Davis,49,39
183,2,5:05.0,,T. Frazier misses 2-pt layup from 3 ft,49,39
184,2,5:05.0,Defensive rebound by N. Jokić,,49,39
185,2,5:02.0,Turnover by N. Jokić (bad pass; steal by A. Davis),,49,39
186,2,4:56.0,,E. Moore makes 3-pt jump shot from 24 ft (assist by A. Davis),49,42
187,2,4:43.0,E. Mudiay misses 2-pt layup from 2 ft,,49,42
188,2,4:40.0,Offensive rebound by J. Nurkić,,49,42
189,2,4:40.0,J. Nurkić makes 2-pt layup from 3 ft,,51,42
190,2,4:19.0,,E. Moore misses 2-pt jump shot from 12 ft,51,42
191,2,4:18.0,Defensive rebound by E. Mudiay,,51,42
192,2,4:13.0,Turnover by J. Nurkić (bad pass),,51,42
193,2,3:51.0,,E. Moore misses 2-pt jump shot from 7 ft,51,42
194,2,3:50.0,Defensive rebound by N. Jokić,,51,42
195,2,3:40.0,E. Mudiay misses 3-pt jump shot from 26 ft,,51,42
196,2,3:39.0,,Defensive rebound by S. Hill,51,42
197,2,3:25.0,,Shooting foul by N. Jokić (drawn by A. Davis),51,42
198,2,3:25.0,,A. Davis makes free throw 1 of 2,51,43
199,2,3:25.0,W. Chandler enters the game for J. Nurkić,,51,43
200,2,3:25.0,,L. Stephenson enters the game for E. Moore,51,43
201,2,3:25.0,,A. Davis makes free throw 2 of 2,51,44
202,2,3:08.0,W. Barton makes 3-pt jump shot from 25 ft (assist by E. Mudiay),,54,44
203,2,2:54.0,,Shooting foul by E. Mudiay (drawn by T. Frazier),54,44
204,2,2:54.0,Denver full timeout,,54,44
205,2,2:54.0,,T. Frazier misses free throw 1 of 2,54,44
206,2,2:54.0,,Offensive rebound by Team,54,44
207,2,2:54.0,,T. Frazier misses free throw 2 of 2,54,44
208,2,2:54.0,,T. Jones enters the game for Ö. Aşık,54,44
209,2,2:52.0,Defensive rebound by W. Chandler,,54,44
210,2,2:38.0,N. Jokić misses 2-pt jump shot from 17 ft,,54,44
211,2,2:35.0,Offensive rebound by W. Barton,,54,44
212,2,2:31.0,W. Barton makes 2-pt layup from 2 ft,,56,44
213,2,2:15.0,,T. Jones misses 2-pt jump shot from 21 ft,56,44
214,2,2:15.0,Defensive rebound by E. Mudiay,,56,44
215,2,2:12.0,Turnover by W. Chandler (bad pass),,56,44
216,2,1:55.0,,A. Davis misses 2-pt jump shot from 10 ft,56,44
217,2,1:55.0,Defensive rebound by W. Barton,,56,44
218,2,1:46.0,Personal foul by S. Hill (drawn by W. Barton),,56,44
219,2,1:46.0,J. Nurkić enters the game for N. Jokić,,56,44
220,2,1:46.0,K. Faried enters the game for W. Chandler,,56,44
221,2,1:36.0,E. Mudiay misses 2-pt layup from 2 ft (block by A. Davis),,56,44
222,2,1:33.0,Offensive rebound by K. Faried,,56,44
223,2,1:31.0,Turnover by Team (shot clock),,56,44
224,2,1:23.0,,L. Stephenson misses 2-pt jump shot from 15 ft,56,44
225,2,1:21.0,,Offensive rebound by T. Jones,56,44
226,2,1:15.0,,S. Hill misses 3-pt jump shot from 26 ft,56,44
227,2,1:15.0,Defensive rebound by W. Barton,,56,44
228,2,1:08.0,D. Gallinari misses 3-pt jump shot from 25 ft,,56,44
229,2,1:07.0,,Defensive rebound by T. Frazier,56,44
230,2,1:01.0,,A. Davis makes 2-pt layup from 2 ft (assist by T. Frazier),56,46
231,2,0:55.0,Shooting foul by S. Hill (drawn by D. Gallinari),,56,46
232,2,0:55.0,D. Gallinari makes free throw 1 of 2,,57,46
233,2,0:55.0,,D. Cunningham enters the game for S. Hill,57,46
234,2,0:55.0,D. Gallinari makes free throw 2 of 2,,58,46
235,2,0:46.0,,T. Frazier misses 3-pt jump shot from 23 ft,58,46
236,2,0:44.0,Defensive rebound by J. Nurkić,,58,46
237,2,0:39.0,Personal foul by T. Frazier (drawn by K. Faried),,58,46
238,2,0:39.0,K. Faried makes free throw 1 of 2,,59,46
239,2,0:39.0,J. Hernangómez enters the game for J. Nurkić,,59,46
240,2,0:39.0,K. Faried makes free throw 2 of 2,,60,46
241,2,0:33.0,,Turnover by T. Frazier (bad pass; steal by D. Gallinari),60,46
242,2,0:26.0,K. Faried misses 2-pt layup from 2 ft,,60,46
243,2,0:26.0,,Defensive rebound by T. Jones,60,46
244,2,0:25.0,,A. Davis makes 2-pt layup from 1 ft (assist by T. Jones),60,48
245,2,0:00.0,E. Mudiay misses 2-pt jump shot from 15 ft,,60,48
246,2,0:00.0,,Defensive rebound by T. Jones,60,48
247,3,11:46.0,,Def 3 sec tech foul by J. Nurkić,60,48
248,3,11:46.0,,A. Davis makes technical free throw,60,49
249,3,11:38.0,,Turnover by S. Hill (traveling),60,49
250,3,11:22.0,W. Barton misses 2-pt jump shot from 11 ft,,60,49
251,3,11:21.0,,Defensive rebound by T. Frazier,60,49
252,3,11:14.0,,E. Moore misses 3-pt jump shot from 25 ft,60,49
253,3,11:13.0,Defensive rebound by J. Nurkić,,60,49
254,3,11:08.0,Offensive foul by E. Mudiay (drawn by S. Hill),,60,49
255,3,11:08.0,Turnover by E. Mudiay (offensive foul),,60,49
256,3,10:54.0,,S. Hill makes 2-pt layup from 1 ft (assist by E. Moore),60,51
257,3,10:37.0,E. Mudiay misses 2-pt jump shot from 13 ft,,60,51
258,3,10:36.0,,Defensive rebound by A. Davis,60,51
259,3,10:20.0,,A. Davis makes 2-pt hook shot from 7 ft (assist by T. Frazier),60,53
260,3,10:20.0,Denver full timeout,,60,53
261,3,10:09.0,Turnover by N. Jokić (bad pass; steal by T. Frazier),,60,53
262,3,10:01.0,,S. Hill misses 3-pt jump shot from 23 ft,60,53
263,3,10:00.0,Defensive rebound by J. Nurkić,,60,53
264,3,9:50.0,J. Nurkić misses 2-pt hook shot from 5 ft,,60,53
265,3,9:48.0,,Defensive rebound by A. Davis,60,53
266,3,9:37.0,,Shooting foul by D. Gallinari (drawn by A. Davis),60,53
267,3,9:37.0,,A. Davis makes free throw 1 of 2,60,54
268,3,9:37.0,,A. Davis makes free throw 2 of 2,60,55
269,3,9:18.0,J. Nurkić makes 2-pt layup from 2 ft (assist by E. Mudiay),,62,55
270,3,9:09.0,,S. Hill misses 3-pt jump shot from 26 ft,62,55
271,3,9:07.0,Defensive rebound by N. Jokić,,62,55
272,3,8:55.0,W. Barton misses 2-pt layup from 2 ft,,62,55
273,3,8:53.0,Offensive rebound by N. Jokić,,62,55
274,3,8:53.0,J. Nurkić makes 2-pt layup from 2 ft,,64,55
275,3,8:46.0,,Personal foul by N. Jokić (drawn by S. Hill),64,55
276,3,8:37.0,,Shooting foul by J. Nurkić (drawn by A. Davis),64,55
277,3,8:37.0,,A. Davis makes free throw 1 of 2,64,56
278,3,8:37.0,,A. Davis makes free throw 2 of 2,64,57
279,3,8:27.0,Personal foul by S. Hill (drawn by D. Gallinari),,64,57
280,3,8:27.0,,L. Stephenson enters the game for S. Hill,64,57
281,3,8:16.0,D. Gallinari makes 3-pt jump shot from 25 ft (assist by N. Jokić),,67,57
282,3,8:03.0,,T. Frazier misses 2-pt jump shot from 18 ft,67,57
283,3,8:02.0,Defensive rebound by J. Nurkić,,67,57
284,3,7:45.0,W. Barton makes 2-pt layup from 2 ft (assist by J. Nurkić),,69,57
285,3,7:45.0,,New Orleans full timeout,69,57
286,3,7:45.0,W. Chandler enters the game for N. Jokić,,69,57
287,3,7:34.0,,A. Davis misses 2-pt jump shot from 11 ft,69,57
288,3,7:34.0,Defensive rebound by Team,,69,57
289,3,7:27.0,Personal foul by L. Stephenson (drawn by D. Gallinari),,69,57
290,3,7:15.0,D. Gallinari misses 2-pt jump shot from 16 ft,,69,57
291,3,7:14.0,,Defensive rebound by A. Davis,69,57
292,3,7:03.0,,Ö. Aşık misses 2-pt jump shot from 4 ft (block by J. Nurkić),69,57
293,3,7:03.0,Defensive rebound by J. Nurkić,,69,57
294,3,7:03.0,Personal foul by T. Frazier (drawn by W. Chandler),,69,57
295,3,6:49.0,Turnover by W. Barton (lost ball; steal by A. Davis),,69,57
296,3,6:45.0,,Shooting foul by E. Mudiay (drawn by E. Moore),69,57
297,3,6:45.0,,E. Moore makes free throw 1 of 2,69,58
298,3,6:45.0,,A. Ajinça enters the game for Ö. Aşık,69,58
299,3,6:45.0,,E. Moore makes free throw 2 of 2,69,59
300,3,6:22.0,W. Barton misses 3-pt jump shot from 25 ft,,69,59
301,3,6:21.0,,Defensive rebound by A. Davis,69,59
302,3,6:15.0,,L. Stephenson makes 2-pt layup from 3 ft (assist by T. Frazier),69,61
303,3,6:00.0,W. Barton makes 2-pt jump shot from 17 ft,,71,61
304,3,5:52.0,Offensive charge foul by A. Davis (drawn by D. Gallinari),,71,61
305,3,5:52.0,,Turnover by A. Davis (offensive foul),71,61
306,3,5:46.0,Personal foul by A. Ajinça (drawn by J. Nurkić),,71,61
307,3,5:39.0,W. Chandler misses 3-pt jump shot from 25 ft,,71,61
308,3,5:38.0,Offensive rebound by Team,,71,61
309,3,5:38.0,,Loose ball foul by A. Ajinça (drawn by J. Nurkić),71,61
310,3,5:38.0,J. Nurkić makes free throw 1 of 2,,72,61
311,3,5:38.0,J. Nurkić makes free throw 2 of 2,,73,61
312,3,5:26.0,,Shooting foul by W. Chandler (drawn by A. Davis),73,61
313,3,5:26.0,,A. Davis makes free throw 1 of 2,73,62
314,3,5:26.0,,A. Davis makes free throw 2 of 2,73,63
315,3,5:08.0,J. Nurkić makes 2-pt layup from 3 ft (assist by E. Mudiay),,75,63
316,3,4:59.0,,A. Davis makes 2-pt layup from 2 ft,75,65
317,3,4:49.0,,Offensive charge foul by E. Mudiay (drawn by T. Frazier),75,65
318,3,4:49.0,Turnover by E. Mudiay (offensive foul),,75,65
319,3,4:49.0,J. Nelson enters the game for E. Mudiay,,75,65
320,3,4:49.0,K. Faried enters the game for J. Nurkić,,75,65
321,3,4:32.0,,L. Stephenson misses 2-pt jump shot from 3 ft,75,65
322,3,4:32.0,,Offensive rebound by A. Ajinça,75,65
323,3,4:27.0,,E. Moore makes 3-pt jump shot from 26 ft (assist by T. Frazier),75,68
324,3,4:06.0,W. Barton misses 2-pt layup from 2 ft (block by E. Moore),,75,68
325,3,4:04.0,Offensive rebound by K. Faried,,75,68
326,3,4:04.0,K. Faried misses 2-pt layup from 3 ft,,75,68
327,3,4:02.0,Offensive rebound by K. Faried,,75,68
328,3,4:02.0,K. Faried misses 2-pt layup from 3 ft,,75,68
329,3,4:01.0,Offensive rebound by K. Faried,,75,68
330,3,4:01.0,K. Faried misses 2-pt layup from 2 ft,,75,68
331,3,3:59.0,,Defensive rebound by L. Stephenson,75,68
332,3,3:59.0,,Shooting block foul by D. Gallinari (drawn by A. Davis),75,68
333,3,3:59.0,Denver full timeout,,75,68
334,3,3:59.0,,A. Davis misses free throw 1 of 2,75,68
335,3,3:59.0,,Offensive rebound by Team,75,68
336,3,3:59.0,,A. Davis makes free throw 2 of 2,75,69
337,3,3:43.0,W. Chandler misses 2-pt layup from 2 ft,,75,69
338,3,3:41.0,Offensive rebound by K. Faried,,75,69
339,3,3:38.0,K. Faried misses 2-pt layup from 2 ft (block by A. Davis),,75,69
340,3,3:37.0,,Defensive rebound by L. Stephenson,75,69
341,3,3:33.0,,Turnover by L. Stephenson (bad pass; steal by D. Gallinari),75,69
342,3,3:24.0,W. Barton makes 3-pt jump shot from 25 ft (assist by D. Gallinari),,78,69
343,3,3:12.0,,Personal foul by W. Barton (drawn by T. Frazier),78,69
344,3,3:12.0,,T. Frazier makes free throw 1 of 2,78,70
345,3,3:12.0,,T. Jones enters the game for A. Ajinça,78,70
346,3,3:12.0,,T. Frazier makes free throw 2 of 2,78,71
347,3,2:56.0,J. Nelson misses 3-pt jump shot from 27 ft,,78,71
348,3,2:55.0,,Defensive rebound by A. Davis,78,71
349,3,2:45.0,,L. Stephenson makes 2-pt layup from 2 ft (assist by A. Davis),78,73
350,3,2:21.0,W. Chandler makes 3-pt jump shot from 25 ft (assist by J. Nelson),,81,73
351,3,2:10.0,,E. Moore misses 2-pt jump shot from 7 ft,81,73
352,3,2:09.0,Defensive rebound by K. Faried,,81,73
353,3,2:02.0,Shooting block foul by E. Moore (drawn by W. Barton),,81,73
354,3,2:02.0,W. Barton makes free throw 1 of 2,,82,73
355,3,2:02.0,W. Barton makes free throw 2 of 2,,83,73
356,3,1:41.0,,L. Stephenson makes 2-pt dunk at rim (assist by E. Moore),83,75
357,3,1:18.0,Turnover by D. Gallinari (lost ball; steal by L. Stephenson),,83,75
358,3,1:12.0,,A. Davis misses 2-pt layup from 3 ft,83,75
359,3,1:11.0,Defensive rebound by J. Nelson,,83,75
360,3,1:05.0,W. Barton makes 2-pt layup from 2 ft,,85,75
361,3,0:58.0,,T. Frazier makes 2-pt layup from 1 ft (assist by A. Davis),85,77
362,3,0:42.0,K. Faried misses 3-pt jump shot from 26 ft,,85,77
