,QUARTER,TIME_REMAINING,PHOENIX_ACTION,UTAH_ACTION,PHOENIX_SCORE,UTAH_SCORE
0,1,11:44.0,T. Chandler misses 2-pt layup from 1 ft,,0,0
1,1,11:43.0,,Defensive rebound by R. Gobert,0,0
2,1,11:23.0,,D. Favors makes 2-pt jump shot from 21 ft (assist by R. Hood),0,2
3,1,11:06.0,E. Bledsoe makes 2-pt jump shot from 13 ft,,2,2
4,1,10:41.0,,G. Hayward misses 3-pt jump shot from 25 ft,2,2
5,1,10:41.0,Defensive rebound by T. Chandler,,2,2
6,1,10:29.0,M. Chriss misses 2-pt layup from 2 ft,,2,2
7,1,10:28.0,Offensive rebound by T. Chandler,,2,2
8,1,10:27.0,T. Chandler makes 2-pt layup from 2 ft,,4,2
9,1,10:05.0,,D. Favors makes 2-pt layup from 2 ft (assist by G. Hill),4,4
10,1,9:48.0,D. Booker misses 2-pt jump shot from 12 ft,,4,4
11,1,9:47.0,,Defensive rebound by G. Hayward,4,4
12,1,9:37.0,,R. Gobert makes 2-pt dunk at rim (assist by D. Favors),4,6
13,1,9:12.0,E. Bledsoe misses 2-pt layup from 3 ft,,4,6
14,1,9:12.0,,Defensive rebound by D. Favors,4,6
15,1,9:01.0,,G. Hill misses 2-pt jump shot from 22 ft,4,6
16,1,9:00.0,Defensive rebound by D. Booker,,4,6
17,1,8:50.0,D. Booker makes 2-pt jump shot from 2 ft,,6,6
18,1,8:43.0,,Shooting foul by E. Bledsoe (drawn by G. Hill),6,6
19,1,8:43.0,,G. Hill makes free throw 1 of 2,6,7
20,1,8:43.0,,G. Hill misses free throw 2 of 2,6,7
21,1,8:42.0,Defensive rebound by E. Bledsoe,,6,7
22,1,8:34.0,T. Warren misses 3-pt jump shot from 24 ft,,6,7
23,1,8:34.0,,Defensive rebound by G. Hayward,6,7
24,1,8:22.0,,R. Gobert makes 2-pt layup from 2 ft (assist by D. Favors),6,9
25,1,8:00.0,M. Chriss misses 2-pt jump shot from 5 ft,,6,9
26,1,7:58.0,,Defensive rebound by R. Hood,6,9
27,1,7:45.0,,G. Hayward makes 2-pt jump shot from 16 ft,6,11
28,1,7:43.0,Phoenix full timeout,,6,11
29,1,7:19.0,E. Bledsoe misses 2-pt jump shot from 4 ft,,6,11
30,1,7:18.0,,Defensive rebound by G. Hill,6,11
31,1,7:04.0,,D. Favors misses 2-pt jump shot from 16 ft,6,11
32,1,7:03.0,Defensive rebound by T. Warren,,6,11
