,QUARTER,TIME_REMAINING,TORONTO_ACTION,LA CLIPPERS_ACTION,TORONTO_SCORE,LA CLIPPERS_SCORE
0,1,12:00.0,Violation by Team (jump ball),,0,0
1,1,11:47.0,,J. Redick makes 2-pt jump shot from 23 ft (assist by C. Paul),0,2
2,1,11:27.0,J. Valančiūnas misses 2-pt jump shot from 13 ft,,0,2
3,1,11:26.0,,Defensive rebound by J. Redick,0,2
4,1,11:22.0,,Turnover by J. Redick (step out of bounds),0,2
5,1,11:06.0,D. DeRozan misses 2-pt jump shot from 15 ft,,0,2
6,1,11:05.0,,Defensive rebound by L. Mbah a Moute,0,2
7,1,10:59.0,,Turnover by C. Paul (bad pass; steal by P. Siakam),0,2
8,1,10:49.0,J. Valančiūnas misses 2-pt layup at rim,,0,2
9,1,10:46.0,Offensive rebound by J. Valančiūnas,,0,2
10,1,10:46.0,J. Valančiūnas makes 2-pt layup from 1 ft,,2,2
11,1,10:33.0,,J. Redick misses 2-pt hook shot from 5 ft,2,2
12,1,10:32.0,Defensive rebound by K. Lowry,,2,2
13,1,10:25.0,N. Powell misses 3-pt jump shot from 24 ft,,2,2
14,1,10:23.0,,Defensive rebound by L. Mbah a Moute,2,2
15,1,10:16.0,,Shooting foul by P. Siakam (drawn by B. Griffin),2,2
16,1,10:16.0,,B. Griffin misses free throw 1 of 2,2,2
17,1,10:16.0,,Offensive rebound by Team,2,2
18,1,10:16.0,,B. Griffin makes free throw 2 of 2,2,3
19,1,9:50.0,P. Siakam misses 2-pt jump shot from 16 ft,,2,3
20,1,9:49.0,,Defensive rebound by D. Jordan,2,3
21,1,9:46.0,,Personal foul by P. Siakam (drawn by B. Griffin),2,3
22,1,9:46.0,P. Patterson enters the game for P. Siakam,,2,3
23,1,9:41.0,,J. Redick misses 2-pt jump shot from 22 ft,2,3
24,1,9:41.0,Defensive rebound by Team,,2,3
25,1,9:41.0,,Loose ball foul by B. Griffin (drawn by K. Lowry),2,3
26,1,9:20.0,Turnover by D. DeRozan (lost ball; steal by C. Paul),,2,3
27,1,9:17.0,Violation by D. DeRozan (def goaltending),,2,3
28,1,9:17.0,,L. Mbah a Moute makes 2-pt layup from 3 ft,2,5
29,1,8:53.0,D. DeRozan misses 2-pt jump shot from 15 ft,,2,5
30,1,8:51.0,,Defensive rebound by D. Jordan,2,5
31,1,8:42.0,,D. Jordan makes 2-pt dunk at rim (assist by B. Griffin),2,7
32,1,8:24.0,,Violation by D. Jordan (kicked ball),2,7
33,1,8:14.0,K. Lowry makes 2-pt jump shot from 16 ft,,4,7
34,1,8:05.0,,B. Griffin misses 2-pt hook shot from 4 ft,4,7
35,1,8:03.0,Defensive rebound by J. Valančiūnas,,4,7
36,1,7:54.0,Turnover by N. Powell (lost ball),,4,7
37,1,7:43.0,,C. Paul misses 3-pt jump shot from 26 ft,4,7
38,1,7:42.0,,Offensive rebound by D. Jordan,4,7
39,1,7:39.0,,D. Jordan misses 2-pt jump shot at rim (block by J. Valančiūnas),4,7
40,1,7:36.0,Defensive rebound by D. DeRozan,,4,7
41,1,7:25.0,Turnover by N. Powell (bad pass; steal by B. Griffin),,4,7
42,1,7:18.0,,J. Redick misses 3-pt jump shot from 25 ft,4,7
43,1,7:16.0,Defensive rebound by J. Valančiūnas,,4,7
44,1,7:08.0,Shooting foul by J. Redick (drawn by J. Valančiūnas),,4,7
45,1,7:08.0,J. Valančiūnas makes free throw 1 of 2,,5,7
46,1,7:08.0,J. Valančiūnas makes free throw 2 of 2,,6,7
47,1,6:55.0,,C. Paul misses 3-pt jump shot from 25 ft,6,7
48,1,6:54.0,,Offensive rebound by D. Jordan,6,7
49,1,6:54.0,,Shooting foul by J. Valančiūnas (drawn by D. Jordan),6,7
50,1,6:54.0,,D. Jordan misses free throw 1 of 2,6,7
51,1,6:54.0,,Offensive rebound by Team,6,7
52,1,6:54.0,,D. Jordan makes free throw 2 of 2,6,8
53,1,6:36.0,N. Powell misses 2-pt layup from 1 ft (block by D. Jordan),,6,8
54,1,6:35.0,,Defensive rebound by D. Jordan,6,8
55,1,6:30.0,,Turnover by L. Mbah a Moute (bad pass),6,8
56,1,6:08.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by N. Powell),,8,8
57,1,5:55.0,,Turnover by Team (back court),8,8
58,1,5:55.0,,LA Clippers full timeout,8,8
59,1,5:45.0,Turnover by K. Lowry (bad pass; steal by L. Mbah a Moute),,8,8
60,1,5:29.0,,B. Griffin misses 2-pt hook shot from 5 ft,8,8
61,1,5:27.0,,Offensive rebound by B. Griffin,8,8
62,1,5:13.0,,Turnover by L. Mbah a Moute (bad pass; steal by P. Patterson),8,8
63,1,4:58.0,D. DeRozan makes 2-pt jump shot from 12 ft,,10,8
64,1,4:41.0,,B. Griffin misses 2-pt jump shot from 15 ft,10,8
65,1,4:40.0,Defensive rebound by J. Valančiūnas,,10,8
66,1,4:33.0,K. Lowry misses 2-pt layup from 2 ft,,10,8
67,1,4:32.0,,Defensive rebound by C. Paul,10,8
68,1,4:25.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by C. Paul),10,11
69,1,4:23.0,Toronto full timeout,,10,11
70,1,4:23.0,,J. Crawford enters the game for J. Redick,10,11
71,1,4:02.0,D. DeRozan makes 2-pt jump shot from 5 ft,,12,11
72,1,3:42.0,,C. Paul makes 2-pt jump shot from 18 ft (assist by B. Griffin),12,13
73,1,3:27.0,Shooting foul by D. Jordan (drawn by D. DeRozan),,12,13
74,1,3:27.0,D. DeRozan makes free throw 1 of 2,,13,13
75,1,3:27.0,,W. Johnson enters the game for B. Griffin,13,13
76,1,3:27.0,T. Ross enters the game for N. Powell,,13,13
77,1,3:27.0,D. DeRozan makes free throw 2 of 2,,14,13
78,1,3:12.0,,D. Jordan misses 2-pt hook shot from 5 ft,14,13
79,1,3:10.0,Defensive rebound by J. Valančiūnas,,14,13
80,1,3:01.0,D. DeRozan makes 2-pt jump shot from 14 ft,,16,13
81,1,2:46.0,,C. Paul makes 2-pt jump shot from 16 ft,16,15
82,1,2:19.0,K. Lowry makes 2-pt jump shot from 17 ft (assist by D. DeRozan),,18,15
83,1,2:19.0,Shooting foul by W. Johnson (drawn by K. Lowry),,18,15
84,1,2:19.0,,M. Speights enters the game for D. Jordan,18,15
85,1,2:19.0,,A. Rivers enters the game for L. Mbah a Moute,18,15
86,1,2:19.0,L. Nogueira enters the game for J. Valančiūnas,,18,15
87,1,2:19.0,K. Lowry makes free throw 1 of 1,,19,15
88,1,1:57.0,,J. Crawford misses 3-pt jump shot from 28 ft,19,15
89,1,1:57.0,Defensive rebound by P. Patterson,,19,15
90,1,1:47.0,D. DeRozan misses 2-pt layup from 3 ft,,19,15
91,1,1:46.0,,Defensive rebound by M. Speights,19,15
92,1,1:36.0,,C. Paul makes 3-pt jump shot from 25 ft,19,18
93,1,1:21.0,P. Patterson misses 3-pt jump shot from 25 ft,,19,18
94,1,1:21.0,,Defensive rebound by M. Speights,19,18
95,1,1:14.0,,LA Clippers full timeout,19,18
96,1,1:14.0,C. Joseph enters the game for K. Lowry,,19,18
97,1,1:14.0,,R. Felton enters the game for C. Paul,19,18
98,1,1:01.0,,J. Crawford makes 2-pt layup from 2 ft (assist by A. Rivers),19,20
99,1,0:49.0,Offensive foul by L. Nogueira (drawn by R. Felton),,19,20
100,1,0:49.0,Turnover by L. Nogueira (offensive foul),,19,20
101,1,0:34.0,,M. Speights misses 3-pt jump shot from 23 ft,19,20
102,1,0:33.0,Defensive rebound by P. Patterson,,19,20
103,1,0:08.0,D. DeRozan misses 3-pt jump shot from 26 ft,,19,20
104,1,0:07.0,,Defensive rebound by A. Rivers,19,20
105,1,0:04.0,,Personal take foul by P. Patterson (drawn by A. Rivers),19,20
106,1,0:00.0,,J. Crawford makes 3-pt jump shot from 27 ft,19,23
107,2,11:46.0,C. Joseph misses 2-pt jump shot from 19 ft,,19,23
108,2,11:45.0,,Defensive rebound by R. Felton,19,23
109,2,11:38.0,,J. Crawford misses 2-pt jump shot from 18 ft,19,23
110,2,11:36.0,Defensive rebound by C. Joseph,,19,23
111,2,11:27.0,Personal foul by A. Rivers (drawn by C. Joseph),,19,23
112,2,11:18.0,C. Joseph misses 2-pt layup from 1 ft,,19,23
113,2,11:16.0,,Defensive rebound by M. Speights,19,23
114,2,11:06.0,,A. Rivers misses 2-pt jump shot from 5 ft,19,23
115,2,11:06.0,Defensive rebound by C. Joseph,,19,23
116,2,10:58.0,K. Lowry misses 2-pt layup from 2 ft,,19,23
117,2,10:58.0,,Defensive rebound by M. Speights,19,23
118,2,10:52.0,,R. Felton misses 2-pt layup from 2 ft (block by L. Nogueira),19,23
119,2,10:50.0,,Offensive rebound by W. Johnson,19,23
120,2,10:46.0,,W. Johnson misses 3-pt jump shot from 26 ft,19,23
121,2,10:45.0,Defensive rebound by C. Joseph,,19,23
122,2,10:41.0,L. Nogueira misses 2-pt layup at rim,,19,23
123,2,10:37.0,Offensive rebound by C. Joseph,,19,23
124,2,10:37.0,C. Joseph makes 2-pt layup from 2 ft,,21,23
125,2,10:16.0,,J. Crawford misses 3-pt jump shot from 28 ft,21,23
126,2,10:16.0,Defensive rebound by P. Patterson,,21,23
127,2,10:00.0,Shooting foul by W. Johnson (drawn by C. Joseph),,21,23
128,2,10:00.0,C. Joseph makes free throw 1 of 2,,22,23
129,2,10:00.0,C. Joseph makes free throw 2 of 2,,23,23
130,2,9:51.0,,A. Rivers makes 2-pt layup from 2 ft,23,25
131,2,9:51.0,,Shooting foul by L. Nogueira (drawn by A. Rivers),23,25
132,2,9:51.0,,A. Rivers makes free throw 1 of 1,23,26
133,2,9:44.0,Turnover by T. Ross (bad pass),,23,26
134,2,9:30.0,,M. Speights misses 3-pt jump shot from 25 ft,23,26
135,2,9:28.0,Defensive rebound by T. Ross,,23,26
136,2,9:09.0,P. Patterson misses 3-pt jump shot from 25 ft,,23,26
137,2,9:09.0,,Defensive rebound by M. Speights,23,26
138,2,8:51.0,,R. Felton misses 2-pt jump shot from 8 ft,23,26
139,2,8:51.0,Defensive rebound by Team,,23,26
140,2,8:51.0,,Loose ball foul by M. Speights (drawn by C. Joseph),23,26
141,2,8:51.0,Official timeout,,23,26
142,2,8:38.0,K. Lowry misses 3-pt jump shot from 24 ft,,23,26
143,2,8:38.0,,Defensive rebound by W. Johnson,23,26
144,2,8:18.0,,Shooting foul by T. Ross (drawn by J. Crawford),23,26
145,2,8:18.0,,J. Crawford makes 2-pt jump shot from 19 ft,23,28
146,2,8:18.0,,J. Crawford makes free throw 1 of 1,23,29
147,2,8:01.0,T. Ross makes 2-pt jump shot from 16 ft (assist by K. Lowry),,25,29
148,2,7:42.0,,A. Rivers misses 2-pt jump shot from 8 ft,25,29
149,2,7:39.0,Defensive rebound by T. Ross,,25,29
150,2,7:36.0,Personal block foul by M. Speights (drawn by K. Lowry),,25,29
151,2,7:36.0,,B. Griffin enters the game for W. Johnson,25,29
152,2,7:28.0,Turnover by K. Lowry (bad pass),,25,29
153,2,7:09.0,,J. Crawford makes 2-pt jump shot from 19 ft,25,31
154,2,6:53.0,T. Ross misses 2-pt jump shot from 16 ft,,25,31
155,2,6:53.0,,Defensive rebound by B. Griffin,25,31
156,2,6:34.0,,Shooting foul by L. Nogueira (drawn by M. Speights),25,31
157,2,6:34.0,,M. Speights makes free throw 1 of 2,25,32
158,2,6:34.0,N. Powell enters the game for C. Joseph,,25,32
159,2,6:34.0,J. Valančiūnas enters the game for L. Nogueira,,25,32
160,2,6:34.0,P. Siakam enters the game for P. Patterson,,25,32
161,2,6:34.0,,M. Speights makes free throw 2 of 2,25,33
162,2,6:18.0,K. Lowry makes 2-pt layup from 2 ft,,27,33
163,2,5:52.0,,B. Griffin misses 2-pt jump shot from 6 ft,27,33
164,2,5:52.0,Defensive rebound by J. Valančiūnas,,27,33
165,2,5:44.0,K. Lowry misses 2-pt jump shot from 11 ft (block by R. Felton),,27,33
166,2,5:44.0,Offensive rebound by J. Valančiūnas,,27,33
167,2,5:44.0,Personal foul by M. Speights (drawn by J. Valančiūnas),,27,33
