,QUARTER,TIME_REMAINING,UTAH_ACTION,DENVER_ACTION,UTAH_SCORE,DENVER_SCORE
0,1,11:39.0,R. Hood makes 2-pt jump shot from 9 ft,,2,0
1,1,11:23.0,,W. Barton makes 3-pt jump shot from 27 ft (assist by D. Gallinari),2,3
2,1,11:10.0,Turnover by G. Hayward (bad pass; steal by K. Faried),,2,3
3,1,11:05.0,,Personal foul by D. Exum (drawn by K. Faried),2,3
4,1,10:45.0,,J. Nurkić makes 2-pt dunk at rim (assist by D. Gallinari),2,5
5,1,10:24.0,G. Hayward misses 2-pt jump shot from 19 ft,,2,5
6,1,10:23.0,,Defensive rebound by K. Faried,2,5
7,1,10:13.0,,E. Mudiay misses 3-pt jump shot from 25 ft,2,5
8,1,10:12.0,Defensive rebound by G. Hayward,,2,5
9,1,10:03.0,T. Lyles misses 3-pt jump shot from 25 ft,,2,5
10,1,10:02.0,,Defensive rebound by J. Nurkić,2,5
11,1,9:58.0,,Personal foul by R. Hood (drawn by W. Barton),2,5
12,1,9:51.0,,D. Gallinari misses 2-pt layup from 3 ft,2,5
13,1,9:50.0,Defensive rebound by T. Lyles,,2,5
14,1,9:28.0,R. Hood misses 2-pt jump shot from 10 ft,,2,5
15,1,9:27.0,,Defensive rebound by D. Gallinari,2,5
16,1,9:16.0,,K. Faried makes 2-pt jump shot from 3 ft (assist by D. Gallinari),2,7
17,1,9:16.0,,Shooting foul by R. Gobert (drawn by K. Faried),2,7
18,1,9:16.0,Utah full timeout,,2,7
19,1,9:16.0,,K. Faried misses free throw 1 of 1,2,7
20,1,9:11.0,Defensive rebound by D. Exum,,2,7
21,1,8:56.0,G. Hayward misses 2-pt jump shot from 19 ft,,2,7
22,1,8:54.0,Offensive rebound by D. Exum,,2,7
23,1,8:47.0,Turnover by T. Lyles (step out of bounds),,2,7
24,1,8:33.0,,D. Gallinari misses 3-pt jump shot from 25 ft,2,7
25,1,8:31.0,Defensive rebound by D. Exum,,2,7
26,1,8:19.0,D. Exum makes 2-pt layup from 2 ft,,4,7
27,1,8:09.0,,Shooting foul by R. Gobert (drawn by K. Faried),4,7
28,1,8:09.0,Technical foul by R. Gobert,,4,7
29,1,8:09.0,,D. Gallinari makes technical free throw,4,8
30,1,8:09.0,,K. Faried makes free throw 1 of 2,4,9
31,1,8:09.0,J. Withey enters the game for R. Gobert,,4,8
32,1,8:09.0,,K. Faried misses free throw 2 of 2,4,9
33,1,8:06.0,Defensive rebound by T. Lyles,,4,9
34,1,7:55.0,Shooting foul by J. Nurkić (drawn by R. Hood),,4,9
35,1,7:55.0,R. Hood makes free throw 1 of 2,,5,9
36,1,7:55.0,R. Hood misses free throw 2 of 2,,5,9
37,1,7:53.0,Offensive rebound by J. Withey,,5,9
38,1,7:48.0,G. Hayward misses 3-pt jump shot from 25 ft,,5,9
39,1,7:47.0,,Defensive rebound by J. Nurkić,5,9
40,1,7:24.0,,J. Nurkić misses 2-pt layup from 2 ft (block by J. Withey),5,9
41,1,7:23.0,Defensive rebound by R. Hood,,5,9
42,1,7:10.0,Turnover by R. Hood (lost ball),,5,9
43,1,6:53.0,,W. Barton misses 3-pt jump shot from 26 ft,5,9
44,1,6:52.0,Defensive rebound by Team,,5,9
45,1,6:29.0,T. Lyles misses 2-pt jump shot from 9 ft,,5,9
46,1,6:29.0,,Defensive rebound by E. Mudiay,5,9
47,1,6:22.0,,E. Mudiay misses 2-pt layup from 2 ft,5,9
48,1,6:20.0,,Offensive rebound by W. Barton,5,9
49,1,6:20.0,,W. Barton misses 2-pt layup from 1 ft,5,9
50,1,6:19.0,Defensive rebound by R. Hood,,5,9
51,1,6:09.0,R. Hood misses 3-pt jump shot from 26 ft,,5,9
52,1,6:09.0,,Defensive rebound by E. Mudiay,5,9
53,1,5:58.0,,J. Nurkić misses 2-pt jump shot from 19 ft,5,9
54,1,5:56.0,Defensive rebound by R. Hood,,5,9
55,1,5:50.0,J. Withey misses 2-pt layup from 2 ft,,5,9
56,1,5:49.0,,Defensive rebound by K. Faried,5,9
