,QUARTER,TIME_REMAINING,HOUSTON_ACTION,PHOENIX_ACTION,HOUSTON_SCORE,PHOENIX_SCORE
0,1,11:35.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,0,0
1,1,11:33.0,,Offensive rebound by T. Chandler,0,0
2,1,11:26.0,,Turnover by D. Booker (bad pass; steal by T. Ariza),0,0
3,1,11:20.0,P. Beverley makes 2-pt layup from 2 ft,,2,0
4,1,11:14.0,,Turnover by P. Tucker (step out of bounds),2,0
5,1,11:05.0,T. Ariza makes 3-pt jump shot from 22 ft (assist by J. Harden),,5,0
6,1,10:44.0,,M. Chriss makes 2-pt jump shot from 7 ft,5,2
7,1,10:29.0,M. Harrell misses 2-pt layup from 3 ft,,5,2
8,1,10:26.0,,Defensive rebound by T. Chandler,5,2
9,1,10:24.0,,D. Booker makes 2-pt dunk at rim,5,4
10,1,10:15.0,M. Harrell makes 2-pt dunk at rim (assist by J. Harden),,7,4
11,1,9:57.0,,E. Bledsoe makes 2-pt layup from 1 ft,7,6
12,1,9:41.0,R. Anderson misses 3-pt jump shot from 27 ft,,7,6
13,1,9:39.0,,Defensive rebound by T. Chandler,7,6
14,1,9:35.0,,E. Bledsoe misses 2-pt jump shot from 20 ft,7,6
15,1,9:28.0,Defensive rebound by J. Harden,,7,6
16,1,9:23.0,R. Anderson makes 3-pt jump shot from 25 ft (assist by J. Harden),,10,6
17,1,9:12.0,,D. Booker makes 2-pt dunk at rim (assist by T. Chandler),10,8
18,1,8:59.0,Shooting foul by P. Tucker (drawn by M. Harrell),,10,8
19,1,8:59.0,M. Harrell misses free throw 1 of 2,,10,8
20,1,8:59.0,Offensive rebound by Team,,10,8
21,1,8:59.0,M. Harrell makes free throw 2 of 2,,11,8
22,1,8:46.0,,D. Booker makes 2-pt jump shot from 16 ft,11,10
23,1,8:41.0,Shooting block foul by D. Booker (drawn by T. Ariza),,11,10
24,1,8:41.0,T. Ariza misses free throw 1 of 2,,11,10
25,1,8:41.0,Offensive rebound by Team,,11,10
26,1,8:41.0,T. Ariza makes free throw 2 of 2,,12,10
27,1,8:25.0,,D. Booker misses 2-pt jump shot from 9 ft,12,10
28,1,8:23.0,,Offensive rebound by D. Booker,12,10
29,1,8:22.0,,D. Booker misses 2-pt jump shot from 14 ft (block by M. Harrell),12,10
30,1,8:19.0,Defensive rebound by J. Harden,,12,10
31,1,8:15.0,T. Ariza makes 2-pt layup from 1 ft (assist by J. Harden),,14,10
32,1,7:54.0,,M. Chriss makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),14,13
33,1,7:38.0,Personal foul by P. Tucker (drawn by J. Harden),,14,13
34,1,7:37.0,Offensive foul by J. Harden (drawn by D. Booker),,14,13
35,1,7:37.0,Turnover by J. Harden (offensive foul),,14,13
36,1,7:37.0,Violation by Team (delay of game),,14,13
37,1,7:22.0,Violation by T. Ariza (kicked ball),,14,13
38,1,7:17.0,,P. Tucker misses 2-pt jump shot from 7 ft (block by M. Harrell),14,13
39,1,7:15.0,,Offensive rebound by M. Chriss,14,13
40,1,7:14.0,,M. Chriss misses 2-pt layup from 1 ft (block by R. Anderson),14,13
41,1,7:11.0,Defensive rebound by R. Anderson,,14,13
42,1,7:10.0,T. Ariza makes 2-pt dunk from 1 ft,,16,13
43,1,7:06.0,,Phoenix full timeout,16,13
44,1,6:53.0,,E. Bledsoe makes 2-pt jump shot from 23 ft (assist by D. Booker),16,15
45,1,6:38.0,J. Harden misses 3-pt jump shot from 23 ft,,16,15
46,1,6:36.0,Offensive rebound by J. Harden,,16,15
47,1,6:26.0,P. Beverley makes 2-pt layup from 1 ft (assist by T. Ariza),,18,15
48,1,6:10.0,,D. Booker misses 2-pt jump shot from 22 ft,18,15
49,1,6:08.0,Defensive rebound by P. Beverley,,18,15
50,1,6:00.0,Turnover by P. Beverley (bad pass; steal by P. Tucker),,18,15
51,1,5:55.0,,D. Booker makes 2-pt dunk at rim (assist by P. Tucker),18,17
52,1,5:26.0,J. Harden makes 3-pt jump shot from 25 ft,,21,17
53,1,5:00.0,,D. Booker misses 3-pt jump shot from 24 ft,21,17
54,1,4:58.0,Defensive rebound by M. Harrell,,21,17
55,1,4:48.0,Shooting foul by E. Bledsoe (drawn by R. Anderson),,21,17
56,1,4:48.0,R. Anderson makes free throw 1 of 2,,22,17
57,1,4:48.0,E. Gordon enters the game for P. Beverley,,22,17
58,1,4:48.0,,T. Warren enters the game for M. Chriss,22,17
59,1,4:48.0,R. Anderson makes free throw 2 of 2,,23,17
60,1,4:23.0,,D. Booker misses 2-pt jump shot from 22 ft,23,17
61,1,4:21.0,,Offensive rebound by E. Bledsoe,23,17
62,1,4:19.0,,Turnover by E. Bledsoe (bad pass; steal by T. Ariza),23,17
63,1,4:14.0,M. Harrell makes 2-pt layup from 2 ft (assist by J. Harden),,25,17
64,1,4:11.0,,Personal foul by T. Ariza (drawn by E. Bledsoe),25,17
65,1,4:11.0,S. Dekker enters the game for R. Anderson,,25,17
66,1,4:11.0,,A. Len enters the game for T. Chandler,25,17
67,1,4:11.0,N. Hilário enters the game for M. Harrell,,25,17
68,1,3:59.0,,T. Warren makes 2-pt jump shot from 11 ft,25,19
69,1,3:39.0,N. Hilário makes 2-pt layup from 2 ft (assist by J. Harden),,27,19
70,1,3:13.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),27,22
71,1,2:55.0,E. Gordon misses 3-pt jump shot from 27 ft,,27,22
72,1,2:54.0,Offensive rebound by S. Dekker,,27,22
73,1,2:51.0,Turnover by S. Dekker (lost ball; steal by A. Len),,27,22
74,1,2:47.0,Houston full timeout,,27,22
75,1,2:47.0,,B. Knight enters the game for E. Bledsoe,27,22
76,1,2:47.0,C. Brewer enters the game for T. Ariza,,27,22
77,1,2:27.0,,Turnover by Team (shot clock),27,22
78,1,2:20.0,N. Hilário makes 2-pt dunk at rim (assist by J. Harden),,29,22
79,1,2:20.0,Shooting foul by A. Len (drawn by N. Hilário),,29,22
80,1,2:20.0,N. Hilário makes free throw 1 of 1,,30,22
81,1,1:58.0,,T. Warren makes 2-pt jump shot from 6 ft,30,24
82,1,1:50.0,E. Gordon misses 3-pt jump shot from 27 ft,,30,24
83,1,1:48.0,,Defensive rebound by D. Booker,30,24
84,1,1:39.0,,T. Warren misses 2-pt jump shot from 11 ft,30,24
85,1,1:37.0,Defensive rebound by S. Dekker,,30,24
86,1,1:32.0,C. Brewer misses 2-pt layup from 3 ft (block by A. Len),,30,24
87,1,1:28.0,,Defensive rebound by D. Booker,30,24
88,1,1:25.0,,A. Len makes 2-pt layup from 1 ft (assist by D. Booker),30,26
89,1,1:07.0,Shooting foul by T. Warren (drawn by S. Dekker),,30,26
90,1,1:07.0,S. Dekker misses free throw 1 of 2,,30,26
91,1,1:07.0,Offensive rebound by Team,,30,26
92,1,1:07.0,S. Dekker misses free throw 2 of 2,,30,26
93,1,1:07.0,,J. Dudley enters the game for P. Tucker,30,26
94,1,1:06.0,,Defensive rebound by T. Warren,30,26
95,1,0:54.0,,Offensive foul by B. Knight (drawn by C. Brewer),30,26
96,1,0:54.0,,Turnover by B. Knight (offensive foul),30,26
97,1,0:36.0,E. Gordon misses 3-pt jump shot from 25 ft,,30,26
98,1,0:34.0,,Defensive rebound by Team,30,26
99,1,0:28.0,,D. Booker misses 2-pt jump shot from 3 ft (block by N. Hilário),30,26
100,1,0:26.0,Defensive rebound by E. Gordon,,30,26
101,1,0:04.0,C. Brewer misses 3-pt jump shot from 23 ft,,30,26
