,QUARTER,TIME_REMAINING,UTAH_ACTION,NEW ORLEANS_ACTION,UTAH_SCORE,NEW ORLEANS_SCORE
0,1,11:39.0,,J. Holiday makes 2-pt jump shot from 18 ft,0,2
1,1,11:21.0,G. Hill misses 3-pt jump shot from 23 ft,,0,2
2,1,11:20.0,Offensive rebound by R. Gobert,,0,2
3,1,11:14.0,G. Hill misses 3-pt jump shot from 24 ft,,0,2
4,1,11:13.0,,Defensive rebound by T. Jones,0,2
5,1,11:05.0,,T. Jones misses 2-pt layup from 2 ft,0,2
6,1,11:04.0,Defensive rebound by J. Ingles,,0,2
7,1,10:50.0,J. Ingles makes 3-pt jump shot from 26 ft,,3,2
8,1,10:43.0,,B. Hield misses 3-pt jump shot from 25 ft,3,2
9,1,10:41.0,Defensive rebound by R. Gobert,,3,2
10,1,10:26.0,J. Ingles misses 3-pt jump shot from 23 ft,,3,2
11,1,10:25.0,,Defensive rebound by T. Jones,3,2
12,1,10:11.0,,A. Davis misses 2-pt jump shot from 14 ft,3,2
13,1,10:08.0,,Offensive rebound by J. Holiday,3,2
14,1,10:07.0,,J. Holiday makes 2-pt jump shot from 3 ft,3,4
15,1,9:45.0,D. Favors makes 2-pt dunk at rim (assist by G. Hayward),,5,4
16,1,9:37.0,,J. Holiday makes 3-pt jump shot from 25 ft,5,7
17,1,9:17.0,D. Favors makes 2-pt jump shot from 5 ft (assist by G. Hill),,7,7
18,1,9:06.0,,J. Holiday misses 3-pt jump shot from 26 ft,7,7
19,1,9:04.0,Defensive rebound by G. Hayward,,7,7
20,1,8:55.0,G. Hayward makes 2-pt layup from 2 ft,,9,7
21,1,8:43.0,,Personal foul by J. Ingles (drawn by B. Hield),9,7
22,1,8:30.0,,Turnover by J. Holiday (lost ball; steal by D. Favors),9,7
23,1,8:28.0,G. Hayward makes 2-pt layup from 3 ft,,11,7
24,1,8:08.0,,A. Davis misses 2-pt jump shot from 8 ft,11,7
25,1,8:06.0,Defensive rebound by R. Gobert,,11,7
26,1,7:58.0,G. Hill makes 3-pt jump shot from 27 ft,,14,7
27,1,7:56.0,,New Orleans full timeout,14,7
28,1,7:41.0,,S. Hill makes 3-pt jump shot from 25 ft (assist by J. Holiday),14,10
29,1,7:23.0,D. Favors makes 2-pt jump shot from 6 ft (assist by R. Gobert),,16,10
30,1,7:03.0,,T. Jones misses 2-pt jump shot from 7 ft,16,10
31,1,7:02.0,Defensive rebound by R. Gobert,,16,10
32,1,6:56.0,Personal foul by J. Holiday (drawn by G. Hill),,16,10
33,1,6:56.0,T. Lyles enters the game for D. Favors,,16,10
34,1,6:56.0,D. Exum enters the game for G. Hill,,16,10
35,1,6:53.0,Personal foul by S. Hill (drawn by G. Hayward),,16,10
36,1,6:49.0,R. Gobert misses 2-pt jump shot from 3 ft (block by A. Davis),,16,10
37,1,6:47.0,Offensive rebound by R. Gobert,,16,10
38,1,6:40.0,D. Exum makes 2-pt jump shot from 8 ft,,18,10
39,1,6:22.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by S. Hill),18,13
40,1,6:09.0,G. Hayward makes 3-pt jump shot from 25 ft (assist by R. Gobert),,21,13
41,1,5:57.0,,Turnover by S. Hill (bad pass; steal by G. Hayward),21,13
42,1,5:53.0,G. Hayward makes 2-pt layup from 2 ft,,23,13
43,1,5:40.0,,J. Holiday makes 2-pt jump shot from 11 ft,23,15
44,1,5:21.0,G. Hayward misses 2-pt jump shot from 3 ft (block by A. Davis),,23,15
45,1,5:19.0,Offensive rebound by Team,,23,15
46,1,5:19.0,,E. Moore enters the game for B. Hield,23,15
47,1,5:16.0,D. Exum makes 3-pt jump shot from 23 ft (assist by J. Ingles),,26,15
48,1,4:54.0,,A. Davis makes 2-pt dunk at rim (assist by E. Moore),26,17
49,1,4:34.0,R. Gobert misses 2-pt layup from 1 ft (block by A. Davis),,26,17
50,1,4:33.0,,Defensive rebound by T. Jones,26,17
51,1,4:28.0,,T. Jones makes 2-pt layup from 2 ft,26,19
52,1,4:27.0,Utah full timeout,,26,19
53,1,4:27.0,,D. Cunningham enters the game for T. Jones,26,19
54,1,4:27.0,A. Burks enters the game for J. Ingles,,26,19
55,1,4:05.0,R. Gobert makes 2-pt layup from 2 ft (assist by D. Exum),,28,19
56,1,3:53.0,,Turnover by E. Moore (bad pass; steal by D. Exum),28,19
57,1,3:50.0,D. Exum makes 2-pt dunk at rim,,30,19
58,1,3:32.0,,D. Cunningham misses 2-pt jump shot from 17 ft,30,19
59,1,3:31.0,Defensive rebound by R. Gobert,,30,19
60,1,3:13.0,,Violation by J. Holiday (kicked ball),30,19
61,1,3:13.0,,T. Frazier enters the game for J. Holiday,30,19
62,1,3:09.0,G. Hayward misses 2-pt jump shot from 5 ft,,30,19
63,1,3:08.0,,Defensive rebound by A. Davis,30,19
64,1,2:56.0,,Turnover by E. Moore (bad pass; steal by A. Burks),30,19
65,1,2:51.0,T. Lyles misses 3-pt jump shot from 23 ft,,30,19
66,1,2:49.0,Offensive rebound by G. Hayward,,30,19
67,1,2:42.0,G. Hayward misses 2-pt jump shot from 6 ft,,30,19
68,1,2:40.0,,Defensive rebound by D. Cunningham,30,19
69,1,2:26.0,,E. Moore misses 3-pt jump shot from 25 ft,30,19
70,1,2:23.0,,Offensive rebound by A. Davis,30,19
71,1,2:16.0,,D. Cunningham makes 2-pt jump shot from 21 ft (assist by T. Frazier),30,21
72,1,2:03.0,G. Hayward misses 2-pt jump shot from 4 ft (block by A. Davis),,30,21
73,1,2:02.0,,Defensive rebound by A. Davis,30,21
74,1,1:56.0,,E. Moore misses 3-pt jump shot from 26 ft,30,21
75,1,1:54.0,Defensive rebound by D. Exum,,30,21
76,1,1:36.0,Shooting foul by A. Davis (drawn by A. Burks),,30,21
77,1,1:36.0,A. Burks makes free throw 1 of 2,,31,21
78,1,1:36.0,J. Johnson enters the game for R. Gobert,,31,21
79,1,1:36.0,D. Favors enters the game for G. Hayward,,31,21
80,1,1:36.0,,D. Motiejūnas enters the game for A. Davis,31,21
81,1,1:36.0,A. Burks makes free throw 2 of 2,,32,21
82,1,1:30.0,,T. Frazier misses 2-pt jump shot from 22 ft,32,21
83,1,1:26.0,Defensive rebound by A. Burks,,32,21
84,1,1:17.0,Turnover by D. Exum (traveling),,32,21
85,1,1:17.0,G. Hill enters the game for D. Exum,,32,21
86,1,1:10.0,,S. Hill misses 3-pt jump shot from 25 ft,32,21
87,1,1:08.0,Defensive rebound by A. Burks,,32,21
88,1,0:48.0,D. Favors misses 2-pt jump shot from 9 ft,,32,21
89,1,0:47.0,,Defensive rebound by D. Cunningham,32,21
90,1,0:38.0,,D. Cunningham makes 2-pt layup from 3 ft (assist by T. Frazier),32,23
91,1,0:32.0,G. Hill misses 3-pt jump shot from 25 ft,,32,23
92,1,0:30.0,,Defensive rebound by D. Motiejūnas,32,23
93,1,0:27.0,,T. Frazier makes 2-pt layup from 2 ft (assist by D. Motiejūnas),32,25
94,1,0:03.0,J. Johnson misses 2-pt jump shot from 15 ft,,32,25
95,1,0:00.0,Offensive rebound by D. Favors,,32,25
96,2,11:46.0,G. Hill makes 2-pt dunk at rim (assist by D. Favors),,34,25
97,2,11:34.0,,E. Moore makes 2-pt jump shot from 7 ft,34,27
98,2,11:14.0,J. Johnson makes 2-pt jump shot from 9 ft,,36,27
99,2,10:56.0,,Shooting foul by D. Favors (drawn by T. Jones),36,27
100,2,10:56.0,,T. Jones makes free throw 1 of 2,36,28
101,2,10:56.0,,T. Jones makes free throw 2 of 2,36,29
102,2,10:49.0,G. Hill makes 2-pt layup from 1 ft,,38,29
103,2,10:49.0,Shooting foul by T. Frazier (drawn by G. Hill),,38,29
104,2,10:49.0,G. Hill misses free throw 1 of 1,,38,29
105,2,10:48.0,,Defensive rebound by D. Motiejūnas,38,29
106,2,10:33.0,,E. Moore makes 2-pt layup from 2 ft,38,31
107,2,10:08.0,B. Diaw makes 2-pt layup from 2 ft (assist by G. Hill),,40,31
108,2,10:00.0,,E. Moore makes 2-pt dunk at rim (assist by T. Frazier),40,33
109,2,9:34.0,J. Ingles misses 3-pt jump shot from 26 ft,,40,33
110,2,9:33.0,,Defensive rebound by D. Motiejūnas,40,33
111,2,9:21.0,,T. Jones makes 2-pt jump shot from 11 ft (assist by D. Motiejūnas),40,35
112,2,9:13.0,Utah full timeout,,40,35
113,2,9:08.0,G. Hill makes 3-pt jump shot from 25 ft (assist by J. Johnson),,43,35
114,2,8:55.0,,D. Motiejūnas makes 2-pt hook shot from 5 ft,43,37
115,2,8:37.0,Personal foul by D. Motiejūnas (drawn by B. Diaw),,43,37
116,2,8:37.0,,J. Holiday enters the game for E. Moore,43,37
117,2,8:31.0,Turnover by B. Diaw (bad pass; steal by J. Holiday),,43,37
118,2,8:28.0,,Personal foul by G. Hill (drawn by T. Frazier),43,37
119,2,8:11.0,,Turnover by J. Holiday (bad pass; steal by B. Diaw),43,37
120,2,7:59.0,J. Johnson misses 2-pt jump shot from 17 ft,,43,37
121,2,7:56.0,,Defensive rebound by T. Frazier,43,37
122,2,7:47.0,,T. Jones makes 2-pt layup from 2 ft,43,39
123,2,7:28.0,R. Gobert enters the game for D. Favors,,43,39
124,2,7:28.0,A. Burks enters the game for J. Ingles,,43,39
125,2,7:23.0,G. Hill misses 3-pt jump shot from 24 ft,,43,39
126,2,7:21.0,Offensive rebound by B. Diaw,,43,39
127,2,7:17.0,A. Burks misses 3-pt jump shot from 25 ft,,43,39
128,2,7:14.0,,Defensive rebound by D. Cunningham,43,39
129,2,7:07.0,D. Exum enters the game for G. Hill,,43,39
130,2,7:07.0,G. Hayward enters the game for B. Diaw,,43,39
131,2,7:00.0,,Turnover by T. Jones (lost ball; steal by A. Burks),43,39
132,2,6:52.0,Turnover by D. Exum (lost ball; steal by T. Jones),,43,39
133,2,6:36.0,,T. Jones makes 2-pt layup from 2 ft,43,41
134,2,6:16.0,A. Burks misses 2-pt layup from 2 ft,,43,41
135,2,6:13.0,,Defensive rebound by T. Frazier,43,41
136,2,6:08.0,,J. Holiday misses 3-pt jump shot from 25 ft,43,41
137,2,6:06.0,Defensive rebound by G. Hayward,,43,41
138,2,5:43.0,J. Johnson makes 2-pt jump shot from 17 ft,,45,41
139,2,5:36.0,,T. Frazier misses 3-pt jump shot from 25 ft,45,41
140,2,5:33.0,Defensive rebound by J. Johnson,,45,41
141,2,5:21.0,G. Hayward misses 2-pt layup from 1 ft,,45,41
142,2,5:19.0,Offensive rebound by R. Gobert,,45,41
143,2,5:18.0,R. Gobert makes 2-pt dunk at rim,,47,41
144,2,4:54.0,,T. Jones makes 2-pt jump shot from 5 ft (assist by D. Cunningham),47,43
145,2,4:35.0,G. Hayward misses 3-pt jump shot from 26 ft,,47,43
146,2,4:32.0,Offensive rebound by J. Johnson,,47,43
147,2,4:18.0,G. Hayward misses 2-pt layup from 2 ft,,47,43
148,2,4:17.0,Offensive rebound by R. Gobert,,47,43
149,2,4:17.0,Shooting foul by D. Cunningham (drawn by R. Gobert),,47,43
150,2,4:17.0,Official timeout,,47,43
151,2,4:17.0,R. Gobert makes free throw 1 of 2,,48,43
152,2,4:17.0,,A. Davis enters the game for D. Cunningham,47,43
