,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MILWAUKEE_ACTION,SACRAMENTO_SCORE,MILWAUKEE_SCORE
0,1,12:00.0,,Violation by Team (jump ball),0,0
1,1,11:49.0,Personal foul by G. Antetokounmpo (drawn by O. Casspi),,0,0
2,1,11:44.0,A. Afflalo misses 2-pt jump shot from 21 ft,,0,0
3,1,11:43.0,,Defensive rebound by Team,0,0
4,1,11:31.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,0,2
5,1,11:14.0,A. Afflalo misses 3-pt jump shot from 27 ft,,0,2
6,1,11:13.0,,Defensive rebound by T. Snell,0,2
7,1,11:04.0,,T. Snell misses 3-pt jump shot from 26 ft,0,2
8,1,11:03.0,,Offensive rebound by M. Dellavedova,0,2
9,1,10:59.0,,G. Antetokounmpo misses 3-pt jump shot from 25 ft,0,2
10,1,10:58.0,,Offensive rebound by T. Snell,0,2
11,1,10:55.0,,T. Snell misses 3-pt jump shot from 25 ft,0,2
12,1,10:53.0,Defensive rebound by Team,,0,2
13,1,10:41.0,K. Koufos makes 2-pt hook shot from 6 ft (assist by T. Lawson),,2,2
14,1,10:23.0,,J. Parker misses 3-pt jump shot from 26 ft,2,2
15,1,10:22.0,Defensive rebound by O. Casspi,,2,2
16,1,10:05.0,O. Casspi misses 2-pt layup from 1 ft,,2,2
17,1,10:04.0,,Defensive rebound by T. Snell,2,2
18,1,9:42.0,,M. Dellavedova makes 2-pt jump shot from 12 ft (assist by G. Antetokounmpo),2,4
19,1,9:26.0,Turnover by T. Lawson (bad pass; steal by G. Antetokounmpo),,2,4
20,1,9:23.0,,Shooting foul by K. Koufos (drawn by G. Antetokounmpo),2,4
21,1,9:23.0,,G. Antetokounmpo makes free throw 1 of 2,2,5
22,1,9:23.0,,G. Antetokounmpo makes free throw 2 of 2,2,6
23,1,9:01.0,Turnover by K. Koufos (bad pass; steal by M. Dellavedova),,2,6
24,1,8:55.0,,J. Parker makes 2-pt dunk at rim (assist by G. Antetokounmpo),2,8
25,1,8:46.0,T. Lawson misses 2-pt layup from 2 ft (block by M. Plumlee),,2,8
26,1,8:44.0,Offensive rebound by T. Lawson,,2,8
27,1,8:38.0,D. Cousins makes 2-pt jump shot from 14 ft (assist by T. Lawson),,4,8
28,1,8:25.0,,J. Parker misses 2-pt jump shot from 20 ft,4,8
29,1,8:24.0,Defensive rebound by A. Afflalo,,4,8
30,1,8:13.0,D. Cousins misses 2-pt layup from 1 ft (block by M. Plumlee),,4,8
31,1,8:13.0,,Defensive rebound by G. Antetokounmpo,4,8
32,1,8:13.0,,Personal take foul by T. Lawson (drawn by G. Antetokounmpo),4,8
33,1,8:05.0,,G. Antetokounmpo misses 2-pt dunk at rim,4,8
