,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MEMPHIS_ACTION,SACRAMENTO_SCORE,MEMPHIS_SCORE
0,1,11:35.0,,M. Gasol makes 2-pt hook shot from 5 ft,0,2
1,1,11:14.0,G. Temple makes 2-pt layup at rim (assist by D. Cousins),,2,2
2,1,10:53.0,,T. Allen makes 2-pt layup from 1 ft (assist by M. Gasol),2,4
3,1,10:29.0,D. Cousins makes 2-pt jump shot from 21 ft,,4,4
4,1,10:13.0,,M. Gasol misses 3-pt jump shot from 25 ft,4,4
5,1,10:12.0,Defensive rebound by D. Cousins,,4,4
6,1,9:56.0,D. Cousins misses 2-pt layup from 1 ft,,4,4
7,1,9:55.0,Offensive rebound by K. Koufos,,4,4
8,1,9:55.0,K. Koufos makes 2-pt layup from 1 ft,,6,4
9,1,9:41.0,,M. Conley misses 3-pt jump shot from 25 ft,6,4
10,1,9:40.0,Defensive rebound by G. Temple,,6,4
11,1,9:34.0,G. Temple misses 3-pt jump shot from 26 ft,,6,4
12,1,9:32.0,,Defensive rebound by M. Conley,6,4
13,1,9:24.0,,J. Green misses 2-pt jump shot from 16 ft,6,4
14,1,9:22.0,Defensive rebound by D. Cousins,,6,4
15,1,9:13.0,,Violation by M. Gasol (kicked ball),6,4
16,1,9:04.0,K. Koufos makes 2-pt dunk at rim (assist by G. Temple),,8,4
17,1,8:47.0,,T. Williams misses 2-pt jump shot from 5 ft,8,4
18,1,8:47.0,,Offensive rebound by Team,8,4
19,1,8:41.0,,M. Gasol misses 2-pt jump shot from 13 ft,8,4
20,1,8:39.0,,Offensive rebound by T. Allen,8,4
21,1,8:27.0,,J. Green misses 3-pt jump shot from 24 ft,8,4
22,1,8:27.0,Defensive rebound by K. Koufos,,8,4
23,1,8:18.0,D. Collison misses 2-pt jump shot from 7 ft,,8,4
24,1,8:14.0,,Defensive rebound by M. Gasol,8,4
25,1,7:52.0,,T. Allen makes 2-pt layup from 2 ft (assist by M. Conley),8,6
26,1,7:33.0,B. McLemore misses 2-pt jump shot from 15 ft (block by M. Gasol),,8,6
27,1,7:32.0,,Defensive rebound by J. Green,8,6
28,1,7:26.0,,J. Green makes 2-pt jump shot from 17 ft (assist by T. Allen),8,8
29,1,7:26.0,Sacramento full timeout,,8,8
30,1,7:26.0,M. Barnes enters the game for B. McLemore,,8,8
31,1,7:08.0,Shooting foul by T. Allen (drawn by D. Cousins),,8,8
32,1,7:08.0,D. Cousins makes free throw 1 of 2,,9,8
33,1,7:08.0,D. Cousins makes free throw 2 of 2,,10,8
34,1,6:48.0,,M. Gasol makes 2-pt jump shot from 20 ft (assist by M. Conley),10,10
35,1,6:23.0,G. Temple makes 3-pt jump shot from 23 ft (assist by K. Koufos),,13,10
36,1,6:05.0,,M. Gasol makes 2-pt jump shot from 7 ft,13,12
37,1,5:49.0,Turnover by G. Temple (bad pass; steal by M. Conley),,13,12
38,1,5:45.0,,M. Conley misses 2-pt layup from 3 ft,13,12
39,1,5:42.0,Defensive rebound by D. Cousins,,13,12
40,1,5:38.0,D. Collison makes 3-pt jump shot from 23 ft (assist by G. Temple),,16,12
41,1,5:18.0,,J. Green makes 2-pt jump shot from 21 ft (assist by M. Conley),16,14
42,1,5:07.0,D. Cousins misses 2-pt jump shot from 16 ft,,16,14
43,1,5:05.0,Offensive rebound by G. Temple,,16,14
44,1,4:58.0,M. Barnes misses 3-pt jump shot from 24 ft,,16,14
45,1,4:57.0,,Defensive rebound by J. Green,16,14
46,1,4:33.0,,M. Conley misses 2-pt jump shot from 12 ft,16,14
47,1,4:30.0,Defensive rebound by M. Barnes,,16,14
48,1,4:24.0,K. Koufos misses 2-pt layup from 1 ft,,16,14
49,1,4:23.0,,Defensive rebound by T. Williams,16,14
50,1,4:19.0,,Memphis full timeout,16,14
51,1,4:19.0,A. Tolliver enters the game for K. Koufos,,16,14
52,1,4:19.0,,A. Harrison enters the game for J. Green,16,14
53,1,4:19.0,,Z. Randolph enters the game for T. Williams,16,14
54,1,4:19.0,,V. Carter enters the game for M. Conley,16,14
55,1,4:07.0,,M. Gasol misses 2-pt jump shot from 19 ft,16,14
56,1,4:06.0,Defensive rebound by G. Temple,,16,14
57,1,3:47.0,D. Cousins misses 2-pt layup from 1 ft,,16,14
58,1,3:46.0,,Defensive rebound by M. Gasol,16,14
59,1,3:40.0,,V. Carter misses 3-pt jump shot from 25 ft,16,14
60,1,3:38.0,Defensive rebound by M. Barnes,,16,14
61,1,3:34.0,D. Collison misses 2-pt layup from 1 ft (block by A. Harrison),,16,14
62,1,3:34.0,,Defensive rebound by Team,16,14
63,1,3:21.0,,V. Carter makes 2-pt layup from 1 ft (assist by Z. Randolph),16,16
64,1,3:03.0,Shooting foul by A. Harrison (drawn by M. Barnes),,16,16
65,1,3:03.0,M. Barnes misses free throw 1 of 2,,16,16
66,1,3:03.0,Offensive rebound by Team,,16,16
67,1,3:03.0,,T. Daniels enters the game for T. Allen,16,16
68,1,3:03.0,T. Lawson enters the game for D. Collison,,16,16
69,1,3:03.0,M. Barnes makes free throw 2 of 2,,17,16
70,1,2:40.0,,T. Daniels misses 3-pt jump shot from 26 ft,17,16
71,1,2:39.0,Defensive rebound by M. Barnes,,17,16
72,1,2:28.0,D. Cousins misses 2-pt layup from 1 ft,,17,16
73,1,2:27.0,,Defensive rebound by Z. Randolph,17,16
74,1,2:22.0,,Personal foul by D. Cousins (drawn by M. Gasol),17,16
75,1,2:22.0,,J. Martin enters the game for M. Gasol,17,16
76,1,2:18.0,,Offensive foul by Z. Randolph (drawn by T. Lawson),17,16
77,1,2:18.0,,Turnover by Z. Randolph (offensive foul),17,16
78,1,2:06.0,Shooting foul by T. Daniels (drawn by G. Temple),,17,16
79,1,2:06.0,G. Temple makes free throw 1 of 2,,18,16
80,1,2:06.0,G. Temple makes free throw 2 of 2,,19,16
81,1,1:50.0,,V. Carter misses 3-pt jump shot from 25 ft,19,16
82,1,1:50.0,Defensive rebound by G. Temple,,19,16
83,1,1:32.0,G. Temple makes 3-pt jump shot from 25 ft,,22,16
84,1,1:08.0,,Turnover by T. Daniels (back court),22,16
85,1,0:58.0,Turnover by M. Barnes (bad pass; steal by J. Martin),,22,16
86,1,0:49.0,,T. Daniels misses 3-pt jump shot from 25 ft,22,16
87,1,0:47.0,Defensive rebound by D. Cousins,,22,16
88,1,0:41.0,Personal foul by J. Martin (drawn by D. Cousins),,22,16
89,1,0:41.0,D. Collison enters the game for G. Temple,,22,16
90,1,0:33.0,M. Barnes makes 2-pt dunk at rim (assist by T. Lawson),,24,16
91,1,0:23.0,,Def 3 sec tech foul by D. Cousins,24,16
92,1,0:23.0,,T. Daniels makes technical free throw,24,17
