,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,OKLAHOMA CITY_ACTION,CLEVELAND_SCORE,OKLAHOMA CITY_SCORE
0,1,11:50.0,,Turnover by D. Sabonis (lost ball),0,0
1,1,11:26.0,K. Irving makes 2-pt jump shot from 7 ft,,2,0
2,1,11:08.0,,S. Adams makes 2-pt hook shot from 5 ft,2,2
3,1,10:50.0,T. Thompson makes 2-pt jump shot from 6 ft (assist by L. James),,4,2
4,1,10:39.0,,Shooting foul by J. McRae (drawn by V. Oladipo),4,2
5,1,10:39.0,,V. Oladipo makes free throw 1 of 2,4,3
6,1,10:39.0,,V. Oladipo misses free throw 2 of 2,4,3
7,1,10:38.0,Defensive rebound by L. James,,4,3
8,1,10:27.0,L. James makes 2-pt jump shot from 13 ft,,6,3
9,1,10:16.0,,S. Adams misses 2-pt hook shot from 4 ft,6,3
10,1,10:16.0,Defensive rebound by K. Love,,6,3
11,1,9:52.0,T. Thompson misses 2-pt jump shot from 12 ft,,6,3
12,1,9:51.0,,Defensive rebound by V. Oladipo,6,3
13,1,9:44.0,,V. Oladipo makes 2-pt jump shot from 20 ft,6,5
14,1,9:25.0,K. Love misses 2-pt jump shot from 12 ft,,6,5
15,1,9:25.0,,Defensive rebound by Team,6,5
16,1,9:11.0,,D. Sabonis misses 2-pt jump shot from 14 ft,6,5
17,1,9:11.0,,Offensive rebound by S. Adams,6,5
18,1,9:02.0,,V. Oladipo makes 2-pt jump shot from 16 ft,6,7
19,1,8:40.0,K. Love misses 3-pt jump shot from 25 ft,,6,7
20,1,8:40.0,,Defensive rebound by R. Westbrook,6,7
21,1,8:35.0,,Turnover by R. Westbrook (bad pass; steal by K. Irving),6,7
22,1,8:15.0,Turnover by L. James (bad pass; steal by V. Oladipo),,6,7
23,1,8:10.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by V. Oladipo),6,9
24,1,7:51.0,K. Love misses 2-pt jump shot from 18 ft,,6,9
25,1,7:50.0,,Defensive rebound by R. Westbrook,6,9
26,1,7:46.0,,V. Oladipo makes 2-pt layup from 1 ft (assist by R. Westbrook),6,11
27,1,7:45.0,Cleveland full timeout,,6,11
28,1,7:31.0,J. McRae makes 3-pt jump shot from 24 ft,,9,11
29,1,7:17.0,,D. Sabonis makes 2-pt jump shot from 16 ft (assist by R. Westbrook),9,13
30,1,6:54.0,L. James misses 2-pt jump shot from 15 ft,,9,13
31,1,6:53.0,,Defensive rebound by R. Westbrook,9,13
32,1,6:45.0,,Shooting foul by T. Thompson (drawn by R. Westbrook),9,13
33,1,6:45.0,,R. Westbrook makes free throw 1 of 2,9,14
34,1,6:45.0,,R. Westbrook makes free throw 2 of 2,9,15
35,1,6:32.0,L. James misses 3-pt jump shot from 23 ft,,9,15
36,1,6:31.0,,Defensive rebound by S. Adams,9,15
37,1,6:19.0,,D. Sabonis misses 2-pt hook shot from 4 ft,9,15
38,1,6:19.0,Defensive rebound by T. Thompson,,9,15
39,1,6:03.0,L. James makes 2-pt hook shot from 7 ft,,11,15
40,1,6:03.0,Shooting foul by A. Roberson (drawn by L. James),,11,15
41,1,6:03.0,L. James misses free throw 1 of 1,,11,15
42,1,6:02.0,,Defensive rebound by R. Westbrook,11,15
43,1,5:56.0,,A. Roberson makes 2-pt dunk at rim (assist by R. Westbrook),11,17
44,1,5:39.0,K. Love misses 2-pt hook shot from 4 ft,,11,17
45,1,5:39.0,,Defensive rebound by R. Westbrook,11,17
46,1,5:33.0,,Turnover by R. Westbrook (bad pass; steal by K. Love),11,17
47,1,5:28.0,L. James makes 2-pt layup at rim,,13,17
48,1,5:12.0,,R. Westbrook misses 3-pt jump shot from 25 ft,13,17
49,1,5:12.0,Defensive rebound by K. Love,,13,17
50,1,4:55.0,T. Thompson misses 2-pt jump shot from 4 ft,,13,17
51,1,4:54.0,,Defensive rebound by R. Westbrook,13,17
52,1,4:49.0,,R. Westbrook misses 2-pt layup from 2 ft (block by K. Irving),13,17
53,1,4:49.0,,Offensive rebound by Team,13,17
54,1,4:49.0,,A. Morrow enters the game for V. Oladipo,13,17
55,1,4:49.0,K. Korver enters the game for L. James,,13,17
56,1,4:49.0,R. Jefferson enters the game for J. McRae,,13,17
57,1,4:44.0,,Offensive foul by S. Adams (drawn by T. Thompson),13,17
58,1,4:44.0,,Turnover by S. Adams (offensive foul),13,17
59,1,4:33.0,K. Love misses 2-pt jump shot from 19 ft,,13,17
60,1,4:33.0,,Defensive rebound by S. Adams,13,17
61,1,4:24.0,,D. Sabonis misses 2-pt layup from 1 ft,13,17
62,1,4:23.0,Defensive rebound by R. Jefferson,,13,17
63,1,4:15.0,K. Irving makes 3-pt jump shot from 25 ft,,16,17
64,1,4:09.0,,A. Roberson makes 2-pt layup from 1 ft (assist by R. Westbrook),16,19
