,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,DETROIT_ACTION,PHILADELPHIA_SCORE,DETROIT_SCORE
0,1,11:47.0,,R. Jackson makes 2-pt layup from 2 ft,0,2
1,1,11:25.0,E. İlyasova misses 2-pt jump shot from 16 ft,,0,2
2,1,11:24.0,,Defensive rebound by A. Drummond,0,2
3,1,11:13.0,,A. Drummond misses 2-pt hook shot from 6 ft,0,2
4,1,11:12.0,,Offensive rebound by M. Morris,0,2
5,1,11:06.0,,M. Morris makes 2-pt jump shot from 10 ft,0,4
6,1,10:43.0,J. Okafor makes 2-pt jump shot from 17 ft (assist by E. İlyasova),,2,4
7,1,10:29.0,,J. Leuer makes 3-pt jump shot from 26 ft (assist by R. Jackson),2,7
8,1,10:29.0,Philadelphia full timeout,,2,7
9,1,10:11.0,Turnover by J. Okafor (traveling),,2,7
10,1,10:01.0,,R. Jackson misses 3-pt jump shot from 26 ft,2,7
11,1,10:01.0,Defensive rebound by N. Stauskas,,2,7
12,1,9:45.0,T. McConnell makes 2-pt layup from 1 ft,,4,7
13,1,9:33.0,,K. Caldwell-Pope makes 2-pt jump shot from 14 ft (assist by R. Jackson),4,9
14,1,9:17.0,E. İlyasova misses 2-pt jump shot from 5 ft,,4,9
15,1,9:15.0,,Defensive rebound by A. Drummond,4,9
16,1,9:05.0,,M. Morris misses 3-pt jump shot from 24 ft,4,9
17,1,9:02.0,,Offensive rebound by J. Leuer,4,9
18,1,8:59.0,,J. Leuer makes 2-pt hook shot from 5 ft,4,11
19,1,8:41.0,N. Stauskas misses 3-pt jump shot from 27 ft,,4,11
20,1,8:41.0,,Defensive rebound by R. Jackson,4,11
21,1,8:28.0,,J. Leuer misses 2-pt jump shot from 18 ft,4,11
22,1,8:27.0,Defensive rebound by R. Covington,,4,11
23,1,8:15.0,N. Stauskas makes 2-pt layup at rim (assist by T. McConnell),,6,11
24,1,7:52.0,,M. Morris misses 2-pt jump shot from 9 ft,6,11
25,1,7:48.0,Defensive rebound by R. Covington,,6,11
26,1,7:40.0,T. McConnell misses 2-pt layup at rim,,6,11
27,1,7:38.0,,Defensive rebound by A. Drummond,6,11
28,1,7:30.0,,A. Drummond makes 2-pt hook shot from 7 ft (assist by K. Caldwell-Pope),6,13
29,1,7:21.0,N. Stauskas misses 3-pt jump shot from 25 ft,,6,13
30,1,7:21.0,,Defensive rebound by A. Drummond,6,13
31,1,7:13.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,6,13
32,1,7:13.0,Defensive rebound by J. Okafor,,6,13
33,1,6:58.0,E. İlyasova misses 3-pt jump shot from 25 ft,,6,13
34,1,6:58.0,,Defensive rebound by A. Drummond,6,13
35,1,6:48.0,,R. Jackson misses 3-pt jump shot from 26 ft,6,13
36,1,6:45.0,Defensive rebound by N. Stauskas,,6,13
37,1,6:39.0,Shooting foul by A. Drummond (drawn by J. Okafor),,6,13
38,1,6:39.0,J. Okafor makes 2-pt layup from 1 ft (assist by T. McConnell),,8,13
39,1,6:39.0,J. Okafor misses free throw 1 of 1,,8,13
40,1,6:39.0,D. Šarić enters the game for E. İlyasova,,8,13
41,1,6:38.0,,Defensive rebound by A. Drummond,8,13
42,1,6:23.0,,M. Morris makes 2-pt layup from 1 ft (assist by J. Leuer),8,15
43,1,6:07.0,D. Šarić misses 2-pt layup from 3 ft (block by J. Leuer),,8,15
44,1,6:05.0,Offensive rebound by D. Šarić,,8,15
45,1,6:02.0,D. Šarić makes 2-pt layup from 1 ft,,10,15
46,1,5:51.0,,Turnover by M. Morris (bad pass; steal by J. Okafor),10,15
47,1,5:44.0,Shooting foul by A. Drummond (drawn by J. Okafor),,10,15
48,1,5:44.0,J. Okafor misses free throw 1 of 2,,10,15
49,1,5:44.0,Offensive rebound by Team,,10,15
50,1,5:44.0,J. Okafor misses free throw 2 of 2,,10,15
51,1,5:44.0,G. Henderson enters the game for N. Stauskas,,10,15
52,1,5:44.0,,A. Baynes enters the game for A. Drummond,10,15
53,1,5:43.0,,Defensive rebound by M. Morris,10,15
54,1,5:31.0,,Turnover by M. Morris (bad pass; steal by R. Covington),10,15
55,1,5:20.0,J. Okafor makes 2-pt jump shot from 7 ft (assist by R. Covington),,12,15
56,1,5:09.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,12,15
57,1,5:09.0,Defensive rebound by T. McConnell,,12,15
58,1,5:03.0,Shooting foul by J. Leuer (drawn by R. Covington),,12,15
59,1,5:03.0,R. Covington makes free throw 1 of 3,,13,15
60,1,5:03.0,R. Covington misses free throw 2 of 3,,13,15
61,1,5:03.0,Offensive rebound by Team,,13,15
62,1,5:03.0,N. Noel enters the game for J. Okafor,,13,15
63,1,5:03.0,,T. Harris enters the game for M. Morris,13,15
64,1,5:03.0,R. Covington makes free throw 3 of 3,,14,15
65,1,4:47.0,,Turnover by T. Harris (lost ball),14,15
66,1,4:23.0,T. McConnell misses 2-pt jump shot from 14 ft,,14,15
67,1,4:23.0,Offensive rebound by D. Šarić,,14,15
68,1,4:22.0,D. Šarić makes 2-pt layup from 1 ft,,16,15
69,1,4:06.0,,J. Leuer misses 3-pt jump shot from 26 ft,16,15
70,1,4:06.0,Defensive rebound by N. Noel,,16,15
71,1,3:51.0,Shooting foul by T. Harris (drawn by R. Covington),,16,15
72,1,3:51.0,R. Covington makes free throw 1 of 2,,17,15
73,1,3:51.0,,I. Smith enters the game for R. Jackson,17,15
74,1,3:51.0,S. Rodríguez enters the game for T. McConnell,,17,15
75,1,3:51.0,R. Covington makes free throw 2 of 2,,18,15
76,1,3:33.0,,I. Smith makes 2-pt jump shot from 15 ft,18,17
