,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,BROOKLYN_ACTION,NEW ORLEANS_SCORE,BROOKLYN_SCORE
0,1,11:43.0,J. Holiday misses 2-pt jump shot from 18 ft,,0,0
1,1,11:42.0,,Defensive rebound by I. Whitehead,0,0
2,1,11:34.0,,Turnover by B. Bogdanović (traveling),0,0
3,1,11:21.0,T. Jones misses 2-pt layup from 2 ft,,0,0
4,1,11:20.0,,Defensive rebound by B. Lopez,0,0
5,1,11:14.0,,J. Harris misses 3-pt jump shot from 24 ft,0,0
6,1,11:11.0,Defensive rebound by S. Hill,,0,0
7,1,11:02.0,S. Hill makes 2-pt layup from 2 ft,,2,0
8,1,10:46.0,,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by B. Lopez),2,3
9,1,10:35.0,Turnover by J. Holiday (bad pass; steal by B. Bogdanović),,2,3
10,1,10:28.0,,T. Booker makes 2-pt dunk at rim (assist by B. Bogdanović),2,5
11,1,10:10.0,S. Hill makes 3-pt jump shot from 24 ft (assist by B. Hield),,5,5
12,1,10:00.0,,J. Harris makes 2-pt layup from 2 ft (assist by B. Lopez),5,7
13,1,9:37.0,Turnover by S. Hill (bad pass; steal by B. Lopez),,5,7
14,1,9:32.0,,J. Harris makes 3-pt jump shot from 25 ft (assist by I. Whitehead),5,10
15,1,9:07.0,T. Jones makes 2-pt hook shot from 6 ft,,7,10
16,1,8:59.0,,Personal foul by Ö. Aşık (drawn by B. Lopez),7,10
17,1,8:51.0,,B. Lopez misses 3-pt jump shot from 25 ft,7,10
18,1,8:50.0,Defensive rebound by J. Holiday,,7,10
19,1,8:40.0,J. Holiday misses 2-pt jump shot from 19 ft,,7,10
20,1,8:39.0,,Defensive rebound by J. Harris,7,10
21,1,8:33.0,,I. Whitehead misses 2-pt jump shot from 19 ft,7,10
22,1,8:32.0,Defensive rebound by B. Hield,,7,10
23,1,8:27.0,B. Hield misses 3-pt jump shot from 25 ft,,7,10
24,1,8:25.0,,Defensive rebound by I. Whitehead,7,10
25,1,8:08.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,7,10
26,1,8:07.0,Defensive rebound by Ö. Aşık,,7,10
27,1,7:59.0,B. Hield makes 3-pt jump shot from 24 ft (assist by J. Holiday),,10,10
28,1,7:54.0,,Brooklyn full timeout,10,10
29,1,7:45.0,,I. Whitehead misses 2-pt layup from 2 ft,10,10
30,1,7:44.0,,Offensive rebound by T. Booker,10,10
31,1,7:42.0,,T. Booker makes 2-pt layup from 3 ft,10,12
32,1,7:29.0,,Violation by B. Lopez (kicked ball),10,12
33,1,7:17.0,J. Holiday makes 2-pt jump shot from 9 ft,,12,12
34,1,7:06.0,,B. Lopez makes 2-pt hook shot from 6 ft,12,14
35,1,6:53.0,J. Holiday makes 2-pt layup from 2 ft (assist by T. Jones),,14,14
36,1,6:38.0,,Personal foul by Ö. Aşık (drawn by B. Lopez),14,14
37,1,6:38.0,,S. Kilpatrick enters the game for J. Harris,14,14
38,1,6:33.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,14,14
39,1,6:32.0,Defensive rebound by Team,,14,14
40,1,6:32.0,A. Ajinça enters the game for Ö. Aşık,,14,14
41,1,6:24.0,S. Hill makes 2-pt layup from 1 ft,,16,14
42,1,6:16.0,,Personal foul by A. Ajinça (drawn by B. Lopez),16,14
43,1,6:09.0,,B. Lopez makes 3-pt jump shot from 25 ft (assist by T. Booker),16,17
44,1,5:57.0,B. Hield misses 2-pt jump shot from 17 ft,,16,17
45,1,5:55.0,,Defensive rebound by T. Booker,16,17
46,1,5:38.0,,T. Booker misses 2-pt jump shot from 16 ft,16,17
47,1,5:37.0,Defensive rebound by A. Ajinça,,16,17
48,1,5:30.0,J. Holiday makes 3-pt jump shot from 25 ft,,19,17
49,1,5:13.0,,I. Whitehead misses 3-pt jump shot from 24 ft,19,17
50,1,5:12.0,Defensive rebound by S. Hill,,19,17
51,1,5:09.0,S. Hill misses 2-pt layup from 2 ft,,19,17
52,1,5:08.0,,Defensive rebound by S. Kilpatrick,19,17
53,1,5:04.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by S. Kilpatrick),19,19
54,1,4:52.0,J. Holiday makes 3-pt jump shot from 24 ft,,22,19
55,1,4:40.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by T. Booker),22,22
56,1,4:28.0,J. Holiday misses 3-pt jump shot from 25 ft,,22,22
57,1,4:27.0,,Defensive rebound by B. Bogdanović,22,22
58,1,4:16.0,,T. Booker misses 2-pt hook shot from 4 ft,22,22
59,1,4:15.0,Defensive rebound by T. Jones,,22,22
60,1,4:04.0,T. Jones makes 2-pt layup from 3 ft (assist by J. Holiday),,24,22
61,1,3:48.0,,Turnover by B. Bogdanović (bad pass; steal by A. Ajinça),24,22
62,1,3:47.0,Turnover by A. Ajinça (bad pass),,24,22
63,1,3:47.0,,S. Dinwiddie enters the game for I. Whitehead,24,22
64,1,3:47.0,,J. Hamilton enters the game for B. Lopez,24,22
65,1,3:47.0,,R. Hollis-Jefferson enters the game for T. Booker,24,22
66,1,3:35.0,,J. Hamilton misses 3-pt jump shot from 24 ft,24,22
67,1,3:34.0,Defensive rebound by T. Jones,,24,22
68,1,3:23.0,T. Jones misses 2-pt layup from 3 ft (block by J. Hamilton),,24,22
69,1,3:22.0,Offensive rebound by Team,,24,22
70,1,3:22.0,,C. LeVert enters the game for B. Bogdanović,24,22
71,1,3:22.0,D. Cunningham enters the game for A. Ajinça,,24,22
72,1,3:14.0,Shooting foul by J. Hamilton (drawn by T. Jones),,24,22
73,1,3:14.0,T. Jones makes free throw 1 of 2,,25,22
74,1,3:14.0,T. Jones makes free throw 2 of 2,,26,22
75,1,3:00.0,,S. Kilpatrick makes 3-pt jump shot from 24 ft,26,25
76,1,2:44.0,D. Cunningham makes 2-pt layup from 3 ft (assist by J. Holiday),,28,25
77,1,2:33.0,,Personal foul by T. Jones (drawn by C. LeVert),28,25
78,1,2:33.0,New Orleans full timeout,,28,25
79,1,2:33.0,E. Moore enters the game for B. Hield,,28,25
80,1,2:33.0,D. Motiejūnas enters the game for T. Jones,,28,25
81,1,2:21.0,,C. LeVert makes 3-pt jump shot from 25 ft,28,28
82,1,1:56.0,S. Hill makes 2-pt layup from 3 ft (assist by E. Moore),,30,28
83,1,1:39.0,,S. Kilpatrick misses 2-pt layup from 1 ft,30,28
84,1,1:38.0,Defensive rebound by D. Motiejūnas,,30,28
85,1,1:25.0,D. Motiejūnas misses 3-pt jump shot from 24 ft,,30,28
86,1,1:24.0,,Defensive rebound by R. Hollis-Jefferson,30,28
87,1,1:14.0,,S. Kilpatrick makes 2-pt jump shot from 6 ft,30,30
88,1,1:14.0,,Shooting foul by S. Hill (drawn by S. Kilpatrick),30,30
89,1,1:14.0,T. Evans enters the game for J. Holiday,,30,30
90,1,1:14.0,,S. Kilpatrick makes free throw 1 of 1,30,31
91,1,1:04.0,E. Moore makes 3-pt jump shot from 25 ft,,33,31
92,1,0:44.0,,S. Kilpatrick misses 2-pt jump shot from 6 ft,33,31
93,1,0:43.0,Defensive rebound by T. Evans,,33,31
94,1,0:33.0,Turnover by E. Moore (bad pass; steal by R. Hollis-Jefferson),,33,31
