,QUARTER,TIME_REMAINING,BOSTON_ACTION,LA LAKERS_ACTION,BOSTON_SCORE,LA LAKERS_SCORE
0,1,11:47.0,,D. Russell makes 2-pt jump shot from 18 ft,0,2
1,1,11:23.0,I. Thomas misses 3-pt jump shot from 26 ft,,0,2
2,1,11:22.0,,Defensive rebound by Team,0,2
3,1,11:08.0,,N. Young makes 3-pt jump shot from 26 ft (assist by J. Randle),0,5
4,1,10:50.0,Shooting foul by B. Ingram (drawn by J. Crowder),,0,5
5,1,10:50.0,J. Crowder makes free throw 1 of 2,,1,5
6,1,10:50.0,J. Crowder makes free throw 2 of 2,,2,5
7,1,10:36.0,,J. Randle makes 2-pt layup from 1 ft (assist by D. Russell),2,7
8,1,10:24.0,A. Bradley makes 3-pt jump shot from 25 ft (assist by A. Johnson),,5,7
9,1,10:10.0,,N. Young misses 3-pt jump shot from 24 ft,5,7
10,1,10:09.0,Defensive rebound by J. Crowder,,5,7
11,1,9:56.0,J. Crowder makes 3-pt jump shot from 24 ft (assist by I. Thomas),,8,7
12,1,9:36.0,,D. Russell makes 3-pt jump shot from 24 ft (assist by B. Ingram),8,10
13,1,9:17.0,A. Johnson makes 3-pt jump shot from 24 ft (assist by I. Thomas),,11,10
14,1,8:41.0,,T. Black misses 2-pt jump shot from 15 ft,11,10
15,1,8:38.0,Defensive rebound by A. Bradley,,11,10
16,1,8:32.0,A. Horford misses 2-pt jump shot from 13 ft,,11,10
17,1,8:30.0,,Defensive rebound by T. Black,11,10
18,1,8:19.0,,J. Randle misses 2-pt jump shot from 12 ft,11,10
19,1,8:16.0,Defensive rebound by J. Crowder,,11,10
20,1,8:12.0,I. Thomas makes 3-pt jump shot from 26 ft,,14,10
21,1,8:12.0,,LA Lakers full timeout,14,10
22,1,8:02.0,,D. Russell makes 2-pt jump shot from 17 ft,14,12
23,1,7:48.0,J. Crowder makes 2-pt dunk at rim (assist by A. Johnson),,16,12
24,1,7:37.0,,T. Black makes 2-pt dunk at rim (assist by D. Russell),16,14
25,1,7:20.0,I. Thomas makes 2-pt jump shot from 19 ft,,18,14
26,1,7:07.0,,D. Russell makes 2-pt jump shot from 21 ft (assist by T. Black),18,16
27,1,6:51.0,A. Bradley misses 3-pt jump shot from 25 ft,,18,16
28,1,6:46.0,Offensive rebound by J. Crowder,,18,16
29,1,6:46.0,J. Crowder misses 2-pt layup from 2 ft,,18,16
30,1,6:43.0,,Defensive rebound by T. Black,18,16
31,1,6:36.0,,T. Black misses 2-pt jump shot from 17 ft,18,16
32,1,6:33.0,Defensive rebound by A. Johnson,,18,16
33,1,6:24.0,A. Johnson makes 3-pt jump shot from 26 ft (assist by A. Bradley),,21,16
34,1,6:06.0,M. Smart enters the game for A. Bradley,,21,16
35,1,6:04.0,,Turnover by J. Randle (lost ball; steal by A. Johnson),21,16
36,1,5:56.0,A. Johnson makes 2-pt dunk at rim (assist by I. Thomas),,23,16
37,1,5:37.0,,N. Young misses 3-pt jump shot from 27 ft,23,16
38,1,5:35.0,,Offensive rebound by Team,23,16
39,1,5:35.0,,I. Zubac enters the game for T. Black,23,16
40,1,5:31.0,,D. Russell misses 3-pt jump shot from 26 ft,23,16
41,1,5:29.0,Defensive rebound by A. Johnson,,23,16
42,1,5:23.0,I. Thomas misses 3-pt jump shot from 26 ft,,23,16
43,1,5:22.0,,Defensive rebound by Team,23,16
44,1,5:22.0,,J. Clarkson enters the game for N. Young,23,16
45,1,5:05.0,,Shooting foul by A. Horford (drawn by I. Zubac),23,16
46,1,5:05.0,,I. Zubac misses free throw 1 of 2,23,16
47,1,5:05.0,,Offensive rebound by Team,23,16
48,1,5:05.0,,I. Zubac misses free throw 2 of 2,23,16
49,1,5:05.0,J. Brown enters the game for A. Horford,,23,16
50,1,5:04.0,Defensive rebound by J. Brown,,23,16
51,1,4:50.0,I. Thomas makes 2-pt layup from 2 ft,,25,16
52,1,4:39.0,,J. Randle makes 2-pt jump shot from 8 ft,25,18
53,1,4:24.0,J. Crowder makes 3-pt jump shot from 24 ft (assist by A. Johnson),,28,18
54,1,4:10.0,,Shooting foul by J. Crowder (drawn by J. Randle),28,18
55,1,4:10.0,,J. Randle makes free throw 1 of 2,28,19
56,1,4:10.0,,J. Randle makes free throw 2 of 2,28,20
