,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,CHICAGO_ACTION,SACRAMENTO_SCORE,CHICAGO_SCORE
0,1,11:44.0,A. Afflalo misses 2-pt layup from 3 ft (block by D. Wade),,0,0
1,1,11:42.0,Offensive rebound by A. Afflalo,,0,0
2,1,11:39.0,D. Cousins misses 3-pt jump shot from 24 ft,,0,0
3,1,11:39.0,,Defensive rebound by Team,0,0
4,1,11:23.0,,T. Gibson misses 2-pt jump shot from 17 ft,0,0
5,1,11:22.0,Defensive rebound by G. Temple,,0,0
6,1,11:14.0,Shooting foul by M. Carter-Williams (drawn by G. Temple),,0,0
7,1,11:14.0,G. Temple makes free throw 1 of 2,,1,0
8,1,11:14.0,G. Temple misses free throw 2 of 2,,1,0
9,1,11:13.0,,Defensive rebound by M. Carter-Williams,1,0
10,1,10:54.0,,T. Gibson misses 2-pt jump shot from 16 ft,1,0
11,1,10:51.0,Defensive rebound by K. Koufos,,1,0
12,1,10:36.0,D. Cousins misses 2-pt layup from 2 ft,,1,0
13,1,10:34.0,,Defensive rebound by T. Gibson,1,0
14,1,10:18.0,,D. Wade makes 2-pt jump shot from 12 ft,1,2
15,1,9:57.0,D. Collison makes 2-pt layup from 2 ft,,3,2
16,1,9:40.0,,R. Lopez misses 2-pt hook shot from 6 ft,3,2
17,1,9:39.0,Defensive rebound by D. Cousins,,3,2
18,1,9:32.0,D. Cousins makes 2-pt layup from 2 ft,,5,2
19,1,9:16.0,Violation by G. Temple (kicked ball),,5,2
20,1,9:05.0,,J. Butler makes 2-pt layup from 2 ft,5,4
21,1,8:37.0,D. Cousins misses 2-pt jump shot from 21 ft,,5,4
22,1,8:36.0,,Defensive rebound by T. Gibson,5,4
23,1,8:26.0,,J. Butler misses 3-pt jump shot from 26 ft,5,4
24,1,8:25.0,Defensive rebound by K. Koufos,,5,4
25,1,8:07.0,D. Collison makes 2-pt jump shot from 7 ft (assist by A. Afflalo),,7,4
26,1,7:50.0,,D. Wade makes 2-pt jump shot from 17 ft (assist by J. Butler),7,6
27,1,7:26.0,G. Temple misses 3-pt jump shot from 25 ft,,7,6
28,1,7:26.0,,Defensive rebound by R. Lopez,7,6
29,1,7:00.0,,M. Carter-Williams misses 2-pt jump shot from 7 ft,7,6
30,1,6:59.0,Defensive rebound by K. Koufos,,7,6
31,1,6:55.0,D. Collison makes 2-pt jump shot from 21 ft (assist by K. Koufos),,9,6
32,1,6:38.0,,Shooting foul by G. Temple (drawn by D. Wade),9,6
33,1,6:38.0,,D. Wade misses free throw 1 of 2,9,6
34,1,6:38.0,,Offensive rebound by Team,9,6
35,1,6:38.0,,D. Wade makes free throw 2 of 2,9,7
36,1,6:22.0,G. Temple misses 2-pt layup from 2 ft,,9,7
37,1,6:21.0,,Defensive rebound by R. Lopez,9,7
38,1,6:16.0,,J. Butler makes 2-pt jump shot from 5 ft (assist by R. Lopez),9,9
39,1,6:00.0,A. Afflalo misses 2-pt layup from 1 ft (block by R. Lopez),,9,9
40,1,5:59.0,,Defensive rebound by R. Lopez,9,9
41,1,5:50.0,,D. Wade misses 2-pt layup from 2 ft,9,9
42,1,5:49.0,Defensive rebound by D. Cousins,,9,9
43,1,5:43.0,A. Afflalo misses 3-pt jump shot from 25 ft,,9,9
44,1,5:43.0,Offensive rebound by Team,,9,9
45,1,5:43.0,,Chicago full timeout,9,9
46,1,5:43.0,,P. Zipser enters the game for D. Wade,9,9
47,1,5:33.0,D. Collison misses 3-pt jump shot from 25 ft,,9,9
48,1,5:30.0,Offensive rebound by D. Cousins,,9,9
49,1,5:16.0,D. Collison misses 2-pt layup from 3 ft,,9,9
50,1,5:15.0,,Defensive rebound by M. Carter-Williams,9,9
51,1,4:57.0,,P. Zipser makes 3-pt jump shot from 24 ft (assist by J. Butler),9,12
52,1,4:33.0,D. Cousins makes 2-pt jump shot from 19 ft (assist by D. Collison),,11,12
53,1,4:17.0,,Shooting foul by A. Afflalo (drawn by J. Butler),11,12
54,1,4:17.0,,J. Butler makes free throw 1 of 2,11,13
55,1,4:17.0,A. Tolliver enters the game for K. Koufos,,11,13
56,1,4:17.0,,N. Mirotić enters the game for T. Gibson,11,13
57,1,4:17.0,,J. Butler makes free throw 2 of 2,11,14
58,1,4:00.0,D. Cousins misses 3-pt jump shot from 26 ft,,11,14
59,1,3:58.0,Offensive rebound by D. Collison,,11,14
60,1,3:47.0,D. Cousins makes 2-pt layup from 1 ft,,13,14
61,1,3:21.0,,R. Lopez misses 2-pt hook shot from 5 ft,13,14
62,1,3:20.0,Defensive rebound by D. Cousins,,13,14
63,1,3:07.0,A. Tolliver misses 2-pt layup from 3 ft,,13,14
64,1,3:04.0,,Defensive rebound by M. Carter-Williams,13,14
65,1,2:55.0,,N. Mirotić makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),13,17
66,1,2:45.0,Sacramento full timeout,,13,17
67,1,2:45.0,M. Richardson enters the game for G. Temple,,13,17
68,1,2:29.0,D. Cousins makes 2-pt jump shot from 20 ft (assist by D. Collison),,15,17
69,1,2:12.0,,Turnover by M. Carter-Williams (bad pass; steal by A. Afflalo),15,17
70,1,2:11.0,Personal block foul by M. Carter-Williams (drawn by D. Collison),,15,17
71,1,2:11.0,T. Lawson enters the game for D. Collison,,15,17
72,1,2:11.0,,R. Rondo enters the game for M. Carter-Williams,15,17
73,1,2:08.0,Personal foul by P. Zipser (drawn by A. Afflalo),,15,17
74,1,2:00.0,D. Cousins misses 2-pt jump shot from 14 ft,,15,17
75,1,1:58.0,,Defensive rebound by J. Butler,15,17
76,1,1:48.0,,R. Lopez misses 2-pt hook shot from 6 ft,15,17
77,1,1:46.0,,Offensive rebound by R. Lopez,15,17
78,1,1:45.0,,R. Lopez makes 2-pt layup from 2 ft,15,19
79,1,1:21.0,A. Afflalo makes 3-pt jump shot from 23 ft (assist by D. Cousins),,18,19
80,1,1:00.0,,P. Zipser misses 2-pt jump shot from 10 ft,18,19
81,1,0:59.0,Defensive rebound by A. Tolliver,,18,19
82,1,0:49.0,A. Tolliver makes 3-pt jump shot from 24 ft (assist by D. Cousins),,21,19
83,1,0:36.0,,P. Zipser makes 2-pt layup from 3 ft (assist by R. Rondo),21,21
84,1,0:25.0,T. Lawson misses 2-pt jump shot from 20 ft,,21,21
85,1,0:24.0,,Defensive rebound by J. Butler,21,21
86,1,0:05.0,,J. Butler makes 2-pt jump shot from 9 ft,21,23
87,1,0:05.0,,Shooting foul by A. Afflalo (drawn by J. Butler),21,23
88,1,0:05.0,,J. Butler makes free throw 1 of 1,21,24
89,2,11:35.0,,C. Felício makes 2-pt dunk at rim (assist by R. Rondo),21,26
90,2,11:24.0,,Violation by C. Felício (kicked ball),21,26
91,2,11:13.0,M. Barnes misses 2-pt jump shot from 21 ft,,21,26
92,2,11:11.0,,Defensive rebound by N. Mirotić,21,26
93,2,11:03.0,,P. Zipser makes 3-pt jump shot from 24 ft (assist by R. Rondo),21,29
94,2,10:52.0,Turnover by T. Lawson (lost ball),,21,29
95,2,10:28.0,,P. Zipser misses 3-pt jump shot from 26 ft,21,29
96,2,10:27.0,Defensive rebound by T. Lawson,,21,29
97,2,10:21.0,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by T. Lawson),,23,29
98,2,10:07.0,,D. McDermott makes 3-pt jump shot from 25 ft (assist by R. Rondo),23,32
99,2,10:00.0,Shooting foul by P. Zipser (drawn by T. Lawson),,23,32
100,2,10:00.0,T. Lawson makes free throw 1 of 2,,24,32
101,2,10:00.0,,D. Wade enters the game for P. Zipser,24,32
102,2,10:00.0,T. Lawson makes free throw 2 of 2,,25,32
103,2,9:47.0,,D. McDermott misses 2-pt jump shot from 20 ft,25,32
104,2,9:46.0,Defensive rebound by M. Barnes,,25,32
105,2,9:40.0,Turnover by M. Barnes (bad pass; steal by R. Rondo),,25,32
106,2,9:34.0,,Personal foul by T. Lawson (drawn by D. Wade),25,32
107,2,9:24.0,,D. Wade misses 2-pt jump shot from 8 ft,25,32
108,2,9:22.0,Defensive rebound by M. Richardson,,25,32
109,2,9:17.0,M. Richardson makes 2-pt jump shot from 18 ft,,27,32
110,2,9:03.0,,Turnover by R. Rondo (lost ball; steal by T. Lawson),27,32
111,2,9:03.0,Clear path foul by R. Rondo,,27,32
112,2,9:03.0,T. Lawson makes clear path free throw 1 of 2,,28,32
113,2,9:03.0,T. Lawson makes clear path free throw 2 of 2,,29,32
114,2,8:49.0,T. Lawson makes 2-pt layup at rim,,31,32
115,2,8:46.0,,Turnover by C. Felício (bad pass; steal by W. Cauley-Stein),31,32
116,2,8:46.0,Shooting foul by C. Felício (drawn by M. Richardson),,31,32
117,2,8:46.0,Official timeout,,31,32
118,2,8:46.0,M. Richardson misses free throw 1 of 2,,31,32
119,2,8:46.0,Offensive rebound by Team,,31,32
120,2,8:46.0,M. Richardson makes free throw 2 of 2,,32,32
121,2,8:22.0,,D. Wade misses 2-pt jump shot from 19 ft,32,32
