,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,SACRAMENTO_ACTION,OKLAHOMA CITY_SCORE,SACRAMENTO_SCORE
0,1,11:43.0,,R. Gay misses 2-pt jump shot from 11 ft,0,0
1,1,11:41.0,,Offensive rebound by D. Cousins,0,0
2,1,11:41.0,,D. Cousins misses 2-pt layup from 1 ft,0,0
3,1,11:40.0,,Offensive rebound by R. Gay,0,0
4,1,11:35.0,,D. Collison misses 3-pt jump shot from 25 ft,0,0
5,1,11:34.0,,Offensive rebound by D. Cousins,0,0
6,1,11:33.0,,D. Cousins misses 2-pt hook shot from 6 ft,0,0
7,1,11:32.0,Defensive rebound by S. Adams,,0,0
8,1,11:18.0,S. Adams makes 2-pt hook shot from 7 ft,,2,0
9,1,10:57.0,,D. Cousins makes 3-pt jump shot from 24 ft (assist by R. Gay),2,3
10,1,10:36.0,D. Sabonis misses 3-pt jump shot from 25 ft,,2,3
11,1,10:35.0,Offensive rebound by S. Adams,,2,3
12,1,10:23.0,S. Adams makes 2-pt hook shot from 11 ft,,4,3
13,1,10:06.0,,Turnover by R. Gay (bad pass; steal by A. Roberson),4,3
14,1,10:03.0,Turnover by R. Westbrook (bad pass; steal by D. Cousins),,4,3
15,1,9:51.0,,R. Gay misses 2-pt jump shot from 6 ft,4,3
16,1,9:50.0,Defensive rebound by D. Sabonis,,4,3
17,1,9:44.0,Turnover by S. Adams (lost ball),,4,3
18,1,9:32.0,,D. Collison makes 2-pt layup from 2 ft (assist by D. Cousins),4,5
19,1,9:22.0,R. Westbrook makes 2-pt jump shot from 18 ft,,6,5
20,1,9:02.0,,D. Cousins misses 2-pt jump shot from 19 ft,6,5
21,1,9:01.0,Defensive rebound by D. Sabonis,,6,5
22,1,8:49.0,R. Westbrook makes 2-pt dunk at rim (assist by S. Adams),,8,5
23,1,8:21.0,,R. Gay misses 2-pt jump shot from 14 ft,8,5
24,1,8:20.0,,Offensive rebound by D. Cousins,8,5
25,1,8:20.0,,D. Cousins makes 2-pt dunk at rim,8,7
26,1,8:15.0,Turnover by R. Westbrook (bad pass; steal by A. Tolliver),,8,7
27,1,8:01.0,,D. Cousins makes 2-pt jump shot from 7 ft,8,9
28,1,7:44.0,,Offensive charge foul by S. Adams (drawn by A. Tolliver),8,9
29,1,7:44.0,Turnover by S. Adams (offensive foul),,8,9
30,1,7:28.0,,Turnover by D. Cousins (bad pass),8,9
31,1,7:16.0,D. Sabonis misses 3-pt jump shot from 25 ft,,8,9
32,1,7:15.0,,Defensive rebound by D. Cousins,8,9
33,1,7:06.0,,A. Tolliver makes 3-pt jump shot from 25 ft (assist by D. Cousins),8,12
34,1,6:49.0,D. Sabonis misses 2-pt hook shot from 7 ft,,8,12
35,1,6:47.0,,Defensive rebound by A. Tolliver,8,12
36,1,6:36.0,,D. Cousins misses 3-pt jump shot from 25 ft,8,12
37,1,6:35.0,Defensive rebound by R. Westbrook,,8,12
38,1,6:30.0,Personal foul by G. Temple (drawn by R. Westbrook),,8,12
39,1,6:26.0,V. Oladipo makes 2-pt jump shot from 7 ft,,10,12
40,1,6:26.0,Shooting foul by A. Tolliver (drawn by V. Oladipo),,10,12
41,1,6:26.0,V. Oladipo makes free throw 1 of 1,,11,12
42,1,6:11.0,,R. Gay makes 3-pt jump shot from 26 ft (assist by D. Cousins),11,15
43,1,5:47.0,A. Roberson misses 3-pt jump shot from 25 ft,,11,15
44,1,5:47.0,,Defensive rebound by A. Tolliver,11,15
45,1,5:47.0,,Turnover by A. Tolliver (bad pass; steal by S. Adams),11,15
46,1,5:43.0,R. Westbrook misses 2-pt dunk from 1 ft (block by A. Tolliver),,11,15
47,1,5:43.0,Offensive rebound by A. Roberson,,11,15
48,1,5:41.0,Shooting foul by G. Temple (drawn by A. Roberson),,11,15
49,1,5:41.0,,Sacramento full timeout,11,15
50,1,5:41.0,A. Roberson makes free throw 1 of 2,,12,15
