,QUARTER,TIME_REMAINING,PORTLAND_ACTION,MIAMI_ACTION,PORTLAND_SCORE,MIAMI_SCORE
0,1,11:36.0,J. Nurkić misses 2-pt jump shot from 6 ft,,0,0
1,1,11:35.0,Offensive rebound by J. Nurkić,,0,0
2,1,11:33.0,J. Nurkić makes 2-pt layup from 3 ft,,2,0
3,1,11:14.0,,H. Whiteside makes 2-pt jump shot from 14 ft,2,2
4,1,10:54.0,M. Harkless misses 2-pt layup from 2 ft (block by H. Whiteside),,2,2
5,1,10:53.0,Offensive rebound by M. Harkless,,2,2
6,1,10:43.0,N. Vonleh makes 2-pt jump shot from 9 ft,,4,2
7,1,10:28.0,,H. Whiteside makes 2-pt jump shot from 7 ft (assist by R. McGruder),4,4
8,1,10:18.0,D. Lillard misses 2-pt jump shot from 13 ft,,4,4
9,1,10:17.0,,Defensive rebound by Team,4,4
10,1,10:08.0,,G. Dragić misses 2-pt jump shot from 15 ft,4,4
11,1,10:07.0,,Offensive rebound by H. Whiteside,4,4
12,1,10:05.0,,H. Whiteside makes 2-pt jump shot from 9 ft,4,6
13,1,9:45.0,C. McCollum misses 3-pt jump shot from 24 ft,,4,6
14,1,9:44.0,,Defensive rebound by Team,4,6
15,1,9:27.0,,H. Whiteside makes 2-pt jump shot from 11 ft,4,8
16,1,9:11.0,D. Lillard makes 2-pt jump shot from 18 ft,,6,8
17,1,8:58.0,,H. Whiteside misses 2-pt jump shot from 10 ft,6,8
18,1,8:57.0,,Offensive rebound by R. McGruder,6,8
19,1,8:49.0,,H. Whiteside makes 2-pt jump shot from 14 ft,6,10
20,1,8:31.0,J. Nurkić misses 2-pt layup from 1 ft,,6,10
21,1,8:30.0,,Defensive rebound by H. Whiteside,6,10
22,1,8:22.0,,L. Babbitt misses 3-pt jump shot from 25 ft,6,10
23,1,8:21.0,,Offensive rebound by H. Whiteside,6,10
24,1,8:17.0,,G. Dragić misses 3-pt jump shot from 25 ft,6,10
25,1,8:16.0,Defensive rebound by M. Harkless,,6,10
26,1,8:06.0,C. McCollum misses 2-pt jump shot from 17 ft,,6,10
27,1,8:05.0,Offensive rebound by N. Vonleh,,6,10
28,1,8:03.0,Personal foul by J. Richardson (drawn by N. Vonleh),,6,10
29,1,8:03.0,Offensive foul by N. Vonleh (drawn by L. Babbitt),,6,10
30,1,8:03.0,Turnover by N. Vonleh (offensive foul),,6,10
31,1,7:50.0,,Turnover by R. McGruder (bad pass; steal by N. Vonleh),6,10
32,1,7:43.0,J. Nurkić misses 2-pt layup from 1 ft,,6,10
33,1,7:42.0,,Defensive rebound by H. Whiteside,6,10
34,1,7:35.0,,G. Dragić misses 2-pt layup from 1 ft,6,10
35,1,7:34.0,,Offensive rebound by Team,6,10
36,1,7:34.0,,Shooting foul by M. Harkless (drawn by R. McGruder),6,10
37,1,7:34.0,,R. McGruder misses free throw 1 of 2,6,10
38,1,7:34.0,,Offensive rebound by Team,6,10
39,1,7:34.0,,R. McGruder makes free throw 2 of 2,6,11
40,1,7:18.0,M. Harkless misses 3-pt jump shot from 25 ft,,6,11
41,1,7:17.0,Offensive rebound by M. Harkless,,6,11
42,1,7:14.0,Turnover by M. Harkless (bad pass; steal by J. Richardson),,6,11
43,1,7:02.0,,R. McGruder makes 3-pt jump shot from 23 ft (assist by G. Dragić),6,14
44,1,6:49.0,D. Lillard makes 3-pt jump shot from 25 ft,,9,14
45,1,6:36.0,,G. Dragić makes 2-pt jump shot from 13 ft,9,16
46,1,6:22.0,Shooting foul by G. Dragić (drawn by D. Lillard),,9,16
47,1,6:22.0,D. Lillard makes free throw 1 of 3,,10,16
48,1,6:22.0,D. Lillard makes free throw 2 of 3,,11,16
49,1,6:22.0,,T. Johnson enters the game for J. Richardson,11,16
50,1,6:22.0,D. Lillard makes free throw 3 of 3,,12,16
51,1,6:05.0,,T. Johnson misses 3-pt jump shot from 23 ft,12,16
52,1,6:04.0,Defensive rebound by J. Nurkić,,12,16
53,1,5:55.0,D. Lillard misses 3-pt jump shot from 24 ft,,12,16
54,1,5:54.0,,Defensive rebound by R. McGruder,12,16
55,1,5:49.0,,T. Johnson makes 2-pt jump shot from 22 ft (assist by R. McGruder),12,18
56,1,5:25.0,Turnover by D. Lillard (bad pass; steal by G. Dragić),,12,18
57,1,5:20.0,,G. Dragić makes 2-pt layup from 1 ft,12,20
58,1,5:20.0,Portland full timeout,,12,20
59,1,5:20.0,A. Crabbe enters the game for N. Vonleh,,12,20
60,1,5:20.0,A. Aminu enters the game for C. McCollum,,12,20
61,1,5:07.0,A. Crabbe misses 3-pt jump shot from 24 ft,,12,20
62,1,5:06.0,,Defensive rebound by L. Babbitt,12,20
63,1,4:49.0,,G. Dragić misses 2-pt jump shot from 13 ft (block by D. Lillard),12,20
64,1,4:48.0,Defensive rebound by A. Crabbe,,12,20
65,1,4:41.0,J. Nurkić misses 2-pt layup from 1 ft,,12,20
66,1,4:40.0,Offensive rebound by J. Nurkić,,12,20
67,1,4:39.0,J. Nurkić makes 2-pt layup from 1 ft,,14,20
68,1,4:23.0,,H. Whiteside misses 2-pt jump shot from 3 ft,14,20
69,1,4:22.0,Defensive rebound by J. Nurkić,,14,20
70,1,4:06.0,A. Crabbe misses 3-pt jump shot from 25 ft,,14,20
71,1,4:05.0,Offensive rebound by J. Nurkić,,14,20
72,1,4:05.0,Personal foul by L. Babbitt (drawn by J. Nurkić),,14,20
73,1,4:05.0,,J. Johnson enters the game for L. Babbitt,14,20
74,1,4:05.0,M. Leonard enters the game for J. Nurkić,,14,20
75,1,4:05.0,,W. Ellington enters the game for R. McGruder,14,20
76,1,3:58.0,D. Lillard misses 2-pt layup from 2 ft,,14,20
77,1,3:57.0,,Defensive rebound by J. Johnson,14,20
78,1,3:44.0,,W. Ellington misses 3-pt jump shot from 23 ft,14,20
79,1,3:43.0,Defensive rebound by A. Aminu,,14,20
80,1,3:38.0,Shooting block foul by J. Johnson (drawn by D. Lillard),,14,20
81,1,3:38.0,D. Lillard makes free throw 1 of 2,,15,20
82,1,3:38.0,E. Turner enters the game for M. Harkless,,15,20
83,1,3:38.0,D. Lillard makes free throw 2 of 2,,16,20
84,1,3:33.0,,Miami full timeout,16,20
85,1,3:13.0,,T. Johnson misses 3-pt jump shot from 25 ft,16,20
86,1,3:12.0,Defensive rebound by D. Lillard,,16,20
87,1,3:07.0,D. Lillard makes 3-pt jump shot from 25 ft,,19,20
88,1,2:52.0,,H. Whiteside makes 2-pt dunk at rim (assist by J. Johnson),19,22
89,1,2:36.0,A. Crabbe makes 2-pt jump shot from 12 ft (assist by D. Lillard),,21,22
90,1,2:22.0,,H. Whiteside misses 2-pt jump shot from 18 ft,21,22
91,1,2:21.0,Defensive rebound by E. Turner,,21,22
92,1,1:52.0,M. Leonard misses 3-pt jump shot from 23 ft,,21,22
93,1,1:51.0,,Defensive rebound by W. Ellington,21,22
94,1,1:39.0,,W. Ellington makes 3-pt jump shot from 24 ft (assist by J. Johnson),21,25
95,1,1:22.0,D. Lillard makes 2-pt dunk at rim,,23,25
96,1,1:10.0,,Shooting foul by A. Aminu (drawn by G. Dragić),23,25
97,1,1:10.0,,G. Dragić misses free throw 1 of 3,23,25
98,1,1:10.0,,Offensive rebound by Team,23,25
99,1,1:10.0,,G. Dragić makes free throw 2 of 3,23,26
100,1,1:10.0,C. McCollum enters the game for D. Lillard,,23,26
101,1,1:10.0,,W. Reed enters the game for H. Whiteside,23,26
102,1,1:10.0,,G. Dragić makes free throw 3 of 3,23,27
103,1,0:58.0,A. Crabbe makes 3-pt jump shot from 24 ft (assist by C. McCollum),,26,27
104,1,0:47.0,,W. Reed makes 2-pt layup from 2 ft (assist by J. Johnson),26,29
105,1,0:34.0,C. McCollum makes 2-pt jump shot from 15 ft,,28,29
106,1,0:15.0,,G. Dragić misses 3-pt jump shot from 24 ft,28,29
107,1,0:14.0,Defensive rebound by A. Aminu,,28,29
108,2,11:52.0,,Turnover by J. Richardson (step out of bounds),28,29
109,2,11:34.0,C. McCollum makes 2-pt layup from 3 ft,,30,29
110,2,11:10.0,,T. Johnson misses 3-pt jump shot from 25 ft,30,29
111,2,11:10.0,Defensive rebound by A. Crabbe,,30,29
112,2,11:00.0,E. Turner misses 3-pt jump shot from 25 ft,,30,29
113,2,10:59.0,,Defensive rebound by J. Johnson,30,29
114,2,10:34.0,,J. Johnson makes 3-pt jump shot from 23 ft,30,32
115,2,10:16.0,A. Crabbe misses 2-pt layup from 2 ft,,30,32
116,2,10:12.0,,Defensive rebound by T. Johnson,30,32
117,2,10:03.0,,J. Johnson misses 3-pt jump shot from 24 ft,30,32
118,2,10:02.0,Defensive rebound by A. Aminu,,30,32
119,2,9:52.0,C. McCollum misses 2-pt layup from 1 ft,,30,32
120,2,9:51.0,Offensive rebound by N. Vonleh,,30,32
121,2,9:46.0,C. McCollum makes 3-pt jump shot from 24 ft (assist by N. Vonleh),,33,32
122,2,9:31.0,,J. Johnson makes 2-pt dunk at rim (assist by T. Johnson),33,34
123,2,9:09.0,N. Vonleh makes 2-pt dunk at rim (assist by C. McCollum),,35,34
124,2,8:50.0,,W. Ellington misses 3-pt jump shot from 24 ft,35,34
125,2,8:49.0,Defensive rebound by C. McCollum,,35,34
126,2,8:41.0,Turnover by C. McCollum (lost ball; steal by J. Johnson),,35,34
127,2,8:37.0,,T. Johnson makes 2-pt layup from 1 ft (assist by J. Johnson),35,36
128,2,8:10.0,Official timeout,,35,36
129,2,8:07.0,Turnover by E. Turner (bad pass; steal by J. Johnson),,35,36
130,2,7:56.0,,W. Ellington makes 3-pt jump shot from 25 ft (assist by T. Johnson),35,39
131,2,7:33.0,E. Turner makes 2-pt jump shot from 8 ft,,37,39
132,2,7:09.0,,Turnover by T. Johnson (bad pass; steal by E. Turner),37,39
133,2,7:01.0,C. McCollum misses 2-pt jump shot from 11 ft,,37,39
134,2,6:59.0,,Defensive rebound by W. Ellington,37,39
135,2,6:53.0,,J. Richardson misses 3-pt jump shot from 25 ft,37,39
136,2,6:52.0,Defensive rebound by C. McCollum,,37,39
137,2,6:38.0,A. Crabbe misses 3-pt jump shot from 25 ft,,37,39
138,2,6:37.0,,Defensive rebound by J. Richardson,37,39
139,2,6:27.0,,Personal foul by A. Aminu (drawn by J. Johnson),37,39
140,2,6:27.0,J. Nurkić enters the game for C. McCollum,,37,39
141,2,6:27.0,D. Lillard enters the game for A. Aminu,,37,39
142,2,6:27.0,,L. Babbitt enters the game for T. Johnson,37,39
143,2,6:27.0,,H. Whiteside enters the game for J. Johnson,37,39
144,2,6:27.0,,G. Dragić enters the game for W. Reed,37,39
145,2,6:10.0,,W. Ellington misses 3-pt jump shot from 26 ft,37,39
146,2,6:09.0,Defensive rebound by E. Turner,,37,39
147,2,5:52.0,N. Vonleh misses 2-pt hook shot from 8 ft,,37,39
148,2,5:51.0,,Defensive rebound by W. Ellington,37,39
149,2,5:44.0,,J. Richardson makes 2-pt layup from 1 ft (assist by G. Dragić),37,41
150,2,5:25.0,A. Crabbe misses 2-pt jump shot from 16 ft,,37,41
151,2,5:24.0,Offensive rebound by J. Nurkić,,37,41
152,2,5:15.0,N. Vonleh makes 2-pt dunk at rim (assist by E. Turner),,39,41
153,2,5:15.0,,Miami full timeout,39,41
154,2,5:15.0,M. Harkless enters the game for E. Turner,,39,41
155,2,4:57.0,Violation by J. Nurkić (def goaltending),,39,41
156,2,4:57.0,,J. Richardson makes 2-pt layup at rim,39,43
157,2,4:44.0,M. Harkless makes 2-pt layup from 2 ft (assist by D. Lillard),,41,43
158,2,4:28.0,,H. Whiteside misses 2-pt jump shot from 10 ft (block by J. Nurkić),41,43
159,2,4:27.0,Defensive rebound by N. Vonleh,,41,43
160,2,4:16.0,Turnover by D. Lillard (bad pass; steal by G. Dragić),,41,43
161,2,4:05.0,,W. Ellington misses 3-pt jump shot from 24 ft,41,43
162,2,4:04.0,Defensive rebound by Team,,41,43
163,2,3:47.0,N. Vonleh makes 2-pt dunk at rim,,43,43
164,2,3:31.0,,Personal foul by M. Harkless (drawn by J. Richardson),43,43
165,2,3:31.0,C. McCollum enters the game for N. Vonleh,,43,43
166,2,3:31.0,A. Aminu enters the game for A. Crabbe,,43,43
167,2,3:31.0,,R. McGruder enters the game for L. Babbitt,43,43
168,2,3:31.0,,J. Johnson enters the game for J. Richardson,43,43
169,2,3:31.0,,T. Johnson enters the game for W. Ellington,43,43
170,2,3:23.0,,T. Johnson misses 2-pt jump shot from 17 ft,43,43
171,2,3:22.0,Defensive rebound by J. Nurkić,,43,43
172,2,3:14.0,D. Lillard makes 3-pt jump shot from 25 ft,,46,43
173,2,3:00.0,,G. Dragić misses 2-pt jump shot from 3 ft (block by J. Nurkić),46,43
174,2,2:59.0,,Offensive rebound by Team,46,43
175,2,2:59.0,Portland full timeout,,46,43
176,2,2:48.0,,H. Whiteside makes 2-pt layup at rim,46,45
177,2,2:33.0,A. Aminu makes 3-pt jump shot from 25 ft (assist by C. McCollum),,49,45
178,2,2:14.0,,G. Dragić misses 3-pt jump shot from 25 ft,49,45
179,2,2:13.0,,Offensive rebound by H. Whiteside,49,45
180,2,2:11.0,,H. Whiteside makes 2-pt dunk at rim,49,47
181,2,1:47.0,J. Nurkić misses 2-pt layup from 1 ft (block by J. Johnson),,49,47
182,2,1:46.0,,Defensive rebound by T. Johnson,49,47
183,2,1:38.0,,T. Johnson makes 2-pt layup at rim (assist by G. Dragić),49,49
184,2,1:22.0,D. Lillard makes 3-pt jump shot from 24 ft,,52,49
185,2,1:06.0,,R. McGruder misses 3-pt jump shot from 25 ft,52,49
186,2,1:05.0,Defensive rebound by J. Nurkić,,52,49
187,2,0:57.0,C. McCollum misses 3-pt jump shot from 25 ft,,52,49
188,2,0:56.0,,Defensive rebound by H. Whiteside,52,49
189,2,0:50.0,,Personal block foul by M. Harkless (drawn by G. Dragić),52,49
190,2,0:50.0,A. Crabbe enters the game for M. Harkless,,52,49
191,2,0:42.0,,G. Dragić makes 2-pt layup at rim,52,51
192,2,0:30.0,A. Crabbe misses 2-pt layup from 1 ft (block by H. Whiteside),,52,51
193,2,0:29.0,,Defensive rebound by R. McGruder,52,51
194,2,0:12.0,,Turnover by G. Dragić (discontinued dribble),52,51
195,2,0:12.0,M. Leonard enters the game for J. Nurkić,,52,51
196,2,0:03.0,D. Lillard misses 2-pt layup from 1 ft,,52,51
197,2,0:02.0,,Defensive rebound by H. Whiteside,52,51
198,2,0:00.0,,G. Dragić misses 3-pt jump shot from 35 ft,52,51
199,2,0:00.0,,Offensive rebound by Team,52,51
200,3,11:47.0,,H. Whiteside misses 2-pt dunk at rim,52,51
201,3,11:45.0,Defensive rebound by N. Vonleh,,52,51
202,3,11:24.0,N. Vonleh makes 2-pt hook shot from 5 ft,,54,51
203,3,10:59.0,,G. Dragić misses 2-pt layup from 3 ft,54,51
204,3,10:57.0,Defensive rebound by N. Vonleh,,54,51
205,3,10:38.0,J. Nurkić makes 2-pt jump shot from 4 ft,,56,51
206,3,10:17.0,,Personal foul by N. Vonleh (drawn by L. Babbitt),56,51
207,3,10:05.0,,J. Richardson misses 2-pt jump shot from 11 ft,56,51
208,3,10:04.0,Defensive rebound by N. Vonleh,,56,51
209,3,9:58.0,Personal foul by G. Dragić (drawn by M. Harkless),,56,51
210,3,9:47.0,C. McCollum makes 2-pt layup from 3 ft,,58,51
211,3,9:33.0,,R. McGruder misses 3-pt jump shot from 26 ft,58,51
212,3,9:32.0,,Offensive rebound by H. Whiteside,58,51
213,3,9:29.0,,Shooting foul by J. Nurkić (drawn by H. Whiteside),58,51
214,3,9:29.0,,H. Whiteside makes free throw 1 of 2,58,52
215,3,9:29.0,,H. Whiteside misses free throw 2 of 2,58,52
216,3,9:28.0,Defensive rebound by N. Vonleh,,58,52
217,3,9:19.0,J. Nurkić makes 2-pt layup from 2 ft (assist by D. Lillard),,60,52
218,3,9:09.0,,L. Babbitt makes 3-pt jump shot from 25 ft (assist by J. Richardson),60,55
219,3,8:54.0,D. Lillard misses 3-pt jump shot from 24 ft (block by J. Richardson),,60,55
220,3,8:53.0,Offensive rebound by Team,,60,55
221,3,8:49.0,C. McCollum makes 3-pt jump shot from 25 ft (assist by M. Harkless),,63,55
222,3,8:40.0,,Offensive foul by H. Whiteside (drawn by D. Lillard),63,55
223,3,8:40.0,,Turnover by H. Whiteside (offensive foul),63,55
224,3,8:32.0,Personal foul by R. McGruder,,63,55
225,3,8:24.0,Shooting foul by H. Whiteside (drawn by J. Nurkić),,63,55
226,3,8:24.0,J. Nurkić misses free throw 1 of 2,,63,55
227,3,8:24.0,Offensive rebound by Team,,63,55
