,QUARTER,TIME_REMAINING,DENVER_ACTION,PORTLAND_ACTION,DENVER_SCORE,PORTLAND_SCORE
0,1,11:40.0,J. Nurkić makes 2-pt jump shot from 4 ft,,2,0
1,1,11:25.0,,M. Plumlee makes 2-pt jump shot from 5 ft (assist by M. Leonard),2,2
2,1,11:10.0,D. Gallinari misses 3-pt jump shot from 25 ft,,2,2
3,1,11:08.0,Offensive rebound by J. Nurkić,,2,2
4,1,11:02.0,,Violation by M. Plumlee (kicked ball),2,2
5,1,10:59.0,Personal foul by M. Harkless (drawn by D. Gallinari),,2,2
6,1,10:52.0,J. Nurkić misses 2-pt jump shot from 6 ft,,2,2
7,1,10:51.0,,Defensive rebound by M. Plumlee,2,2
8,1,10:37.0,,C. McCollum misses 3-pt jump shot from 23 ft,2,2
9,1,10:37.0,Defensive rebound by J. Nelson,,2,2
10,1,10:29.0,D. Gallinari misses 2-pt jump shot from 11 ft,,2,2
11,1,10:28.0,Offensive rebound by K. Faried,,2,2
12,1,10:28.0,K. Faried misses 2-pt layup from 1 ft,,2,2
13,1,10:26.0,Offensive rebound by K. Faried,,2,2
14,1,10:26.0,Shooting foul by M. Leonard (drawn by K. Faried),,2,2
15,1,10:26.0,K. Faried makes free throw 1 of 2,,3,2
16,1,10:26.0,K. Faried makes free throw 2 of 2,,4,2
17,1,10:01.0,,M. Plumlee misses 2-pt jump shot from 3 ft (block by J. Nurkić),4,2
18,1,10:01.0,,Offensive rebound by Team,4,2
19,1,10:01.0,,Turnover by Team (shot clock),4,2
20,1,9:53.0,J. Nelson misses 3-pt jump shot from 25 ft,,4,2
21,1,9:51.0,Offensive rebound by K. Faried,,4,2
22,1,9:51.0,K. Faried misses 2-pt layup from 2 ft (block by M. Harkless),,4,2
23,1,9:48.0,,Defensive rebound by M. Harkless,4,2
24,1,9:45.0,,Offensive foul by M. Leonard (drawn by J. Nelson),4,2
25,1,9:45.0,,Turnover by M. Leonard (offensive foul),4,2
26,1,9:26.0,J. Nurkić misses 2-pt layup from 1 ft,,4,2
27,1,9:26.0,,Defensive rebound by M. Leonard,4,2
28,1,9:19.0,,D. Lillard misses 2-pt jump shot from 8 ft,4,2
29,1,9:18.0,Defensive rebound by J. Nurkić,,4,2
30,1,9:13.0,Turnover by E. Mudiay (lost ball; steal by C. McCollum),,4,2
31,1,9:06.0,,D. Lillard makes 2-pt layup from 1 ft,4,4
32,1,8:47.0,E. Mudiay misses 2-pt jump shot from 19 ft,,4,4
33,1,8:46.0,,Defensive rebound by M. Leonard,4,4
34,1,8:37.0,,D. Lillard makes 3-pt jump shot from 26 ft (assist by M. Leonard),4,7
35,1,8:18.0,Shooting foul by M. Harkless (drawn by J. Nurkić),,4,7
36,1,8:18.0,J. Nurkić misses free throw 1 of 2,,4,7
37,1,8:18.0,Offensive rebound by Team,,4,7
38,1,8:18.0,,E. Turner enters the game for M. Harkless,4,7
39,1,8:18.0,J. Nurkić makes free throw 2 of 2,,5,7
