,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,GOLDEN STATE_ACTION,LA LAKERS_SCORE,GOLDEN STATE_SCORE
0,1,11:44.0,,S. Curry misses 3-pt jump shot from 25 ft,0,0
1,1,11:44.0,,Offensive rebound by Z. Pachulia,0,0
2,1,11:35.0,,K. Thompson misses 3-pt jump shot from 25 ft,0,0
3,1,11:35.0,Defensive rebound by J. Randle,,0,0
4,1,11:13.0,T. Ennis misses 2-pt jump shot from 17 ft,,0,0
5,1,11:13.0,,Defensive rebound by S. Curry,0,0
6,1,11:06.0,,Turnover by S. Curry (bad pass; steal by B. Ingram),0,0
7,1,11:02.0,Turnover by J. Randle (bad pass; steal by K. Thompson),,0,0
8,1,10:49.0,,K. Durant misses 2-pt jump shot from 17 ft,0,0
9,1,10:48.0,,Offensive rebound by J. McAdoo,0,0
10,1,10:48.0,,J. McAdoo makes 2-pt dunk at rim,0,2
11,1,10:31.0,J. Clarkson makes 3-pt jump shot from 26 ft,,3,2
12,1,10:19.0,,Z. Pachulia makes 2-pt jump shot from 18 ft (assist by K. Durant),3,4
13,1,10:02.0,L. Nance misses 2-pt hook shot from 10 ft,,3,4
14,1,10:01.0,,Defensive rebound by Z. Pachulia,3,4
15,1,9:45.0,,K. Thompson misses 3-pt jump shot from 22 ft,3,4
16,1,9:44.0,,Offensive rebound by Z. Pachulia,3,4
17,1,9:43.0,,Personal foul by L. Nance (drawn by Z. Pachulia),3,4
18,1,9:41.0,,Shooting foul by J. Clarkson (drawn by K. Thompson),3,4
19,1,9:41.0,,K. Thompson misses free throw 1 of 2,3,4
20,1,9:41.0,,Offensive rebound by Team,3,4
21,1,9:41.0,,K. Thompson makes free throw 2 of 2,3,5
22,1,9:29.0,Def 3 sec tech foul by Z. Pachulia,,3,5
23,1,9:29.0,J. Clarkson misses technical free throw,,3,5
24,1,9:29.0,Offensive rebound by Team,,3,5
25,1,9:19.0,J. Clarkson makes 2-pt layup from 2 ft (assist by J. Randle),,5,5
26,1,9:01.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by Z. Pachulia),5,8
27,1,8:47.0,J. Randle makes 2-pt hook shot from 4 ft (assist by B. Ingram),,7,8
28,1,8:47.0,Shooting foul by J. McAdoo (drawn by J. Randle),,7,8
29,1,8:47.0,J. Randle makes free throw 1 of 1,,8,8
30,1,8:39.0,,Shooting foul by L. Nance (drawn by Z. Pachulia),8,8
31,1,8:39.0,,Z. Pachulia makes free throw 1 of 2,8,9
32,1,8:39.0,,Z. Pachulia makes free throw 2 of 2,8,10
33,1,8:29.0,B. Ingram misses 2-pt jump shot from 9 ft,,8,10
34,1,8:27.0,,Defensive rebound by K. Durant,8,10
35,1,8:23.0,,K. Durant makes 3-pt jump shot from 26 ft,8,13
36,1,8:09.0,Turnover by B. Ingram (bad pass; steal by J. McAdoo),,8,13
37,1,7:57.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by K. Durant),8,16
38,1,7:57.0,LA Lakers full timeout,,8,16
39,1,7:57.0,T. Robinson enters the game for L. Nance,,8,16
40,1,7:46.0,J. Clarkson makes 2-pt jump shot from 16 ft,,10,16
41,1,7:29.0,,K. Thompson misses 2-pt jump shot from 19 ft,10,16
42,1,7:28.0,,Offensive rebound by Z. Pachulia,10,16
43,1,7:28.0,,Z. Pachulia makes 2-pt layup at rim,10,18
44,1,7:18.0,B. Ingram misses 2-pt layup from 1 ft,,10,18
45,1,7:18.0,,Defensive rebound by J. McAdoo,10,18
46,1,7:09.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by K. Durant),10,21
47,1,6:42.0,J. Randle makes 2-pt layup from 1 ft (assist by T. Robinson),,12,21
48,1,6:22.0,,K. Durant misses 2-pt jump shot from 5 ft,12,21
49,1,6:22.0,Defensive rebound by T. Robinson,,12,21
50,1,6:16.0,Turnover by T. Robinson (bad pass; steal by J. McAdoo),,12,21
51,1,6:05.0,,S. Curry misses 3-pt jump shot from 24 ft,12,21
52,1,6:04.0,Defensive rebound by T. Robinson,,12,21
53,1,5:56.0,B. Ingram makes 2-pt jump shot from 1 ft,,14,21
54,1,5:43.0,,K. Durant makes 3-pt jump shot from 26 ft (assist by Z. Pachulia),14,24
55,1,5:26.0,J. Randle misses 2-pt jump shot from 17 ft,,14,24
56,1,5:25.0,,Defensive rebound by S. Curry,14,24
57,1,5:16.0,,J. McAdoo misses 2-pt layup at rim,14,24
58,1,5:16.0,Defensive rebound by J. Randle,,14,24
59,1,5:12.0,T. Robinson makes 2-pt dunk at rim (assist by J. Randle),,16,24
60,1,5:12.0,,Golden State full timeout,16,24
61,1,5:12.0,T. Black enters the game for J. Randle,,16,24
62,1,5:12.0,D. Nwaba enters the game for T. Ennis,,16,24
63,1,5:12.0,,J. McGee enters the game for Z. Pachulia,16,24
64,1,5:12.0,,S. Livingston enters the game for J. McAdoo,16,24
65,1,4:55.0,,K. Durant makes 2-pt layup from 1 ft,16,26
66,1,4:51.0,Turnover by T. Robinson (bad pass),,16,26
67,1,4:39.0,,K. Thompson misses 2-pt jump shot from 6 ft,16,26
68,1,4:38.0,,Offensive rebound by K. Thompson,16,26
69,1,4:38.0,,K. Thompson makes 2-pt jump shot from 5 ft,16,28
70,1,4:20.0,D. Nwaba misses 2-pt layup from 2 ft,,16,28
71,1,4:20.0,,Defensive rebound by K. Durant,16,28
72,1,4:16.0,,Shooting foul by T. Black (drawn by K. Durant),16,28
73,1,4:16.0,,K. Durant misses free throw 1 of 2,16,28
74,1,4:16.0,,Offensive rebound by Team,16,28
75,1,4:16.0,,P. McCaw enters the game for K. Thompson,16,28
76,1,4:16.0,,K. Durant makes free throw 2 of 2,16,29
77,1,4:03.0,B. Ingram misses 2-pt layup from 1 ft,,16,29
78,1,4:03.0,,Defensive rebound by Team,16,29
79,1,3:46.0,,K. Durant makes 2-pt jump shot from 17 ft,16,31
80,1,3:46.0,,Shooting foul by B. Ingram (drawn by K. Durant),16,31
81,1,3:46.0,C. Brewer enters the game for B. Ingram,,16,31
82,1,3:46.0,,K. Durant makes free throw 1 of 1,16,32
83,1,3:31.0,J. Clarkson misses 3-pt jump shot from 26 ft,,16,32
84,1,3:30.0,,Defensive rebound by S. Livingston,16,32
85,1,3:19.0,,S. Curry misses 3-pt jump shot from 29 ft,16,32
86,1,3:18.0,Defensive rebound by J. Clarkson,,16,32
87,1,3:10.0,T. Robinson misses 2-pt jump shot from 14 ft,,16,32
88,1,3:10.0,,Defensive rebound by J. McGee,16,32
89,1,3:04.0,,K. Durant makes 3-pt jump shot from 26 ft (assist by S. Curry),16,35
90,1,2:54.0,J. Clarkson makes 2-pt layup from 2 ft,,18,35
91,1,2:54.0,Shooting foul by J. McGee (drawn by J. Clarkson),,18,35
92,1,2:54.0,J. Clarkson misses free throw 1 of 1,,18,35
93,1,2:54.0,Offensive rebound by T. Black,,18,35
94,1,2:54.0,B. Ingram enters the game for T. Robinson,,18,35
95,1,2:40.0,T. Black makes 2-pt dunk at rim (assist by B. Ingram),,20,35
96,1,2:19.0,,J. McGee makes 2-pt dunk at rim (assist by P. McCaw),20,37
97,1,2:02.0,B. Ingram misses 2-pt jump shot from 18 ft,,20,37
98,1,2:01.0,,Defensive rebound by K. Durant,20,37
99,1,1:53.0,,Turnover by K. Durant (bad pass; steal by J. Clarkson),20,37
100,1,1:48.0,B. Ingram makes 2-pt layup from 1 ft (assist by J. Clarkson),,22,37
101,1,1:48.0,,Golden State full timeout,22,37
102,1,1:48.0,,D. West enters the game for K. Durant,22,37
103,1,1:32.0,,Turnover by S. Curry (bad pass; steal by C. Brewer),22,37
104,1,1:28.0,C. Brewer makes 2-pt dunk at rim,,24,37
105,1,1:13.0,,S. Livingston misses 2-pt jump shot from 13 ft,24,37
106,1,1:13.0,Defensive rebound by B. Ingram,,24,37
107,1,1:04.0,B. Ingram misses 2-pt jump shot from 10 ft,,24,37
108,1,1:04.0,,Defensive rebound by P. McCaw,24,37
109,1,0:56.0,,J. McGee makes 2-pt layup at rim (assist by S. Livingston),24,39
110,1,0:43.0,Shooting foul by D. West (drawn by T. Black),,24,39
111,1,0:43.0,T. Black makes free throw 1 of 2,,25,39
112,1,0:43.0,T. Black makes free throw 2 of 2,,26,39
113,1,0:32.0,,Personal foul by C. Brewer (drawn by P. McCaw),26,39
114,1,0:32.0,,P. McCaw makes free throw 1 of 2,26,40
115,1,0:32.0,,P. McCaw makes free throw 2 of 2,26,41
116,1,0:18.0,J. Clarkson makes 2-pt jump shot from 13 ft,,28,41
117,1,0:05.0,,S. Curry misses 3-pt jump shot from 25 ft,28,41
118,1,0:04.0,,Offensive rebound by P. McCaw,28,41
119,1,0:03.0,,P. McCaw makes 2-pt dunk at rim,28,43
120,1,0:01.0,J. Clarkson misses 3-pt jump shot from 27 ft,,28,43
121,1,0:00.0,Offensive rebound by Team,,28,43
122,2,11:43.0,C. Brewer misses 2-pt jump shot from 19 ft,,28,43
123,2,11:43.0,,Defensive rebound by D. Jones,28,43
124,2,11:25.0,,Turnover by S. Livingston (bad pass; steal by M. World Peace),28,43
125,2,11:17.0,Turnover by D. Nwaba (bad pass; steal by S. Livingston),,28,43
126,2,11:05.0,,D. West makes 2-pt hook shot from 9 ft (assist by I. Clark),28,45
127,2,10:50.0,M. World Peace misses 2-pt jump shot from 5 ft,,28,45
128,2,10:48.0,Offensive rebound by T. Black,,28,45
129,2,10:48.0,Turnover by T. Black (turnover),,28,45
130,2,10:48.0,L. Nance enters the game for C. Brewer,,28,45
131,2,10:34.0,,I. Clark misses 3-pt jump shot from 26 ft,28,45
132,2,10:34.0,Defensive rebound by M. World Peace,,28,45
133,2,10:17.0,T. Ennis makes 2-pt hook shot from 3 ft,,30,45
134,2,10:11.0,,Personal foul by T. Black (drawn by D. Jones),30,45
135,2,9:56.0,,I. Clark misses 2-pt jump shot from 20 ft,30,45
136,2,9:55.0,,Offensive rebound by D. West,30,45
137,2,9:50.0,,Offensive foul by D. West (drawn by L. Nance),30,45
138,2,9:50.0,,Turnover by D. West (offensive foul),30,45
139,2,9:37.0,L. Nance makes 2-pt jump shot from 20 ft (assist by M. World Peace),,32,45
140,2,9:21.0,,I. Clark misses 3-pt jump shot from 24 ft,32,45
141,2,9:21.0,,Offensive rebound by Team,32,45
142,2,9:21.0,Loose ball foul by M. World Peace (drawn by D. West),,32,45
143,2,9:14.0,,Shooting foul by M. World Peace (drawn by K. Thompson),32,45
144,2,9:14.0,,K. Thompson makes free throw 1 of 2,32,46
145,2,9:14.0,,K. Thompson makes free throw 2 of 2,32,47
146,2,9:01.0,T. Ennis makes 3-pt jump shot from 26 ft,,35,47
147,2,8:49.0,,I. Clark misses 3-pt jump shot from 25 ft,35,47
148,2,8:48.0,Defensive rebound by D. Nwaba,,35,47
149,2,8:43.0,D. Nwaba makes 2-pt layup from 1 ft,,37,47
150,2,8:43.0,Shooting foul by D. Jones (drawn by D. Nwaba),,37,47
151,2,8:43.0,Official timeout,,37,47
152,2,8:43.0,D. Nwaba misses free throw 1 of 1,,37,47
153,2,8:43.0,,P. McCaw enters the game for S. Livingston,37,47
154,2,8:42.0,,Defensive rebound by D. Jones,37,47
155,2,8:23.0,,D. Jones misses 2-pt jump shot from 20 ft,37,47
156,2,8:22.0,Defensive rebound by L. Nance,,37,47
157,2,8:06.0,T. Black makes 2-pt layup from 1 ft,,39,47
158,2,7:54.0,,Turnover by D. West (bad pass; steal by L. Nance),39,47
159,2,7:40.0,Turnover by T. Ennis (bad pass; steal by K. Thompson),,39,47
160,2,7:38.0,,Personal foul by D. Nwaba (drawn by I. Clark),39,47
161,2,7:18.0,,K. Thompson misses 2-pt jump shot from 12 ft,39,47
162,2,7:18.0,Defensive rebound by Team,,39,47
163,2,7:16.0,B. Ingram enters the game for M. World Peace,,39,47
164,2,7:04.0,Turnover by T. Ennis (bad pass; steal by I. Clark),,39,47
165,2,6:59.0,,P. McCaw makes 2-pt dunk at rim (assist by D. West),39,49
166,2,6:37.0,T. Ennis misses 3-pt jump shot from 26 ft,,39,49
167,2,6:37.0,,Defensive rebound by Team,39,49
168,2,6:37.0,Loose ball foul by T. Black (drawn by D. Jones),,39,49
169,2,6:37.0,,D. Jones misses free throw 1 of 2,39,49
170,2,6:37.0,,Offensive rebound by Team,39,49
171,2,6:37.0,,D. Jones misses free throw 2 of 2,39,49
172,2,6:37.0,,K. Durant enters the game for D. West,39,49
173,2,6:37.0,J. Clarkson enters the game for T. Ennis,,39,49
174,2,6:37.0,J. Randle enters the game for T. Black,,39,49
175,2,6:36.0,Defensive rebound by J. Randle,,39,49
176,2,6:20.0,L. Nance misses 3-pt jump shot from 25 ft,,39,49
177,2,6:19.0,,Defensive rebound by K. Thompson,39,49
178,2,6:09.0,,P. McCaw makes 3-pt jump shot from 25 ft (assist by K. Thompson),39,52
179,2,5:51.0,L. Nance misses 2-pt jump shot from 18 ft,,39,52
180,2,5:50.0,,Defensive rebound by D. Jones,39,52
181,2,5:38.0,,K. Thompson misses 3-pt jump shot from 26 ft,39,52
182,2,5:37.0,Defensive rebound by L. Nance,,39,52
183,2,5:25.0,B. Ingram misses 2-pt jump shot from 5 ft,,39,52
184,2,5:24.0,,Defensive rebound by D. Jones,39,52
185,2,5:04.0,,P. McCaw misses 3-pt jump shot from 26 ft,39,52
186,2,5:04.0,Defensive rebound by L. Nance,,39,52
187,2,4:52.0,J. Randle makes 2-pt jump shot from 4 ft (assist by J. Clarkson),,41,52
188,2,4:52.0,,Golden State full timeout,41,52
189,2,4:52.0,T. Ennis enters the game for D. Nwaba,,41,52
190,2,4:52.0,,J. McAdoo enters the game for K. Thompson,41,52
191,2,4:52.0,,S. Curry enters the game for D. Jones,41,52
192,2,4:43.0,,K. Durant makes 2-pt jump shot from 16 ft (assist by S. Curry),41,54
193,2,4:23.0,J. Randle misses 2-pt jump shot from 8 ft,,41,54
194,2,4:22.0,,Defensive rebound by J. McAdoo,41,54
195,2,4:06.0,,I. Clark misses 2-pt jump shot from 9 ft,41,54
196,2,4:04.0,Defensive rebound by J. Randle,,41,54
197,2,4:00.0,Turnover by B. Ingram (bad pass; steal by J. McAdoo),,41,54
