,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,DALLAS_ACTION,BROOKLYN_SCORE,DALLAS_SCORE
40,1,6:32.0,,Turnover by W. Matthews (bad pass),10,9
41,1,6:32.0,,S. Mejri enters the game for D. Nowitzki,10,9
42,1,6:25.0,J. Lin makes 2-pt jump shot from 17 ft,,12,9
43,1,6:08.0,,H. Barnes makes 3-pt jump shot from 25 ft (assist by S. Curry),12,12
44,1,6:00.0,Shooting foul by Y. Ferrell (drawn by J. Lin),,12,12
45,1,6:00.0,J. Lin makes free throw 1 of 3,,13,12
46,1,6:00.0,J. Lin makes free throw 2 of 3,,14,12
47,1,6:00.0,I. Whitehead enters the game for C. LeVert,,14,12
48,1,6:00.0,S. Dinwiddie enters the game for Q. Acy,,14,12
49,1,6:00.0,J. Hamilton enters the game for R. Foye,,14,12
50,1,6:00.0,J. Lin makes free throw 3 of 3,,15,12
51,1,5:44.0,,Personal foul by R. Hollis-Jefferson (drawn by H. Barnes),15,12
52,1,5:44.0,T. Booker enters the game for R. Hollis-Jefferson,,15,12
53,1,5:29.0,,W. Matthews misses 2-pt jump shot from 9 ft,15,12
54,1,5:27.0,Defensive rebound by T. Booker,,15,12
55,1,5:21.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,,15,12
56,1,5:19.0,,Defensive rebound by S. Curry,15,12
57,1,5:09.0,,W. Matthews makes 3-pt jump shot from 24 ft (assist by S. Curry),15,15
58,1,4:52.0,J. Hamilton makes 2-pt layup at rim (assist by I. Whitehead),,17,15
59,1,4:42.0,,Y. Ferrell makes 2-pt layup from 1 ft,17,17
60,1,4:42.0,Brooklyn full timeout,,17,17
61,1,4:42.0,S. Kilpatrick enters the game for J. Lin,,17,17
62,1,4:29.0,S. Kilpatrick misses 3-pt jump shot from 25 ft,,17,17
63,1,4:28.0,,Defensive rebound by W. Matthews,17,17
64,1,4:18.0,,W. Matthews misses 3-pt jump shot from 26 ft,17,17
65,1,4:17.0,,Offensive rebound by S. Mejri,17,17
66,1,4:13.0,,Turnover by S. Mejri (bad pass; steal by S. Kilpatrick),17,17
67,1,4:10.0,I. Whitehead makes 2-pt dunk at rim (assist by S. Kilpatrick),,19,17
68,1,3:53.0,,Turnover by S. Curry (lost ball; steal by S. Kilpatrick),19,17
69,1,3:49.0,Turnover by S. Kilpatrick (bad pass; steal by W. Matthews),,19,17
70,1,3:49.0,,Shooting foul by S. Kilpatrick (drawn by W. Matthews),19,17
71,1,3:49.0,,W. Matthews makes free throw 1 of 2,19,18
72,1,3:49.0,,J. Barea enters the game for S. Curry,19,18
73,1,3:49.0,,D. Harris enters the game for Y. Ferrell,19,18
74,1,3:49.0,,W. Matthews makes free throw 2 of 2,19,19
75,1,3:32.0,J. Hamilton makes 2-pt jump shot from 10 ft (assist by S. Kilpatrick),,21,19
76,1,3:18.0,,J. Barea misses 2-pt jump shot from 6 ft (block by S. Dinwiddie),21,19
77,1,3:17.0,,Offensive rebound by Team,21,19
78,1,3:17.0,,D. Powell enters the game for S. Mejri,21,19
79,1,3:14.0,,H. Barnes misses 3-pt jump shot from 26 ft,21,19
80,1,3:13.0,Defensive rebound by S. Kilpatrick,,21,19
81,1,3:09.0,,Violation by D. Harris (kicked ball),21,19
82,1,3:04.0,S. Kilpatrick makes 3-pt jump shot from 25 ft (assist by T. Booker),,24,19
83,1,2:41.0,,W. Matthews misses 3-pt jump shot from 25 ft,24,19
84,1,2:40.0,Defensive rebound by T. Booker,,24,19
85,1,2:27.0,T. Booker misses 2-pt jump shot from 11 ft,,24,19
86,1,2:26.0,,Defensive rebound by D. Harris,24,19
87,1,2:20.0,Loose ball foul by I. Whitehead (drawn by D. Powell),,24,19
88,1,2:20.0,,D. Powell misses free throw 1 of 2,24,19
89,1,2:20.0,,Offensive rebound by Team,24,19
90,1,2:20.0,,D. Finney-Smith enters the game for W. Matthews,24,19
91,1,2:20.0,,D. Powell makes free throw 2 of 2,24,20
92,1,2:02.0,S. Kilpatrick misses 3-pt jump shot from 26 ft,,24,20
93,1,2:01.0,,Defensive rebound by Team,24,20
94,1,1:46.0,,Offensive foul by D. Powell (drawn by S. Dinwiddie),24,20
95,1,1:46.0,,Turnover by D. Powell (offensive foul),24,20
96,1,1:26.0,S. Kilpatrick misses 3-pt jump shot from 24 ft,,24,20
97,1,1:25.0,,Defensive rebound by H. Barnes,24,20
98,1,1:20.0,,D. Nowitzki enters the game for H. Barnes,24,20
99,1,1:12.0,,Turnover by J. Barea (bad pass),24,20
100,1,1:02.0,Shooting foul by D. Nowitzki (drawn by I. Whitehead),,24,20
101,1,1:02.0,I. Whitehead makes free throw 1 of 2,,25,20
102,1,1:02.0,I. Whitehead makes free throw 2 of 2,,26,20
103,1,0:41.0,,J. Barea makes 3-pt jump shot from 25 ft,26,23
104,1,0:24.0,S. Kilpatrick misses 3-pt jump shot from 25 ft,,26,23
105,1,0:23.0,,Defensive rebound by D. Powell,26,23
106,1,0:02.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,26,23
107,1,0:00.0,,Offensive rebound by Team,26,23
108,2,11:42.0,,J. Barea misses 3-pt jump shot from 24 ft,26,23
109,2,11:42.0,,Offensive rebound by D. Powell,26,23
110,2,11:38.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,26,23
111,2,11:38.0,Defensive rebound by A. Nicholson,,26,23
112,2,11:29.0,I. Whitehead makes 3-pt jump shot from 25 ft,,29,23
113,2,11:20.0,,D. Harris makes 2-pt layup from 2 ft (assist by J. Barea),29,25
114,2,11:09.0,T. Booker misses 2-pt hook shot from 6 ft,,29,25
115,2,11:07.0,Offensive rebound by Team,,29,25
116,2,10:55.0,A. Nicholson makes 3-pt jump shot from 26 ft (assist by T. Booker),,32,25
117,2,10:40.0,,Turnover by D. Harris (lost ball; steal by A. Nicholson),32,25
118,2,10:36.0,S. Dinwiddie makes 2-pt dunk at rim (assist by T. Booker),,34,25
119,2,10:34.0,,Dallas full timeout,34,25
120,2,10:20.0,,D. Harris makes 2-pt jump shot from 21 ft,34,27
121,2,10:05.0,T. Booker makes 2-pt layup from 1 ft (assist by R. Foye),,36,27
122,2,9:47.0,,D. Nowitzki makes 2-pt jump shot from 12 ft (assist by D. Harris),36,29
123,2,9:31.0,R. Foye misses 3-pt jump shot from 22 ft,,36,29
124,2,9:30.0,,Defensive rebound by D. Finney-Smith,36,29
125,2,9:22.0,,D. Finney-Smith makes 3-pt jump shot from 24 ft (assist by D. Harris),36,32
126,2,9:08.0,I. Whitehead misses 3-pt jump shot from 25 ft,,36,32
127,2,9:06.0,,Defensive rebound by D. Powell,36,32
128,2,8:53.0,,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by J. Barea),36,35
129,2,8:53.0,Brooklyn full timeout,,36,35
130,2,8:53.0,,Y. Ferrell enters the game for J. Barea,36,35
131,2,8:42.0,Shooting foul by D. Nowitzki (drawn by T. Booker),,36,35
132,2,8:42.0,T. Booker makes free throw 1 of 2,,37,35
133,2,8:42.0,T. Booker misses free throw 2 of 2,,37,35
134,2,8:42.0,,H. Barnes enters the game for D. Nowitzki,37,35
135,2,8:41.0,,Defensive rebound by D. Powell,37,35
136,2,8:25.0,,D. Finney-Smith misses 3-pt jump shot from 24 ft,37,35
137,2,8:24.0,Defensive rebound by T. Booker,,37,35
138,2,8:06.0,I. Whitehead makes 2-pt jump shot from 5 ft (assist by S. Dinwiddie),,39,35
139,2,7:49.0,,H. Barnes misses 2-pt jump shot from 16 ft,39,35
140,2,7:48.0,,Offensive rebound by D. Finney-Smith,39,35
141,2,7:48.0,,D. Finney-Smith misses 2-pt dunk at rim,39,35
142,2,7:46.0,,Offensive rebound by D. Finney-Smith,39,35
143,2,7:37.0,,D. Harris misses 3-pt jump shot from 26 ft,39,35
