,QUARTER,TIME_REMAINING,ORLANDO_ACTION,DALLAS_ACTION,ORLANDO_SCORE,DALLAS_SCORE
0,1,11:38.0,M. Hezonja misses 3-pt jump shot from 22 ft,,0,0
1,1,11:37.0,,Defensive rebound by D. Nowitzki,0,0
2,1,11:26.0,,Personal foul by C. Watson (drawn by H. Barnes),0,0
3,1,11:15.0,,H. Barnes misses 2-pt jump shot from 20 ft,0,0
4,1,11:15.0,Defensive rebound by C. Watson,,0,0
5,1,11:11.0,Shooting block foul by D. Williams (drawn by C. Watson),,0,0
6,1,11:11.0,C. Watson makes free throw 1 of 2,,1,0
7,1,11:11.0,C. Watson makes free throw 2 of 2,,2,0
8,1,10:56.0,,W. Matthews misses 2-pt jump shot from 19 ft,2,0
9,1,10:55.0,Defensive rebound by M. Hezonja,,2,0
10,1,10:47.0,N. Vučević misses 2-pt jump shot from 20 ft,,2,0
11,1,10:47.0,,Defensive rebound by S. Curry,2,0
12,1,10:27.0,,Turnover by W. Matthews (bad pass; steal by M. Hezonja),2,0
13,1,10:22.0,C. Watson makes 2-pt layup at rim (assist by M. Hezonja),,4,0
14,1,10:12.0,,D. Nowitzki makes 2-pt jump shot from 20 ft (assist by W. Matthews),4,2
15,1,9:52.0,E. Fournier makes 2-pt jump shot from 3 ft (assist by C. Watson),,6,2
16,1,9:38.0,,D. Nowitzki misses 2-pt jump shot from 21 ft,6,2
17,1,9:37.0,,Offensive rebound by S. Curry,6,2
18,1,9:30.0,,H. Barnes misses 3-pt jump shot from 23 ft,6,2
19,1,9:27.0,Defensive rebound by N. Vučević,,6,2
20,1,9:12.0,E. Fournier makes 2-pt jump shot from 21 ft,,8,2
21,1,8:55.0,,W. Matthews makes 3-pt jump shot from 23 ft (assist by D. Williams),8,5
22,1,8:38.0,E. Fournier makes 2-pt hook shot from 5 ft (assist by S. Ibaka),,10,5
23,1,8:19.0,,D. Nowitzki makes 2-pt jump shot from 19 ft (assist by D. Williams),10,7
24,1,7:59.0,N. Vučević misses 2-pt hook shot from 7 ft,,10,7
25,1,7:58.0,Offensive rebound by S. Ibaka,,10,7
26,1,7:57.0,S. Ibaka makes 2-pt layup from 1 ft,,12,7
27,1,7:46.0,,D. Williams misses 2-pt layup from 2 ft,12,7
28,1,7:45.0,Defensive rebound by C. Watson,,12,7
29,1,7:41.0,M. Hezonja makes 2-pt dunk at rim (assist by C. Watson),,14,7
30,1,7:38.0,,Dallas full timeout,14,7
31,1,7:17.0,,D. Williams makes 2-pt jump shot from 19 ft (assist by W. Matthews),14,9
32,1,6:59.0,N. Vučević misses 2-pt jump shot from 13 ft,,14,9
33,1,6:58.0,,Defensive rebound by W. Matthews,14,9
34,1,6:51.0,,Turnover by D. Williams (bad pass; steal by C. Watson),14,9
35,1,6:48.0,Turnover by S. Ibaka (bad pass; steal by D. Williams),,14,9
36,1,6:45.0,,D. Williams misses 3-pt jump shot from 24 ft,14,9
37,1,6:42.0,Defensive rebound by N. Vučević,,14,9
38,1,6:36.0,Personal block foul by H. Barnes (drawn by S. Ibaka),,14,9
39,1,6:36.0,,S. Mejri enters the game for D. Nowitzki,14,9
40,1,6:30.0,M. Hezonja misses 3-pt jump shot from 24 ft,,14,9
41,1,6:27.0,,Defensive rebound by S. Mejri,14,9
42,1,6:12.0,,S. Curry misses 2-pt jump shot from 6 ft,14,9
43,1,6:10.0,Defensive rebound by N. Vučević,,14,9
44,1,6:04.0,Turnover by N. Vučević (lost ball; steal by S. Mejri),,14,9
45,1,6:04.0,,W. Matthews makes 3-pt jump shot from 25 ft (assist by S. Curry),14,12
46,1,6:04.0,Orlando full timeout,,14,12
47,1,5:47.0,E. Fournier misses 2-pt layup from 1 ft (block by S. Mejri),,14,12
48,1,5:47.0,,Defensive rebound by Team,14,12
49,1,5:47.0,Loose ball foul by N. Vučević (drawn by W. Matthews),,14,12
50,1,5:36.0,,H. Barnes misses 2-pt layup from 2 ft (block by N. Vučević),14,12
51,1,5:34.0,Defensive rebound by M. Hezonja,,14,12
52,1,5:25.0,Turnover by S. Ibaka (lost ball; steal by W. Matthews),,14,12
53,1,5:18.0,,H. Barnes misses 2-pt jump shot from 18 ft,14,12
54,1,5:17.0,Defensive rebound by N. Vučević,,14,12
55,1,5:02.0,M. Hezonja misses 3-pt jump shot from 24 ft,,14,12
56,1,5:00.0,Offensive rebound by N. Vučević,,14,12
57,1,4:57.0,S. Ibaka misses 2-pt hook shot from 4 ft,,14,12
58,1,4:56.0,,Defensive rebound by S. Mejri,14,12
59,1,4:44.0,,Turnover by S. Mejri (lost ball),14,12
60,1,4:44.0,,Y. Ferrell enters the game for D. Williams,14,12
61,1,4:24.0,E. Payton enters the game for E. Fournier,,14,12
62,1,4:24.0,J. Green enters the game for M. Hezonja,,14,12
63,1,4:21.0,S. Ibaka makes 2-pt jump shot from 19 ft (assist by J. Green),,16,12
64,1,4:00.0,,H. Barnes misses 2-pt jump shot from 4 ft,16,12
65,1,3:59.0,Defensive rebound by S. Ibaka,,16,12
66,1,3:59.0,,Loose ball foul by S. Mejri (drawn by N. Vučević),16,12
67,1,3:46.0,C. Watson misses 3-pt jump shot from 25 ft,,16,12
68,1,3:45.0,,Defensive rebound by S. Mejri,16,12
69,1,3:34.0,,W. Matthews makes 3-pt jump shot from 25 ft (assist by H. Barnes),16,15
70,1,3:19.0,E. Payton makes 2-pt jump shot from 8 ft,,18,15
71,1,3:05.0,,S. Curry makes 2-pt jump shot from 19 ft (assist by Y. Ferrell),18,17
72,1,2:52.0,J. Green misses 2-pt jump shot from 20 ft,,18,17
73,1,2:51.0,,Defensive rebound by S. Mejri,18,17
74,1,2:40.0,,Y. Ferrell makes 2-pt jump shot from 22 ft (assist by W. Matthews),18,19
75,1,2:26.0,Personal foul by Y. Ferrell (drawn by C. Watson),,18,19
76,1,2:26.0,D. Augustin enters the game for C. Watson,,18,19
77,1,2:26.0,B. Biyombo enters the game for N. Vučević,,18,19
78,1,2:26.0,,D. Harris enters the game for S. Curry,18,19
79,1,2:26.0,,D. Nowitzki enters the game for H. Barnes,18,19
80,1,2:12.0,E. Payton misses 2-pt jump shot from 6 ft,,18,19
81,1,2:10.0,Offensive rebound by B. Biyombo,,18,19
82,1,2:10.0,B. Biyombo misses 2-pt layup from 1 ft,,18,19
83,1,2:09.0,,Defensive rebound by D. Nowitzki,18,19
84,1,2:04.0,,Shooting block foul by D. Augustin (drawn by D. Harris),18,19
85,1,2:04.0,,D. Harris makes free throw 1 of 2,18,20
86,1,2:04.0,,D. Harris makes free throw 2 of 2,18,21
87,1,1:53.0,,Violation by S. Mejri (def goaltending),18,21
