,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,HOUSTON_ACTION,CLEVELAND_SCORE,HOUSTON_SCORE
0,1,11:43.0,,J. Harden misses 3-pt jump shot from 25 ft,0,0
1,1,11:42.0,,Offensive rebound by C. Capela,0,0
2,1,11:36.0,,C. Capela makes 2-pt layup from 2 ft,0,2
3,1,11:14.0,I. Shumpert misses 2-pt jump shot from 8 ft,,0,2
4,1,11:13.0,,Defensive rebound by C. Capela,0,2
5,1,11:06.0,,J. Harden misses 3-pt jump shot from 26 ft,0,2
6,1,11:06.0,,Offensive rebound by J. Harden,0,2
7,1,11:02.0,,J. Harden makes 2-pt layup from 1 ft,0,4
8,1,10:43.0,K. Irving makes 2-pt layup from 1 ft,,2,4
9,1,10:21.0,,T. Ariza misses 3-pt jump shot from 25 ft,2,4
10,1,10:19.0,Defensive rebound by R. Jefferson,,2,4
11,1,10:08.0,K. Irving makes 3-pt jump shot from 25 ft,,5,4
12,1,9:57.0,,C. Capela misses 2-pt layup from 2 ft,5,4
13,1,9:56.0,Defensive rebound by K. Irving,,5,4
14,1,9:52.0,Turnover by K. Irving (lost ball; steal by P. Beverley),,5,4
15,1,9:50.0,Offensive charge foul by J. Harden (drawn by R. Jefferson),,5,4
16,1,9:50.0,,Turnover by J. Harden (offensive foul),5,4
17,1,9:30.0,I. Shumpert misses 3-pt jump shot from 24 ft,,5,4
18,1,9:29.0,Offensive rebound by T. Thompson,,5,4
19,1,9:23.0,L. James makes 3-pt jump shot from 25 ft (assist by K. Irving),,8,4
20,1,9:07.0,,R. Anderson makes 3-pt jump shot from 26 ft (assist by T. Ariza),8,7
21,1,8:51.0,L. James misses 3-pt jump shot from 27 ft,,8,7
22,1,8:50.0,,Defensive rebound by C. Capela,8,7
23,1,8:42.0,,R. Anderson makes 3-pt jump shot from 26 ft (assist by J. Harden),8,10
24,1,8:41.0,Cleveland full timeout,,8,10
25,1,8:25.0,L. James makes 2-pt jump shot from 6 ft,,10,10
26,1,8:00.0,,P. Beverley makes 2-pt layup from 4 ft,10,12
27,1,7:57.0,Turnover by L. James (bad pass),,10,12
28,1,7:42.0,,Shooting foul by R. Jefferson (drawn by J. Harden),10,12
29,1,7:42.0,,J. Harden misses free throw 1 of 2,10,12
30,1,7:42.0,,Offensive rebound by Team,10,12
31,1,7:42.0,,J. Harden makes free throw 2 of 2,10,13
32,1,7:27.0,R. Jefferson makes 2-pt dunk at rim (assist by T. Thompson),,12,13
33,1,7:01.0,,J. Harden misses 3-pt jump shot from 25 ft,12,13
34,1,7:01.0,,Offensive rebound by P. Beverley,12,13
35,1,6:57.0,,T. Ariza misses 3-pt jump shot from 26 ft,12,13
36,1,6:57.0,,Offensive rebound by C. Capela,12,13
37,1,6:57.0,,Personal foul by T. Thompson (drawn by C. Capela),12,13
38,1,6:46.0,,P. Beverley misses 3-pt jump shot from 25 ft,12,13
39,1,6:45.0,Defensive rebound by T. Thompson,,12,13
40,1,6:42.0,Shooting foul by P. Beverley (drawn by L. James),,12,13
41,1,6:42.0,L. James makes free throw 1 of 2,,13,13
42,1,6:42.0,L. James makes free throw 2 of 2,,14,13
43,1,6:27.0,,J. Harden makes 2-pt layup from 2 ft,14,15
44,1,6:05.0,I. Shumpert misses 3-pt jump shot from 24 ft,,14,15
45,1,6:04.0,,Defensive rebound by J. Harden,14,15
46,1,5:54.0,,J. Harden misses 2-pt layup from 2 ft,14,15
47,1,5:53.0,Defensive rebound by L. James,,14,15
48,1,5:49.0,,Offensive charge foul by L. James (drawn by T. Ariza),14,15
49,1,5:49.0,Turnover by L. James (offensive foul),,14,15
50,1,5:49.0,,E. Gordon enters the game for P. Beverley,14,15
51,1,5:49.0,,N. Hilário enters the game for C. Capela,14,15
52,1,5:26.0,,R. Anderson misses 2-pt jump shot from 12 ft,14,15
53,1,5:25.0,Defensive rebound by I. Shumpert,,14,15
54,1,5:18.0,R. Jefferson makes 2-pt layup from 1 ft (assist by I. Shumpert),,16,15
55,1,4:58.0,,T. Ariza makes 3-pt jump shot from 26 ft (assist by J. Harden),16,18
56,1,4:35.0,L. James misses 3-pt jump shot from 25 ft,,16,18
57,1,4:34.0,,Defensive rebound by N. Hilário,16,18
58,1,4:24.0,,N. Hilário misses 2-pt layup from 2 ft (block by I. Shumpert),16,18
59,1,4:24.0,Defensive rebound by T. Thompson,,16,18
60,1,4:16.0,K. Irving makes 2-pt jump shot from 7 ft,,18,18
61,1,4:08.0,,T. Ariza makes 3-pt jump shot from 25 ft (assist by J. Harden),18,21
62,1,3:59.0,Cleveland full timeout,,18,21
63,1,3:59.0,,L. Williams enters the game for R. Anderson,18,21
64,1,3:59.0,J. Smith enters the game for R. Jefferson,,18,21
65,1,3:40.0,K. Irving makes 2-pt layup from 3 ft,,20,21
66,1,3:20.0,,J. Harden makes 3-pt jump shot from 26 ft (assist by E. Gordon),20,24
67,1,3:00.0,K. Irving misses 3-pt jump shot from 25 ft,,20,24
68,1,2:58.0,,Defensive rebound by L. Williams,20,24
69,1,2:42.0,,N. Hilário misses 2-pt layup from 2 ft,20,24
70,1,2:41.0,Defensive rebound by I. Shumpert,,20,24
71,1,2:35.0,Turnover by L. James (lost ball; steal by T. Ariza),,20,24
72,1,2:29.0,,J. Harden misses 3-pt jump shot from 24 ft,20,24
73,1,2:28.0,Defensive rebound by K. Irving,,20,24
74,1,2:14.0,J. Smith misses 3-pt jump shot from 27 ft,,20,24
75,1,2:14.0,,Defensive rebound by L. Williams,20,24
76,1,2:07.0,,Personal foul by I. Shumpert (drawn by L. Williams),20,24
77,1,2:07.0,,Houston full timeout,20,24
78,1,2:07.0,,S. Dekker enters the game for T. Ariza,20,24
79,1,2:07.0,D. Williams enters the game for L. James,,20,24
80,1,1:57.0,,E. Gordon makes 3-pt jump shot from 24 ft (assist by J. Harden),20,27
81,1,1:43.0,K. Irving misses 2-pt jump shot from 20 ft,,20,27
82,1,1:42.0,,Defensive rebound by L. Williams,20,27
83,1,1:39.0,,L. Williams misses 2-pt layup from 3 ft (block by K. Irving),20,27
84,1,1:38.0,,Offensive rebound by L. Williams,20,27
85,1,1:35.0,,L. Williams misses 2-pt layup from 2 ft,20,27
86,1,1:35.0,,Offensive rebound by N. Hilário,20,27
87,1,1:35.0,,N. Hilário misses 2-pt layup from 1 ft,20,27
88,1,1:35.0,,Offensive rebound by N. Hilário,20,27
89,1,1:28.0,,N. Hilário misses 2-pt layup from 2 ft (block by I. Shumpert),20,27
90,1,1:26.0,Defensive rebound by D. Williams,,20,27
91,1,1:24.0,Personal foul by S. Dekker (drawn by K. Irving),,20,27
