,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,PORTLAND_ACTION,SAN ANTONIO_SCORE,PORTLAND_SCORE
0,1,11:44.0,K. Leonard misses 2-pt jump shot from 16 ft,,0,0
1,1,11:43.0,,Defensive rebound by D. Lillard,0,0
2,1,11:31.0,,M. Plumlee misses 2-pt jump shot from 16 ft,0,0
3,1,11:30.0,Defensive rebound by K. Leonard,,0,0
4,1,11:14.0,D. Green misses 2-pt jump shot from 22 ft,,0,0
5,1,11:14.0,,Defensive rebound by M. Plumlee,0,0
6,1,11:02.0,,M. Harkless misses 3-pt jump shot from 24 ft,0,0
7,1,11:01.0,Defensive rebound by L. Aldridge,,0,0
8,1,10:51.0,D. Murray misses 2-pt jump shot from 12 ft,,0,0
9,1,10:50.0,,Defensive rebound by M. Plumlee,0,0
10,1,10:28.0,,M. Plumlee makes 2-pt layup from 2 ft (assist by D. Lillard),0,2
11,1,10:28.0,,Shooting foul by D. Dedmon (drawn by M. Plumlee),0,2
12,1,10:28.0,,M. Plumlee makes free throw 1 of 1,0,3
13,1,10:13.0,L. Aldridge misses 2-pt jump shot from 10 ft,,0,3
14,1,10:13.0,,Defensive rebound by Team,0,3
15,1,9:59.0,,C. McCollum misses 2-pt jump shot from 20 ft,0,3
16,1,9:58.0,,Offensive rebound by A. Aminu,0,3
17,1,9:56.0,,A. Aminu misses 2-pt jump shot from 5 ft,0,3
18,1,9:55.0,,Offensive rebound by A. Aminu,0,3
19,1,9:50.0,,M. Harkless makes 2-pt layup from 1 ft (assist by A. Aminu),0,5
20,1,9:26.0,D. Murray makes 2-pt jump shot from 10 ft,,2,5
21,1,9:17.0,,Offensive foul by C. McCollum (drawn by D. Green),2,5
22,1,9:17.0,,Turnover by C. McCollum (offensive foul),2,5
23,1,9:01.0,L. Aldridge misses 2-pt hook shot from 5 ft,,2,5
24,1,9:01.0,Offensive rebound by D. Dedmon,,2,5
25,1,9:00.0,Shooting foul by M. Plumlee (drawn by D. Dedmon),,2,5
26,1,9:00.0,D. Dedmon makes free throw 1 of 2,,3,5
27,1,9:00.0,D. Dedmon makes free throw 2 of 2,,4,5
28,1,8:44.0,,D. Lillard makes 2-pt layup at rim,4,7
29,1,8:30.0,Shooting foul by M. Plumlee (drawn by K. Leonard),,4,7
30,1,8:30.0,K. Leonard makes free throw 1 of 2,,5,7
31,1,8:30.0,,M. Leonard enters the game for M. Plumlee,5,7
32,1,8:30.0,K. Leonard makes free throw 2 of 2,,6,7
33,1,8:14.0,,D. Lillard misses 3-pt jump shot from 24 ft,6,7
34,1,8:13.0,Defensive rebound by D. Dedmon,,6,7
35,1,8:06.0,D. Murray misses 2-pt jump shot from 13 ft,,6,7
36,1,8:05.0,,Defensive rebound by Team,6,7
37,1,7:49.0,,C. McCollum misses 2-pt layup from 2 ft,6,7
38,1,7:49.0,Defensive rebound by D. Murray,,6,7
39,1,7:37.0,K. Leonard makes 2-pt jump shot from 22 ft,,8,7
40,1,7:14.0,,M. Leonard makes 3-pt jump shot from 25 ft (assist by A. Aminu),8,10
41,1,7:03.0,D. Dedmon makes 2-pt layup from 2 ft (assist by K. Leonard),,10,10
42,1,6:53.0,,D. Lillard misses 2-pt jump shot from 18 ft,10,10
43,1,6:51.0,,Offensive rebound by M. Harkless,10,10
44,1,6:48.0,,C. McCollum misses 3-pt jump shot from 24 ft,10,10
45,1,6:47.0,Defensive rebound by D. Dedmon,,10,10
46,1,6:39.0,D. Murray misses 2-pt layup from 2 ft,,10,10
47,1,6:39.0,Offensive rebound by L. Aldridge,,10,10
48,1,6:39.0,Shooting foul by C. McCollum (drawn by L. Aldridge),,10,10
49,1,6:39.0,L. Aldridge makes free throw 1 of 2,,11,10
50,1,6:39.0,P. Mills enters the game for D. Murray,,11,10
51,1,6:39.0,,A. Crabbe enters the game for C. McCollum,11,10
52,1,6:39.0,J. Simmons enters the game for K. Leonard,,11,10
53,1,6:39.0,L. Aldridge makes free throw 2 of 2,,12,10
54,1,6:26.0,,A. Aminu misses 3-pt jump shot from 25 ft,12,10
55,1,6:24.0,,Offensive rebound by M. Leonard,12,10
