,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,BOSTON_ACTION,WASHINGTON_SCORE,BOSTON_SCORE
0,1,11:41.0,M. Gortat misses 2-pt hook shot from 12 ft,,0,0
1,1,11:40.0,,Defensive rebound by J. Crowder,0,0
2,1,11:24.0,,A. Bradley makes 2-pt layup from 2 ft (assist by J. Crowder),0,2
3,1,11:06.0,M. Morris misses 2-pt jump shot from 15 ft,,0,2
4,1,11:05.0,Offensive rebound by M. Gortat,,0,2
5,1,11:00.0,O. Porter makes 2-pt layup from 2 ft (assist by M. Gortat),,2,2
6,1,10:41.0,,J. Crowder misses 3-pt jump shot from 26 ft,2,2
7,1,10:40.0,Defensive rebound by M. Morris,,2,2
8,1,10:29.0,Turnover by M. Gortat (traveling),,2,2
9,1,10:12.0,,A. Bradley makes 3-pt jump shot from 25 ft (assist by I. Thomas),2,5
10,1,10:03.0,Personal foul by A. Bradley (drawn by B. Beal),,2,5
11,1,10:00.0,B. Beal makes 2-pt jump shot from 7 ft (assist by J. Wall),,4,5
12,1,9:42.0,,Turnover by J. Crowder (bad pass),4,5
13,1,9:25.0,M. Morris makes 2-pt jump shot from 9 ft,,6,5
14,1,9:07.0,,A. Horford makes 2-pt jump shot from 13 ft,6,7
15,1,8:53.0,M. Gortat makes 2-pt jump shot from 9 ft,,8,7
16,1,8:46.0,,Shooting foul by M. Gortat (drawn by I. Thomas),8,7
17,1,8:46.0,,I. Thomas misses free throw 1 of 2,8,7
18,1,8:46.0,,Offensive rebound by Team,8,7
19,1,8:46.0,,I. Thomas makes free throw 2 of 2,8,8
20,1,8:35.0,J. Wall makes 2-pt layup from 1 ft,,10,8
21,1,8:28.0,,I. Thomas misses 3-pt jump shot from 26 ft,10,8
22,1,8:27.0,Defensive rebound by J. Wall,,10,8
23,1,8:21.0,B. Beal makes 3-pt jump shot from 25 ft (assist by J. Wall),,13,8
24,1,8:08.0,,A. Johnson makes 2-pt layup from 1 ft (assist by I. Thomas),13,10
25,1,7:56.0,O. Porter misses 3-pt jump shot from 26 ft,,13,10
26,1,7:55.0,,Defensive rebound by I. Thomas,13,10
27,1,7:46.0,,I. Thomas misses 2-pt layup from 1 ft,13,10
28,1,7:45.0,,Offensive rebound by A. Bradley,13,10
29,1,7:44.0,,A. Bradley misses 2-pt layup from 1 ft,13,10
30,1,7:43.0,Defensive rebound by M. Gortat,,13,10
31,1,7:39.0,B. Beal makes 3-pt jump shot from 26 ft (assist by M. Gortat),,16,10
32,1,7:39.0,,Technical foul by I. Thomas,16,10
33,1,7:39.0,B. Beal makes technical free throw,,17,10
34,1,7:27.0,,I. Thomas makes 2-pt jump shot from 15 ft,17,12
35,1,7:14.0,J. Wall misses 2-pt jump shot from 19 ft,,17,12
36,1,7:14.0,Offensive rebound by Team,,17,12
37,1,7:14.0,,Loose ball foul by A. Johnson (drawn by M. Gortat),17,12
38,1,7:03.0,M. Morris misses 3-pt jump shot from 25 ft,,17,12
39,1,7:02.0,,Defensive rebound by Team,17,12
40,1,7:02.0,Loose ball foul by M. Gortat (drawn by A. Johnson),,17,12
41,1,6:42.0,,Personal foul by O. Porter (drawn by I. Thomas),17,12
42,1,6:42.0,I. Mahinmi enters the game for M. Gortat,,17,12
43,1,6:33.0,,A. Bradley misses 2-pt dunk at rim,17,12
44,1,6:32.0,,Offensive rebound by A. Johnson,17,12
45,1,6:27.0,,A. Bradley misses 3-pt jump shot from 23 ft,17,12
46,1,6:26.0,Defensive rebound by I. Mahinmi,,17,12
47,1,6:20.0,M. Morris makes 2-pt jump shot from 21 ft (assist by J. Wall),,19,12
48,1,6:19.0,,Boston full timeout,19,12
49,1,5:59.0,,A. Johnson misses 2-pt hook shot from 1 ft,19,12
50,1,5:58.0,,Offensive rebound by A. Bradley,19,12
51,1,5:58.0,,A. Bradley makes 2-pt layup from 2 ft,19,14
52,1,5:38.0,B. Beal misses 2-pt jump shot from 21 ft,,19,14
53,1,5:37.0,,Defensive rebound by A. Bradley,19,14
54,1,5:26.0,,A. Bradley makes 2-pt jump shot from 22 ft,19,16
55,1,5:07.0,O. Porter misses 2-pt jump shot from 10 ft,,19,16
56,1,5:06.0,,Defensive rebound by A. Horford,19,16
57,1,5:00.0,,A. Johnson makes 2-pt dunk at rim (assist by A. Bradley),19,18
58,1,4:42.0,M. Morris misses 3-pt jump shot from 26 ft,,19,18
59,1,4:41.0,,Defensive rebound by I. Thomas,19,18
60,1,4:25.0,,Shooting foul by M. Morris (drawn by A. Horford),19,18
61,1,4:25.0,,A. Horford makes free throw 1 of 2,19,19
62,1,4:25.0,J. Smith enters the game for M. Morris,,19,19
63,1,4:25.0,,A. Horford makes free throw 2 of 2,19,20
64,1,4:08.0,B. Beal misses 2-pt jump shot from 23 ft,,19,20
65,1,4:07.0,,Defensive rebound by J. Crowder,19,20
66,1,3:54.0,,A. Horford makes 2-pt hook shot from 10 ft (assist by A. Bradley),19,22
67,1,3:51.0,Washington full timeout,,19,22
68,1,3:51.0,,T. Zeller enters the game for A. Johnson,19,22
69,1,3:51.0,,K. Olynyk enters the game for A. Horford,19,22
