,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,LA CLIPPERS_ACTION,WASHINGTON_SCORE,LA CLIPPERS_SCORE
0,1,11:46.0,M. Morris makes 3-pt jump shot from 25 ft (assist by B. Beal),,3,0
1,1,11:29.0,,J. Redick misses 3-pt jump shot from 26 ft,3,0
2,1,11:27.0,Defensive rebound by O. Porter,,3,0
3,1,11:14.0,M. Gortat misses 2-pt hook shot from 3 ft,,3,0
4,1,11:12.0,,Defensive rebound by D. Jordan,3,0
5,1,11:10.0,,Personal foul by M. Morris (drawn by B. Griffin),3,0
6,1,11:06.0,,Turnover by B. Griffin (bad pass; steal by M. Gortat),3,0
7,1,11:02.0,J. Wall makes 2-pt dunk at rim (assist by M. Gortat),,5,0
8,1,10:45.0,,B. Griffin misses 2-pt hook shot from 8 ft,5,0
9,1,10:43.0,Defensive rebound by M. Morris,,5,0
10,1,10:32.0,M. Morris misses 3-pt jump shot from 26 ft,,5,0
11,1,10:30.0,Offensive rebound by M. Gortat,,5,0
12,1,10:28.0,M. Gortat misses 2-pt jump shot from 8 ft,,5,0
13,1,10:25.0,,Defensive rebound by D. Jordan,5,0
14,1,10:18.0,,Shooting foul by B. Beal (drawn by L. Mbah a Moute),5,0
15,1,10:18.0,,L. Mbah a Moute makes 2-pt layup from 3 ft (assist by B. Griffin),5,2
16,1,10:18.0,,L. Mbah a Moute makes free throw 1 of 1,5,3
17,1,10:06.0,J. Wall makes 2-pt jump shot from 15 ft,,7,3
18,1,9:58.0,,C. Paul makes 2-pt jump shot from 16 ft,7,5
19,1,9:43.0,B. Beal makes 2-pt jump shot from 12 ft,,9,5
20,1,9:26.0,,Turnover by J. Redick (lost ball),9,5
21,1,9:16.0,M. Gortat misses 2-pt dunk at rim,,9,5
22,1,9:14.0,,Defensive rebound by L. Mbah a Moute,9,5
23,1,9:10.0,,B. Griffin makes 2-pt dunk at rim,9,7
24,1,8:49.0,O. Porter misses 2-pt jump shot from 6 ft,,9,7
25,1,8:46.0,,Defensive rebound by D. Jordan,9,7
26,1,8:37.0,,C. Paul makes 2-pt jump shot from 14 ft (assist by B. Griffin),9,9
27,1,8:20.0,Turnover by M. Gortat (lost ball; steal by B. Griffin),,9,9
28,1,8:10.0,,D. Jordan makes 2-pt layup from 3 ft (assist by B. Griffin),9,11
29,1,8:10.0,,Shooting foul by J. Wall (drawn by D. Jordan),9,11
30,1,8:10.0,,D. Jordan makes free throw 1 of 1,9,12
31,1,8:00.0,Turnover by J. Wall (lost ball; steal by C. Paul),,9,12
32,1,7:54.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by C. Paul),9,15
33,1,7:52.0,Washington full timeout,,9,15
34,1,7:33.0,O. Porter makes 2-pt jump shot from 13 ft,,11,15
35,1,7:17.0,,Shooting foul by M. Morris (drawn by D. Jordan),11,15
36,1,7:17.0,,D. Jordan makes free throw 1 of 2,11,16
37,1,7:17.0,,D. Jordan misses free throw 2 of 2,11,16
38,1,7:17.0,Defensive rebound by J. Smith,,11,16
39,1,7:17.0,J. Smith enters the game for M. Morris,,11,16
40,1,6:52.0,B. Beal misses 3-pt jump shot from 27 ft,,11,16
41,1,6:52.0,Offensive rebound by Team,,11,16
42,1,6:52.0,Turnover by Team (shot clock),,11,16
43,1,6:42.0,,J. Redick makes 3-pt jump shot from 24 ft (assist by C. Paul),11,19
