,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,PHOENIX_ACTION,GOLDEN STATE_SCORE,PHOENIX_SCORE
0,1,11:47.0,,Turnover by J. Dudley (bad pass),0,0
1,1,11:34.0,Z. Pachulia misses 2-pt layup from 3 ft,,0,0
2,1,11:32.0,Offensive rebound by Z. Pachulia,,0,0
3,1,11:29.0,K. Durant misses 2-pt layup from 3 ft (block by T. Warren),,0,0
4,1,11:29.0,Offensive rebound by Team,,0,0
5,1,11:26.0,S. Curry makes 2-pt jump shot from 18 ft (assist by Z. Pachulia),,2,0
6,1,10:59.0,,E. Bledsoe makes 3-pt jump shot from 26 ft,2,3
7,1,10:51.0,K. Thompson misses 3-pt jump shot from 24 ft,,2,3
8,1,10:51.0,,Defensive rebound by T. Chandler,2,3
9,1,10:30.0,,Shooting foul by K. Thompson (drawn by T. Chandler),2,3
10,1,10:30.0,,T. Chandler misses free throw 1 of 2,2,3
11,1,10:30.0,,Offensive rebound by Team,2,3
12,1,10:30.0,,T. Chandler makes free throw 2 of 2,2,4
13,1,10:14.0,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Green),,5,4
14,1,9:57.0,,T. Warren misses 2-pt jump shot from 21 ft,5,4
15,1,9:56.0,Defensive rebound by Z. Pachulia,,5,4
16,1,9:49.0,Personal foul by E. Bledsoe (drawn by Z. Pachulia),,5,4
17,1,9:35.0,K. Durant misses 2-pt layup from 3 ft,,5,4
18,1,9:32.0,Offensive rebound by Z. Pachulia,,5,4
19,1,9:32.0,Z. Pachulia misses 2-pt layup from 2 ft,,5,4
20,1,9:31.0,,Defensive rebound by T. Chandler,5,4
21,1,9:12.0,,T. Warren misses 2-pt jump shot from 5 ft,5,4
22,1,9:11.0,,Offensive rebound by T. Warren,5,4
23,1,9:09.0,,T. Warren makes 2-pt jump shot from 4 ft,5,6
24,1,8:55.0,S. Curry makes 2-pt jump shot from 7 ft (assist by Z. Pachulia),,7,6
25,1,8:40.0,,D. Booker misses 2-pt jump shot from 23 ft,7,6
26,1,8:40.0,,Offensive rebound by J. Dudley,7,6
27,1,8:34.0,,T. Warren makes 2-pt jump shot from 19 ft,7,8
28,1,8:22.0,S. Curry makes 3-pt jump shot from 26 ft (assist by Z. Pachulia),,10,8
29,1,8:16.0,,Personal foul by S. Curry (drawn by E. Bledsoe),10,8
30,1,7:56.0,,T. Warren misses 2-pt jump shot from 12 ft (block by K. Durant),10,8
31,1,7:54.0,Defensive rebound by K. Durant,,10,8
32,1,7:48.0,D. Green misses 3-pt jump shot from 26 ft,,10,8
