,QUARTER,TIME_REMAINING,CHICAGO_ACTION,DETROIT_ACTION,CHICAGO_SCORE,DETROIT_SCORE
0,1,11:41.0,,R. Jackson misses 2-pt jump shot from 19 ft,0,0
1,1,11:40.0,Defensive rebound by B. Portis,,0,0
2,1,11:27.0,R. Lopez misses 2-pt hook shot from 5 ft,,0,0
3,1,11:27.0,,Defensive rebound by Team,0,0
4,1,11:16.0,,K. Caldwell-Pope misses 2-pt jump shot from 6 ft (block by R. Lopez),0,0
5,1,11:16.0,Defensive rebound by Team,,0,0
6,1,11:01.0,J. Butler misses 3-pt jump shot from 26 ft,,0,0
7,1,11:01.0,,Defensive rebound by R. Jackson,0,0
8,1,10:53.0,,M. Morris misses 3-pt jump shot from 26 ft,0,0
9,1,10:53.0,,Offensive rebound by A. Drummond,0,0
10,1,10:41.0,,M. Morris makes 2-pt layup from 1 ft (assist by R. Jackson),0,2
11,1,10:20.0,R. Lopez misses 2-pt jump shot from 19 ft,,0,2
12,1,10:20.0,Offensive rebound by J. Butler,,0,2
13,1,10:07.0,B. Portis misses 2-pt jump shot from 17 ft,,0,2
14,1,10:07.0,Offensive rebound by B. Portis,,0,2
15,1,10:01.0,J. Butler makes 2-pt layup from 1 ft,,2,2
16,1,10:01.0,Shooting foul by J. Leuer (drawn by J. Butler),,2,2
17,1,10:01.0,J. Butler misses free throw 1 of 1,,2,2
18,1,10:01.0,,Defensive rebound by A. Drummond,2,2
19,1,9:43.0,,R. Jackson misses 2-pt dunk at rim,2,2
20,1,9:41.0,Defensive rebound by R. Lopez,,2,2
21,1,9:35.0,R. Lopez makes 2-pt layup from 1 ft (assist by J. Grant),,4,2
22,1,9:34.0,,Detroit full timeout,4,2
23,1,9:17.0,,J. Leuer misses 3-pt jump shot from 27 ft,4,2
24,1,9:17.0,Defensive rebound by P. Zipser,,4,2
25,1,9:01.0,J. Butler misses 2-pt jump shot from 7 ft (block by M. Morris),,4,2
26,1,9:00.0,,Defensive rebound by A. Drummond,4,2
27,1,8:53.0,,K. Caldwell-Pope misses 2-pt jump shot from 9 ft,4,2
28,1,8:52.0,,Offensive rebound by K. Caldwell-Pope,4,2
29,1,8:48.0,,M. Morris misses 3-pt jump shot from 26 ft,4,2
30,1,8:48.0,Defensive rebound by B. Portis,,4,2
31,1,8:32.0,J. Butler misses 2-pt layup at rim,,4,2
32,1,8:30.0,,Defensive rebound by J. Leuer,4,2
33,1,8:12.0,,A. Drummond makes 2-pt hook shot from 8 ft,4,4
34,1,7:55.0,J. Grant makes 3-pt jump shot from 26 ft (assist by J. Butler),,7,4
35,1,7:32.0,,Turnover by M. Morris (bad pass; steal by R. Lopez),7,4
36,1,7:30.0,Shooting foul by R. Jackson (drawn by B. Portis),,7,4
37,1,7:30.0,B. Portis makes free throw 1 of 2,,8,4
38,1,7:30.0,B. Portis makes free throw 2 of 2,,9,4
39,1,7:11.0,,J. Leuer misses 2-pt jump shot from 11 ft,9,4
40,1,7:11.0,Defensive rebound by J. Butler,,9,4
