,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,PORTLAND_ACTION,MILWAUKEE_SCORE,PORTLAND_SCORE
0,1,11:44.0,,M. Harkless makes 2-pt layup from 2 ft (assist by J. Nurkić),0,2
1,1,11:26.0,T. Snell misses 3-pt jump shot from 24 ft,,0,2
2,1,11:26.0,,Defensive rebound by C. McCollum,0,2
3,1,11:16.0,,C. McCollum makes 2-pt layup from 1 ft,0,4
4,1,11:02.0,Turnover by K. Middleton (bad pass; steal by D. Lillard),,0,4
5,1,10:36.0,,D. Lillard makes 2-pt layup from 1 ft,0,6
6,1,10:17.0,T. Snell misses 2-pt jump shot from 20 ft,,0,6
7,1,10:16.0,,Defensive rebound by N. Vonleh,0,6
8,1,9:58.0,,C. McCollum misses 2-pt layup from 2 ft,0,6
9,1,9:57.0,,Offensive rebound by J. Nurkić,0,6
10,1,9:57.0,,J. Nurkić misses 2-pt layup at rim,0,6
11,1,9:55.0,,Offensive rebound by J. Nurkić,0,6
12,1,9:43.0,,Shooting foul by T. Maker (drawn by D. Lillard),0,6
13,1,9:43.0,,D. Lillard misses free throw 1 of 2,0,6
14,1,9:43.0,,Offensive rebound by Team,0,6
15,1,9:43.0,,D. Lillard misses free throw 2 of 2,0,6
16,1,9:42.0,Defensive rebound by T. Snell,,0,6
17,1,9:23.0,K. Middleton misses 2-pt jump shot from 9 ft,,0,6
18,1,9:22.0,,Defensive rebound by J. Nurkić,0,6
19,1,9:13.0,,D. Lillard makes 2-pt jump shot from 12 ft,0,8
20,1,9:13.0,Milwaukee full timeout,,0,8
21,1,9:13.0,G. Monroe enters the game for T. Maker,,0,8
22,1,8:50.0,K. Middleton misses 2-pt jump shot from 17 ft,,0,8
23,1,8:48.0,Offensive rebound by G. Monroe,,0,8
24,1,8:48.0,G. Monroe misses 2-pt layup from 1 ft (block by J. Nurkić),,0,8
25,1,8:46.0,,Defensive rebound by D. Lillard,0,8
26,1,8:44.0,,Personal block foul by G. Antetokounmpo (drawn by D. Lillard),0,8
27,1,8:42.0,,Turnover by M. Harkless (bad pass; steal by M. Brogdon),0,8
28,1,8:38.0,M. Brogdon makes 2-pt layup from 2 ft,,2,8
29,1,8:20.0,,C. McCollum makes 2-pt jump shot from 9 ft,2,10
30,1,8:04.0,G. Antetokounmpo misses 2-pt layup from 2 ft (block by J. Nurkić),,2,10
31,1,8:03.0,,Defensive rebound by J. Nurkić,2,10
32,1,7:53.0,,Turnover by J. Nurkić (lost ball),2,10
33,1,7:38.0,M. Brogdon makes 2-pt layup from 2 ft,,4,10
34,1,7:21.0,,C. McCollum makes 2-pt jump shot from 5 ft (assist by D. Lillard),4,12
35,1,7:09.0,M. Brogdon misses 3-pt jump shot from 25 ft,,4,12
36,1,7:08.0,,Defensive rebound by J. Nurkić,4,12
37,1,6:58.0,,D. Lillard misses 3-pt jump shot from 26 ft,4,12
38,1,6:57.0,Defensive rebound by G. Monroe,,4,12
39,1,6:48.0,K. Middleton makes 2-pt jump shot from 17 ft,,6,12
40,1,6:29.0,,D. Lillard makes 2-pt layup from 2 ft,6,14
41,1,6:12.0,G. Antetokounmpo misses 2-pt jump shot from 9 ft,,6,14
42,1,6:11.0,Offensive rebound by G. Monroe,,6,14
43,1,6:10.0,Personal foul by J. Nurkić (drawn by G. Monroe),,6,14
44,1,5:59.0,K. Middleton makes 2-pt layup at rim (assist by G. Antetokounmpo),,8,14
45,1,5:43.0,M. Dellavedova enters the game for M. Brogdon,,8,14
