,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,BROOKLYN_ACTION,OKLAHOMA CITY_SCORE,BROOKLYN_SCORE
0,1,11:38.0,T. Gibson misses 2-pt jump shot from 17 ft,,0,0
1,1,11:37.0,,Defensive rebound by Team,0,0
2,1,11:17.0,,B. Lopez makes 3-pt jump shot from 26 ft (assist by J. Lin),0,3
3,1,11:04.0,Personal foul by B. Lopez (drawn by S. Adams),,0,3
4,1,10:57.0,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),,2,3
5,1,10:36.0,,J. Lin makes 2-pt layup from 5 ft (assist by C. LeVert),2,5
6,1,10:28.0,Shooting foul by J. Lin (drawn by R. Westbrook),,2,5
7,1,10:28.0,R. Westbrook misses free throw 1 of 3,,2,5
8,1,10:28.0,Offensive rebound by Team,,2,5
9,1,10:28.0,R. Westbrook misses free throw 2 of 3,,2,5
10,1,10:28.0,Offensive rebound by Team,,2,5
11,1,10:28.0,R. Westbrook makes free throw 3 of 3,,3,5
12,1,10:13.0,,Turnover by J. Lin (bad pass; steal by R. Westbrook),3,5
13,1,10:01.0,T. Gibson makes 2-pt jump shot from 4 ft (assist by R. Westbrook),,5,5
14,1,10:01.0,Shooting foul by R. Hollis-Jefferson (drawn by T. Gibson),,5,5
15,1,10:01.0,T. Gibson makes free throw 1 of 1,,6,5
16,1,9:47.0,,Personal foul by A. Roberson (drawn by C. LeVert),6,5
17,1,9:35.0,,R. Foye misses 2-pt jump shot from 8 ft,6,5
18,1,9:34.0,Defensive rebound by S. Adams,,6,5
19,1,9:30.0,T. Gibson makes 2-pt dunk at rim (assist by R. Westbrook),,8,5
20,1,9:14.0,,J. Lin misses 3-pt jump shot from 26 ft,8,5
21,1,9:12.0,Defensive rebound by R. Westbrook,,8,5
22,1,9:07.0,T. Gibson makes 2-pt dunk from 2 ft (assist by R. Westbrook),,10,5
23,1,9:06.0,,Brooklyn full timeout,10,5
24,1,8:44.0,,B. Lopez misses 2-pt hook shot from 7 ft,10,5
25,1,8:43.0,Defensive rebound by R. Westbrook,,10,5
26,1,8:35.0,A. Roberson makes 2-pt dunk at rim (assist by R. Westbrook),,12,5
27,1,8:32.0,,Personal block foul by A. Roberson (drawn by C. LeVert),12,5
28,1,8:18.0,,J. Lin makes 2-pt layup from 3 ft (assist by R. Foye),12,7
29,1,8:03.0,V. Oladipo makes 2-pt jump shot from 17 ft,,14,7
30,1,7:40.0,,C. LeVert makes 2-pt jump shot from 7 ft (assist by R. Foye),14,9
31,1,7:22.0,Turnover by V. Oladipo (bad pass; steal by C. LeVert),,14,9
32,1,7:16.0,,B. Lopez makes 2-pt dunk at rim (assist by J. Lin),14,11
