,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MEMPHIS_ACTION,GOLDEN STATE_SCORE,MEMPHIS_SCORE
0,1,11:40.0,K. Thompson misses 3-pt jump shot from 23 ft,,0,0
1,1,11:39.0,,Defensive rebound by J. Green,0,0
2,1,11:30.0,,Turnover by M. Gasol (lost ball; steal by J. McGee),0,0
3,1,11:20.0,K. Durant misses 2-pt jump shot from 7 ft,,0,0
4,1,11:18.0,,Defensive rebound by J. Green,0,0
5,1,10:58.0,,M. Gasol misses 2-pt jump shot from 11 ft,0,0
6,1,10:58.0,Defensive rebound by K. Durant,,0,0
7,1,10:42.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by D. Green),,3,0
8,1,10:27.0,,T. Allen misses 2-pt layup from 3 ft (block by D. Green),3,0
9,1,10:26.0,Defensive rebound by D. Green,,3,0
10,1,10:20.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by K. Durant),,6,0
11,1,10:04.0,,Turnover by M. Conley (bad pass; steal by D. Green),6,0
12,1,9:55.0,K. Thompson misses 3-pt jump shot from 25 ft,,6,0
13,1,9:54.0,,Defensive rebound by J. Green,6,0
14,1,9:45.0,,M. Conley misses 2-pt jump shot from 6 ft,6,0
15,1,9:41.0,Defensive rebound by D. Green,,6,0
16,1,9:37.0,K. Durant misses 2-pt jump shot from 10 ft,,6,0
17,1,9:34.0,,Defensive rebound by M. Gasol,6,0
18,1,9:29.0,,J. Ennis makes 2-pt layup from 1 ft (assist by M. Gasol),6,2
19,1,9:12.0,S. Curry misses 2-pt jump shot from 21 ft,,6,2
20,1,9:12.0,,Defensive rebound by T. Allen,6,2
21,1,9:03.0,,M. Gasol misses 3-pt jump shot from 25 ft,6,2
22,1,9:01.0,Defensive rebound by D. Green,,6,2
23,1,8:56.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by D. Green),,9,2
24,1,8:22.0,,J. Ennis makes 3-pt jump shot from 23 ft (assist by M. Gasol),9,5
25,1,8:06.0,K. Durant misses 3-pt jump shot from 25 ft,,9,5
26,1,8:05.0,,Defensive rebound by T. Allen,9,5
27,1,7:57.0,,M. Gasol misses 2-pt jump shot from 15 ft,9,5
28,1,7:56.0,Defensive rebound by S. Curry,,9,5
29,1,7:51.0,Turnover by S. Curry (bad pass),,9,5
30,1,7:40.0,,Turnover by T. Allen (lost ball),9,5
31,1,7:29.0,K. Thompson misses 2-pt layup from 2 ft (block by M. Gasol),,9,5
32,1,7:29.0,Offensive rebound by Team,,9,5
33,1,7:26.0,K. Thompson makes 2-pt layup from 2 ft (assist by S. Curry),,11,5
34,1,7:18.0,,Memphis full timeout,11,5
35,1,7:00.0,,M. Conley makes 3-pt jump shot from 24 ft,11,8
36,1,6:40.0,K. Durant makes 3-pt jump shot from 24 ft (assist by S. Curry),,14,8
37,1,6:24.0,,M. Gasol misses 2-pt hook shot from 9 ft,14,8
38,1,6:22.0,,Offensive rebound by J. Green,14,8
39,1,6:20.0,,Turnover by J. Green (bad pass; steal by D. Green),14,8
40,1,6:16.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by D. Green),,17,8
41,1,5:50.0,,T. Allen misses 2-pt jump shot from 22 ft,17,8
42,1,5:49.0,Defensive rebound by D. Green,,17,8
43,1,5:40.0,Turnover by K. Durant (bad pass; steal by M. Conley),,17,8
44,1,5:32.0,,J. Green makes 2-pt layup from 1 ft (assist by M. Conley),17,10
45,1,5:18.0,Shooting foul by M. Gasol (drawn by K. Durant),,17,10
46,1,5:18.0,K. Durant makes free throw 1 of 2,,18,10
47,1,5:18.0,,Z. Randolph enters the game for J. Green,18,10
48,1,5:18.0,,V. Carter enters the game for T. Allen,18,10
49,1,5:18.0,A. Iguodala enters the game for D. Green,,18,10
50,1,5:18.0,K. Durant makes free throw 2 of 2,,19,10
51,1,5:01.0,,Shooting foul by K. Thompson (drawn by M. Gasol),19,10
52,1,5:01.0,,M. Gasol makes free throw 1 of 2,19,11
53,1,5:01.0,,M. Gasol makes free throw 2 of 2,19,12
54,1,4:47.0,S. Curry misses 2-pt jump shot from 21 ft,,19,12
55,1,4:47.0,,Defensive rebound by Z. Randolph,19,12
56,1,4:33.0,,M. Gasol makes 2-pt hook shot from 5 ft (assist by M. Conley),19,14
57,1,4:28.0,Golden State full timeout,,19,14
58,1,4:21.0,S. Curry misses 3-pt jump shot from 26 ft,,19,14
59,1,4:21.0,,Defensive rebound by J. Ennis,19,14
60,1,4:06.0,,Shooting foul by K. Durant (drawn by M. Gasol),19,14
61,1,4:06.0,,M. Gasol misses free throw 1 of 2,19,14
62,1,4:06.0,,Offensive rebound by Team,19,14
63,1,4:06.0,,T. Douglas enters the game for M. Conley,19,14
64,1,4:06.0,,M. Gasol makes free throw 2 of 2,19,15
65,1,3:56.0,Personal foul by Z. Randolph (drawn by A. Iguodala),,19,15
66,1,3:56.0,K. Looney enters the game for J. McGee,,19,15
67,1,3:50.0,S. Curry makes 2-pt jump shot from 11 ft,,21,15
68,1,3:22.0,,Z. Randolph misses 2-pt jump shot from 20 ft,21,15
69,1,3:22.0,,Offensive rebound by Team,21,15
70,1,3:22.0,,Turnover by Team (shot clock),21,15
71,1,3:22.0,P. McCaw enters the game for K. Thompson,,21,15
72,1,3:08.0,Shooting foul by J. Ennis (drawn by K. Durant),,21,15
73,1,3:08.0,K. Durant misses free throw 1 of 2,,21,15
74,1,3:08.0,Offensive rebound by Team,,21,15
75,1,3:08.0,,T. Daniels enters the game for J. Ennis,21,15
76,1,3:08.0,K. Durant makes free throw 2 of 2,,22,15
77,1,2:54.0,,T. Douglas makes 3-pt jump shot from 27 ft (assist by M. Gasol),22,18
78,1,2:41.0,S. Curry makes 2-pt layup from 2 ft (assist by A. Iguodala),,24,18
79,1,2:21.0,,Z. Randolph makes 2-pt layup from 1 ft,24,20
80,1,2:05.0,K. Durant misses 2-pt jump shot from 16 ft,,24,20
81,1,2:05.0,,Defensive rebound by Z. Randolph,24,20
82,1,2:05.0,Loose ball foul by P. McCaw (drawn by Z. Randolph),,24,20
83,1,2:05.0,D. Green enters the game for K. Durant,,24,20
84,1,1:49.0,,Turnover by Z. Randolph (bad pass; steal by D. Green),24,20
85,1,1:44.0,Shooting foul by V. Carter (drawn by A. Iguodala),,24,20
86,1,1:44.0,A. Iguodala misses free throw 1 of 2,,24,20
87,1,1:44.0,Offensive rebound by Team,,24,20
88,1,1:44.0,,B. Wright enters the game for M. Gasol,24,20
89,1,1:44.0,A. Iguodala makes free throw 2 of 2,,25,20
90,1,1:28.0,,B. Wright makes 2-pt dunk at rim (assist by Z. Randolph),25,22
91,1,1:07.0,S. Curry makes 3-pt jump shot from 23 ft (assist by P. McCaw),,28,22
92,1,1:07.0,Shooting foul by V. Carter (drawn by S. Curry),,28,22
93,1,1:07.0,S. Curry makes free throw 1 of 1,,29,22
94,1,0:59.0,,T. Daniels misses 2-pt jump shot from 21 ft,29,22
95,1,0:58.0,Defensive rebound by D. Green,,29,22
96,1,0:49.0,S. Curry misses 3-pt jump shot from 25 ft,,29,22
97,1,0:48.0,,Defensive rebound by T. Daniels,29,22
98,1,0:37.0,,Turnover by B. Wright (bad pass; steal by D. Green),29,22
99,1,0:32.0,Turnover by S. Curry (bad pass),,29,22
100,1,0:15.0,,V. Carter misses 3-pt jump shot from 27 ft,29,22
101,1,0:14.0,Defensive rebound by D. Green,,29,22
102,1,0:01.0,D. Green misses 3-pt jump shot from 27 ft,,29,22
103,1,0:00.0,Offensive rebound by Team,,29,22
104,2,11:45.0,,Turnover by V. Carter (bad pass; steal by D. Green),29,22
105,2,11:31.0,K. Thompson misses 3-pt jump shot from 24 ft,,29,22
106,2,11:31.0,,Defensive rebound by Z. Randolph,29,22
107,2,11:12.0,,T. Douglas misses 2-pt layup from 2 ft (block by J. McAdoo),29,22
108,2,11:10.0,Defensive rebound by J. McAdoo,,29,22
109,2,11:05.0,Turnover by D. Green (bad pass),,29,22
110,2,10:53.0,,T. Daniels misses 3-pt jump shot from 26 ft,29,22
111,2,10:53.0,,Offensive rebound by Z. Randolph,29,22
112,2,10:50.0,,Z. Randolph misses 2-pt layup from 1 ft (block by J. McAdoo),29,22
113,2,10:49.0,,Offensive rebound by T. Daniels,29,22
114,2,10:49.0,,Shooting foul by S. Livingston (drawn by T. Daniels),29,22
115,2,10:49.0,,T. Daniels misses free throw 1 of 2,29,22
116,2,10:49.0,,Offensive rebound by Team,29,22
117,2,10:49.0,,M. Conley enters the game for T. Douglas,29,22
118,2,10:49.0,,T. Daniels makes free throw 2 of 2,29,23
119,2,10:33.0,S. Livingston misses 2-pt jump shot from 15 ft,,29,23
120,2,10:32.0,,Defensive rebound by M. Conley,29,23
121,2,10:27.0,,Turnover by M. Conley (bad pass; steal by A. Iguodala),29,23
122,2,10:22.0,A. Iguodala makes 3-pt jump shot from 23 ft (assist by D. Green),,32,23
123,2,10:06.0,,B. Wright makes 2-pt jump shot from 10 ft (assist by M. Conley),32,25
124,2,9:58.0,J. McAdoo makes 2-pt dunk at rim (assist by A. Iguodala),,34,25
125,2,9:43.0,,B. Wright misses 2-pt jump shot from 10 ft,34,25
126,2,9:41.0,Defensive rebound by S. Livingston,,34,25
127,2,9:37.0,J. McAdoo makes 2-pt dunk at rim (assist by S. Livingston),,36,25
128,2,9:29.0,,Memphis full timeout,36,25
129,2,9:12.0,,V. Carter misses 2-pt layup from 2 ft,36,25
130,2,9:11.0,,Offensive rebound by V. Carter,36,25
131,2,9:11.0,,V. Carter misses 2-pt layup from 1 ft,36,25
132,2,9:10.0,,Offensive rebound by Z. Randolph,36,25
133,2,9:10.0,,Shooting foul by D. Green (drawn by Z. Randolph),36,25
134,2,9:10.0,,Z. Randolph misses free throw 1 of 2,36,25
135,2,9:10.0,,Offensive rebound by Team,36,25
136,2,9:10.0,,T. Douglas enters the game for T. Daniels,36,25
