,QUARTER,TIME_REMAINING,MIAMI_ACTION,BOSTON_ACTION,MIAMI_SCORE,BOSTON_SCORE
0,1,11:37.0,,Shooting foul by L. Babbitt (drawn by A. Johnson),0,0
1,1,11:37.0,,A. Johnson makes free throw 1 of 2,0,1
2,1,11:37.0,,A. Johnson makes free throw 2 of 2,0,2
3,1,11:20.0,J. Richardson makes 2-pt jump shot from 18 ft (assist by J. Winslow),,2,2
4,1,11:06.0,,Turnover by A. Johnson (bad pass; steal by J. Richardson),2,2
5,1,10:50.0,L. Babbitt misses 3-pt jump shot from 24 ft,,2,2
6,1,10:49.0,,Defensive rebound by M. Smart,2,2
7,1,10:40.0,,I. Thomas makes 3-pt jump shot from 25 ft (assist by A. Johnson),2,5
8,1,10:20.0,J. Richardson makes 2-pt jump shot from 15 ft,,4,5
9,1,10:06.0,,J. Crowder makes 3-pt jump shot from 26 ft (assist by A. Horford),4,8
10,1,9:41.0,Shooting foul by J. Crowder (drawn by H. Whiteside),,4,8
11,1,9:41.0,H. Whiteside misses free throw 1 of 2,,4,8
12,1,9:41.0,Offensive rebound by Team,,4,8
13,1,9:41.0,H. Whiteside makes free throw 2 of 2,,5,8
14,1,9:21.0,,J. Crowder misses 3-pt jump shot from 23 ft,5,8
15,1,9:20.0,Defensive rebound by J. Winslow,,5,8
16,1,9:02.0,H. Whiteside misses 2-pt hook shot from 5 ft,,5,8
17,1,9:01.0,,Defensive rebound by A. Horford,5,8
18,1,8:52.0,,I. Thomas misses 2-pt jump shot from 10 ft,5,8
19,1,8:51.0,Defensive rebound by H. Whiteside,,5,8
20,1,8:31.0,J. Winslow makes 2-pt jump shot from 4 ft,,7,8
21,1,8:21.0,,A. Horford misses 3-pt jump shot from 25 ft,7,8
22,1,8:20.0,Defensive rebound by H. Whiteside,,7,8
23,1,8:10.0,J. Winslow misses 2-pt jump shot from 22 ft,,7,8
24,1,8:10.0,,Defensive rebound by A. Johnson,7,8
25,1,7:55.0,,A. Horford makes 2-pt hook shot from 4 ft,7,10
26,1,7:39.0,J. Richardson misses 2-pt jump shot from 16 ft,,7,10
27,1,7:38.0,Offensive rebound by J. Richardson,,7,10
28,1,7:33.0,Turnover by H. Whiteside (lost ball),,7,10
29,1,7:22.0,,I. Thomas misses 2-pt layup from 2 ft (block by J. Richardson),7,10
30,1,7:21.0,Defensive rebound by J. Winslow,,7,10
31,1,7:16.0,Turnover by J. Richardson (step out of bounds),,7,10
32,1,6:52.0,,Turnover by Team (shot clock),7,10
33,1,6:30.0,J. Richardson misses 3-pt jump shot from 24 ft,,7,10
34,1,6:29.0,Offensive rebound by J. Winslow,,7,10
35,1,6:29.0,Shooting foul by A. Johnson (drawn by J. Winslow),,7,10
36,1,6:29.0,J. Winslow misses free throw 1 of 2,,7,10
37,1,6:29.0,Offensive rebound by Team,,7,10
38,1,6:29.0,,K. Olynyk enters the game for A. Johnson,7,10
39,1,6:29.0,T. Johnson enters the game for J. Richardson,,7,10
40,1,6:29.0,J. Winslow makes free throw 2 of 2,,8,10
41,1,6:19.0,,Shooting foul by T. Johnson (drawn by I. Thomas),8,10
42,1,6:19.0,,I. Thomas makes free throw 1 of 2,8,11
43,1,6:19.0,,I. Thomas makes free throw 2 of 2,8,12
44,1,6:06.0,L. Babbitt makes 2-pt jump shot from 20 ft (assist by T. Johnson),,10,12
45,1,5:53.0,,Turnover by I. Thomas (back court),10,12
46,1,5:53.0,,Boston full timeout,10,12
47,1,5:41.0,R. McGruder makes 3-pt jump shot from 23 ft (assist by T. Johnson),,13,12
48,1,5:18.0,,A. Horford makes 2-pt jump shot from 16 ft (assist by J. Crowder),13,14
49,1,5:02.0,H. Whiteside misses 2-pt jump shot from 3 ft (block by K. Olynyk),,13,14
50,1,5:01.0,,Defensive rebound by A. Horford,13,14
51,1,4:54.0,,K. Olynyk misses 2-pt layup from 2 ft (block by J. Winslow),13,14
52,1,4:53.0,,Offensive rebound by I. Thomas,13,14
53,1,4:40.0,,M. Smart misses 3-pt jump shot from 25 ft,13,14
54,1,4:39.0,Defensive rebound by T. Johnson,,13,14
55,1,4:28.0,H. Whiteside misses 2-pt jump shot from 16 ft,,13,14
56,1,4:27.0,,Defensive rebound by J. Crowder,13,14
57,1,4:13.0,,J. Crowder misses 2-pt jump shot from 20 ft,13,14
58,1,4:12.0,Defensive rebound by H. Whiteside,,13,14
59,1,3:59.0,J. Winslow makes 2-pt layup from 2 ft (assist by T. Johnson),,15,14
60,1,3:44.0,,A. Horford makes 3-pt jump shot from 25 ft (assist by J. Crowder),15,17
61,1,3:36.0,Miami full timeout,,15,17
62,1,3:36.0,,J. Brown enters the game for M. Smart,15,17
63,1,3:36.0,J. Johnson enters the game for L. Babbitt,,15,17
64,1,3:36.0,W. Reed enters the game for H. Whiteside,,15,17
65,1,3:26.0,W. Reed misses 2-pt jump shot from 13 ft,,15,17
66,1,3:26.0,Offensive rebound by J. Winslow,,15,17
67,1,3:23.0,J. Winslow makes 2-pt layup from 2 ft,,17,17
68,1,3:06.0,,K. Olynyk makes 2-pt layup from 2 ft (assist by J. Brown),17,19
69,1,2:49.0,J. Johnson makes 2-pt layup from 2 ft (assist by T. Johnson),,19,19
70,1,2:31.0,,A. Horford makes 2-pt hook shot from 4 ft,19,21
71,1,2:09.0,Turnover by J. Johnson (bad pass; steal by J. Crowder),,19,21
72,1,1:59.0,,I. Thomas misses 2-pt layup from 2 ft (block by T. Johnson),19,21
73,1,1:58.0,Defensive rebound by W. Reed,,19,21
74,1,1:53.0,Turnover by J. Johnson (bad pass),,19,21
75,1,1:53.0,,J. Jerebko enters the game for A. Horford,19,21
76,1,1:53.0,,T. Rozier enters the game for I. Thomas,19,21
77,1,1:53.0,W. Ellington enters the game for R. McGruder,,19,21
78,1,1:41.0,,J. Brown makes 2-pt hook shot from 5 ft (assist by J. Jerebko),19,23
79,1,1:20.0,W. Ellington makes 2-pt jump shot from 19 ft (assist by J. Winslow),,21,23
80,1,1:12.0,,T. Rozier makes 2-pt layup from 2 ft (assist by K. Olynyk),21,25
81,1,1:12.0,,Shooting foul by T. Johnson (drawn by T. Rozier),21,25
82,1,1:12.0,,T. Rozier misses free throw 1 of 1,21,25
83,1,1:12.0,Defensive rebound by J. Johnson,,21,25
84,1,1:12.0,,G. Green enters the game for J. Crowder,21,25
85,1,1:00.0,W. Ellington makes 2-pt jump shot from 22 ft (assist by J. Johnson),,23,25
86,1,0:53.0,,J. Brown misses 3-pt jump shot from 25 ft,23,25
87,1,0:52.0,Defensive rebound by J. Johnson,,23,25
88,1,0:46.0,J. Johnson makes 2-pt jump shot from 19 ft,,25,25
89,1,0:20.0,,K. Olynyk misses 2-pt jump shot from 16 ft (block by J. Johnson),25,25
90,1,0:19.0,Defensive rebound by J. Winslow,,25,25
91,1,0:02.0,J. Johnson misses 2-pt layup from 3 ft,,25,25
92,1,0:01.0,,Defensive rebound by T. Rozier,25,25
93,2,11:46.0,W. Ellington misses 3-pt jump shot from 25 ft,,25,25
94,2,11:45.0,Offensive rebound by W. Reed,,25,25
95,2,11:44.0,W. Reed misses 2-pt layup from 3 ft (block by J. Jerebko),,25,25
96,2,11:43.0,Offensive rebound by Team,,25,25
97,2,11:43.0,Offensive foul by W. Reed (drawn by G. Green),,25,25
98,2,11:43.0,Turnover by W. Reed (offensive foul),,25,25
99,2,11:25.0,,G. Green misses 2-pt jump shot from 23 ft,25,25
100,2,11:24.0,Defensive rebound by W. Reed,,25,25
101,2,11:18.0,Personal foul by T. Rozier (drawn by J. Richardson),,25,25
