,QUARTER,TIME_REMAINING,PORTLAND_ACTION,LA CLIPPERS_ACTION,PORTLAND_SCORE,LA CLIPPERS_SCORE
0,1,11:42.0,,B. Griffin makes 2-pt jump shot from 18 ft (assist by C. Paul),0,2
1,1,11:23.0,D. Lillard misses 2-pt layup from 2 ft (block by B. Griffin),,0,2
2,1,11:23.0,Offensive rebound by Team,,0,2
3,1,11:17.0,M. Plumlee misses 2-pt jump shot from 14 ft,,0,2
4,1,11:16.0,Offensive rebound by M. Harkless,,0,2
5,1,11:10.0,M. Plumlee makes 2-pt jump shot from 9 ft (assist by A. Aminu),,2,2
6,1,10:50.0,,B. Griffin makes 2-pt jump shot from 15 ft (assist by C. Paul),2,4
7,1,10:30.0,M. Harkless misses 2-pt layup from 2 ft,,2,4
8,1,10:29.0,Offensive rebound by M. Plumlee,,2,4
9,1,10:26.0,M. Plumlee misses 2-pt jump shot from 16 ft,,2,4
10,1,10:23.0,Offensive rebound by M. Harkless,,2,4
11,1,10:22.0,M. Harkless makes 2-pt layup from 1 ft,,4,4
12,1,10:02.0,,J. Redick misses 2-pt layup from 2 ft,4,4
13,1,9:59.0,Defensive rebound by A. Aminu,,4,4
14,1,9:54.0,A. Aminu misses 3-pt jump shot from 24 ft,,4,4
15,1,9:54.0,Offensive rebound by M. Plumlee,,4,4
16,1,9:54.0,Personal foul by J. Redick (drawn by M. Plumlee),,4,4
17,1,9:46.0,C. McCollum misses 2-pt jump shot from 10 ft,,4,4
18,1,9:45.0,,Defensive rebound by B. Griffin,4,4
19,1,9:39.0,,Offensive foul by D. Jordan (drawn by A. Aminu),4,4
20,1,9:39.0,,Turnover by D. Jordan (offensive foul),4,4
21,1,9:28.0,Turnover by A. Aminu (bad pass; steal by D. Jordan),,4,4
22,1,9:23.0,,L. Mbah a Moute makes 2-pt layup from 3 ft (assist by C. Paul),4,6
23,1,9:03.0,A. Aminu makes 3-pt jump shot from 28 ft (assist by D. Lillard),,7,6
24,1,8:46.0,,B. Griffin misses 2-pt hook shot from 8 ft,7,6
25,1,8:44.0,,Offensive rebound by B. Griffin,7,6
26,1,8:42.0,,Turnover by B. Griffin (lost ball; steal by M. Plumlee),7,6
27,1,8:32.0,C. McCollum makes 2-pt jump shot from 21 ft,,9,6
28,1,8:28.0,,Shooting foul by M. Harkless (drawn by L. Mbah a Moute),9,6
29,1,8:28.0,,L. Mbah a Moute makes free throw 1 of 2,9,7
30,1,8:28.0,,L. Mbah a Moute makes free throw 2 of 2,9,8
31,1,8:18.0,A. Aminu makes 2-pt dunk at rim,,11,8
32,1,8:04.0,,J. Redick makes 2-pt jump shot from 20 ft (assist by C. Paul),11,10
33,1,7:52.0,D. Lillard makes 2-pt jump shot from 17 ft,,13,10
34,1,7:40.0,,B. Griffin misses 2-pt hook shot from 6 ft,13,10
35,1,7:37.0,Defensive rebound by D. Lillard,,13,10
36,1,7:33.0,M. Harkless makes 2-pt dunk at rim (assist by D. Lillard),,15,10
37,1,7:15.0,,L. Mbah a Moute makes 3-pt jump shot from 25 ft (assist by B. Griffin),15,13
38,1,6:56.0,M. Harkless misses 2-pt layup from 2 ft,,15,13
39,1,6:54.0,,Defensive rebound by B. Griffin,15,13
40,1,6:48.0,,C. Paul makes 3-pt jump shot from 25 ft (assist by B. Griffin),15,16
41,1,6:33.0,D. Lillard misses 2-pt jump shot from 16 ft,,15,16
42,1,6:32.0,,Defensive rebound by D. Jordan,15,16
43,1,6:23.0,,C. Paul makes 2-pt jump shot from 13 ft,15,18
44,1,6:00.0,M. Plumlee misses 2-pt jump shot from 19 ft,,15,18
45,1,5:58.0,,Defensive rebound by B. Griffin,15,18
46,1,5:52.0,,C. Paul misses 3-pt jump shot from 26 ft,15,18
47,1,5:50.0,Defensive rebound by A. Aminu,,15,18
48,1,5:44.0,C. McCollum makes 3-pt jump shot from 25 ft,,18,18
49,1,5:25.0,,J. Redick misses 2-pt jump shot from 21 ft,18,18
50,1,5:24.0,,Offensive rebound by B. Griffin,18,18
51,1,5:16.0,,Shooting foul by D. Lillard (drawn by C. Paul),18,18
52,1,5:16.0,,LA Clippers full timeout,18,18
53,1,5:16.0,,C. Paul makes free throw 1 of 2,18,19
54,1,5:16.0,M. Leonard enters the game for M. Plumlee,,18,18
55,1,5:16.0,E. Davis enters the game for A. Aminu,,18,18
56,1,5:16.0,,C. Paul makes free throw 2 of 2,18,20
57,1,5:02.0,C. McCollum misses 2-pt layup from 3 ft (block by J. Redick),,18,20
58,1,5:01.0,Offensive rebound by E. Davis,,18,20
59,1,5:01.0,Shooting foul by C. Paul (drawn by E. Davis),,18,20
60,1,5:01.0,E. Davis makes free throw 1 of 2,,19,20
61,1,5:01.0,E. Davis makes free throw 2 of 2,,20,20
62,1,4:47.0,,J. Redick misses 3-pt jump shot from 26 ft,20,20
63,1,4:46.0,,Offensive rebound by D. Jordan,20,20
64,1,4:45.0,,D. Jordan makes 2-pt dunk at rim,20,22
65,1,4:24.0,D. Lillard makes 3-pt jump shot from 26 ft (assist by C. McCollum),,23,22
66,1,4:05.0,,Turnover by Team (back court),23,22
67,1,4:05.0,E. Turner enters the game for C. McCollum,,23,22
68,1,4:05.0,A. Crabbe enters the game for M. Harkless,,23,22
69,1,4:05.0,,J. Crawford enters the game for J. Redick,23,22
70,1,3:52.0,Turnover by A. Crabbe (lost ball; steal by D. Jordan),,23,22
71,1,3:45.0,,B. Griffin misses 2-pt layup from 3 ft,23,22
72,1,3:44.0,Defensive rebound by E. Davis,,23,22
73,1,3:31.0,A. Crabbe misses 2-pt jump shot from 7 ft (block by J. Crawford),,23,22
74,1,3:31.0,Offensive rebound by Team,,23,22
75,1,3:29.0,Turnover by E. Davis (bad pass),,23,22
76,1,3:10.0,,B. Griffin makes 2-pt layup from 2 ft (assist by C. Paul),23,24
77,1,3:10.0,,Shooting foul by M. Leonard (drawn by B. Griffin),23,24
78,1,3:10.0,,R. Felton enters the game for L. Mbah a Moute,23,24
79,1,3:10.0,,B. Griffin makes free throw 1 of 1,23,25
80,1,2:57.0,D. Lillard misses 3-pt jump shot from 29 ft,,23,25
81,1,2:55.0,,Defensive rebound by D. Jordan,23,25
82,1,2:41.0,,J. Crawford makes 2-pt jump shot from 19 ft (assist by C. Paul),23,27
83,1,2:41.0,Portland full timeout,,23,27
84,1,2:41.0,,M. Speights enters the game for D. Jordan,23,27
85,1,2:41.0,,W. Johnson enters the game for B. Griffin,23,27
86,1,2:41.0,N. Vonleh enters the game for M. Leonard,,23,27
87,1,2:24.0,E. Davis misses 2-pt dunk at rim (block by W. Johnson),,23,27
88,1,2:22.0,,Defensive rebound by Team,23,27
89,1,2:07.0,,R. Felton makes 2-pt layup from 2 ft (assist by M. Speights),23,29
90,1,1:50.0,N. Vonleh misses 2-pt hook shot from 3 ft,,23,29
91,1,1:48.0,,Defensive rebound by C. Paul,23,29
92,1,1:43.0,,C. Paul misses 3-pt jump shot from 26 ft,23,29
93,1,1:42.0,Defensive rebound by E. Turner,,23,29
94,1,1:23.0,E. Turner makes 2-pt layup from 3 ft,,25,29
95,1,1:15.0,Violation by N. Vonleh (def goaltending),,25,29
96,1,1:15.0,,R. Felton makes 2-pt layup from 1 ft,25,31
