,QUARTER,TIME_REMAINING,HOUSTON_ACTION,SACRAMENTO_ACTION,HOUSTON_SCORE,SACRAMENTO_SCORE
0,1,11:41.0,Turnover by J. Harden (lost ball),,0,0
1,1,11:28.0,,W. Cauley-Stein makes 2-pt dunk at rim (assist by T. Lawson),0,2
2,1,11:19.0,T. Williams misses 3-pt jump shot from 26 ft,,0,2
3,1,11:18.0,,Defensive rebound by W. Cauley-Stein,0,2
4,1,11:08.0,,Turnover by T. Lawson (bad pass; steal by R. Anderson),0,2
5,1,11:00.0,P. Beverley makes 3-pt jump shot from 23 ft (assist by J. Harden),,3,2
6,1,10:50.0,,Shooting foul by C. Capela (drawn by T. Lawson),3,2
7,1,10:50.0,,T. Lawson makes free throw 1 of 2,3,3
8,1,10:50.0,,T. Lawson makes free throw 2 of 2,3,4
9,1,10:28.0,R. Anderson makes 3-pt jump shot from 25 ft (assist by J. Harden),,6,4
10,1,10:17.0,,B. Hield misses 3-pt jump shot from 27 ft,6,4
11,1,10:16.0,Defensive rebound by C. Capela,,6,4
12,1,10:09.0,Shooting foul by B. Hield (drawn by C. Capela),,6,4
13,1,10:09.0,C. Capela makes free throw 1 of 2,,7,4
14,1,10:09.0,C. Capela makes free throw 2 of 2,,8,4
15,1,9:51.0,,B. Hield makes 2-pt jump shot from 14 ft,8,6
16,1,9:34.0,T. Williams makes 3-pt jump shot from 26 ft,,11,6
17,1,9:26.0,,T. Lawson misses 3-pt jump shot from 25 ft,11,6
18,1,9:25.0,Defensive rebound by J. Harden,,11,6
19,1,9:17.0,J. Harden makes 3-pt jump shot from 26 ft,,14,6
20,1,8:58.0,,B. Hield misses 2-pt jump shot from 16 ft,14,6
21,1,8:57.0,Defensive rebound by C. Capela,,14,6
22,1,8:46.0,Turnover by J. Harden (bad pass; steal by G. Temple),,14,6
23,1,8:38.0,,Personal foul by P. Beverley (drawn by W. Cauley-Stein),14,6
24,1,8:23.0,,S. Labissière misses 2-pt hook shot from 8 ft,14,6
25,1,8:23.0,Defensive rebound by J. Harden,,14,6
26,1,8:13.0,R. Anderson makes 3-pt jump shot from 27 ft (assist by J. Harden),,17,6
