,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,HOUSTON_ACTION,MEMPHIS_SCORE,HOUSTON_SCORE
0,1,11:35.0,M. Gasol misses 2-pt jump shot from 18 ft,,0,0
1,1,11:34.0,,Defensive rebound by C. Capela,0,0
2,1,11:17.0,,R. Anderson misses 2-pt jump shot from 20 ft,0,0
3,1,11:16.0,Defensive rebound by C. Parsons,,0,0
4,1,11:04.0,J. Green makes 2-pt dunk at rim (assist by T. Allen),,2,0
5,1,10:46.0,,Turnover by T. Ariza (lost ball),2,0
6,1,10:31.0,Turnover by M. Gasol (lost ball; steal by J. Harden),,2,0
7,1,10:25.0,,C. Capela makes 2-pt layup from 2 ft (assist by J. Harden),2,2
8,1,10:12.0,M. Gasol makes 2-pt jump shot from 20 ft (assist by C. Parsons),,4,2
9,1,9:48.0,,P. Beverley makes 3-pt jump shot from 24 ft (assist by J. Harden),4,5
10,1,9:30.0,M. Conley makes 2-pt jump shot from 21 ft,,6,5
11,1,9:22.0,,C. Capela misses 2-pt layup from 2 ft (block by M. Gasol),6,5
12,1,9:20.0,Defensive rebound by M. Conley,,6,5
13,1,9:15.0,M. Conley misses 3-pt jump shot from 25 ft,,6,5
14,1,9:13.0,,Defensive rebound by C. Capela,6,5
15,1,9:06.0,,J. Harden misses 2-pt layup from 3 ft (block by M. Gasol),6,5
16,1,9:03.0,Defensive rebound by M. Conley,,6,5
17,1,8:55.0,M. Conley misses 3-pt jump shot from 24 ft,,6,5
18,1,8:54.0,,Defensive rebound by T. Ariza,6,5
19,1,8:48.0,,T. Ariza misses 3-pt jump shot from 26 ft,6,5
20,1,8:47.0,Defensive rebound by M. Gasol,,6,5
21,1,8:36.0,C. Parsons misses 3-pt jump shot from 26 ft,,6,5
22,1,8:34.0,,Defensive rebound by C. Capela,6,5
23,1,8:30.0,,Turnover by J. Harden (bad pass),6,5
24,1,8:21.0,M. Gasol makes 2-pt dunk at rim (assist by M. Conley),,8,5
25,1,8:00.0,,R. Anderson misses 3-pt jump shot from 26 ft,8,5
26,1,7:59.0,,Offensive rebound by C. Capela,8,5
27,1,7:55.0,,C. Capela makes 2-pt layup from 2 ft,8,7
28,1,7:36.0,Turnover by J. Green (lost ball; steal by P. Beverley),,8,7
29,1,7:30.0,,R. Anderson makes 3-pt jump shot from 23 ft (assist by P. Beverley),8,10
30,1,7:08.0,T. Allen makes 2-pt layup from 1 ft,,10,10
31,1,6:53.0,,J. Harden makes 3-pt jump shot from 25 ft,10,13
32,1,6:32.0,M. Gasol makes 2-pt jump shot from 11 ft,,12,13
33,1,6:17.0,,T. Ariza makes 3-pt jump shot from 26 ft (assist by P. Beverley),12,16
34,1,6:11.0,Memphis full timeout,,12,16
35,1,6:11.0,,E. Gordon enters the game for P. Beverley,12,16
36,1,5:59.0,M. Conley misses 2-pt jump shot from 20 ft,,12,16
37,1,5:58.0,Offensive rebound by J. Green,,12,16
38,1,5:52.0,M. Gasol misses 3-pt jump shot from 25 ft,,12,16
39,1,5:51.0,,Defensive rebound by E. Gordon,12,16
40,1,5:38.0,,C. Capela misses 2-pt jump shot from 6 ft,12,16
41,1,5:37.0,,Offensive rebound by T. Ariza,12,16
42,1,5:27.0,,T. Ariza misses 3-pt jump shot from 24 ft,12,16
43,1,5:26.0,Defensive rebound by T. Allen,,12,16
44,1,5:13.0,T. Allen makes 2-pt jump shot from 4 ft,,14,16
45,1,5:04.0,,Personal foul by T. Allen (drawn by J. Harden),14,16
46,1,5:04.0,T. Douglas enters the game for M. Conley,,14,16
47,1,5:00.0,,Offensive foul by T. Ariza (drawn by C. Parsons),14,16
48,1,5:00.0,,Turnover by T. Ariza (offensive foul),14,16
49,1,4:51.0,J. Green makes 2-pt jump shot from 11 ft (assist by M. Gasol),,16,16
50,1,4:38.0,,J. Harden misses 2-pt layup from 2 ft,16,16
51,1,4:37.0,,Offensive rebound by C. Capela,16,16
52,1,4:37.0,,C. Capela makes 2-pt layup from 2 ft,16,18
53,1,4:17.0,M. Gasol misses 2-pt jump shot from 18 ft,,16,18
54,1,4:16.0,,Defensive rebound by J. Harden,16,18
55,1,4:03.0,,J. Harden makes 3-pt jump shot from 25 ft,16,21
56,1,3:42.0,T. Allen makes 3-pt jump shot from 24 ft (assist by C. Parsons),,19,21
57,1,3:23.0,,T. Ariza misses 2-pt jump shot from 19 ft,19,21
58,1,3:22.0,Defensive rebound by J. Green,,19,21
59,1,3:02.0,M. Gasol misses 2-pt jump shot from 7 ft,,19,21
60,1,3:01.0,,Defensive rebound by T. Ariza,19,21
61,1,2:51.0,,C. Capela makes 2-pt dunk at rim (assist by J. Harden),19,23
62,1,2:40.0,Memphis full timeout,,19,23
63,1,2:40.0,,Houston full timeout,19,23
64,1,2:40.0,,S. Dekker enters the game for T. Ariza,19,23
65,1,2:40.0,,L. Williams enters the game for R. Anderson,19,23
66,1,2:40.0,,N. Hilário enters the game for C. Capela,19,23
67,1,2:40.0,V. Carter enters the game for C. Parsons,,19,23
68,1,2:40.0,Z. Randolph enters the game for J. Green,,19,23
69,1,2:27.0,M. Gasol misses 2-pt hook shot from 8 ft,,19,23
70,1,2:26.0,,Defensive rebound by L. Williams,19,23
71,1,2:11.0,,N. Hilário misses 2-pt layup from 4 ft (block by M. Gasol),19,23
72,1,2:11.0,Defensive rebound by Team,,19,23
73,1,2:11.0,M. Conley enters the game for T. Allen,,19,23
74,1,1:59.0,T. Douglas misses 3-pt jump shot from 25 ft,,19,23
75,1,1:58.0,,Defensive rebound by N. Hilário,19,23
76,1,1:48.0,,N. Hilário makes 2-pt layup from 2 ft (assist by J. Harden),19,25
77,1,1:25.0,Z. Randolph misses 2-pt jump shot from 21 ft,,19,25
78,1,1:24.0,,Defensive rebound by S. Dekker,19,25
79,1,1:13.0,,L. Williams misses 3-pt jump shot from 24 ft,19,25
80,1,1:12.0,Defensive rebound by M. Gasol,,19,25
81,1,1:00.0,M. Conley makes 3-pt jump shot from 26 ft (assist by T. Douglas),,22,25
82,1,0:47.0,,Turnover by E. Gordon (lost ball; steal by T. Douglas),22,25
83,1,0:42.0,T. Douglas misses 2-pt layup at rim (block by E. Gordon),,22,25
84,1,0:39.0,,Defensive rebound by E. Gordon,22,25
85,1,0:33.0,,L. Williams misses 3-pt jump shot from 26 ft,22,25
86,1,0:33.0,,Offensive rebound by J. Harden,22,25
87,1,0:33.0,,Personal foul by T. Douglas (drawn by J. Harden),22,25
88,1,0:33.0,J. Green enters the game for M. Gasol,,22,25
89,1,0:23.0,,S. Dekker makes 2-pt dunk at rim (assist by J. Harden),22,27
90,1,0:01.0,M. Conley makes 2-pt jump shot from 8 ft (assist by T. Douglas),,24,27
91,1,0:00.0,,J. Harden misses 3-pt jump shot from 70 ft,24,27
92,1,0:00.0,,Offensive rebound by Team,24,27
93,2,11:38.0,,S. Dekker makes 3-pt jump shot from 25 ft (assist by N. Hilário),24,30
94,2,11:20.0,V. Carter misses 2-pt jump shot from 19 ft,,24,30
95,2,11:20.0,Offensive rebound by Team,,24,30
96,2,11:20.0,,Loose ball foul by N. Hilário (drawn by Z. Randolph),24,30
97,2,11:17.0,Turnover by J. Green (bad pass; steal by N. Hilário),,24,30
98,2,11:12.0,,N. Hilário makes 2-pt dunk at rim (assist by S. Dekker),24,32
99,2,10:54.0,M. Conley makes 2-pt layup from 3 ft,,26,32
100,2,10:46.0,,P. Beverley misses 3-pt jump shot from 24 ft,26,32
101,2,10:44.0,Defensive rebound by J. Green,,26,32
102,2,10:37.0,Z. Randolph makes 3-pt jump shot from 26 ft (assist by T. Douglas),,29,32
103,2,10:19.0,,S. Dekker makes 2-pt layup from 3 ft (assist by L. Williams),29,34
104,2,9:59.0,Z. Randolph misses 2-pt jump shot from 16 ft,,29,34
105,2,9:57.0,,Defensive rebound by P. Beverley,29,34
