,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,BOSTON_ACTION,CHARLOTTE_SCORE,BOSTON_SCORE
0,1,11:47.0,,Shooting foul by N. Batum (drawn by J. Crowder),0,0
1,1,11:47.0,,J. Crowder makes free throw 1 of 2,0,1
2,1,11:47.0,,J. Crowder makes free throw 2 of 2,0,2
3,1,11:28.0,C. Zeller misses 2-pt jump shot from 19 ft,,0,2
4,1,11:27.0,Offensive rebound by R. Sessions,,0,2
5,1,11:18.0,N. Batum misses 3-pt jump shot from 25 ft,,0,2
6,1,11:17.0,,Defensive rebound by A. Bradley,0,2
7,1,11:07.0,,A. Bradley misses 2-pt jump shot from 21 ft,0,2
8,1,11:06.0,Defensive rebound by M. Williams,,0,2
9,1,10:57.0,N. Batum makes 2-pt jump shot from 20 ft (assist by R. Sessions),,2,2
10,1,10:45.0,,A. Horford makes 2-pt jump shot from 20 ft (assist by I. Thomas),2,4
11,1,10:29.0,R. Sessions makes 2-pt jump shot from 20 ft (assist by C. Zeller),,4,4
12,1,10:12.0,,I. Thomas misses 3-pt jump shot from 25 ft,4,4
13,1,10:11.0,Defensive rebound by C. Zeller,,4,4
14,1,10:04.0,Personal foul by A. Bradley (drawn by C. Zeller),,4,4
15,1,9:56.0,Turnover by N. Batum (bad pass; steal by A. Horford),,4,4
16,1,9:44.0,,I. Thomas misses 3-pt jump shot from 23 ft,4,4
17,1,9:44.0,Defensive rebound by C. Zeller,,4,4
18,1,9:38.0,M. Kidd-Gilchrist misses 2-pt layup from 2 ft (block by A. Horford),,4,4
19,1,9:37.0,Offensive rebound by C. Zeller,,4,4
20,1,9:37.0,C. Zeller misses 2-pt layup from 1 ft,,4,4
21,1,9:35.0,Offensive rebound by C. Zeller,,4,4
22,1,9:35.0,C. Zeller misses 2-pt layup at rim,,4,4
23,1,9:34.0,,Defensive rebound by A. Johnson,4,4
24,1,9:15.0,,I. Thomas misses 2-pt layup from 1 ft,4,4
25,1,9:14.0,Defensive rebound by N. Batum,,4,4
26,1,9:06.0,R. Sessions misses 3-pt jump shot from 25 ft,,4,4
27,1,9:05.0,,Defensive rebound by A. Johnson,4,4
28,1,8:54.0,,A. Horford misses 2-pt hook shot from 8 ft,4,4
