,QUARTER,TIME_REMAINING,ORLANDO_ACTION,INDIANA_ACTION,ORLANDO_SCORE,INDIANA_SCORE
0,1,11:41.0,J. Meeks misses 3-pt jump shot from 27 ft,,0,0
1,1,11:40.0,,Defensive rebound by P. George,0,0
2,1,11:25.0,,M. Turner misses 2-pt jump shot from 16 ft,0,0
3,1,11:25.0,Defensive rebound by J. Meeks,,0,0
4,1,11:07.0,Turnover by D. Augustin (bad pass; steal by J. Teague),,0,0
5,1,11:01.0,,J. Teague makes 2-pt layup from 2 ft,0,2
6,1,10:37.0,S. Ibaka misses 2-pt jump shot from 14 ft,,0,2
7,1,10:35.0,Offensive rebound by A. Gordon,,0,2
8,1,10:35.0,A. Gordon makes 2-pt layup from 2 ft,,2,2
9,1,10:15.0,,M. Turner misses 2-pt jump shot from 5 ft (block by S. Ibaka),2,2
10,1,10:14.0,Defensive rebound by B. Biyombo,,2,2
11,1,10:07.0,D. Augustin misses 3-pt jump shot from 28 ft,,2,2
12,1,10:07.0,,Defensive rebound by T. Young,2,2
13,1,9:54.0,,T. Young misses 2-pt layup from 4 ft,2,2
14,1,9:51.0,Defensive rebound by A. Gordon,,2,2
15,1,9:41.0,A. Gordon misses 2-pt jump shot from 15 ft,,2,2
16,1,9:40.0,,Defensive rebound by G. Robinson,2,2
17,1,9:31.0,,Turnover by P. George (bad pass; steal by A. Gordon),2,2
18,1,9:26.0,D. Augustin makes 2-pt layup from 1 ft,,4,2
19,1,9:10.0,,J. Teague misses 3-pt jump shot from 27 ft,4,2
20,1,9:08.0,Defensive rebound by B. Biyombo,,4,2
21,1,8:49.0,A. Gordon misses 3-pt jump shot from 26 ft,,4,2
22,1,8:49.0,,Defensive rebound by M. Turner,4,2
23,1,8:40.0,,T. Young misses 3-pt jump shot from 23 ft,4,2
24,1,8:39.0,,Offensive rebound by Team,4,2
25,1,8:39.0,Loose ball foul by D. Augustin (drawn by G. Robinson),,4,2
26,1,8:34.0,,Turnover by T. Young (bad pass),4,2
27,1,8:17.0,S. Ibaka makes 2-pt hook shot from 5 ft,,6,2
28,1,8:02.0,,G. Robinson makes 3-pt jump shot from 24 ft (assist by M. Turner),6,5
29,1,7:49.0,Turnover by A. Gordon (bad pass; steal by M. Turner),,6,5
30,1,7:45.0,,J. Teague makes 2-pt layup from 2 ft,6,7
31,1,7:44.0,Orlando full timeout,,6,7
32,1,7:44.0,Violation by Team (jump ball),,6,7
33,1,7:33.0,Turnover by B. Biyombo (traveling),,6,7
34,1,7:19.0,,T. Young makes 2-pt jump shot from 19 ft (assist by P. George),6,9
35,1,7:03.0,,Violation by G. Robinson (kicked ball),6,9
36,1,6:50.0,B. Biyombo misses 2-pt jump shot from 9 ft,,6,9
37,1,6:48.0,,Defensive rebound by M. Turner,6,9
38,1,6:34.0,,Shooting foul by A. Gordon (drawn by M. Turner),6,9
39,1,6:34.0,,M. Turner makes free throw 1 of 2,6,10
40,1,6:34.0,,M. Turner makes free throw 2 of 2,6,11
41,1,6:17.0,J. Meeks misses 3-pt jump shot from 28 ft,,6,11
42,1,6:16.0,,Defensive rebound by J. Teague,6,11
