,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,HOUSTON_ACTION,CHARLOTTE_SCORE,HOUSTON_SCORE
0,1,11:41.0,M. Williams misses 2-pt hook shot from 8 ft,,0,0
1,1,11:41.0,,Defensive rebound by T. Ariza,0,0
2,1,11:20.0,,T. Ariza makes 3-pt jump shot from 27 ft (assist by J. Harden),0,3
3,1,11:12.0,K. Walker misses 3-pt jump shot from 26 ft,,0,3
4,1,11:11.0,,Defensive rebound by T. Ariza,0,3
5,1,11:04.0,,J. Harden makes 3-pt jump shot from 25 ft,0,6
6,1,10:47.0,M. Kidd-Gilchrist misses 2-pt jump shot from 10 ft,,0,6
7,1,10:45.0,,Defensive rebound by J. Harden,0,6
8,1,10:39.0,,Personal foul by J. Lamb (drawn by M. Harrell),0,6
9,1,10:39.0,,Personal foul by J. Lamb (drawn by M. Harrell),0,6
10,1,10:34.0,,M. Harrell makes 2-pt layup from 3 ft (assist by J. Harden),0,8
11,1,10:34.0,,Shooting foul by R. Hibbert (drawn by M. Harrell),0,8
12,1,10:34.0,,M. Harrell misses free throw 1 of 1,0,8
13,1,10:33.0,Defensive rebound by M. Williams,,0,8
14,1,10:23.0,Turnover by K. Walker (bad pass; steal by T. Ariza),,0,8
15,1,10:11.0,,M. Harrell makes 2-pt layup from 2 ft (assist by P. Beverley),0,10
16,1,10:05.0,Charlotte full timeout,,0,10
17,1,9:53.0,J. Lamb misses 2-pt jump shot from 14 ft,,0,10
18,1,9:51.0,,Defensive rebound by P. Beverley,0,10
19,1,9:45.0,,J. Harden misses 3-pt jump shot from 26 ft,0,10
20,1,9:43.0,Defensive rebound by J. Lamb,,0,10
21,1,9:31.0,J. Lamb misses 2-pt layup from 2 ft,,0,10
22,1,9:30.0,Offensive rebound by R. Hibbert,,0,10
23,1,9:27.0,R. Hibbert makes 2-pt layup from 2 ft,,2,10
24,1,9:07.0,,R. Anderson makes 2-pt jump shot from 9 ft,2,12
25,1,8:47.0,M. Kidd-Gilchrist misses 2-pt jump shot from 4 ft,,2,12
26,1,8:46.0,,Defensive rebound by M. Harrell,2,12
27,1,8:41.0,,J. Harden makes 2-pt layup from 1 ft,2,14
28,1,8:40.0,,Violation by Team (jump ball),2,14
