,QUARTER,TIME_REMAINING,UTAH_ACTION,OKLAHOMA CITY_ACTION,UTAH_SCORE,OKLAHOMA CITY_SCORE
0,1,11:32.0,,S. Adams misses 2-pt jump shot from 18 ft,0,0
1,1,11:31.0,Defensive rebound by G. Hayward,,0,0
2,1,11:08.0,Turnover by G. Hill (bad pass; steal by S. Adams),,0,0
3,1,11:03.0,,R. Westbrook misses 2-pt layup from 3 ft,0,0
4,1,11:02.0,Defensive rebound by J. Withey,,0,0
5,1,10:41.0,J. Johnson misses 2-pt jump shot from 15 ft,,0,0
6,1,10:41.0,,Defensive rebound by A. Roberson,0,0
7,1,10:33.0,,S. Adams makes 2-pt layup from 2 ft (assist by R. Westbrook),0,2
8,1,10:09.0,G. Hayward misses 2-pt jump shot from 13 ft,,0,2
9,1,10:08.0,,Defensive rebound by R. Westbrook,0,2
10,1,10:05.0,,Turnover by R. Westbrook (bad pass; steal by G. Hayward),0,2
11,1,9:49.0,R. Hood makes 2-pt jump shot from 12 ft,,2,2
12,1,9:27.0,,S. Adams makes 2-pt jump shot from 8 ft (assist by R. Westbrook),2,4
13,1,9:14.0,G. Hill misses 2-pt jump shot from 8 ft,,2,4
14,1,9:13.0,,Defensive rebound by S. Adams,2,4
15,1,9:06.0,,T. Gibson makes 2-pt layup from 2 ft (assist by R. Westbrook),2,6
16,1,8:41.0,J. Johnson makes 2-pt layup from 1 ft,,4,6
17,1,8:18.0,,V. Oladipo makes 3-pt jump shot from 25 ft (assist by R. Westbrook),4,9
18,1,8:03.0,Offensive foul by G. Hayward (drawn by A. Roberson),,4,9
19,1,8:03.0,Turnover by G. Hayward (offensive foul),,4,9
20,1,8:03.0,B. Diaw enters the game for J. Withey,,4,9
21,1,7:43.0,,V. Oladipo misses 3-pt jump shot from 25 ft,4,9
22,1,7:42.0,Defensive rebound by J. Johnson,,4,9
23,1,7:37.0,Personal foul by S. Adams (drawn by G. Hill),,4,9
24,1,7:37.0,J. Withey enters the game for B. Diaw,,4,9
25,1,7:24.0,G. Hill misses 2-pt jump shot from 23 ft,,4,9
26,1,7:24.0,,Defensive rebound by R. Westbrook,4,9
27,1,7:17.0,,R. Westbrook misses 3-pt jump shot from 25 ft,4,9
28,1,7:16.0,Defensive rebound by R. Hood,,4,9
29,1,6:58.0,G. Hayward makes 3-pt jump shot from 24 ft (assist by R. Hood),,7,9
30,1,6:43.0,,A. Roberson misses 3-pt jump shot from 23 ft,7,9
31,1,6:42.0,,Offensive rebound by S. Adams,7,9
32,1,6:38.0,,Turnover by S. Adams (lost ball; steal by J. Withey),7,9
