,QUARTER,TIME_REMAINING,DALLAS_ACTION,SAN ANTONIO_ACTION,DALLAS_SCORE,SAN ANTONIO_SCORE
0,1,11:48.0,,Turnover by P. Gasol (bad pass; steal by S. Mejri),0,0
1,1,11:29.0,H. Barnes misses 2-pt layup from 2 ft,,0,0
2,1,11:28.0,,Defensive rebound by D. Bertāns,0,0
3,1,11:16.0,,Personal foul by S. Mejri (drawn by P. Gasol),0,0
4,1,11:10.0,,K. Leonard misses 2-pt jump shot from 17 ft,0,0
5,1,11:08.0,Defensive rebound by S. Mejri,,0,0
6,1,10:46.0,S. Mejri misses 2-pt jump shot from 12 ft,,0,0
7,1,10:45.0,,Defensive rebound by P. Gasol,0,0
8,1,10:31.0,,P. Gasol makes 2-pt jump shot from 17 ft (assist by K. Leonard),0,2
9,1,10:13.0,S. Curry misses 2-pt jump shot from 14 ft,,0,2
10,1,10:11.0,,Defensive rebound by P. Gasol,0,2
11,1,10:03.0,,Turnover by D. Murray (bad pass),0,2
12,1,9:37.0,S. Mejri makes 2-pt jump shot from 10 ft (assist by S. Curry),,2,2
13,1,9:19.0,,D. Murray makes 2-pt jump shot from 8 ft,2,4
14,1,9:01.0,H. Barnes makes 2-pt hook shot from 6 ft,,4,4
15,1,8:47.0,,Turnover by D. Murray (lost ball; steal by S. Mejri),4,4
16,1,8:46.0,Personal foul by D. Murray (drawn by S. Mejri),,4,4
17,1,8:27.0,D. Finney-Smith misses 3-pt jump shot from 24 ft,,4,4
18,1,8:26.0,,Defensive rebound by P. Gasol,4,4
19,1,8:08.0,,K. Leonard misses 2-pt jump shot from 16 ft,4,4
20,1,8:08.0,Defensive rebound by H. Barnes,,4,4
21,1,7:53.0,H. Barnes makes 2-pt jump shot from 17 ft,,6,4
22,1,7:32.0,,D. Green misses 3-pt jump shot from 22 ft,6,4
23,1,7:31.0,Defensive rebound by S. Curry,,6,4
24,1,7:17.0,S. Curry makes 3-pt jump shot from 25 ft (assist by W. Matthews),,9,4
25,1,6:59.0,,K. Leonard makes 2-pt jump shot from 17 ft,9,6
26,1,6:44.0,S. Curry makes 3-pt jump shot from 26 ft (assist by W. Matthews),,12,6
27,1,6:36.0,,K. Leonard makes 2-pt layup from 2 ft (assist by D. Murray),12,8
28,1,6:36.0,,Shooting foul by H. Barnes (drawn by K. Leonard),12,8
29,1,6:36.0,,K. Leonard makes free throw 1 of 1,12,9
30,1,6:15.0,S. Curry makes 2-pt jump shot from 1 ft,,14,9
31,1,5:57.0,,P. Gasol makes 3-pt jump shot from 25 ft (assist by D. Murray),14,12
32,1,5:41.0,W. Matthews makes 2-pt jump shot from 19 ft,,16,12
33,1,5:39.0,,San Antonio full timeout,16,12
34,1,5:39.0,,P. Mills enters the game for D. Murray,16,12
35,1,5:39.0,,D. Lee enters the game for P. Gasol,16,12
36,1,5:39.0,D. Powell enters the game for H. Barnes,,16,12
37,1,5:28.0,,K. Leonard makes 2-pt jump shot from 4 ft (assist by D. Lee),16,14
38,1,5:06.0,D. Finney-Smith makes 2-pt layup from 1 ft (assist by S. Curry),,18,14
39,1,4:54.0,,D. Lee misses 2-pt jump shot from 7 ft,18,14
40,1,4:53.0,,Offensive rebound by K. Leonard,18,14
41,1,4:50.0,,K. Leonard misses 2-pt layup from 1 ft,18,14
42,1,4:49.0,,Offensive rebound by K. Leonard,18,14
43,1,4:46.0,,D. Bertāns makes 3-pt jump shot from 24 ft (assist by K. Leonard),18,17
44,1,4:33.0,D. Powell misses 2-pt jump shot from 19 ft,,18,17
45,1,4:32.0,,Defensive rebound by K. Leonard,18,17
46,1,4:29.0,,Personal foul by S. Mejri (drawn by K. Leonard),18,17
47,1,4:29.0,,M. Ginóbili enters the game for D. Green,18,17
48,1,4:29.0,,K. Anderson enters the game for D. Bertāns,18,17
49,1,4:29.0,H. Barnes enters the game for S. Mejri,,18,17
50,1,4:29.0,J. Anderson enters the game for D. Finney-Smith,,18,17
51,1,4:29.0,,Turnover by P. Mills (offensive foul),18,17
52,1,4:29.0,,Offensive foul by P. Mills (drawn by J. Anderson),18,17
53,1,4:05.0,W. Matthews misses 3-pt jump shot from 23 ft,,18,17
54,1,4:05.0,Offensive rebound by J. Anderson,,18,17
55,1,4:00.0,J. Anderson makes 2-pt dunk at rim,,20,17
56,1,3:42.0,,D. Lee misses 2-pt jump shot from 8 ft,20,17
57,1,3:41.0,Defensive rebound by D. Powell,,20,17
58,1,3:28.0,J. Anderson misses 3-pt jump shot from 24 ft,,20,17
59,1,3:28.0,,Defensive rebound by K. Leonard,20,17
60,1,3:17.0,,K. Leonard makes 2-pt jump shot from 17 ft,20,19
61,1,3:17.0,,Shooting foul by S. Curry (drawn by K. Leonard),20,19
62,1,3:17.0,Dallas full timeout,,20,19
63,1,3:17.0,J. Gibson enters the game for S. Curry,,20,19
64,1,3:17.0,,K. Leonard makes free throw 1 of 1,20,20
65,1,3:01.0,H. Barnes makes 2-pt layup at rim (assist by J. Gibson),,22,20
66,1,2:39.0,,K. Leonard misses 2-pt jump shot from 18 ft,22,20
67,1,2:39.0,Defensive rebound by J. Anderson,,22,20
68,1,2:31.0,J. Gibson misses 2-pt jump shot from 18 ft,,22,20
69,1,2:28.0,,Defensive rebound by K. Anderson,22,20
70,1,2:13.0,,D. Lee makes 2-pt dunk at rim (assist by M. Ginóbili),22,22
71,1,1:54.0,W. Matthews misses 2-pt layup from 2 ft,,22,22
72,1,1:53.0,Offensive rebound by D. Powell,,22,22
73,1,1:38.0,H. Barnes makes 2-pt jump shot from 19 ft,,24,22
74,1,1:27.0,Violation by D. Powell (kicked ball),,24,22
75,1,1:27.0,N. Brussino enters the game for W. Matthews,,24,22
76,1,1:27.0,,J. Simmons enters the game for K. Leonard,24,22
77,1,1:13.0,,M. Ginóbili misses 2-pt layup at rim,24,22
78,1,1:12.0,Defensive rebound by J. Anderson,,24,22
79,1,0:54.0,H. Barnes makes 2-pt layup at rim,,26,22
80,1,0:43.0,,Personal foul by N. Brussino,26,22
81,1,0:43.0,,P. Mills makes free throw 1 of 2,26,23
82,1,0:43.0,,P. Mills makes free throw 2 of 2,26,24
83,1,0:33.0,J. Gibson makes 2-pt jump shot from 16 ft,,28,24
84,1,0:12.0,,Turnover by M. Ginóbili (lost ball; steal by D. Powell),28,24
85,1,0:07.0,Turnover by J. Anderson (lost ball; steal by P. Mills),,28,24
86,2,11:42.0,J. Anderson misses 2-pt layup from 4 ft,,28,24
87,2,11:41.0,,Defensive rebound by D. Lee,28,24
88,2,11:29.0,,D. Lee misses 2-pt layup from 2 ft,28,24
89,2,11:29.0,Defensive rebound by Team,,28,24
90,2,11:07.0,Turnover by J. Anderson (traveling),,28,24
91,2,11:07.0,,P. Gasol enters the game for D. Lee,28,24
92,2,10:55.0,,Turnover by M. Ginóbili (bad pass; steal by J. Gibson),28,24
93,2,10:48.0,S. Curry makes 3-pt jump shot from 24 ft (assist by J. Gibson),,31,24
94,2,10:37.0,,P. Mills makes 2-pt layup from 2 ft (assist by P. Gasol),31,26
95,2,10:23.0,J. Anderson misses 3-pt jump shot from 26 ft,,31,26
96,2,10:23.0,,Defensive rebound by J. Simmons,31,26
97,2,10:13.0,,Personal foul by N. Brussino (drawn by P. Gasol),31,26
98,2,10:13.0,,D. Green enters the game for K. Anderson,31,26
99,2,10:07.0,,Turnover by P. Mills (bad pass; steal by S. Curry),31,26
100,2,10:01.0,S. Curry misses 3-pt jump shot from 24 ft,,31,26
101,2,9:57.0,,Defensive rebound by P. Mills,31,26
102,2,9:51.0,,P. Gasol misses 2-pt layup from 1 ft,31,26
103,2,9:50.0,Defensive rebound by Team,,31,26
104,2,9:50.0,,D. Bertāns enters the game for M. Ginóbili,31,26
105,2,9:41.0,Shooting foul by J. Simmons (drawn by J. Anderson),,31,26
106,2,9:41.0,J. Anderson misses free throw 1 of 2,,31,26
107,2,9:41.0,Offensive rebound by Team,,31,26
108,2,9:41.0,,D. Murray enters the game for P. Mills,31,26
109,2,9:41.0,J. Anderson makes free throw 2 of 2,,32,26
110,2,9:28.0,,Personal foul by D. Powell (drawn by P. Gasol),32,26
111,2,9:23.0,,D. Green makes 2-pt jump shot from 16 ft (assist by D. Murray),32,28
112,2,9:15.0,Dallas full timeout,,32,28
113,2,9:15.0,S. Mejri enters the game for D. Powell,,32,28
114,2,9:15.0,H. Barnes enters the game for S. Curry,,32,28
115,2,8:56.0,J. Gibson misses 3-pt jump shot from 26 ft,,32,28
116,2,8:55.0,Offensive rebound by H. Barnes,,32,28
117,2,8:47.0,Turnover by H. Barnes (bad pass),,32,28
118,2,8:38.0,,Turnover by J. Simmons (bad pass; steal by J. Anderson),32,28
119,2,8:29.0,Turnover by J. Anderson (lost ball; steal by J. Simmons),,32,28
120,2,8:21.0,,J. Simmons misses 3-pt jump shot from 24 ft,32,28
121,2,8:19.0,,Offensive rebound by D. Bertāns,32,28
122,2,8:08.0,,P. Gasol makes 2-pt layup from 2 ft (assist by J. Simmons),32,30
123,2,7:57.0,Personal foul by J. Simmons (drawn by N. Brussino),,32,30
124,2,7:57.0,,B. Forbes enters the game for J. Simmons,32,30
125,2,7:57.0,D. Finney-Smith enters the game for J. Anderson,,32,30
126,2,7:46.0,H. Barnes misses 2-pt jump shot from 18 ft,,32,30
127,2,7:45.0,,Defensive rebound by P. Gasol,32,30
128,2,7:27.0,,Turnover by P. Gasol (lost ball; steal by S. Mejri),32,30
129,2,7:24.0,Shooting foul by D. Green (drawn by J. Gibson),,32,30
130,2,7:24.0,J. Gibson misses free throw 1 of 2,,32,30
131,2,7:24.0,Offensive rebound by Team,,32,30
132,2,7:24.0,J. Gibson makes free throw 2 of 2,,33,30
133,2,7:02.0,,P. Gasol makes 2-pt layup from 2 ft (assist by D. Green),33,32
134,2,6:46.0,J. Gibson misses 3-pt jump shot from 26 ft,,33,32
135,2,6:45.0,,Defensive rebound by P. Gasol,33,32
136,2,6:38.0,,Shooting foul by D. Finney-Smith (drawn by D. Green),33,32
137,2,6:38.0,,D. Green makes free throw 1 of 2,33,33
138,2,6:38.0,,D. Green misses free throw 2 of 2,33,33
139,2,6:38.0,,P. Mills enters the game for D. Murray,33,33
140,2,6:38.0,,K. Leonard enters the game for D. Bertāns,33,33
