,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MINNESOTA_ACTION,PHILADELPHIA_SCORE,MINNESOTA_SCORE
0,1,11:37.0,S. Rodríguez misses 2-pt jump shot from 20 ft,,0,0
1,1,11:36.0,,Defensive rebound by K. Towns,0,0
2,1,11:13.0,,K. Towns misses 2-pt layup from 1 ft,0,0
3,1,11:11.0,,Offensive rebound by K. Towns,0,0
4,1,11:10.0,,K. Towns makes 2-pt layup from 2 ft,0,2
5,1,11:00.0,G. Henderson makes 3-pt jump shot from 25 ft (assist by E. İlyasova),,3,2
6,1,10:45.0,,Turnover by A. Wiggins (lost ball; steal by R. Covington),3,2
7,1,10:42.0,Personal foul by R. Rubio (drawn by J. Embiid),,3,2
8,1,10:30.0,E. İlyasova misses 3-pt jump shot from 25 ft,,3,2
9,1,10:29.0,,Defensive rebound by R. Rubio,3,2
10,1,10:24.0,,Personal block foul by E. İlyasova (drawn by R. Rubio),3,2
11,1,10:06.0,,R. Rubio misses 3-pt jump shot from 25 ft,3,2
12,1,10:05.0,,Offensive rebound by A. Wiggins,3,2
13,1,9:51.0,,Z. LaVine makes 3-pt jump shot from 25 ft (assist by R. Rubio),3,5
14,1,9:29.0,J. Embiid makes 2-pt dunk at rim (assist by E. İlyasova),,5,5
15,1,9:12.0,,R. Rubio misses 3-pt jump shot from 25 ft,5,5
16,1,9:11.0,Defensive rebound by J. Embiid,,5,5
17,1,9:01.0,J. Embiid misses 2-pt jump shot from 20 ft,,5,5
18,1,9:00.0,,Defensive rebound by K. Towns,5,5
19,1,8:52.0,,Turnover by Z. LaVine (bad pass; steal by S. Rodríguez),5,5
20,1,8:46.0,E. İlyasova misses 2-pt jump shot from 17 ft,,5,5
21,1,8:45.0,,Defensive rebound by R. Rubio,5,5
22,1,8:40.0,,G. Dieng makes 2-pt layup at rim (assist by R. Rubio),5,7
23,1,8:18.0,Turnover by G. Henderson (lost ball),,5,7
24,1,8:01.0,,A. Wiggins misses 3-pt jump shot from 25 ft,5,7
25,1,8:00.0,Defensive rebound by J. Embiid,,5,7
26,1,7:49.0,R. Covington misses 2-pt layup from 4 ft,,5,7
27,1,7:48.0,Offensive rebound by J. Embiid,,5,7
28,1,7:46.0,J. Embiid makes 2-pt layup from 3 ft,,7,7
29,1,7:34.0,,A. Wiggins makes 2-pt jump shot from 7 ft,7,9
30,1,7:23.0,E. İlyasova misses 2-pt layup from 2 ft,,7,9
31,1,7:22.0,,Defensive rebound by R. Rubio,7,9
32,1,7:13.0,,G. Dieng makes 2-pt jump shot from 5 ft (assist by R. Rubio),7,11
