,QUARTER,TIME_REMAINING,CHICAGO_ACTION,MINNESOTA_ACTION,CHICAGO_SCORE,MINNESOTA_SCORE
0,1,11:45.0,R. Lopez makes 2-pt hook shot from 8 ft (assist by J. Grant),,2,0
1,1,11:28.0,,G. Dieng misses 3-pt jump shot from 23 ft,2,0
2,1,11:27.0,Defensive rebound by M. Carter-Williams,,2,0
3,1,11:21.0,M. Carter-Williams misses 2-pt jump shot from 6 ft,,2,0
4,1,11:20.0,Offensive rebound by R. Lopez,,2,0
5,1,11:16.0,D. McDermott misses 3-pt jump shot from 25 ft,,2,0
6,1,11:15.0,,Defensive rebound by A. Wiggins,2,0
7,1,10:57.0,,A. Wiggins makes 2-pt jump shot from 12 ft,2,2
8,1,10:57.0,,Shooting foul by M. Carter-Williams (drawn by A. Wiggins),2,2
9,1,10:57.0,,A. Wiggins misses free throw 1 of 1,2,2
10,1,10:57.0,Defensive rebound by D. McDermott,,2,2
11,1,10:38.0,R. Lopez makes 2-pt jump shot from 6 ft (assist by J. Grant),,4,2
12,1,10:27.0,,A. Wiggins makes 3-pt jump shot from 24 ft (assist by K. Towns),4,5
13,1,10:10.0,T. Gibson misses 2-pt jump shot from 3 ft,,4,5
14,1,10:09.0,,Defensive rebound by R. Rubio,4,5
15,1,10:01.0,,Turnover by R. Rubio (lost ball),4,5
16,1,9:40.0,R. Lopez misses 2-pt jump shot from 18 ft,,4,5
17,1,9:39.0,,Defensive rebound by R. Rubio,4,5
18,1,9:32.0,,R. Rubio makes 2-pt jump shot from 9 ft,4,7
19,1,9:32.0,,Shooting foul by R. Lopez (drawn by R. Rubio),4,7
20,1,9:32.0,,R. Rubio makes free throw 1 of 1,4,8
21,1,9:17.0,J. Grant misses 3-pt jump shot from 23 ft,,4,8
22,1,9:16.0,,Defensive rebound by G. Dieng,4,8
23,1,9:07.0,,Personal foul by T. Gibson (drawn by K. Towns),4,8
24,1,9:01.0,,R. Rubio makes 2-pt jump shot from 15 ft,4,10
25,1,8:50.0,,Offensive charge foul by D. McDermott (drawn by G. Dieng),4,10
26,1,8:50.0,Turnover by D. McDermott (offensive foul),,4,10
27,1,8:37.0,,R. Rubio misses 2-pt jump shot from 19 ft,4,10
28,1,8:36.0,Defensive rebound by M. Carter-Williams,,4,10
29,1,8:30.0,Shooting foul by A. Wiggins (drawn by M. Carter-Williams),,4,10
30,1,8:30.0,M. Carter-Williams misses free throw 1 of 2,,4,10
31,1,8:30.0,Offensive rebound by Team,,4,10
32,1,8:30.0,M. Carter-Williams makes free throw 2 of 2,,5,10
33,1,8:20.0,,G. Dieng makes 2-pt layup from 1 ft (assist by B. Rush),5,12
34,1,8:08.0,R. Lopez misses 2-pt jump shot from 4 ft,,5,12
35,1,8:07.0,Offensive rebound by R. Lopez,,5,12
36,1,8:06.0,R. Lopez misses 2-pt layup from 2 ft,,5,12
37,1,8:05.0,,Defensive rebound by G. Dieng,5,12
38,1,7:57.0,,B. Rush makes 2-pt jump shot from 21 ft,5,14
39,1,7:56.0,Chicago full timeout,,5,14
40,1,7:37.0,M. Carter-Williams misses 2-pt layup from 1 ft,,5,14
41,1,7:35.0,,Defensive rebound by A. Wiggins,5,14
42,1,7:30.0,,Shooting foul by J. Grant (drawn by B. Rush),5,14
43,1,7:30.0,,B. Rush makes free throw 1 of 2,5,15
44,1,7:30.0,,B. Rush misses free throw 2 of 2,5,15
45,1,7:30.0,Defensive rebound by T. Gibson,,5,15
46,1,7:12.0,Turnover by M. Carter-Williams (bad pass),,5,15
47,1,7:00.0,,A. Wiggins makes 2-pt dunk at rim (assist by R. Rubio),5,17
48,1,6:45.0,Turnover by D. McDermott (lost ball; steal by B. Rush),,5,17
49,1,6:42.0,,R. Rubio makes 2-pt layup from 1 ft,5,19
50,1,6:41.0,Chicago full timeout,,5,19
51,1,6:41.0,R. Rondo enters the game for J. Grant,,5,19
52,1,6:22.0,R. Rondo makes 2-pt jump shot from 5 ft (assist by D. McDermott),,7,19
53,1,6:03.0,,B. Rush misses 3-pt jump shot from 23 ft,7,19
54,1,6:02.0,,Offensive rebound by B. Rush,7,19
55,1,5:58.0,,Shooting foul by T. Gibson (drawn by R. Rubio),7,19
56,1,5:58.0,,R. Rubio makes free throw 1 of 2,7,20
57,1,5:58.0,,R. Rubio makes free throw 2 of 2,7,21
58,1,5:44.0,R. Lopez makes 2-pt jump shot from 20 ft (assist by M. Carter-Williams),,9,21
59,1,5:23.0,,K. Towns makes 2-pt jump shot from 21 ft (assist by A. Wiggins),9,23
60,1,5:06.0,Turnover by M. Carter-Williams (bad pass; steal by A. Wiggins),,9,23
61,1,4:53.0,,A. Wiggins misses 2-pt jump shot from 20 ft,9,23
62,1,4:52.0,Defensive rebound by Team,,9,23
63,1,4:52.0,B. Portis enters the game for T. Gibson,,9,23
64,1,4:52.0,D. Valentine enters the game for M. Carter-Williams,,9,23
65,1,4:38.0,B. Portis makes 3-pt jump shot from 23 ft (assist by R. Rondo),,12,23
66,1,4:22.0,,G. Dieng makes 2-pt layup from 3 ft (assist by R. Rubio),12,25
67,1,4:04.0,R. Rondo misses 3-pt jump shot from 24 ft,,12,25
68,1,4:03.0,,Defensive rebound by G. Dieng,12,25
69,1,3:52.0,,K. Towns misses 2-pt layup from 1 ft,12,25
70,1,3:52.0,Defensive rebound by B. Portis,,12,25
71,1,3:47.0,Turnover by R. Rondo (lost ball; steal by R. Rubio),,12,25
72,1,3:41.0,,A. Wiggins makes 2-pt jump shot from 15 ft (assist by R. Rubio),12,27
73,1,3:21.0,R. Rondo misses 3-pt jump shot from 24 ft,,12,27
74,1,3:20.0,,Defensive rebound by K. Towns,12,27
75,1,3:06.0,,K. Towns makes 2-pt layup from 2 ft (assist by A. Wiggins),12,29
76,1,2:47.0,R. Lopez misses 2-pt layup at rim,,12,29
77,1,2:46.0,,Defensive rebound by K. Towns,12,29
78,1,2:40.0,,A. Wiggins makes 2-pt dunk at rim (assist by R. Rubio),12,31
79,1,2:40.0,Chicago full timeout,,12,31
80,1,2:40.0,I. Canaan enters the game for D. McDermott,,12,31
81,1,2:40.0,C. Felício enters the game for R. Lopez,,12,31
82,1,2:40.0,,K. Dunn enters the game for R. Rubio,12,31
83,1,2:26.0,I. Canaan makes 3-pt jump shot from 24 ft (assist by R. Rondo),,15,31
84,1,2:16.0,,Turnover by K. Dunn (lost ball; steal by I. Canaan),15,31
85,1,2:11.0,R. Rondo makes 2-pt layup from 1 ft (assist by I. Canaan),,17,31
86,1,1:44.0,,B. Rush misses 3-pt jump shot from 26 ft,17,31
87,1,1:43.0,Defensive rebound by D. Valentine,,17,31
88,1,1:36.0,I. Canaan misses 3-pt jump shot from 25 ft,,17,31
89,1,1:35.0,,Defensive rebound by K. Towns,17,31
90,1,1:17.0,,Turnover by B. Rush (step out of bounds),17,31
91,1,1:06.0,Turnover by R. Rondo (bad pass; steal by A. Wiggins),,17,31
92,1,1:03.0,,A. Wiggins makes 2-pt layup from 4 ft,17,33
93,1,1:03.0,,Shooting foul by D. Valentine (drawn by A. Wiggins),17,33
94,1,1:03.0,,S. Muhammad enters the game for B. Rush,17,33
95,1,1:03.0,,A. Wiggins makes free throw 1 of 1,17,34
96,1,0:56.0,B. Portis misses 2-pt jump shot from 17 ft,,17,34
97,1,0:55.0,,Defensive rebound by G. Dieng,17,34
98,1,0:31.0,,A. Wiggins misses 3-pt jump shot from 25 ft,17,34
99,1,0:30.0,,Offensive rebound by G. Dieng,17,34
100,1,0:29.0,,G. Dieng misses 2-pt jump shot from 14 ft,17,34
101,1,0:27.0,Defensive rebound by C. Felício,,17,34
102,1,0:03.0,R. Rondo misses 2-pt layup from 4 ft,,17,34
103,1,0:02.0,,Defensive rebound by G. Dieng,17,34
104,2,11:37.0,,K. Dunn misses 2-pt jump shot from 18 ft,17,34
105,2,11:35.0,,Offensive rebound by N. Bjelica,17,34
106,2,11:33.0,,Shooting foul by B. Portis (drawn by S. Muhammad),17,34
107,2,11:33.0,,S. Muhammad misses free throw 1 of 2,17,34
108,2,11:33.0,,Offensive rebound by Team,17,34
109,2,11:33.0,,S. Muhammad makes free throw 2 of 2,17,35
110,2,11:21.0,B. Portis misses 3-pt jump shot from 24 ft,,17,35
111,2,11:20.0,,Defensive rebound by K. Dunn,17,35
112,2,11:03.0,,S. Muhammad makes 2-pt jump shot from 12 ft (assist by N. Bjelica),17,37
113,2,10:48.0,Turnover by R. Rondo (bad pass; steal by N. Bjelica),,17,37
114,2,10:28.0,,C. Aldrich makes 2-pt dunk at rim (assist by L. Stephenson),17,39
115,2,10:10.0,Shooting foul by N. Bjelica (drawn by B. Portis),,17,39
116,2,10:10.0,B. Portis makes free throw 1 of 2,,18,39
117,2,10:10.0,B. Portis makes free throw 2 of 2,,19,39
118,2,9:52.0,,S. Muhammad makes 2-pt jump shot from 13 ft (assist by K. Dunn),19,41
119,2,9:36.0,R. Rondo misses 3-pt jump shot from 24 ft,,19,41
120,2,9:35.0,,Defensive rebound by Team,19,41
121,2,9:17.0,,N. Bjelica makes 2-pt hook shot from 6 ft,19,43
122,2,9:02.0,C. Felício misses 2-pt jump shot from 18 ft,,19,43
123,2,9:01.0,,Defensive rebound by C. Aldrich,19,43
124,2,8:55.0,,S. Muhammad makes 2-pt layup from 5 ft (assist by C. Aldrich),19,45
125,2,8:55.0,Chicago full timeout,,19,45
126,2,8:43.0,C. Felício makes 2-pt layup at rim (assist by R. Rondo),,21,45
127,2,8:27.0,,N. Bjelica misses 3-pt jump shot from 25 ft,21,45
128,2,8:26.0,,Offensive rebound by Team,21,45
129,2,8:26.0,Loose ball foul by C. Felício (drawn by C. Aldrich),,21,45
130,2,8:20.0,,Turnover by K. Dunn (bad pass; steal by D. Valentine),21,45
131,2,8:08.0,I. Canaan misses 2-pt jump shot from 20 ft,,21,45
132,2,8:07.0,,Defensive rebound by N. Bjelica,21,45
133,2,7:59.0,,Offensive foul by S. Muhammad (drawn by D. Valentine),21,45
134,2,7:59.0,,Turnover by S. Muhammad (offensive foul),21,45
135,2,7:50.0,Personal foul by S. Muhammad (drawn by C. Felício),,21,45
136,2,7:39.0,C. Felício misses 2-pt jump shot from 18 ft,,21,45
137,2,7:38.0,,Defensive rebound by N. Bjelica,21,45
138,2,7:20.0,,L. Stephenson misses 2-pt jump shot from 19 ft,21,45
139,2,7:19.0,Defensive rebound by C. Felício,,21,45
140,2,7:03.0,B. Portis makes 2-pt layup from 1 ft (assist by R. Rondo),,23,45
141,2,6:47.0,,L. Stephenson misses 2-pt layup from 1 ft,23,45
142,2,6:46.0,,Offensive rebound by C. Aldrich,23,45
143,2,6:43.0,,Turnover by K. Dunn (lost ball; steal by R. Rondo),23,45
144,2,6:39.0,Turnover by D. Valentine (bad pass; steal by N. Bjelica),,23,45
145,2,6:32.0,,K. Dunn misses 3-pt jump shot from 24 ft,23,45
146,2,6:31.0,Defensive rebound by C. Felício,,23,45
147,2,6:15.0,B. Portis misses 2-pt jump shot from 10 ft,,23,45
148,2,6:14.0,Offensive rebound by B. Portis,,23,45
149,2,6:11.0,B. Portis makes 2-pt jump shot from 13 ft,,25,45
150,2,6:11.0,,Minnesota full timeout,25,45
151,2,6:11.0,,R. Rubio enters the game for K. Dunn,25,45
152,2,6:11.0,,G. Dieng enters the game for N. Bjelica,25,45
153,2,6:11.0,,K. Towns enters the game for C. Aldrich,25,45
154,2,6:11.0,J. Grant enters the game for I. Canaan,,25,45
155,2,6:11.0,R. Lopez enters the game for C. Felício,,25,45
156,2,6:11.0,D. McDermott enters the game for D. Valentine,,25,45
157,2,6:09.0,T. Gibson enters the game for B. Portis,,25,45
158,2,5:51.0,,K. Towns misses 3-pt jump shot from 25 ft,25,45
159,2,5:49.0,,Offensive rebound by S. Muhammad,25,45
160,2,5:33.0,,K. Towns makes 2-pt layup from 3 ft,25,47
161,2,5:15.0,D. McDermott misses 2-pt jump shot from 21 ft,,25,47
162,2,5:14.0,,Defensive rebound by G. Dieng,25,47
163,2,5:03.0,,G. Dieng misses 2-pt jump shot from 5 ft,25,47
164,2,5:02.0,Defensive rebound by R. Rondo,,25,47
165,2,4:52.0,Turnover by T. Gibson (lost ball; steal by R. Rubio),,25,47
166,2,4:41.0,,K. Towns makes 2-pt hook shot from 7 ft (assist by R. Rubio),25,49
167,2,4:20.0,Turnover by T. Gibson (lost ball; steal by G. Dieng),,25,49
168,2,4:19.0,,Personal foul by T. Gibson (drawn by G. Dieng),25,49
169,2,4:19.0,B. Portis enters the game for T. Gibson,,25,49
170,2,4:19.0,,B. Rush enters the game for S. Muhammad,25,49
171,2,4:19.0,,A. Wiggins enters the game for L. Stephenson,25,49
172,2,4:11.0,,Offensive foul by K. Towns (drawn by J. Grant),25,49
173,2,4:11.0,,Turnover by K. Towns (offensive foul),25,49
174,2,3:59.0,R. Lopez misses 2-pt jump shot from 16 ft,,25,49
175,2,3:58.0,,Defensive rebound by K. Towns,25,49
176,2,3:46.0,,Personal foul by R. Rondo (drawn by K. Towns),25,49
177,2,3:46.0,M. Carter-Williams enters the game for R. Rondo,,25,49
178,2,3:34.0,,B. Rush misses 3-pt jump shot from 26 ft,25,49
179,2,3:33.0,,Offensive rebound by G. Dieng,25,49
180,2,3:31.0,,G. Dieng makes 2-pt layup from 2 ft,25,51
181,2,3:13.0,J. Grant makes 2-pt layup from 5 ft,,27,51
182,2,2:54.0,,Shooting foul by R. Lopez (drawn by K. Towns),27,51
183,2,2:54.0,,Minnesota full timeout,27,51
184,2,2:54.0,,K. Towns makes free throw 1 of 2,27,52
185,2,2:54.0,,K. Towns makes free throw 2 of 2,27,53
186,2,2:38.0,R. Lopez makes 2-pt layup from 3 ft (assist by M. Carter-Williams),,29,53
187,2,2:38.0,Shooting foul by G. Dieng (drawn by R. Lopez),,29,53
188,2,2:38.0,R. Lopez misses free throw 1 of 1,,29,53
189,2,2:38.0,,Defensive rebound by G. Dieng,29,53
190,2,2:30.0,,A. Wiggins makes 2-pt jump shot from 14 ft,29,55
191,2,2:16.0,D. McDermott makes 2-pt layup from 3 ft (assist by M. Carter-Williams),,31,55
192,2,1:58.0,,R. Rubio misses 3-pt jump shot from 24 ft,31,55
193,2,1:57.0,Defensive rebound by M. Carter-Williams,,31,55
194,2,1:48.0,D. McDermott makes 3-pt jump shot from 23 ft (assist by M. Carter-Williams),,34,55
195,2,1:23.0,,K. Towns makes 2-pt jump shot from 14 ft,34,57
196,2,1:04.0,M. Carter-Williams makes 2-pt jump shot from 4 ft,,36,57
197,2,1:04.0,Shooting foul by G. Dieng (drawn by M. Carter-Williams),,36,57
198,2,1:04.0,C. Felício enters the game for R. Lopez,,36,57
199,2,1:04.0,M. Carter-Williams makes free throw 1 of 1,,37,57
200,2,1:00.0,,Turnover by R. Rubio (bad pass),37,57
201,2,0:50.0,J. Grant makes 3-pt jump shot from 23 ft (assist by M. Carter-Williams),,40,57
202,2,0:37.0,,K. Towns misses 3-pt jump shot from 25 ft,40,57
203,2,0:36.0,,Offensive rebound by G. Dieng,40,57
204,2,0:16.0,,Minnesota full timeout,40,57
205,2,0:13.0,,A. Wiggins misses 2-pt layup from 3 ft (block by J. Grant),40,57
206,2,0:12.0,,Offensive rebound by Team,40,57
207,2,0:11.0,,Turnover by Team (shot clock),40,57
208,2,0:00.0,D. McDermott misses 2-pt jump shot from 20 ft,,40,57
209,2,0:00.0,Offensive rebound by Team,,40,57
210,3,11:42.0,,B. Rush misses 3-pt jump shot from 24 ft,40,57
211,3,11:40.0,,Offensive rebound by K. Towns,40,57
212,3,11:32.0,,A. Wiggins misses 2-pt jump shot from 20 ft,40,57
213,3,11:32.0,Defensive rebound by J. Grant,,40,57
214,3,11:11.0,T. Gibson misses 2-pt jump shot from 15 ft,,40,57
215,3,11:10.0,,Defensive rebound by R. Rubio,40,57
216,3,10:51.0,,Turnover by R. Rubio (bad pass),40,57
217,3,10:42.0,Personal foul by B. Rush (drawn by M. Carter-Williams),,40,57
218,3,10:33.0,M. Carter-Williams misses 2-pt jump shot from 7 ft,,40,57
219,3,10:32.0,,Defensive rebound by G. Dieng,40,57
220,3,10:25.0,,Shooting foul by M. Carter-Williams (drawn by A. Wiggins),40,57
221,3,10:25.0,,A. Wiggins makes free throw 1 of 2,40,58
222,3,10:25.0,,A. Wiggins makes free throw 2 of 2,40,59
223,3,10:05.0,Turnover by M. Carter-Williams (bad pass),,40,59
224,3,9:56.0,,K. Towns makes 2-pt hook shot from 9 ft (assist by A. Wiggins),40,61
225,3,9:35.0,T. Gibson misses 2-pt layup from 1 ft,,40,61
226,3,9:34.0,,Defensive rebound by K. Towns,40,61
227,3,9:24.0,,G. Dieng misses 2-pt jump shot from 21 ft,40,61
228,3,9:23.0,Defensive rebound by T. Gibson,,40,61
229,3,9:18.0,Shooting foul by A. Wiggins (drawn by M. Carter-Williams),,40,61
230,3,9:18.0,M. Carter-Williams makes free throw 1 of 2,,41,61
231,3,9:18.0,M. Carter-Williams misses free throw 2 of 2,,41,61
232,3,9:18.0,,Defensive rebound by R. Rubio,41,61
233,3,9:10.0,,G. Dieng makes 2-pt dunk at rim (assist by K. Towns),41,63
234,3,8:50.0,D. McDermott misses 2-pt jump shot from 8 ft,,41,63
235,3,8:50.0,Offensive rebound by Team,,41,63
236,3,8:48.0,D. McDermott misses 2-pt jump shot from 16 ft (block by B. Rush),,41,63
237,3,8:47.0,,Defensive rebound by B. Rush,41,63
238,3,8:30.0,,A. Wiggins misses 3-pt jump shot from 24 ft,41,63
239,3,8:29.0,Defensive rebound by T. Gibson,,41,63
240,3,8:21.0,M. Carter-Williams misses 2-pt jump shot from 6 ft (block by G. Dieng),,41,63
241,3,8:20.0,,Defensive rebound by R. Rubio,41,63
242,3,8:16.0,,Shooting foul by J. Grant (drawn by R. Rubio),41,63
243,3,8:16.0,,R. Rubio makes 2-pt jump shot from 6 ft,41,65
244,3,8:16.0,,R. Rubio makes free throw 1 of 1,41,66
245,3,8:02.0,R. Lopez makes 2-pt jump shot from 20 ft (assist by J. Grant),,43,66
