,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,PHILADELPHIA_ACTION,LA LAKERS_SCORE,PHILADELPHIA_SCORE
0,1,11:43.0,Shooting foul by S. Rodríguez (drawn by D. Russell),,0,0
1,1,11:43.0,D. Russell makes free throw 1 of 2,,1,0
2,1,11:43.0,D. Russell makes free throw 2 of 2,,2,0
3,1,11:34.0,,R. Covington misses 3-pt jump shot from 26 ft,2,0
4,1,11:32.0,Defensive rebound by D. Russell,,2,0
5,1,11:28.0,L. Deng makes 2-pt dunk at rim (assist by D. Russell),,4,0
6,1,11:16.0,,Turnover by S. Rodríguez (bad pass; steal by D. Russell),4,0
7,1,11:13.0,D. Russell makes 2-pt layup from 1 ft,,6,0
8,1,10:55.0,,Turnover by G. Henderson (bad pass; steal by L. Deng),6,0
9,1,10:49.0,J. Randle makes 2-pt layup from 2 ft (assist by N. Young),,8,0
10,1,10:39.0,,J. Embiid misses 2-pt jump shot from 23 ft,8,0
11,1,10:38.0,Defensive rebound by D. Russell,,8,0
12,1,10:33.0,Personal foul by R. Covington (drawn by N. Young),,8,0
13,1,10:26.0,D. Russell makes 3-pt jump shot from 26 ft (assist by N. Young),,11,0
14,1,10:24.0,,Philadelphia full timeout,11,0
15,1,10:08.0,,G. Henderson misses 3-pt jump shot from 25 ft,11,0
16,1,10:07.0,Defensive rebound by D. Russell,,11,0
17,1,9:45.0,J. Randle makes 2-pt jump shot from 18 ft,,13,0
18,1,9:29.0,,J. Embiid makes 2-pt jump shot from 18 ft (assist by G. Henderson),13,2
19,1,9:18.0,T. Mozgov misses 2-pt jump shot from 7 ft,,13,2
20,1,9:17.0,,Defensive rebound by Team,13,2
21,1,9:06.0,,Shooting foul by T. Mozgov (drawn by J. Embiid),13,2
22,1,9:06.0,,J. Embiid misses free throw 1 of 2,13,2
23,1,9:06.0,,Offensive rebound by Team,13,2
24,1,9:06.0,,J. Embiid makes free throw 2 of 2,13,3
25,1,8:53.0,L. Deng misses 3-pt jump shot from 25 ft,,13,3
26,1,8:52.0,,Defensive rebound by J. Okafor,13,3
27,1,8:41.0,,S. Rodríguez misses 3-pt jump shot from 25 ft,13,3
28,1,8:39.0,Defensive rebound by J. Randle,,13,3
29,1,8:34.0,Turnover by J. Randle (bad pass),,13,3
30,1,8:23.0,,R. Covington misses 3-pt jump shot from 25 ft,13,3
31,1,8:22.0,,Offensive rebound by J. Okafor,13,3
32,1,8:14.0,,R. Covington makes 2-pt layup from 1 ft (assist by J. Embiid),13,5
33,1,8:08.0,Offensive foul by T. Mozgov (drawn by J. Okafor),,13,5
34,1,8:08.0,Turnover by T. Mozgov (offensive foul),,13,5
35,1,7:53.0,,J. Embiid makes 3-pt jump shot from 26 ft (assist by G. Henderson),13,8
36,1,7:27.0,D. Russell misses 3-pt jump shot from 26 ft,,13,8
37,1,7:26.0,,Defensive rebound by G. Henderson,13,8
38,1,7:20.0,,G. Henderson misses 2-pt jump shot from 5 ft,13,8
39,1,7:19.0,Defensive rebound by L. Deng,,13,8
40,1,7:09.0,J. Randle makes 2-pt jump shot from 12 ft,,15,8
41,1,6:56.0,,R. Covington misses 3-pt jump shot from 27 ft,15,8
42,1,6:54.0,Defensive rebound by Team,,15,8
43,1,6:54.0,,E. İlyasova enters the game for J. Okafor,15,8
44,1,6:31.0,D. Russell misses 2-pt jump shot from 11 ft,,15,8
45,1,6:28.0,Offensive rebound by L. Deng,,15,8
46,1,6:27.0,L. Deng makes 2-pt layup from 1 ft,,17,8
47,1,6:15.0,,J. Embiid makes 2-pt jump shot from 11 ft (assist by S. Rodríguez),17,10
48,1,6:04.0,,N. Noel enters the game for J. Embiid,17,10
49,1,6:04.0,L. Nance enters the game for T. Mozgov,,17,10
50,1,6:04.0,,T. McConnell enters the game for S. Rodríguez,17,10
51,1,6:02.0,J. Randle misses 2-pt jump shot from 16 ft,,17,10
52,1,6:00.0,,Defensive rebound by N. Noel,17,10
53,1,5:50.0,,N. Noel misses 2-pt layup from 2 ft,17,10
54,1,5:48.0,,Offensive rebound by G. Henderson,17,10
55,1,5:43.0,,E. İlyasova misses 3-pt jump shot from 26 ft,17,10
56,1,5:42.0,Defensive rebound by L. Deng,,17,10
57,1,5:36.0,N. Young misses 2-pt jump shot from 15 ft (block by R. Covington),,17,10
58,1,5:33.0,,Defensive rebound by E. İlyasova,17,10
59,1,5:31.0,,Turnover by E. İlyasova (bad pass; steal by J. Randle),17,10
60,1,5:27.0,N. Young makes 2-pt jump shot from 15 ft (assist by J. Randle),,19,10
61,1,5:07.0,,R. Covington misses 2-pt layup from 2 ft,19,10
62,1,5:05.0,Defensive rebound by J. Randle,,19,10
63,1,4:56.0,N. Young misses 3-pt jump shot from 23 ft,,19,10
64,1,4:55.0,,Defensive rebound by N. Noel,19,10
65,1,4:55.0,Loose ball foul by J. Randle (drawn by N. Noel),,19,10
66,1,4:55.0,,N. Stauskas enters the game for G. Henderson,19,10
67,1,4:55.0,J. Clarkson enters the game for N. Young,,19,10
68,1,4:48.0,,Personal foul by D. Russell (drawn by T. McConnell),19,10
69,1,4:48.0,B. Ingram enters the game for L. Deng,,19,10
70,1,4:37.0,,R. Covington makes 2-pt layup from 2 ft (assist by T. McConnell),19,12
71,1,4:20.0,Turnover by L. Nance (bad pass),,19,12
72,1,4:04.0,,N. Noel makes 2-pt hook shot from 5 ft (assist by N. Stauskas),19,14
73,1,3:43.0,J. Clarkson misses 2-pt jump shot from 5 ft (block by N. Noel),,19,14
74,1,3:41.0,Offensive rebound by J. Randle,,19,14
75,1,3:37.0,D. Russell misses 3-pt jump shot from 28 ft,,19,14
76,1,3:35.0,,Defensive rebound by N. Noel,19,14
77,1,3:22.0,,E. İlyasova misses 3-pt jump shot from 23 ft,19,14
78,1,3:21.0,Defensive rebound by J. Randle,,19,14
79,1,3:14.0,J. Randle makes 2-pt layup from 2 ft,,21,14
80,1,2:59.0,,Personal foul by L. Nance (drawn by E. İlyasova),21,14
81,1,2:59.0,LA Lakers full timeout,,21,14
82,1,2:59.0,,D. Šarić enters the game for R. Covington,21,14
83,1,2:59.0,L. Williams enters the game for D. Russell,,21,14
84,1,2:42.0,,N. Stauskas misses 2-pt jump shot from 18 ft,21,14
85,1,2:41.0,,Offensive rebound by E. İlyasova,21,14
86,1,2:38.0,,E. İlyasova misses 3-pt jump shot from 24 ft,21,14
87,1,2:36.0,Defensive rebound by L. Nance,,21,14
